Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,EPC,Heating,Floor space,Fully furnished,Floor,Building type,Age,Designe,New-build,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Condition,Balcony,Parking,Garage,Cellar,Lift,Terrace,Terasa 14 m²,Lodžie 5 m²,Balkón 3 m²,Sklep 3 m²,Administrative fee,Lodžie 2 m²,Terasa 18 m²,Balkón 2 m²,Sklep 2 m²,Reconstruction,Balkón 14 m²,Balkón 19 m²,Sklep 4 m²,Terasa 19 m²,Lodžie 19 m²,Balkón 6 m²,Terasa 3 m²,Sklep 1 m²,Balkón 5 m²,Domácí mazlíčci vítáni,Lodžie 3 m²,Balkón 8 m²,Balkón 11 m²,Balkón 15 m²,Terasa 5 m²,Sklep 5 m²,Lodžie 6 m²,Balkón 10 m²,Balkón 16 m²,Terasa 37 m²,Lodžie 7 m²,Terasa 53 m²,Terasa 25 m²,Lodžie 4 m²,Sklep 6 m²,Balkón 4 m²,Sklep 1.5 m²,Lodžie 3.5 m²,Terasa 21 m²,Balkón 2.5 m²,Terasa 20 m²,Lodžie 8 m²,Terasa 16 m²,Balkón 7 m²,Balkón 1 m²,Sklep 25 m²,Balkón 12 m²,Balkón 1.5 m²,Terasa 30 m²,Balkón 40 m²,Terasa 50 m²,Balkón 4.21 m²,Sklep 36 m²,Sklep 7 m²,Terasa 8 m²,Sklep 6.1 m²,Terasa 40 m²,Terasa 15 m²,Enclosed balcony,Terasa 36 m²,Terasa 100 m²,Balkón 0 m²,Sklep 10 m²,Lodžie 10 m²,Terasa 60 m²,Terasa 7 m²,Balkón 72 m²,Lodžie 11 m²,Terasa 49 m²,Terasa 28 m²,Balkón 3.7 m²,Lodžie 16 m²,Lodžie 9 m²,Balkón 9 m²,Terasa 12 m²,Terasa 22 m²,Terasa 6 m²,Sklep 8 m²,Terasa 29 m²,Terasa 3.1 m²,Terasa 35 m²,Sklep 2.8 m²,Balkón 90 m²,Sklep 2.5 m²,Lodžie 8.2 m²,Terasa 11 m²,Terasa 34 m²,Balkón 50 m²,Lodžie 12 m²,Sklep 20 m²,Terasa 9 m²,Balkón 13 m²,Balkón 2.3 m²,Sklep 2.9 m²,Balkón 60 m²,Sklep 10.1 m²,Plot type,Sklep 12 m²,Balkón 20 m²,Terasa 80 m²,Sklep 9 m²,Terasa 13 m²,Lodžie 4.5 m²,Plot space,Terasa 10 m²,Balkón 3.5 m²,Terasa 9.8 m²,Terasa 78 m²,Terasa 2 m²,Lodžie 15 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 29 m²,Terasa 70 m²,Terasa 300 m²,Balkón 2.6 m²,Lodžie 6.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 200 m²,Sklep 6.4 m²
"CZK 42,075","CZK 14,025",,746320,2 bedroom,12/12/2022,,,,62 m²,Fully furnished,6,,,,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 6,500",,749067,1 bedroom,1/2/2023,,,,20 m²,Fully furnished,,,,,,169.94,657.22,187.03,47.07,30.44,118.16,20.05,94.58,357.1,201.44,"Ječná, Prague - Nové Město",50.0756771,14.4268037,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500",CZK 700,"CZK 20,000",753688,Studio,12/1/2022,,G,,36 m²,Partly,1,Prefab concrete,,,,198.83,809.12,162.78,351.55,170.27,353.71,386.01,173.21,1711.32,229.11,"Ovčí hájek, Prague - Stodůlky",50.04951,14.35047,Very good,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,000","CZK 23,000",537754,2+kk,1/1/2023,Personal,A,Central,76 m²,Unfurnished,5,Prefab concrete,,,1.0,672.38,1010.44,1330.73,1589.4,191.8,1126.63,1415.86,1243.86,396.54,283.37,Prague - Letňany,50.1420497,14.5240251,New-build,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 10,000","CZK 20,000",753682,3+1,12/8/2022,,G,,78 m²,Partly,4,Brick,,,,223.08,486.91,224.11,144.3,144.37,400.21,940.95,78.19,765.85,183.05,"Kafkova, Prague - Dejvice",50.09867,14.38969,Very good,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,000","CZK 14,000",752776,2+kk,11/22/2022,Personal,G,Central,45 m²,Partly,2,Prefab concrete,,Standard,,353.35,1394.38,170.91,1735.49,605.0,546.2,264.82,861.05,1780.34,214.12,"Zdiměřická, Prague - Chodov",50.0225,14.51278,Very good,,,,,1.0,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,000","CZK 21,000",612151,Small studio,1/1/2023,Personal,A,,26 m²,Fully furnished,2,Brick,,Standard,,309.83,252.11,55.02,327.92,95.87,125.17,272.44,549.89,1160.47,391.55,"K Lánu, Prague - Vokovice",50.095966,14.360679,Very good,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,900","CZK 4,000","CZK 35,000",684331,2+kk,12/1/2022,Personal,B,Electric boiler,47 m²,Fully furnished,,Prefab concrete,,Luxurious,,191.33,661.41,92.72,438.07,125.62,436.41,134.31,322.79,706.23,291.93,"Bulharská, Prague - Vršovice",50.07161,14.45719,Very good,,1.0,,,1.0,,,,,,,,,,,Interior,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,534","CZK 2,500","CZK 26,000",748056,2+kk,11/20/2022,,B,,45 m²,Fully furnished,,Brick,,,,212.55,1152.98,202.35,973.47,244.52,162.51,552.13,305.34,1319.06,81.48,Prague - Smíchov,50.07264,14.3888,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 7,000","CZK 1,500","CZK 8,500",753675,3+1,11/28/2022,,G,,78 m²,Partly,3,Prefab concrete,,,,183.01,522.55,51.01,1141.04,608.96,423.98,441.47,223.56,373.98,197.46,"Markušova, Prague - Chodov",50.03335,14.51501,Very good,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000",CZK 750,"CZK 13,750",526630,1 bedroom,11/28/2022,Other,,,30 m²,Partly,1,Brick,,,,232.81,212.94,299.53,2460.97,304.15,346.72,329.89,420.72,1203.96,199.3,"Na Mlejnku, Prague - Braník",50.0368092,14.4098944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 35,000","CZK 5,000",CZK 0,521797,4+kk,1/15/2023,Personal,D,,98 m²,Partly,2,Brick,,,,151.35,1304.65,135.27,741.02,147.63,306.93,62.09,340.9,620.58,221.13,"Na Volánové, Prague - Vokovice",50.0969153,14.3456711,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,925","CZK 10,975",,747955,1 bedroom,1/2/2023,,,,30 m²,Fully furnished,3,,,,,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 3,200","CZK 40,000",742438,Studio,10/31/2022,,B,,32 m²,Unfurnished,3,Low-energy,Up to 10 years,Luxurious,1.0,82.28,235.54,175.06,282.55,25.92,289.11,326.1,408.92,261.26,279.79,Prague - Libeň,50.10434,14.47655,New-build,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 6,000","CZK 24,000",501901,2+kk,1/1/2023,Personal,,,52 m²,Fully furnished,2,Brick,,,,177.88,861.2,808.82,845.66,631.51,857.16,955.31,867.53,593.15,280.19,Prague - Záběhlice,50.0530522,14.5108039,Very good,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,490","CZK 2,990","CZK 10,000",616125,2 bedroom,12/1/2022,Personal,B,Central,52 m²,Partly,9,Prefab concrete,,,,197.57,1276.35,331.86,1122.47,891.0,1151.55,511.9,490.58,830.25,58.77,"Rytířova, Prague - Kamýk",50.014636,14.418822,Good,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 3,500","CZK 45,000",751051,2+kk,12/1/2022,,G,,60 m²,Fully furnished,6,Brick,10 to 30 years,Standard,,234.26,729.44,226.47,415.76,218.78,485.2,392.89,265.43,309.44,258.16,"Lumírova, Prague - Nusle",50.06359,14.4238,Very good,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 3,000","CZK 22,000",472976,Small studio,10/24/2022,Personal,C,Gas boiler,30 m²,Fully furnished,1,Brick,,,,254.54,628.17,233.96,374.62,97.09,234.99,492.8,301.47,333.29,336.8,"V Domově, Prague - Žižkov",50.0931211,14.4835126,Very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,756","CZK 13,919",,747328,4+1,11/30/2022,,,,102 m²,Fully furnished,2,,,,,183.27,1023.84,165.5,746.11,195.16,730.27,819.74,259.7,600.66,303.35,"Xaveriova, Prague - Smíchov",50.0626569,14.3913498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 4,500","CZK 13,500",236608,2+kk,12/1/2022,Personal,,,42 m²,Partly,3,Brick,,,,55.06,260.08,14.27,47.92,42.51,15.02,77.02,283.65,295.27,321.47,"Moskevská, Prague - Vršovice",50.0692378,14.4556183,Very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 1,507","CZK 16,000",659560,3+kk,12/1/2022,Personal,G,Gas boiler,64 m²,Unfurnished,2,Brick,,,,19.96,1099.92,11.9,951.61,104.15,1277.39,136.39,179.77,484.69,218.49,"Novovysočanská, Prague - Vysočany",50.10057,14.48891,Very good,,,,,,,,,,1.0,,,,,,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,000","CZK 6,000","CZK 25,000",753458,2 bedroom,12/1/2022,Personal,D,,55 m²,Partly,2,Brick,,,,176.98,1013.26,321.86,955.12,515.07,915.62,681.16,467.9,1528.34,346.28,Prague - Uhříněves,50.0371,14.59009,Very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 30,000",752912,1 bedroom,12/4/2022,,G,,40 m²,Fully furnished,5,Brick,,,,94.09,254.81,125.6,270.58,63.77,510.81,406.85,405.72,174.1,303.95,Prague - Libeň,50.10408,14.47984,Very good,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,900","CZK 3,500","CZK 30,000",731675,Studio,12/15/2022,,G,,34 m²,Fully furnished,4,Brick,Up to 10 years,,,159.96,318.63,144.94,410.41,117.64,270.71,737.06,831.3,943.97,238.54,Prague - Uhříněves,50.03064,14.59533,Very good,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 2,665","CZK 22,000",751765,2+kk,12/1/2022,Personal,A,,50 m²,Partly,2,Low-energy,Up to 10 years,,1.0,419.78,1447.14,349.51,1340.87,428.72,1023.74,1194.45,1401.35,500.64,185.1,"Kolbenova, Prague - Vysočany",50.109598221878,14.518618318482,New-build,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,700","CZK 4,840","CZK 37,400",230074,Studio,12/1/2022,Personal,,Electric boiler,32 m²,Fully furnished,3,Brick,Over 50 years,,,126.3,186.87,252.87,152.98,7.2,256.44,155.22,452.12,828.99,597.98,"Tomášská, Prague - Malá Strana",50.0890425,14.4049134,Good,,,,,,,,,,,,,,1.0,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 7,500","CZK 40,000",745187,3+kk,11/14/2022,,G,,84 m²,Partly,7,Other,,,,358.11,1274.59,648.44,1061.38,636.12,1151.2,941.1,351.64,1295.74,639.6,"Černochova, Prague - Košíře",50.063,14.37985,New-build,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 2,000","CZK 30,000",644578,2 bedroom,12/1/2022,Personal,G,,69 m²,Partly,1,Brick,,,,408.87,1395.82,308.27,1189.86,331.62,469.8,619.11,645.17,2399.71,341.67,"Zbýšovská, Prague - Újezd nad Lesy",50.071787,14.674879,Very good,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,800","CZK 3,000","CZK 25,000",302655,Studio,11/28/2022,Personal,,Electric boiler,30 m²,Fully furnished,4,Brick,,,,190.83,323.45,97.6,509.09,134.86,230.18,223.55,372.28,661.27,119.4,Prague - Holešovice,50.1019491,14.4444775,,,,,,1.0,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,900","CZK 1,300","CZK 23,200",368598,1 bedroom,12/5/2022,Personal,,Gas boiler,52 m²,Partly,2,Brick,,Standard,,279.85,410.46,253.58,669.89,134.23,550.89,188.53,214.01,385.12,171.64,"Chodská, Prague - Vinohrady",50.07371,14.44602,,,,,,1.0,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
