Listing ID,Price,Latitude,Longitude,District,Layout,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Floor Space,Refundable security deposit,Ownership Type,Building Type,Heating,Renovation,PENB,Age,Total number of floors,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
551673,"CZK 16,000",50.086153,14.449524,Prague - Žižkov,1 bedroom with open-plan kitchen,"CZK 2,000",Furnished,,No,Yes,No,No,No,No,No,01. 03. 2022,251,377,224,385,63,345,89,301,89,727,Excellent,48 m²,"CZK 18,000",Personal,Brick building,Electric boiler,,C,1 to 10 years years,Ground floor,Standard materials and solutions,20 m²,,,,,,
647621,"CZK 11,000",50.065622,14.509269,"Královická, Prague - Strašnice",Small studio,,Furnished,1,No,No,No,No,No,No,No,14. 03. 2022,367,"1,449",390,"1,124",279,380,393,396,668,297,Excellent,35 m²,"CZK 11,000",Personal,Brick building,Gas boiler,,F,,Ground floor,Standard materials and solutions,,,,,,,
698800,"CZK 15,000",50.0574,14.48562,"V Ochozu, Prague - Záběhlice",1 bedroom with open-plan kitchen,"CZK 3,000",Partially furnished,3,No,No,No,No,No,No,No,12. 03. 2022,587,"1,337",568,809,838,901,"1,393",669,848,,Excellent,55 m²,"CZK 30,000",Personal,Prefab concrete building,,Overall,G,,,,,,,,,,
704961,"CZK 16,000",50.06978,14.45612,"Holandská, Prague - Vršovice",1 bedroom with open-plan kitchen,"CZK 4,500",Furnished,3,No,No,No,No,No,Yes,No,08. 03. 2022,141,336,48,113,66,111,193,190,411,203,Excellent,42 m²,"CZK 16,000",Personal,Brick building,,Interior,G,,,,,,,,,,
503670,"CZK 23,000",50.0716817,14.4096553,"Na Celné, Prague - Smíchov",1 bedroom with open-plan kitchen,"CZK 3,000",Partially furnished,3,No,No,No,No,No,Yes,No,,192,631,163,127,120,528,670,921,837,397,,63 m²,"CZK 46,000",Personal,Brick building,Gas boiler,Overall,,1 to 10 years years,Middle floor,Premium materials and solutions,,,,,,,
709584,"CZK 14,000",50.078279,14.5085045,"Limuzská, Prague - Strašnice",Studio,"CZK 2,500",Partially furnished,1,No,No,Yes,No,No,No,No,07. 03. 2022,53,915,509,892,123,769,934,"1,058","1,195",526,New build,33 m²,"CZK 28,000",Personal,Prefab concrete building,,,C,,,,,,,,,,
13982,"CZK 14,000",50.0842281,14.379125,"Za Strahovem, Prague - Břevnov",1 bedroom with open-plan kitchen,"CZK 1,000",Partially furnished,2,No,No,Yes,No,No,Yes,No,21. 03. 2022,208,948,149,724,76,462,382,359,181,235,Excellent,35 m²,"CZK 20,000",Personal,Brick building,,,,,Middle floor,,,,,,,,
708291,"CZK 15,000",50.0892554,14.4450532,"Pernerova, Prague - Karlín",1 bedroom with open-plan kitchen,"CZK 1,800",Partially furnished,1,Yes,No,Yes,No,No,No,No,01. 04. 2022,157,679,317,579,11,554,231,859,666,202,Good,60 m²,"CZK 15,000",Personal,Brick building,Gas boiler,Interior,G,10 to 30 years years,Middle floor,Standard materials and solutions,,,,,,,
710205,"CZK 16,000",50.12239,14.45465,"Nad Šutkou, Prague - Kobylisy",1 bedroom with open-plan kitchen,"CZK 3,500",Partially furnished,2,No,No,Yes,No,No,Yes,No,01. 04. 2022,123,562,117,115,24,283,256,554,"1,085",435,New build,67 m²,"CZK 32,000",Personal,Brick building,,,B,,,,,,,,,,
710208,"CZK 14,500",50.05693,14.45058,"Nuselská, Prague - Michle",1 bedroom,"CZK 1,907",Furnished,3,No,No,Yes,No,No,Yes,No,01. 04. 2022,137,414,297,139,165,981,250,660,516,307,Good,50 m²,"CZK 29,000",Personal,Brick building,,,G,,,,,,,,,,
709572,"CZK 15,900",50.06814,14.55724,"Honzíkova, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,"CZK 3,600",Furnished,3,Yes,No,No,No,No,Yes,Yes,14. 03. 2022,834,671,590,850,"1,352","1,492",650,,,,New build,53 m²,"CZK 15,000",Cooperative,Brick building,,,B,,,,,,,,,,
593402,"CZK 29,000",50.043649,14.5135,"Bratislavská, Prague - Hostivař",3 bedroom with open-plan kitchen,"CZK 5,500",,6,Yes,Yes,Yes,No,Yes,Yes,Yes,15. 03. 2022,186,346,412,401,"1,200",547,"1,045",229,,,New build,93 m²,"CZK 58,000",Personal,Brick building,,,B,,,,,,,,,,
709733,"CZK 22,500",50.0717467,14.4598954,"Bulharská, Prague - Vršovice",Studio,"CZK 7,500",Furnished,5,No,No,No,No,No,No,No,04. 04. 2022,188,686,33,462,44,460,274,308,760,241,,34 m²,,,,,,,,,,,,,,,,
677479,"CZK 10,000",50.03427,14.311,"Nad Schody, Prague - Řeporyje",Studio,"CZK 2,000",Furnished,1,No,No,No,No,No,No,No,16. 03. 2022,204,410,"1,288",142,284,863,337,,,,Excellent,42 m²,"CZK 12,000",Personal,Brick building,Gas boiler,,C,,Ground floor,,,,,,,,
690354,"CZK 15,000",50.10803,14.44562,"Plynární, Prague - Holešovice",1 bedroom with open-plan kitchen,"CZK 2,500",Partially furnished,2,No,No,Yes,No,No,No,No,20. 11. 2021,114,582,185,594,83,223,275,937,453,203,Excellent,58 m²,"CZK 15,000",Personal,Brick building,Gas boiler,Overall,E,,,Premium materials and solutions,,,,,,,
705597,"CZK 10,000",50.02361,14.57837,"V Pitkovičkách, Prague - Pitkovice",Studio,"CZK 2,000",Partially furnished,2,No,No,Yes,No,Yes,No,No,01. 03. 2022,86,"1,438","1,260",177,,,,,,,New build,39 m²,"CZK 20,000",Personal,Brick building,Electric boiler,,B,1 to 10 years years,Middle floor,Premium materials and solutions,,Yes,,,,,
710204,"CZK 17,000",50.06831,14.41998,"Vinařického, Prague - Vyšehrad",3 bedroom,CZK 750,Partially furnished,3,No,No,No,No,No,No,No,12. 03. 2022,67,905,48,328,99,289,129,507,158,369,Excellent,80 m²,"CZK 17,000",Personal,Brick building,,,G,,,,,,,,,,
489033,"CZK 12,000",50.0713808,14.3874536,"Mahenova, Prague - Košíře",1 bedroom with open-plan kitchen,CZK 580,Partially furnished,3,No,No,No,No,No,No,No,01. 04. 2022,25,"1,105",48,955,38,"1,105",478,781,"1,125",246,Excellent,44 m²,"CZK 16,000",Personal,Brick building,,,,,Middle floor,Standard materials and solutions,,,,,,,
710130,"CZK 18,900",50.05743,14.34526,"Chmelařská, Prague - Jinonice",1 bedroom with open-plan kitchen,"CZK 2,500",Unfurnished,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15. 03. 2022,354,"1,081",441,953,739,406,696,705,293,,New build,53 m²,"CZK 18,900",Personal,Brick building,,,A,,,,,,,,,,
654850,"CZK 6,000",50.07162,14.38807,"Plzeňská, Prague - Košíře",Small studio,"CZK 3,000",Partially furnished,-1,No,No,No,No,No,No,No,14. 03. 2022,51,"1,178",25,882,55,"1,032",551,790,"1,172",227,Good,17 m²,"CZK 9,000",Personal,Brick building,Gas boiler,Overall,G,1 to 10 years years,,Standard materials and solutions,,,,,,,
448142,"CZK 20,000",50.0950956,14.3489584,"Adamova, Prague - Veleslavín",1 bedroom with open-plan kitchen,"CZK 4,500",Furnished,4,No,No,No,No,Yes,No,Yes,07. 03. 2022,88,945,144,863,279,96,299,407,608,326,,49 m²,"CZK 48,000",Personal,Brick building,Central heating,,B,,,Premium materials and solutions,,Yes,,,,,
704254,"CZK 9,900",50.05755,14.42509,"Na Dolinách, Prague - Podolí",Studio,"CZK 1,900",Partially furnished,1,No,No,No,No,No,No,No,01. 02. 2022,129,515,88,393,186,493,411,525,390,281,Excellent,26 m²,"CZK 17,700",Cooperative,Brick building,,,G,,,,,,,,,,
709553,"CZK 29,000",50.07869,14.42557,"Štěpánská, Prague - Nové Město",4 bedroom with open-plan kitchen,CZK 500,Partially furnished,4,No,Yes,No,No,No,Yes,No,07. 03. 2022,366,767,307,317,1,330,23,447,454,379,Excellent,182 m²,"CZK 29,000",Personal,Brick building,,,G,,,,,,,,,,
156480,"CZK 10,000",50.0299577,14.6067967,"Karla Zicha, Prague - Uhříněves",Studio,"CZK 3,000",Partially furnished,2,Yes,No,No,No,No,No,No,01. 04. 2022,123,650,323,659,100,603,230,660,263,441,,32 m²,"CZK 15,000",Personal,Brick building,,,,,,,,,,,,,
242371,"CZK 16,000",50.0764113,14.4569736,"Slezská, Prague - Vinohrady",1 bedroom with open-plan kitchen,"CZK 1,500",Furnished,2,No,No,Yes,No,No,Yes,No,,166,470,133,154,179,372,252,456,839,375,,54 m²,"CZK 20,000",Personal,Brick building,,,C,,,,,,,,,,
705353,"CZK 13,000",50.14219,14.52242,"Hlučkova, Prague - Letňany",Studio,"CZK 3,300",Furnished,5,Yes,No,Yes,No,No,Yes,No,01. 03. 2022,594,949,"1,278",226,"1,073","1,349","1,196",884,189,,New build,36 m²,"CZK 20,000",Personal,Brick building,,,A,,,,,,,,,,
589871,"CZK 8,990",50.104181,14.451361,"Přístavní, Prague - Holešovice",Studio,"CZK 1,690",,1,No,No,No,No,No,Yes,No,05. 03. 2022,145,239,129,194,128,189,539,501,336,409,Excellent,23 m²,"CZK 15,000",Personal,Brick building,Central heating,Overall,,,,,,,,,,,
561837,"CZK 12,000",50.0290466,14.5305879,"Mnichovická, Prague - Háje",1 bedroom with open-plan kitchen,"CZK 3,500",Partially furnished,11,No,No,No,No,No,Yes,No,01. 04. 2022,254,593,117,280,345,406,382,271,466,165,,41 m²,"CZK 15,500",Personal,Prefab concrete building,,,A,,,,,,,,,,
710197,"CZK 11,000",50.07037,14.47399,"Vršovická, Prague - Vršovice",Studio,"CZK 1,900",Furnished,3,No,No,No,No,No,Yes,No,12. 03. 2022,211,291,118,329,71,339,242,284,279,220,Excellent,34 m²,"CZK 12,900",Personal,Brick building,,,D,,,,,,,,,,
568883,"CZK 14,000",50.1043295,14.5094343,"Pod Harfou, Prague - Vysočany",Studio,"CZK 3,000",Furnished,9,Yes,No,No,No,No,Yes,No,25. 04. 2022,408,106,"1,204",681,"1,010","1,291","1,014",153,,,,30 m²,"CZK 17,500",Personal,Brick building,Central heating,,,1 to 10 years years,,,,Yes,,,,,
696248,"CZK 47,000",50.07906,14.44976,"Laubova, Prague - Vinohrady",3 bedroom,"CZK 6,000",Partially furnished,2,Yes,No,No,No,Yes,Yes,No,01. 01. 2022,209,273,39,272,113,301,142,267,694,169,Excellent,109 m²,"CZK 53,000",Personal,Brick building,,,D,,,,,,,,,,
448290,"CZK 16,000",50.0385227,14.3237865,"Kakosova, Prague - Řeporyje",Studio,"CZK 4,000",Furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 03. 2022,172,"1,161",900,"1,090",432,989,710,"1,131",571,68,New build,44 m²,"CZK 20,000",Personal,Brick building,District heating,,A,1 to 10 years years,Middle floor,Premium materials and solutions,,Yes,,,,,
709529,"CZK 17,990",50.07929,14.45809,"Lucemburská, Prague - Žižkov",1 bedroom with open-plan kitchen,"CZK 4,000",Furnished,3,No,No,Yes,No,No,Yes,No,15. 05. 2022,264,555,135,335,36,366,458,402,730,173,Excellent,53 m²,"CZK 23,000",Personal,Brick building,District heating,,D,,Middle floor,Premium materials and solutions,,,,,,,
710186,"CZK 23,500",50.10296,14.40082,"Verdunská, Prague - Bubeneč",2 bedroom with open-plan kitchen,"CZK 5,900",Furnished,1,Yes,No,No,No,No,No,No,15. 04. 2022,183,680,93,289,25,363,302,275,396,147,Excellent,88 m²,"CZK 23,500",Personal,Brick building,,,G,,,,,,,,,,
699667,"CZK 34,500",50.08581,14.46733,"Pitterova, Prague - Žižkov",1 bedroom with open-plan kitchen,"CZK 7,500",Furnished,13,No,Yes,No,No,Yes,Yes,No,01. 03. 2022,414,428,459,605,193,334,656,302,197,59,New build,106 m²,"CZK 35,000",Personal,Other,,,C,,,,,,,,,,
706082,"CZK 18,900",50.08041,14.45483,"Žižkovo náměstí, Prague - Žižkov",1 bedroom with open-plan kitchen,"CZK 2,000",Partially furnished,1,No,No,Yes,No,Yes,Yes,No,01. 04. 2022,367,340,71,443,29,561,401,395,712,217,Excellent,45 m²,"CZK 38,000",Personal,Brick building,Central heating,Overall,A,1 to 10 years years,,,,,,,,,
435606,"CZK 14,000",50.0823858,14.4157163,Prague - Staré Město,Studio,"CZK 2,950",Furnished,3,No,No,No,No,No,Yes,No,04. 04. 2022,444,800,88,451,107,493,471,666,393,382,,29 m²,"CZK 18,000",Personal,Brick building,,,,,,,,,,,,,
698019,"CZK 15,000",49.98352,14.36292,"Nýřanská, Prague - Radotín",2 bedroom,"CZK 5,200",Partially furnished,2,No,No,No,No,Yes,Yes,Yes,17. 01. 2022,123,501,52,197,206,71,439,794,612,224,Excellent,55 m²,"CZK 15,000",Personal,Brick building,,,G,,,,,,,,,,
598559,"CZK 13,499",50.064342,14.442252,"Čestmírova, Prague - Nusle",1 bedroom with open-plan kitchen,"CZK 1,500",Partially furnished,2,Yes,No,Yes,No,Yes,No,No,15. 03. 2022,90,311,92,91,15,61,367,597,576,437,New build,55 m²,"CZK 15,000",Personal,Brick building,,Overall,B,1 to 10 years years,,Premium materials and solutions,,,,,,,
705981,"CZK 14,500",50.08524,14.44984,"Štítného, Prague - Žižkov",1 bedroom,CZK 870,Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 04. 2022,255,222,50,211,7,189,62,278,94,553,Excellent,34 m²,"CZK 25,000",Personal,Other,Other,Overall,B,1 to 10 years years,Middle floor,Standard materials and solutions,,,,,,,
577002,"CZK 16,500",50.1171669,14.4317465,"Trojská, Prague - Troja",1 bedroom with open-plan kitchen,"CZK 3,500",Unfurnished,1,No,No,No,No,No,No,No,01. 01. 2022,399,778,398,794,980,582,"1,071",806,,,,43 m²,"CZK 49,500",Personal,Brick building,,,C,,,,,,,,,,
707326,"CZK 35,063",50.0718291,14.4385892,"Americká, Prague - Vinohrady",3 bedroom,"CZK 11,687",Furnished,5,No,No,No,No,No,Yes,No,27. 03. 2022,274,300,81,587,69,312,103,253,793,568,,72 m²,,,,,,,,,,,,,,,,
707313,"CZK 40,500",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,"CZK 13,500",Furnished,3,No,No,No,No,No,No,No,07. 04. 2022,281,192,58,183,11,368,315,297,289,305,,44 m²,,,,,,,,,,,,,,,,
707288,"CZK 37,425",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,"CZK 12,475",Furnished,-1,No,No,No,No,No,No,No,19. 04. 2022,211,382,250,989,170,745,812,"1,050",387,543,,50 m²,,,,,,,,,,,,,,,,
707403,"CZK 22,500",50.0723918,14.4059555,"Lidická, Prague - Smíchov",1 bedroom,"CZK 7,500",Furnished,4,No,No,No,No,No,No,No,07. 04. 2022,100,437,82,124,1,340,531,"1,038","1,232",691,,,,,,,,,,,,,,,,,,
707491,"CZK 39,000",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",2 bedroom,"CZK 13,000",Furnished,7,No,Yes,No,No,No,Yes,No,21. 04. 2022,149,274,60,441,20,421,59,552,690,457,,92 m²,,,,,,,,,,,,,,,,
709495,"CZK 14,000",50.08043,14.49866,"Nad Úžlabinou, Prague - Malešice",2 bedroom,"CZK 3,800",Furnished,2,No,No,Yes,No,No,No,No,14. 03. 2022,219,305,202,237,176,256,316,697,931,88,Excellent,55 m²,"CZK 14,000",Personal,Prefab concrete building,,,G,,,,,,,,,,
222435,"CZK 16,000",50.0978111,14.3664045,"Kladenská, Prague - Vokovice",1 bedroom with open-plan kitchen,"CZK 2,000",Furnished,2,No,No,No,No,No,No,No,01. 04. 2022,469,373,470,379,43,249,763,601,911,95,Excellent,50 m²,"CZK 18,000",Personal,Brick building,,,,,Middle floor,,,,,,,,
698782,"CZK 17,990",50.027801513672,14.520799636841,"Metodějova, Prague - Chodov",3 bedroom with open-plan kitchen,"CZK 5,204",Furnished,2,Yes,No,No,No,No,Yes,No,,196,635,277,850,464,401,714,261,916,345,Excellent,82 m²,"CZK 23,194",Personal,Prefab concrete building,,,C,,,,,,"CZK 23,194

                                
                                
                
i",,,,
709488,"CZK 14,500",50.04577,14.44959,"Batelovská, Prague - Michle",Studio,"CZK 3,379",Furnished,2,No,No,No,No,No,Yes,No,01. 01. 1970,123,567,167,198,41,231,153,579,568,157,Excellent,32 m²,"CZK 20,000",Personal,Brick building,District heating,,G,1 to 10 years years,Middle floor,Premium materials and solutions,,,,,,,
709382,"CZK 30,750",50.0710929,14.4032595,"Stroupežnického, Prague - Smíchov",3 bedroom with open-plan kitchen,"CZK 10,250",Furnished,2,No,No,No,No,No,Yes,No,05. 05. 2022,140,528,224,126,38,67,511,"1,001","1,181",559,,90 m²,,,,,,,,,,,,,,,,
710180,"CZK 42,750",50.0894289,14.423732,"Masná, Prague - Staré Město",Studio,"CZK 14,250",Furnished,3,No,No,No,No,No,Yes,No,11. 05. 2022,68,269,126,89,16,107,70,52,156,144,,46 m²,,,,,,,,,,,,,,,,
710179,"CZK 47,025",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,"CZK 15,675",Furnished,3,Yes,Yes,No,No,No,Yes,No,11. 05. 2022,110,274,157,129,77,143,300,496,282,367,,64 m²,,,,,,,,,,,,,,,,
710178,"CZK 20,175",50.0564738,14.5142373,"Švehlova, Prague - Záběhlice",1 bedroom with open-plan kitchen,"CZK 6,725",Furnished,4,No,Yes,No,No,No,Yes,Yes,11. 05. 2022,88,519,253,482,504,524,542,798,830,228,,65 m²,,,,,,,,,,,,,,,,
709481,"CZK 11,000",50.1098178,14.3865326,"Na Šťáhlavce, Prague - Dejvice",Studio,"CZK 2,800",Furnished,-1,No,No,No,No,Yes,No,No,21. 03. 2022,46,515,"1,240",509,673,32,466,388,706,,Excellent,28 m²,"CZK 10,000",Personal,Brick building,Gas boiler,,G,,Ground floor,Standard materials and solutions,,,,,,,
539558,"CZK 12,900",50.0299208,14.6013322,"Přátelství, Prague - Uhříněves",1 bedroom with open-plan kitchen,"CZK 3,900",Partially furnished,2,Yes,No,No,No,No,No,No,06. 03. 2022,81,266,62,271,38,219,204,370,411,353,,52 m²,,Personal,Brick building,Gas boiler,Overall,,1 to 10 years years,Top floor,,,,,,,,
617452,"CZK 14,700",50.0774886,14.4691903,"Kouřimská, Prague - Vinohrady",1 bedroom,"CZK 2,600",Partially furnished,1,No,No,Yes,No,No,No,No,15. 03. 2022,203,514,81,151,206,135,169,931,291,186,Excellent,40 m²,,,Brick building,,Interior,B,,,,,,,,,,
710171,"CZK 20,900",50.00707,14.42978,"Vitošská, Prague - Modřany",3 bedroom,"CZK 3,500",Furnished,4,No,No,No,Yes,No,Yes,No,21. 03. 2022,93,983,360,972,199,"1,057",522,184,488,77,Excellent,75 m²,"CZK 30,000",Personal,Prefab concrete building,,,C,,,,,,,,,,
708811,"CZK 74,250",50.0822546,14.4142748,"Krocínova, Prague - Staré Město",3 bedroom,"CZK 24,750",Furnished,6,Yes,No,No,No,No,Yes,No,09. 04. 2022,284,987,183,230,26,119,417,373,329,411,,125 m²,,,,,,,,,,,,,,,,
708791,"CZK 67,500",50.0895991,14.4216596,"V Kolkovně, Prague - Staré Město",3 bedroom,"CZK 22,500",Furnished,6,Yes,No,No,No,No,Yes,No,16. 04. 2022,94,433,53,88,14,105,82,217,292,309,,125 m²,,,,,,,,,,,,,,,,
710162,"CZK 18,000",50.08735,14.4882,"V Zahrádkách, Prague - Žižkov",1 bedroom with open-plan kitchen,"CZK 4,000",Partially furnished,2,Yes,No,Yes,No,No,Yes,Yes,28. 03. 2022,102,770,140,655,241,702,522,330,302,520,Excellent,57 m²,"CZK 35,000",Personal,Brick building,,,G,,,,,,,,,,
710161,"CZK 21,000",50.0832,14.42259,"Jungmannovo náměstí, Prague - Nové Město",2 bedroom with open-plan kitchen,"CZK 4,000",Unfurnished,3,No,No,No,No,No,No,No,01. 05. 2022,241,668,188,89,0,192,278,664,314,176,Excellent,86 m²,"CZK 21,000",Personal,Brick building,,,G,,,,,,,,,,
707507,"CZK 10,500",50.023829193966,14.578221067786,"V Pitkovičkách, Prague - Pitkovice",Studio,"CZK 3,000",,3,No,No,Yes,No,Yes,No,No,01. 01. 1970,112,"1,411","1,400",203,,,,,,,,38 m²,"CZK 22,000",Personal,Brick building,,,,,,,,Yes,,,,,
578337,"CZK 18,500",50.035792,14.317295,"Smíchovská, Prague - Řeporyje",1 bedroom with open-plan kitchen,"CZK 1,200",Partially furnished,2,No,Yes,No,No,No,No,No,01. 11. 2019,86,813,"1,347",367,252,"1,269","1,115",382,,,New build,60 m²,"CZK 37,000",Personal,Brick building,,,A,1 to 10 years years,Middle floor,Premium materials and solutions,16 m²,Yes,,,,,
463537,"CZK 14,500",50.1110539,14.4977212,"Paříkova, Prague - Vysočany",Studio,"CZK 2,500",Unfurnished,5,Yes,Yes,No,No,No,Yes,No,01. 03. 2022,150,364,211,132,173,4,631,784,355,376,Excellent,46 m²,"CZK 25,000",Personal,Brick building,Central heating,Interior,,,Middle floor,,,,,,,,
565572,"CZK 17,000",50.0621447,14.4417689,"Svatoslavova, Prague - Nusle",1 bedroom with open-plan kitchen,"CZK 2,700",Furnished,2,No,No,Yes,No,No,No,No,01. 01. 1970,174,589,191,294,214,318,352,859,288,249,Excellent,47 m²,"CZK 20,000",Personal,Brick building,Other,Overall,,,Middle floor,,,,,,,,
697255,"CZK 21,000",50.10253,14.43365,"Janovského, Prague - Holešovice",1 bedroom with open-plan kitchen,"CZK 3,000",Partially furnished,6,No,Yes,No,No,No,Yes,No,01. 01. 2022,189,721,108,233,117,170,314,528,930,,Excellent,60 m²,"CZK 30,000",Personal,Brick building,Gas boiler,Interior,G,10 to 30 years years,Attic,Standard materials and solutions,,,,,,,
709630,"CZK 70,538",50.0837893,14.416317,"Betlémská, Prague - Staré Město",4 bedroom,"CZK 23,512",Furnished,3,No,No,No,No,No,Yes,No,02. 05. 2022,305,609,123,436,59,203,376,628,402,92,,136 m²,,,,,,,,,,,,,,,,
710153,"CZK 20,000",50.10221,14.57405,Prague - Černý Most,1 bedroom with open-plan kitchen,"CZK 6,000",Furnished,1,Yes,No,No,No,No,Yes,No,01. 05. 2022,317,"1,379",483,929,552,825,694,710,364,,New build,75 m²,"CZK 30,000",Personal,Prefab concrete building,,,G,,,,,,,,,,
