Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Enclosed balcony,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Lift,Designe,Reconstruction,Cellar,Plot type,Age,New-build,Balcony,Terrace,Parking,Garage,Administrative fee,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 12,000","CZK 4,700","CZK 12,000",726861,Studio,7/21/2022,5,Brick,,24 m²,Fully furnished,Very good,,G,,389.43,1234.26,348.2,485.56,0.0,296.91,183.12,321.71,403.16,139.33,Prague - Vyšehrad,50.06577,14.41999,1.0,,,,,,,,,,,,,
"CZK 9,500","CZK 2,500","CZK 12,000",725957,Small studio,7/15/2022,2,Brick,,20 m²,Fully furnished,Good,,A,,6.13,1142.27,634.69,818.33,746.52,711.11,579.27,699.97,377.71,338.38,Prague - Smíchov,50.07075,14.36128,,,Exterior,,,10 to 30 years,,,,,,,,
"CZK 18,990","CZK 2,823","CZK 21,813",726852,2+kk,7/22/2022,3,Brick,,64 m²,Unfurnished,Very good,Personal,C,,440.63,1949.27,114.9,1623.82,1238.3,726.46,1038.23,1358.57,1062.09,87.08,"Pod Harfou, Prague - Vysočany",50.10367222222,14.50923138888,1.0,,,,,,,,,1.0,,"CZK 21,813",,
"CZK 19,900","CZK 5,000","CZK 20,000",725044,2 bedroom,9/15/2022,1,Brick,Electric boiler,52 m²,Fully furnished,Very good,,A,,409.38,1010.8,730.44,2069.31,711.39,1823.32,1767.04,913.92,857.09,1138.35,Prague - Troja,50.11821,14.42667,,,,,,,,1.0,1.0,1.0,,,,
"CZK 30,000","CZK 5,300",CZK 2,671624,2+kk,9/15/2022,1,Brick,Distance,58 m²,Fully furnished,New-build,Personal,C,,303.24,443.11,283.69,248.55,12.57,419.69,838.92,847.64,448.16,187.42,"Za Karlínským přístavem, Prague - Karlín",50.09595,14.44973,1.0,Luxurious,Complete,1.0,,Up to 10 years,1.0,,1.0,1.0,1.0,,,
"CZK 11,990","CZK 2,092","CZK 14,082",726829,Studio,7/22/2022,3,Prefab concrete,,35 m²,Fully furnished,Very good,Personal,G,,170.44,480.14,565.54,2721.77,474.46,497.8,883.73,634.24,1832.46,7.59,"Ouholická, Prague - Čimice",50.14279472222,14.43251361111,1.0,,,,,,,,,,,"CZK 14,082",,
"CZK 9,750","CZK 2,800","CZK 20,000",726052,Studio,8/1/2022,7,Brick,,31 m²,Fully furnished,New-build,,A,,362.16,1112.86,342.86,1431.45,582.37,541.31,603.65,1226.16,479.96,483.64,Prague - Záběhlice,50.05618,14.48947,1.0,,,,,,1.0,1.0,,1.0,,,,
"CZK 22,000","CZK 3,500","CZK 33,000",483911,3+kk,9/1/2022,1,Brick,,75 m²,Fully furnished,Very good,Personal,G,,115.92,936.79,0.48,326.58,55.96,383.18,646.84,567.82,385.69,319.37,"Jaromírova, Prague - Nusle",50.0648538,14.4258808,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,000","CZK 20,000",697696,2+kk,1/3/2022,10,Prefab concrete,,43 m²,Partly,Very good,Personal,C,,123.49,1093.35,507.3,1191.49,86.25,965.89,252.17,125.15,490.24,18.46,"Jakobiho, Prague - Petrovice",50.03225,14.55993,1.0,,,,,,,,,1.0,,,,
"CZK 19,294",CZK 967,"CZK 20,011",726808,2+kk,9/1/2022,1,Other,,47 m²,,Good,Personal,,,63.41,546.34,54.57,564.85,24.04,675.95,434.42,502.16,443.1,562.68,"Fričova, Prague - Vinohrady",50.0678961,14.4361074,,,,,,,,,,,,"CZK 2,894",,
"CZK 19,500","CZK 4,500","CZK 24,000",521592,2+kk,7/21/2022,2,Brick,,45 m²,Fully furnished,,Personal,,,264.81,630.36,77.75,423.83,53.68,316.22,335.47,95.79,305.09,328.38,"U Kanálky, Prague - Vinohrady",50.0781932,14.4457107,1.0,Luxurious,Complete,,,Up to 10 years,,,,,,,,
"CZK 14,990","CZK 1,159","CZK 16,149",726804,2+kk,7/22/2022,4,Brick,,44 m²,Partly,Good,Personal,G,,138.64,448.1,58.81,343.85,187.04,262.78,135.57,350.56,512.64,283.15,"Táboritská, Prague - Žižkov",50.08279166666,14.45512555555,1.0,,,,,,,,,,,"CZK 16,149",,
"CZK 14,000","CZK 2,000","CZK 28,000",726803,Studio,7/21/2022,1,Brick,,31 m²,Fully furnished,Very good,,G,,226.3,187.83,542.13,565.59,135.91,97.63,346.21,903.07,605.79,207.38,Prague - Letňany,50.13751,14.51429,,,,1.0,,,,,,,,,,
"CZK 27,000","CZK 6,000","CZK 35,000",726802,3+1,8/10/2022,1,Brick,,104 m²,Unfurnished,Very good,,G,,30.99,580.65,82.43,202.75,110.34,513.64,715.01,279.02,587.09,176.4,Prague - Dejvice,50.10052,14.39031,,,,,,,,1.0,,,,,,
"CZK 20,500","CZK 2,800","CZK 25,000",725572,2+kk,8/1/2022,2,Other,,58 m²,Fully furnished,New-build,,C,,337.03,1072.93,226.01,998.03,650.5,486.61,572.49,449.08,1170.05,93.25,Prague - Střížkov,50.13037,14.49293,,,,,,,,1.0,,,,,,
"CZK 11,765","CZK 3,500","CZK 30,000",726796,1 bedroom,7/21/2022,7,Prefab concrete,,29 m²,Unfurnished,Good,,C,,394.4,313.67,175.31,383.79,141.75,292.26,670.19,951.65,1038.4,308.42,Prague - Troja,50.12736,14.42143,,,,,,,,,,,,,,
"CZK 13,900","CZK 3,500","CZK 18,000",452998,2+kk,8/1/2022,3,Prefab concrete,Central,42 m²,Fully furnished,Very good,Cooperative,,,199.19,604.69,271.93,210.97,144.78,253.93,199.81,678.33,604.16,297.15,"Přímětická, Prague - Michle",50.0465458,14.448318,1.0,,,,,,,,,,,,,
"CZK 8,000","CZK 2,680",CZK 0,726793,3+kk,8/1/2022,1,Brick,,85 m²,Partly,Good,,C,,122.52,1022.45,639.4,1382.08,404.72,1012.1,838.56,744.64,1143.79,247.53,Prague - Braník,50.04025,14.42222,,,,,,,,,1.0,,,,,
"CZK 13,990","CZK 3,373","CZK 17,363",726790,3+kk,7/22/2022,2,Prefab concrete,,75 m²,Unfurnished,Very good,Personal,C,,169.28,947.1,230.58,1039.31,457.15,249.74,224.32,259.26,442.17,157.99,"Jana Růžičky, Prague - Kunratice",50.02138388888,14.49002138888,1.0,,,,,,,1.0,,,,"CZK 17,363",,
"CZK 20,000","CZK 5,952","CZK 20,000",726780,3+kk,10/1/2022,4,Prefab concrete,,64 m²,Fully furnished,Good,,C,,345.23,623.49,250.81,666.17,543.85,826.38,191.26,253.62,543.85,183.03,Prague - Malešice,50.08374,14.49535,1.0,,,1.0,,,,1.0,,,,,,
"CZK 27,000","CZK 7,000","CZK 35,000",681152,4+1,8/1/2022,1,Brick,,105 m²,Unfurnished,Very good,Personal,,,187.07,752.72,530.9,744.6,319.51,522.17,541.47,162.78,321.82,308.58,"Fráni Šrámka, Prague - Smíchov",50.06948,14.3933,,,,,,,,,,,,,,
"CZK 7,000","CZK 1,500","CZK 8,500",678748,Studio,8/1/2022,2,Brick,Central,14 m²,Fully furnished,Very good,Personal,G,,0.0,1021.55,48.66,953.71,100.14,362.82,800.97,500.03,670.11,322.56,Prague - Smíchov,50.065013,14.389233,,,,,,30 - 50 years,,,,,,,,
"CZK 18,750","CZK 6,250",,726783,3+1,9/1/2022,2,,,95 m²,Fully furnished,,,,,466.73,771.87,335.23,446.49,287.19,676.95,450.22,485.71,536.82,773.21,"Řehořova, Prague - Žižkov",50.086282,14.4433901,1.0,,,,,,,,,,,,,
"CZK 14,000","CZK 1,900","CZK 14,000",726694,Studio,7/20/2022,3,Brick,,35 m²,Fully furnished,Very good,,G,,415.17,850.98,228.76,530.62,461.38,956.51,312.89,220.8,890.33,366.17,Prague - Nusle,50.05556,14.44671,1.0,,,,,,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 30,000",726778,2+kk,7/21/2022,4,Prefab concrete,,59 m²,Partly,Very good,Personal,G,,506.52,965.15,817.88,1056.93,874.33,917.23,1049.19,822.05,1590.49,873.76,Prague - Uhříněves,50.03346,14.58766,1.0,Standard,,1.0,,10 to 30 years,,1.0,,,,,,
"CZK 19,800","CZK 6,600",,726085,3+1,8/31/2022,5,,,90 m²,Fully furnished,,,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,1.0,,,,,,,,,,,,,
"CZK 18,075","CZK 6,025",,726779,2 bedroom,8/20/2022,6,,,90 m²,Fully furnished,,,,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,1.0,,,,,,,,,,,,,
"CZK 18,881","CZK 6,294",,717606,Studio,8/31/2022,1,,,28 m²,Fully furnished,,,,,192.2,792.19,136.81,285.46,92.76,475.4,242.58,336.79,507.76,82.3,"U Zeměpisného ústavu, Prague - Bubeneč",50.1033901,14.4020568,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,000",CZK 1,719872,2+kk,6/1/2022,5,Other,Central,56 m²,Fully furnished,New-build,Personal,G,,638.17,1332.4,475.67,3919.9,394.79,654.64,1156.43,3342.61,1296.61,454.54,"Honzíkova, Prague - Dolní Měcholupy",50.06755,14.55466,1.0,,,,,Up to 10 years,1.0,,1.0,1.0,1.0,,,
"CZK 12,200","CZK 2,700","CZK 15,000",725997,2+kk,7/16/2022,2,Brick,,32 m²,Partly,Very good,,G,,282.69,676.89,212.75,293.6,327.61,333.38,348.68,212.45,1120.05,292.46,Prague - Veleslavín,50.08971,14.34073,,,,,,,,,,,,,,
"CZK 19,500","CZK 5,800","CZK 39,000",726774,2+kk,7/21/2022,1,Low-energy,Central,56 m²,Partly,New-build,,B,,476.25,1252.23,589.77,904.96,375.21,638.49,345.35,710.99,1044.22,222.85,Prague - Háje,50.02447,14.52712,1.0,,,1.0,,Up to 10 years,1.0,1.0,,,1.0,,,
"CZK 13,000","CZK 4,000","CZK 17,000",726777,Small studio,8/31/2022,1,Brick,,20 m²,Partly,New-build,,G,,476.01,1797.91,1520.88,1790.57,730.58,1278.75,570.77,1430.11,944.43,214.45,Prague - Hodkovičky,50.02584,14.40784,,,,,,,1.0,,,1.0,,,,
"CZK 25,500","CZK 4,000","CZK 60,000",611255,2+kk,9/1/2022,2,Brick,Gas boiler,50 m²,Partly,Very good,Personal,G,,228.14,583.81,118.21,272.29,4.57,92.92,188.84,737.14,215.8,175.76,"Mařákova, Prague - Dejvice",50.098672,14.403115,,Luxurious,Complete,,,Up to 10 years,,,,,,,,
"CZK 12,000",CZK 300,"CZK 12,000",523543,6+1,6/13/2022,4,Brick,,130 m²,Fully furnished,,Personal,,,247.3,334.94,287.76,345.77,91.45,381.84,241.84,1025.19,885.8,264.59,"Janáčkovo nábřeží, Prague - Smíchov",50.0773068,14.4080995,,,Exterior,,,,,,,,,,,
"CZK 32,000","CZK 3,000","CZK 50,000",274535,4+kk,6/13/2022,5,Brick,,115 m²,Unfurnished,,Personal,G,,268.89,361.67,324.24,338.71,244.49,188.79,798.6,134.56,640.61,219.58,"Generála Píky, Prague - Dejvice",50.0983156,14.3920081,,,Interior,1.0,,Over 50 years,,1.0,,1.0,,,,
"CZK 28,000","CZK 9,000","CZK 38,000",322699,4+kk,8/1/2022,4,Brick,Central,110 m²,Partly,New-build,Personal,A,,227.08,1365.83,680.53,1273.33,259.03,1331.61,1498.19,1483.67,1463.26,198.92,Prague - Hlubočepy,50.0314899,14.3921594,1.0,Luxurious,,,,,1.0,1.0,,1.0,,,,
"CZK 13,250",CZK 850,"CZK 14,100",664957,2+kk,8/1/2022,2,Other,,40 m²,Partly,Very good,Personal,C,,139.53,502.34,51.47,472.76,4.8,220.98,203.94,212.65,451.44,223.29,"Křižíkova, Prague - Karlín",50.09095,14.44347,,,Complete,,,,,,,,,,,
"CZK 23,500","CZK 5,400","CZK 30,000",598794,4+kk,8/1/2022,4,Prefab concrete,Distance,79 m²,Fully furnished,Very good,Personal,G,1.0,264.7,734.58,144.69,672.95,345.47,315.1,483.66,292.84,491.49,212.36,"Vysočanská, Prague - Střížkov",50.124551,14.490263,1.0,Luxurious,Complete,,,,,,,,,,,
"CZK 55,000",CZK 133,"CZK 110,000",711719,2+kk,8/1/2022,4,Brick,,99 m²,Fully furnished,Very good,Personal,A,,,,,,,,,,,,"Francouzská, Prague - Vinohrady",50.07202,14.44518,1.0,,,,,,1.0,1.0,,,,,,
"CZK 17,640","CZK 5,880",,726762,2+kk,7/23/2022,-1,,,35 m²,Fully furnished,,,,,36.05,792.81,20.0,597.08,172.08,638.36,366.32,329.81,486.26,346.96,"Dvacátého osmého pluku, Prague - Vršovice",50.0707338,14.4627954,1.0,,,,,,,1.0,1.0,,,,,
"CZK 26,250","CZK 8,750",,726761,4+1,8/5/2022,6,,,120 m²,Fully furnished,,,,,469.22,761.02,346.03,457.3,297.99,666.11,439.37,474.87,525.98,781.4,"Řehořova, Prague - Žižkov",50.0862376,14.4435427,1.0,,,,,,,1.0,1.0,,,,,
"CZK 34,500","CZK 11,500",,721077,2+kk,8/14/2022,6,,,45 m²,Fully furnished,,,,,149.44,274.13,59.7,440.76,20.27,421.03,58.77,552.06,690.27,456.83,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,1.0,,,,,,,,,,,,,
"CZK 32,000","CZK 6,000","CZK 38,000",724619,2+kk,7/4/2022,4,Brick,,83 m²,Unfurnished,Very good,,G,,344.33,616.92,69.31,274.61,44.69,137.75,322.3,866.01,188.27,454.99,Prague - Karlín,50.0938,14.45505,1.0,,,,,,,,,,,,,
"CZK 57,000","CZK 8,830","CZK 65,830",720855,4+kk,6/2/2022,3,Brick,,110 m²,Unfurnished,Very good,,G,,91.01,254.74,137.58,110.13,57.48,149.86,319.23,477.31,263.02,386.4,Prague - Nové Město,50.08676,14.43233,1.0,,,1.0,,,,1.0,,1.0,,,,
"CZK 18,500","CZK 3,200","CZK 18,500",726712,2+kk,9/1/2022,3,Brick,Gas boiler,48 m²,Fully furnished,Very good,Personal,G,,377.27,458.36,113.27,344.31,202.32,382.95,340.1,554.87,710.09,366.4,Prague - Žižkov,50.0818,14.45229,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",,718594,1 bedroom,7/23/2022,3,,,45 m²,Fully furnished,,,,,154.88,368.87,146.98,651.03,45.07,545.33,204.63,327.9,671.18,484.21,"Jana Masaryka, Prague - Vinohrady",50.0723321,14.4399493,1.0,,,,,,,,,,,,,
"CZK 36,000","CZK 6,000","CZK 42,000",724642,2 bedroom,7/4/2022,3,Brick,,72 m²,Unfurnished,Very good,,G,,190.62,241.74,3.79,258.03,141.41,283.34,114.97,303.2,637.85,149.7,Prague - Vinohrady,50.07889,14.4503,1.0,,,,,,,1.0,,,1.0,,,
"CZK 22,900","CZK 4,500","CZK 45,800",725359,2 bedroom,7/23/2022,1,Brick,,80 m²,Partly,Very good,,C,,379.01,2220.31,438.76,1628.78,367.87,1674.19,2055.82,2977.16,401.69,189.22,Prague - Hostavice,50.08462,14.55603,,Luxurious,,,,10 to 30 years,,1.0,1.0,,,,,
"CZK 41,250","CZK 13,750",,719999,2+kk,7/31/2022,1,,,55 m²,Fully furnished,,,,,76.78,951.56,41.94,296.91,109.07,229.41,371.34,325.8,517.82,388.28,"Rečkova, Prague - Žižkov",50.0904334,14.4705869,1.0,,,,,,,,,,,,,
"CZK 45,000","CZK 15,000",,723086,2+kk,7/25/2022,4,,,70 m²,Fully furnished,,,,,285.3,547.87,69.97,206.93,9.84,222.16,245.36,617.77,369.53,523.86,"Ve Smečkách, Prague - Nové Město",50.0795975,14.4273504,1.0,,,,,,,,,,,,,
"CZK 74,813","CZK 24,937",,722375,4+1,8/23/2022,3,,,136 m²,Fully furnished,,,,,305.35,609.48,123.44,435.97,59.26,202.94,375.9,628.46,401.54,92.23,"Betlémská, Prague - Staré Město",50.0837893,14.416317,1.0,,,,,,,,,,,,,
"CZK 28,425","CZK 9,475",,721648,Studio,7/23/2022,2,,,30 m²,Fully furnished,,,,,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,1.0,,,,,,,,,,,,,
"CZK 33,825","CZK 11,275",,726074,2 bedroom,9/15/2022,5,,,70 m²,Fully furnished,,,,,285.02,1187.16,200.89,227.74,84.78,244.35,168.54,468.48,402.84,169.45,"Neklanova, Prague - Vyšehrad",50.0668376,14.4198946,,,,,,,,,,,,,,
"CZK 21,675","CZK 7,225",,725888,Studio,9/18/2022,2,,,35 m²,Fully furnished,,,,,233.1,571.46,103.21,275.27,139.29,314.88,470.1,600.61,643.99,585.85,"Mojmírova, Prague - Nusle",50.0630016,14.4450348,1.0,,,,,,,,,,,,,
"CZK 15,500","CZK 2,000","CZK 15,500",151330,2+kk,9/1/2022,4,Brick,Distance,47 m²,Unfurnished,,Personal,,,139.92,627.72,61.14,507.47,222.35,316.34,57.9,966.43,408.76,64.74,"Ortenovo náměstí, Prague - Holešovice",50.1086316,14.447859,,Standard,,,,Up to 10 years,,,,,,,,
"CZK 37,125","CZK 12,375",,726070,2 bedroom,8/31/2022,2,,,90 m²,Fully furnished,,,,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,1.0,,,,,,,,,,,,,
"CZK 12,000","CZK 5,000","CZK 12,000",726748,1 bedroom,7/21/2022,4,Brick,,43 m²,Partly,Good,,G,,241.24,968.69,180.56,1030.52,320.29,680.36,549.92,605.83,657.65,364.25,Prague - Michle,50.04361,14.46353,,,,,,,,,,,,,,
"CZK 10,500","CZK 2,500","CZK 21,000",726727,1 bedroom,7/21/2022,4,Prefab concrete,,32 m²,Partly,Good,,G,1.0,335.07,589.94,203.34,490.57,272.38,255.37,249.48,103.14,1050.25,44.47,Prague - Střížkov,50.12665,14.49526,1.0,,,,,,,,,,,,,
"CZK 13,000","CZK 4,000","CZK 17,000",726726,2 bedroom,8/1/2022,4,Prefab concrete,Central,54 m²,Partly,Good,,G,1.0,285.16,370.51,360.23,448.24,235.12,366.46,776.47,868.53,680.09,215.76,Prague - Záběhlice,50.0545,14.51377,1.0,,Bathroom unit,1.0,,30 - 50 years,,,,,,,,
"CZK 11,000","CZK 2,100","CZK 13,100",726724,1 bedroom,7/20/2022,8,Prefab concrete,,35 m²,Partly,Very good,,D,,218.5,978.72,232.06,501.62,518.54,504.29,182.89,264.21,341.09,424.32,Prague - Letňany,50.13374,14.50727,1.0,,,1.0,,,,1.0,,,,,,
"CZK 42,075","CZK 14,025",,726062,2 bedroom,8/30/2022,6,,,80 m²,Fully furnished,,,,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,1.0,,,,,,,,,,,,,
"CZK 19,000",CZK 0,"CZK 28,500",726718,3+kk,7/20/2022,2,Brick,,69 m²,Partly,Good,,G,,257.56,309.27,119.48,238.77,72.03,50.08,301.56,602.37,114.84,495.57,Prague - Bubeneč,50.10102,14.42628,1.0,,,1.0,,,,,,,,,,
"CZK 22,000","CZK 3,000","CZK 22,000",726719,2 bedroom,7/20/2022,1,Brick,,54 m²,Partly,Very good,,G,,207.27,1557.89,131.92,938.53,269.58,1472.06,701.47,365.52,399.67,247.03,Prague - Liboc,50.0918,14.32846,,,,1.0,,,,,,1.0,,,,
"CZK 26,000","CZK 4,000","CZK 26,000",726412,3+kk,9/1/2022,1,Brick,,55 m²,Partly,Very good,Personal,G,,110.56,129.83,135.71,231.47,30.61,425.17,229.3,557.24,377.32,204.43,Prague - Malá Strana,50.07962,14.40458,,,,1.0,,,,1.0,,,,,,
"CZK 23,000","CZK 1,800","CZK 46,000",726711,3+kk,7/20/2022,4,Brick,,80 m²,Partly,Good,,G,,300.87,874.78,169.37,280.63,51.78,528.14,649.99,565.19,776.48,568.23,Prague - Žižkov,50.08594,14.43948,1.0,,,,,,,,,,1.0,,,
"CZK 18,500","CZK 4,450","CZK 30,000",250589,2+kk,10/1/2022,5,Brick,Central,56 m²,Fully furnished,,Personal,,,112.37,1728.65,273.39,1403.19,946.88,435.04,746.81,1137.95,841.46,132.08,"Podkovářská, Prague - Vysočany",50.1035853,14.5128379,1.0,Standard,,1.0,,10 to 30 years,,1.0,,,1.0,,,
"CZK 12,800","CZK 2,700","CZK 25,600",574714,Studio,8/1/2022,5,Brick,,42 m²,Fully furnished,New-build,Personal,B,,379.23,661.81,1037.58,1240.77,249.85,777.99,1026.42,950.71,146.76,248.94,Prague - Letňany,50.1409392,14.5191286,1.0,,,,,,,1.0,,,,,,
"CZK 11,000","CZK 2,500","CZK 13,500",723936,Small studio,7/1/2022,,Brick,Electric boiler,20 m²,Fully furnished,New-build,,C,,294.42,595.44,95.3,370.38,20.25,526.88,508.84,415.42,616.27,206.02,Prague - Žižkov,50.08013,14.45882,,Standard,,,,Up to 10 years,1.0,,,1.0,,,,
"CZK 15,000","CZK 4,000","CZK 19,000",608603,1 bedroom,7/17/2022,1,Brick,,31 m²,Fully furnished,Very good,Personal,G,,456.0,788.24,63.08,304.62,66.11,392.4,326.9,178.12,380.28,317.56,"Podskalská, Prague - Nové Město",50.070208,14.415621,1.0,,,,,,,,,,,,,
"CZK 14,500","CZK 2,500","CZK 18,000",628997,Studio,7/21/2022,2,Brick,Central,27 m²,Partly,Very good,Personal,A,,362.81,259.2,126.77,286.13,118.18,279.99,159.44,215.84,295.88,466.72,"Vlkova, Prague - Žižkov",50.083992,14.448523,,Luxurious,Complete,,,Up to 10 years,,,,,,,,
"CZK 11,900","CZK 3,000","CZK 20,000",617653,Studio,7/23/2022,,Brick,Central,31 m²,Fully furnished,New-build,Personal,B,,152.22,1042.16,136.95,723.59,474.95,848.23,269.24,2117.47,1099.66,20.47,"Míšovická, Prague - Zličín",50.05692975,14.28357805,1.0,,,1.0,,Up to 10 years,1.0,,,1.0,1.0,,,
"CZK 21,263","CZK 7,087",,726707,Studio,9/16/2022,2,,,25 m²,Fully furnished,,,,,16.14,571.72,591.99,168.66,78.25,107.06,473.95,660.34,685.7,384.9,"Stroupežnického, Prague - Smíchov",50.0713827,14.4031506,,,,,,,,,,,,,,
"CZK 14,000","CZK 2,500","CZK 28,000",726703,1 bedroom,8/1/2022,2,Brick,,43 m²,Partly,Very good,,G,,127.71,1008.93,345.04,790.83,220.19,759.09,476.6,451.2,657.14,226.68,Prague - Nusle,50.05823,14.44272,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,000","CZK 12,000",726701,Small studio,7/20/2022,2,Brick,,30 m²,Partly,Very good,,G,,252.15,174.67,201.91,195.35,157.71,187.08,81.76,421.52,87.59,299.91,Prague - Strašnice,50.07473,14.49243,,,,1.0,,,,,,,,,,
"CZK 14,000","CZK 3,000","CZK 17,000",725963,2+kk,8/1/2022,2,Prefab concrete,,40 m²,Partly,Very good,,A,,229.49,848.48,168.81,434.26,164.33,658.74,923.53,186.34,452.57,150.17,Prague - Krč,50.04078,14.43483,,,,,,,,1.0,,,,,,
"CZK 25,000","CZK 3,700","CZK 25,000",725937,Studio,8/1/2022,5,Brick,Electric boiler,27 m²,Fully furnished,New-build,,D,,185.24,329.01,194.37,186.19,90.06,377.21,518.65,520.95,413.15,566.37,Prague - Vinohrady,50.07794,14.43242,1.0,Luxurious,Complete,,,,1.0,,,,,,,
