Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Ownership Type,Building Type,New building,Age,Design,Heating,Total number of floors,PENB,Condition,Renovation,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
718266,"CZK 18,000",50.08852,14.4588,"Koněvova, Prague - Žižkov",1 bedroom,51 m²,"CZK 5,000",Furnished,3,No,No,No,No,Yes,No,No,01. 07. 2022,153,308,153,436,141,242,370,540,58,374,"CZK 12,000",Personal,Brick building,,,,,,B,New build,,,,,,,
652128,"CZK 14,000",50.14469,14.437819,"Zaječická, Prague - Čimice",1 bedroom with open-plan kitchen,54 m²,"CZK 3,500",Furnished,1,Yes,No,No,No,Yes,No,Yes,01. 06. 2022,126,"1,146",511,615,"1,206",629,749,529,,,"CZK 2,800",Personal,Brick building,Yes,10 to 30 years years,Premium materials and solutions,Central heating,,A,Excellent,,,,,,,
718811,"CZK 13,500",50.02852,14.36832,"Wassermannova, Prague - Hlubočepy",Studio,37 m²,"CZK 2,500",Partially furnished,1,No,No,Yes,No,No,Yes,No,16. 05. 2022,164,"1,064",291,"1,055",236,"1,053",0,431,355,300,"CZK 20,000",Personal,Brick building,,,,,,A,New build,,,,,,,
688162,"CZK 18,500",50.0430221,14.4610878,"Jihlavská, Prague - Michle",2 bedroom with open-plan kitchen,67 m²,"CZK 1,500",Partially furnished,4,No,No,No,No,No,Yes,No,01. 06. 2022,158,788,313,817,38,212,667,721,681,351,"CZK 35,000",Personal,Brick building,,,,,,C,Excellent,,,,,,,
718809,"CZK 9,000",50.01257,14.42,"Mazancova, Prague - Modřany",1 bedroom with open-plan kitchen,54 m²,"CZK 5,000",Partially furnished,2,No,No,Yes,No,No,Yes,No,17. 05. 2022,195,"1,127",141,"1,029",896,"1,054",270,224,962,239,"CZK 14,000",Personal,Prefab concrete building,,,,,,G,Good,,,,,,,
718810,"CZK 9,900",50.1276,14.4148,"Mazurská, Prague - Troja",Studio,30 m²,"CZK 3,200",Partially furnished,3,No,No,Yes,No,No,Yes,No,16. 06. 2022,95,322,217,257,257,172,345,553,384,,"CZK 9,900",Personal,Prefab concrete building,,,,,,B,Good,,,,,,,
632286,"CZK 28,000",50.068862,14.438625,"Perucká, Prague - Vinohrady",2 bedroom,99 m²,"CZK 2,250",Partially furnished,2,No,No,No,No,Yes,No,No,13. 11. 2020,473,592,371,838,398,798,459,380,620,680,"CZK 35,000",Personal,Brick building,,,,,,G,Good,,,,,,,
716466,"CZK 13,000",50.07675,14.45756,"Libická, Prague - Vinohrady",Studio,23 m²,"CZK 1,500",Furnished,5,No,Yes,No,No,No,Yes,No,29. 05. 2022,113,485,133,101,171,302,361,438,820,377,"CZK 21,000",Personal,Brick building,,,Premium materials and solutions,,,A,Excellent,Overall,,,,,,
542357,"CZK 10,500",50.0718204,14.4569012,"Bulharská, Prague - Vršovice",1 bedroom,47 m²,"CZK 1,010",Unfurnished,1,No,No,No,No,No,No,No,01. 06. 2022,187,648,75,424,143,422,117,304,686,275,"CZK 21,000",Personal,Brick building,,10 to 30 years years,Standard materials and solutions,Electric boiler,Middle floor,,Good,Interior,,,,,,
718797,"CZK 17,500",50.10562,14.54546,"Slévačská, Prague - Hloubětín",1 bedroom with open-plan kitchen,56 m²,"CZK 4,500",Furnished,3,No,Yes,Yes,No,Yes,Yes,Yes,01. 07. 2022,252,696,157,715,324,768,315,440,893,246,"CZK 30,000",Personal,Brick building,,,,,,A,Excellent,,,,,,,
718794,"CZK 26,933",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",Studio,50 m²,"CZK 8,977",Furnished,1,No,No,No,No,No,Yes,Yes,01. 06. 2022,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,,,,,,
718789,"CZK 13,990",50.04469388888,14.30318083333,"Ferrariho, Prague - Stodůlky",Studio,39 m²,"CZK 3,655",Unfurnished,2,No,No,No,No,Yes,Yes,No,,270,209,261,243,"1,040","1,137",743,903,196,,"CZK 17,645",Cooperative,Other,Yes,,,,,B,New build,,,"CZK 17,645

                                
                                
                
i",,,,
718787,"CZK 26,000",50.08615,14.40739,"Velkopřevorské náměstí, Prague - Malá Strana",2 bedroom,80 m²,"CZK 1,500",Furnished,2,No,No,No,No,No,No,No,01. 06. 2022,388,361,222,333,41,622,411,618,683,240,"CZK 27,500",Personal,Brick building,,,,,,G,Good,,,,,,,
688668,"CZK 19,500",50.07413,14.3961,"Holečkova, Prague - Smíchov",Studio,40 m²,"CZK 3,000",Furnished,3,Yes,No,Yes,No,No,Yes,No,01. 06. 2022,70,937,289,648,121,632,234,"1,083","1,005",390,"CZK 40,000",Personal,Brick building,,,,,,G,New build,,,,,,,
718728,"CZK 19,500",50.01368,14.40018,"Vorařská, Prague - Modřany",1 bedroom with open-plan kitchen,73 m²,"CZK 2,300",Partially furnished,4,No,No,Yes,No,No,Yes,Yes,16. 05. 2022,229,"1,162",346,"1,458",876,"1,467","1,212",798,,,"CZK 20,000",Personal,Brick building,,,,,,C,Excellent,,,,,,,
718784,"CZK 7,500",50.0469838,14.5164035,"Vajdova, Prague - Hostivař",Studio,30 m²,"CZK 2,600",Partially furnished,8,No,No,No,No,No,Yes,No,17. 05. 2022,109,"1,445",267,"1,407",415,231,788,164,"1,278",139,"CZK 7,500",Cooperative,Prefab concrete building,,,,,,B,Good,,,,,,,
673049,"CZK 16,000",50.0392667,14.3313304,Prague - Stodůlky,1 bedroom with open-plan kitchen,43 m²,"CZK 4,000",Partially furnished,1,No,No,No,No,No,No,No,15. 05. 2022,340,883,374,854,434,493,633,"1,044",370,422,"CZK 16,000",Cooperative,Brick building,,,,,,C,Excellent,,,,,,,
718780,"CZK 45,000",50.07689,14.43612,"Římská, Prague - Vinohrady",3 bedroom,100 m²,"CZK 8,000",Partially furnished,1,Yes,No,No,No,No,Yes,No,16. 05. 2022,68,135,134,165,64,177,430,545,596,771,,Cooperative,Brick building,,,,,,E,Excellent,,,,,,,
718485,"CZK 34,128",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",1 bedroom,42 m²,"CZK 11,376",Furnished,5,No,No,No,No,No,Yes,Yes,01. 06. 2022,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,,,,,,
454800,"CZK 18,500",50.0773435,14.4009876,"Holečkova, Prague - Smíchov",2 bedroom with open-plan kitchen,83 m²,CZK 800,Partially furnished,2,No,No,No,No,No,No,No,01. 06. 2022,188,514,319,533,229,506,480,942,762,354,"CZK 30,000",Personal,Brick building,,,,,,,,,,,,,,
583444,"CZK 20,000",50.072159,14.43939,"Jana Masaryka, Prague - Vinohrady",1 bedroom,51 m²,"CZK 1,000",Furnished,1,No,No,No,No,No,No,No,18. 05. 2022,201,375,130,663,62,551,158,334,716,529,"CZK 20,000",Personal,Brick building,,,,,,G,Good,,,,,,,
718775,"CZK 13,000",50.10853,14.53625,"Zelenečská, Prague - Hloubětín",2 bedroom,54 m²,"CZK 2,500",Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 06. 2022,344,442,227,423,339,259,325,98,640,97,"CZK 13,000",Personal,Brick building,,,Standard materials and solutions,District heating,Middle floor,G,Excellent,Exterior,,,,,,
718774,"CZK 42,000",50.10506,14.45906,"Sanderova, Prague - Holešovice",2 bedroom with open-plan kitchen,150 m²,"CZK 7,000",Furnished,6,Yes,Yes,Yes,No,Yes,Yes,Yes,01. 06. 2022,526,"1,137",655,737,465,613,"1,085","1,047",524,235,"CZK 84,000",Personal,Brick building,,,,,,A,New build,,,,,,,
568565,"CZK 16,000",50.0710169,14.4493407,"Černomořská, Prague - Vršovice",1 bedroom with open-plan kitchen,42 m²,CZK 650,Furnished,2,No,No,Yes,No,No,No,No,01. 07. 2022,238,775,246,322,154,512,292,531,296,389,"CZK 25,000",Personal,Brick building,,,,,,,,,,,,,,
718360,"CZK 45,000",50.0795975,14.4273504,"Ve Smečkách, Prague - Nové Město",1 bedroom with open-plan kitchen,70 m²,"CZK 15,000",Furnished,4,No,No,No,No,No,Yes,No,03. 07. 2022,285,548,70,207,10,222,245,618,370,524,,,,,,,,,,,,,,,,,
350172,"CZK 16,000",50.0313256324,14.3923930653,"Lumiérů, Prague - Hlubočepy",2 bedroom,46 m²,"CZK 3,800",Furnished,4,Yes,Yes,No,No,No,No,No,01. 07. 2022,9,"1,359",674,"1,266",127,"1,325","1,491","1,477","1,456",182,"CZK 30,000",Personal,Brick building,,10 to 30 years years,Standard materials and solutions,Central heating,Top floor,,,Interior,,,,,,
718770,"CZK 21,000",50.07468,14.3949,"Švédská, Prague - Smíchov",1 bedroom with open-plan kitchen,65 m²,"CZK 1,700",Furnished,5,Yes,No,Yes,No,Yes,Yes,Yes,16. 05. 2022,52,989,268,730,310,684,316,930,"1,088",443,"CZK 42,000",Personal,Low-energy building,,1 to 10 years years,Premium materials and solutions,Gas boiler,Middle floor,B,New build,,,,,,,
505453,"CZK 14,000",50.1075991,14.377906,"Fetrovská, Prague - Dejvice",1 bedroom,42 m²,"CZK 2,000",Unfurnished,,No,No,No,No,No,No,No,,368,601,"1,396",437,740,366,192,460,176,,"CZK 14,000",Personal,Brick building,,,,,,,Excellent,,,,,,,
642466,"CZK 30,000",50.016075,14.5309,"Na Formance, Prague - Újezd u Průhonic",2 bedroom with open-plan kitchen,135 m²,"CZK 5,500",Furnished,3,No,Yes,No,No,No,No,Yes,01. 06. 2022,164,"1,397","1,016",847,834,,,,,,"CZK 50,000",Personal,Other,,,,,,E,Excellent,,,,,,,
593841,"CZK 20,000",50.086497,14.503346,"Univerzitní, Prague - Malešice",1 bedroom with open-plan kitchen,56 m²,"CZK 4,500",Partially furnished,3,Yes,No,No,No,Yes,Yes,Yes,20. 05. 2022,283,734,764,834,562,939,698,504,770,448,"CZK 20,000",Personal,Brick building,Yes,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,G,New build,,,,,,,
666825,"CZK 15,000",50.04542,14.45545,"Bítovská, Prague - Michle",Studio,24 m²,"CZK 3,000",Furnished,8,No,No,No,No,No,Yes,No,01. 09. 2022,284,478,434,537,228,466,430,303,390,47,"CZK 27,000",Personal,Prefab concrete building,,,,District heating,Middle floor,C,Excellent,Interior,,,,,,
718764,"CZK 15,500",50.064779,14.5525555,"Františka Jansy, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,53 m²,"CZK 4,500",Partially furnished,2,No,No,No,Yes,No,Yes,No,16. 05. 2022,150,845,468,387,639,"1,165",809,100,,,"CZK 15,500",Cooperative,Brick building,,,,,,B,New build,,,,,,,
718761,"CZK 18,000",50.06652,14.42064,"Neklanova, Prague - Vyšehrad",1 bedroom with open-plan kitchen,39 m²,"CZK 3,000",Furnished,3,No,No,No,No,No,Yes,No,01. 06. 2022,171,"1,124",139,165,146,202,231,472,432,499,"CZK 18,000",Personal,Brick building,,,,,,G,Excellent,,,,,,,
665746,"CZK 26,000",50.10527,14.44355,"Argentinská, Prague - Holešovice",1 bedroom with open-plan kitchen,60 m²,"CZK 3,000",Furnished,7,No,Yes,Yes,No,Yes,Yes,No,17. 05. 2022,185,451,296,464,326,319,626,804,173,345,,Personal,Brick building,Yes,,,,,A,New build,,,,,,,
608900,"CZK 10,500",50.091779,14.345917,"Krásného, Prague - Veleslavín",Studio,36 m²,"CZK 4,200",Partially furnished,,No,No,Yes,No,No,No,No,01. 07. 2022,221,429,172,386,391,331,260,255,736,150,"CZK 15,000",Personal,Brick building,,,Standard materials and solutions,,Ground floor,C,Excellent,Bathroom unit,,,,,,
714255,"CZK 19,000",50.07202,14.44518,"Francouzská, Prague - Vinohrady",Studio,40 m²,CZK 133,Unfurnished,1,No,Yes,No,No,No,No,No,12. 05. 2022,,,,,,,,,,,"CZK 38,000",Personal,Brick building,Yes,,,,,A,Excellent,,,,Luka Residential s.r.o.,Luka Living Rental apartments,F003,
684383,"CZK 20,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",1 bedroom with open-plan kitchen,50 m²,CZK 133,Unfurnished,11,No,Yes,Yes,No,Yes,Yes,No,07. 06. 2022,,,,,,,,,,,"CZK 40,000",Personal,Other,Yes,1 to 10 years years,Premium materials and solutions,,Middle floor,A,Excellent,,,,Luka Residential s.r.o.,Luka Living Rental apartments,1105,
529488,"CZK 13,500",50.1262383,14.4196594,"Hnězdenská, Prague - Troja",Studio,43 m²,"CZK 3,500",Furnished,6,Yes,No,No,No,No,No,No,01. 06. 2022,201,261,286,331,155,306,791,981,"1,324",433,"CZK 34,000",Personal,Other,,,,,,,,,,,,,,
453760,"CZK 18,000",50.0712513,14.3890549,"Vrchlického, Prague - Košíře",1 bedroom with open-plan kitchen,50 m²,"CZK 4,000",Partially furnished,4,No,No,Yes,No,No,Yes,No,01. 06. 2022,184,"1,018",121,911,79,"1,061",575,924,"1,107",162,"CZK 35,000",Personal,Other,,,,,,,,,,,,,,
565625,"CZK 17,900",50.1078897,14.4749561,"Andrštova, Prague - Libeň",1 bedroom with open-plan kitchen,44 m²,CZK 700,Partially furnished,2,No,No,No,No,Yes,Yes,No,17. 06. 2022,351,720,197,394,208,401,333,543,420,276,"CZK 35,800",Personal,Brick building,,,Premium materials and solutions,Gas boiler,Middle floor,B,,Overall,,,,,,
718741,"CZK 12,000",50.07597,14.32918,"Bubnova, Prague - Břevnov",1 bedroom with open-plan kitchen,70 m²,"CZK 5,000",Partially furnished,2,No,No,No,No,No,No,No,01. 06. 2022,220,438,531,"1,099",633,"1,002",421,,,,"CZK 17,000",Personal,Brick building,,,,Gas boiler,Attic,D,Good,Interior,,,,,,
30826,"CZK 14,000",50.0562157532,14.5220911503,"Pražská, Prague - Hostivař",2 bedroom,63 m²,"CZK 6,000",Furnished,3,Yes,No,Yes,No,Yes,Yes,No,16. 05. 2022,198,690,414,653,675,694,"1,120",923,679,93,"CZK 20,000",Personal,Prefab concrete building,,10 to 30 years years,Standard materials and solutions,District heating,Middle floor,G,Excellent,Overall,,,,,,
573409,"CZK 14,900",50.0993953,14.4314036,"Milady Horákové, Prague - Holešovice",Studio,36 m²,"CZK 3,900",Furnished,4,No,No,No,No,No,No,No,,99,631,70,39,99,66,172,86,417,,"CZK 18,798",Personal,Brick building,,,Premium materials and solutions,Central heating,,C,Excellent,Overall,,,,,,
690639,"CZK 11,500",50.0869795,14.4446955,"Husitská, Prague - Žižkov",1 bedroom with open-plan kitchen,40 m²,CZK 750,Partially furnished,3,No,No,No,Yes,No,No,No,01. 05. 2022,151,665,424,620,142,633,400,440,482,450,"CZK 12,250",Personal,Brick building,,,Standard materials and solutions,Electric boiler,,G,Excellent,Overall,,,,,,
718737,"CZK 29,000",50.11347,14.39006,"Paťanka, Prague - Dejvice",2 bedroom with open-plan kitchen,79 m²,"CZK 5,000",Furnished,5,No,Yes,No,No,Yes,Yes,No,01. 06. 2022,450,356,"1,393",262,"1,121","1,009",510,168,744,,"CZK 29,000",Personal,Brick building,,10 to 30 years years,Premium materials and solutions,District heating,Middle floor,G,Excellent,,,,,,,
718735,"CZK 22,000",50.05312,14.51396,"Kamelova, Prague - Záběhlice",2 bedroom with open-plan kitchen,88 m²,"CZK 4,600",Partially furnished,3,Yes,No,No,No,No,Yes,Yes,01. 07. 2022,340,325,314,273,95,321,959,"1,179",671,256,"CZK 22,000",Personal,Brick building,,,,,,A,Excellent,,,,,,,
718734,"CZK 15,000",50.0203,14.45305,"Štúrova, Prague - Krč",1 bedroom with open-plan kitchen,50 m²,"CZK 4,000",Furnished,13,No,No,No,Yes,Yes,Yes,No,01. 06. 2022,248,361,245,432,290,974,"1,069",895,656,,"CZK 35,000",Personal,Prefab concrete building,,,,,,E,Good,,,,,,,
208559,"CZK 21,000",50.0715554,14.4419613,"Na Kozačce, Prague - Vinohrady",Studio,32 m²,"CZK 1,552",Furnished,1,No,No,No,No,No,No,No,23. 05. 2022,269,477,154,839,109,771,424,205,580,295,"CZK 30,000",Personal,Brick building,,,,,,,Excellent,,,,,,,
