Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Heating,Condition,Ownership,Age,Balcony,Parking,New-build,Terrace,Reconstruction,EPC,Designe,Cellar,Garage,Domácí mazlíčci vítáni,Enclosed balcony,Administrative fee
"CZK 20,000","CZK 6,000",730774,2+kk,8/22/2022,63 m²,Fully furnished,3,1.0,158.74,1188.58,757.59,1555.19,328.52,591.88,877.03,1380.22,1106.35,584.36,Prague - Horní Počernice,50.10818,14.60192,"CZK 40,000",Brick,,Good,,,1.0,,,,,G,,1.0,1.0,,,
"CZK 17,000","CZK 5,000",665598,3+1,9/1/2022,70 m²,Partly,6,1.0,60.45,406.53,148.91,385.23,453.89,409.45,628.8,299.94,817.12,295.0,Prague - Lhotka,50.0231546,14.4388284,"CZK 34,000",Prefab concrete,Distance,Very good,Personal,,,1.0,,,Complete,A,Standard,,,,1.0,
"CZK 16,000","CZK 1,000",697622,1 bedroom,9/1/2022,42 m²,Partly,2,,292.69,656.94,498.74,327.69,154.18,1254.37,385.86,685.76,207.05,339.6,"Pod Stárkou, Prague - Michle",50.0576031,14.4536973,"CZK 17,000",Low-energy,,New-build,Personal,,1.0,1.0,,1.0,,B,Luxurious,,,,1.0,
"CZK 8,000","CZK 2,500",729444,3+1,8/10/2022,63 m²,Fully furnished,5,1.0,104.67,745.53,173.45,868.68,402.1,153.89,477.35,366.26,945.52,155.81,Prague - Chodov,50.02711,14.52102,"CZK 31,500",Prefab concrete,,Very good,,,,,,,,G,,1.0,,,1.0,
"CZK 14,900","CZK 3,500",730755,2+kk,8/22/2022,43 m²,Partly,4,,198.02,1003.12,215.83,1191.11,171.61,335.89,625.08,714.44,1142.37,275.55,Prague - Košíře,50.07016,14.38685,"CZK 14,900",Brick,Central,New-build,,,,,,1.0,Complete,G,Standard,,,,,
"CZK 13,000","CZK 2,500",112065,Small studio,,32 m²,Fully furnished,3,1.0,295.27,769.79,360.39,695.89,310.63,789.36,458.91,343.44,592.3,202.7,"Ruská 90, Prague - Vršovice",50.0729513923,14.4642949104,"CZK 11,000",Brick,Gas boiler,Very good,Cooperative,,,,,,Complete,C,Standard,1.0,,,,
"CZK 18,000","CZK 6,000",730751,3+1,9/1/2022,74 m²,Partly,7,,470.4,578.25,456.92,542.52,449.65,680.13,226.91,329.24,961.92,141.08,Prague - Řepy,50.06267,14.30506,"CZK 48,000",Prefab concrete,,Very good,,,,,,,,A,,,,,1.0,
"CZK 22,000","CZK 3,000",600303,2+kk,9/1/2022,60 m²,Fully furnished,4,1.0,209.59,223.23,37.16,194.83,38.85,132.16,95.36,317.71,278.11,367.81,"Štítného, Prague - Žižkov",50.085184,14.452429,"CZK 23,000",Brick,,Very good,Personal,Up to 10 years,1.0,,,,Complete,A,Standard,,,,,
"CZK 15,000","CZK 4,500",730732,2+kk,8/21/2022,38 m²,Fully furnished,3,,107.31,904.74,281.52,438.87,355.35,401.47,708.13,668.16,544.73,237.67,Prague - Prosek,50.11621,14.50202,"CZK 30,000",Brick,,Very good,Cooperative,,,,,,,G,,1.0,,,,
"CZK 10,500","CZK 3,000",516182,1 bedroom,9/1/2022,33 m²,Partly,1,,167.79,1120.14,581.0,1043.2,374.35,816.86,541.38,694.22,765.96,510.52,"K Mostku, Prague - Řepy",50.0715636,14.3005907,"CZK 15,000",Brick,,Very good,Personal,,,,,,,,,,,,,
"CZK 18,000","CZK 4,000",730729,2+kk,8/21/2022,42 m²,Fully furnished,2,1.0,142.01,314.5,268.56,2635.66,318.83,312.14,379.46,1691.27,1244.29,72.32,Prague - Ruzyně,50.0892,14.30693,"CZK 22,000",Prefab concrete,,Very good,,,,1.0,,,,G,,,,,,
"CZK 21,000","CZK 3,900",484018,2+kk,9/1/2022,64 m²,Fully furnished,2,1.0,147.73,398.09,319.69,406.32,74.93,392.19,463.28,254.94,377.71,263.55,"Na Žertvách, Prague - Libeň",50.1051921,14.4782886,"CZK 35,000",Brick,,Very good,,,1.0,1.0,,,,,,,1.0,,,
"CZK 12,000","CZK 3,000",726777,Small studio,8/31/2022,20 m²,Partly,1,,476.01,1797.91,1520.88,1790.57,730.58,1278.75,570.77,1430.11,944.43,214.45,Prague - Hodkovičky,50.02584,14.40784,"CZK 19,000",Brick,,New-build,,10 to 30 years,,1.0,1.0,,,G,Standard,,,,,
"CZK 24,000","CZK 5,000",729939,3+kk,8/15/2022,80 m²,Fully furnished,3,1.0,404.22,627.09,484.92,932.02,709.91,847.27,542.04,621.82,662.9,305.7,Prague - Horní Měcholupy,50.04295,14.54968,"CZK 75,000",Brick,Central,New-build,,10 to 30 years,1.0,1.0,1.0,,Complete,G,,1.0,1.0,,,
"CZK 10,490","CZK 2,580",730161,Studio,9/30/2022,22 m²,Partly,1,1.0,313.68,468.15,553.55,2697.95,331.92,485.82,741.2,610.42,1689.93,249.23,Prague - Čimice,50.14157,14.43307,"CZK 20,000",Prefab concrete,Central,Very good,,,,1.0,,,Complete,A,,,,1.0,,
"CZK 8,900","CZK 3,100",689133,Studio,8/17/2022,28 m²,Partly,4,1.0,325.63,279.64,115.51,2177.18,130.11,325.04,2.2,206.21,1466.61,480.39,"Školní, Prague - Braník",50.03722,14.41341,"CZK 16,000",Brick,,Very good,Personal,,,,,1.0,,G,,,,,,
"CZK 17,500","CZK 1,500",730111,2+kk,9/1/2022,55 m²,Fully furnished,1,,129.88,1069.07,205.53,1004.68,159.66,663.48,615.44,421.6,536.05,467.95,Prague - Smíchov,50.06262,14.39664,"CZK 20,000",Brick,,Very good,,,,,,,,A,,1.0,1.0,,,
"CZK 30,000","CZK 5,000",730693,3+1,8/21/2022,98 m²,Fully furnished,6,1.0,206.4,463.59,26.18,490.53,132.33,56.4,300.37,399.38,623.06,491.83,Prague - Žižkov,50.08145,14.44794,"CZK 60,000",Brick,,Very good,,,1.0,,,1.0,,D,,1.0,,,,
"CZK 43,000","CZK 7,000",730080,3+kk,9/1/2022,90 m²,Partly,2,1.0,78.16,287.71,91.16,102.12,98.71,140.37,133.02,301.56,565.88,477.59,Prague - Nové Město,50.09072,14.4351,"CZK 90,000",Brick,,New-build,,,,,,,,G,,1.0,,,,
"CZK 19,500",CZK 779,697625,2+kk,11/1/2022,58 m²,Unfurnished,3,1.0,82.7,455.01,98.38,158.1,81.21,239.05,520.06,207.7,804.87,290.93,"Baranova, Prague - Žižkov",50.07806,14.4581,"CZK 39,000",Brick,Gas boiler,Very good,Cooperative,,1.0,,,,,G,,,,,1.0,
"CZK 16,000","CZK 3,950",320028,2 bedroom,10/1/2022,60 m²,Partly,3,1.0,195.62,994.27,38.44,1213.76,334.91,313.68,465.33,577.57,746.52,421.28,"Olbramovická, Prague - Kamýk",50.0160639,14.4388525,"CZK 20,000",Prefab concrete,Central,,Personal,,,,,,,,,1.0,,,,
"CZK 22,000","CZK 3,500",607372,Studio,9/15/2022,25 m²,Fully furnished,1,1.0,148.83,419.07,71.5,195.07,56.82,331.69,329.58,642.28,911.37,462.1,"Gorazdova, Prague - Nové Město",50.074462,14.414953,"CZK 34,000",Brick,Central,Very good,Personal,Up to 10 years,,,,,Complete,E,Luxurious,,,,,
"CZK 20,000","CZK 1,000",730668,3+1,8/21/2022,82 m²,Partly,1,1.0,249.23,243.32,171.92,966.42,151.79,801.36,290.08,469.24,587.42,189.96,Prague - Hlubočepy,50.03013,14.36698,"CZK 25,000",Prefab concrete,,Very good,,,,,,,,G,,1.0,,,1.0,
"CZK 10,000","CZK 2,500",730667,Studio,9/1/2022,16 m²,Partly,2,,611.24,780.27,433.45,420.1,219.24,740.32,581.38,100.21,449.61,338.75,Prague - Vysočany,50.10672,14.50538,"CZK 12,500",Other,,New-build,,,,,1.0,,,B,,,,,,
"CZK 8,300",CZK 0,730065,4+1,10/10/2022,30 m²,Fully furnished,2,,416.15,1119.2,164.68,682.83,309.93,545.96,146.46,1060.0,596.48,112.48,Prague - Karlín,50.09357,14.46052,"CZK 12,000",Brick,,Good,,,,,,,,G,,1.0,,,,
"CZK 17,000","CZK 3,500",679463,2+kk,9/1/2022,55 m²,Fully furnished,4,1.0,119.61,1030.22,381.43,913.75,402.76,629.33,272.0,279.05,815.5,41.99,"Valečovská, Prague - Prosek",50.11799,14.49021,"CZK 35,000",Low-energy,Central,Very good,Personal,,,1.0,1.0,,,B,Luxurious,,,,,
"CZK 16,000","CZK 4,000",600766,2+kk,8/15/2022,56 m²,Partly,1,1.0,115.45,128.96,563.8,755.23,442.46,635.86,384.23,834.07,2003.92,309.41,"U Kříže, Prague - Jinonice",50.054407,14.365663,"CZK 16,000",Brick,,Very good,Personal,,,,,,,C,,,1.0,,,
"CZK 16,200","CZK 3,800",686230,2+kk,10/1/2022,43 m²,Fully furnished,5,1.0,443.03,2205.5,1833.24,2208.76,443.04,2061.8,1256.25,2082.8,407.15,1143.0,"Šífařská, Prague - Hodkovičky",50.0204964,14.4029624,"CZK 20,000",Brick,,New-build,Personal,,1.0,,,,,B,,1.0,,,,
"CZK 22,900","CZK 3,500",326740,3+1,8/21/2022,73 m²,Unfurnished,7,,139.55,285.64,66.38,910.94,156.45,733.79,182.95,283.33,474.97,107.71,"Voskovcova, Prague - Hlubočepy",50.0296414,14.3686041,"CZK 25,000",Prefab concrete,Central,,Personal,,1.0,,,,Complete,,,,,,,
"CZK 13,000","CZK 5,000",726042,Studio,9/1/2022,32 m²,Fully furnished,3,1.0,249.66,693.57,692.2,1211.41,225.0,494.83,319.69,416.46,396.46,249.66,Prague - Hloubětín,50.10433,14.55168,"CZK 26,000",Brick,,Very good,Personal,Up to 10 years,,1.0,,,,G,Standard,,,,,
"CZK 20,000","CZK 8,000",730639,3+1,10/1/2022,90 m²,Partly,3,,44.22,1189.1,576.92,1480.73,532.01,1178.75,1005.21,708.52,1105.27,393.01,Prague - Braník,50.04159,14.42236,"CZK 28,000",Brick,,Good,,,,,,,,G,,,,,,
"CZK 18,000","CZK 5,000",552552,2+kk,9/1/2022,63 m²,Partly,3,1.0,280.09,1497.21,807.48,1588.99,980.25,1360.6,1441.37,1351.06,2122.56,1106.49,Prague - Uhříněves,50.034912,14.5808621,"CZK 30,000",Brick,,Very good,Personal,,1.0,,,,,,,1.0,,,,
"CZK 23,000","CZK 2,091",730638,3+kk,8/20/2022,68 m²,Partly,8,1.0,359.8,896.27,372.32,643.41,170.94,405.27,358.15,398.69,688.26,211.72,Prague - Chodov,50.02743,14.52485,"CZK 50,000",Prefab concrete,,Very good,,,,,,,,C,,1.0,,,1.0,
"CZK 20,000","CZK 5,000",729979,2+kk,8/15/2022,52 m²,Fully furnished,1,1.0,147.37,951.08,153.05,538.29,374.51,662.93,209.14,1932.17,914.36,242.91,Prague - Zličín,50.05715,14.28452,"CZK 20,000",Other,,Very good,,,1.0,1.0,,,,G,,,,1.0,,
"CZK 14,000","CZK 7,500",621436,Studio,9/1/2022,40 m²,Fully furnished,1,,324.8,935.35,338.0,1038.12,168.04,650.8,580.16,549.31,350.29,231.28,"Nad Závěrkou, Prague - Břevnov",50.082898,14.379058,"CZK 16,000",Brick,,Very good,Personal,,,,,,,G,,1.0,,,,
"CZK 17,000","CZK 3,000",678107,3+1,10/1/2022,82 m²,Partly,4,1.0,139.15,489.42,691.61,2969.27,540.85,838.62,952.02,1515.86,1660.06,368.03,"V Rohu, Prague - Libuš",50.01091,14.46631,"CZK 30,000",Prefab concrete,Central,Very good,Cooperative,,1.0,,,,Bathroom unit,C,,1.0,,,,
"CZK 12,000","CZK 2,000",653606,Small studio,8/22/2022,27 m²,Partly,5,1.0,237.35,1324.02,187.22,827.98,223.46,203.35,395.87,203.45,494.31,112.65,"Písečná, Prague - Troja",50.12429,14.44174,"CZK 14,000",Prefab concrete,Distance,Good,Personal,,,,,,,G,,,,,1.0,
"CZK 12,000","CZK 3,000",650716,Small studio,9/1/2022,33 m²,Partly,6,1.0,423.15,2168.74,1870.0,2245.52,406.28,2025.04,1219.49,2119.55,370.39,1106.24,"Šífařská, Prague - Hodkovičky",50.020821,14.40306,"CZK 15,000",Brick,Distance,New-build,Personal,Up to 10 years,1.0,1.0,1.0,,,A,Luxurious,,,,,
"CZK 18,000","CZK 4,500",613343,2+kk,10/1/2022,46 m²,,4,1.0,526.76,1019.91,431.15,1156.37,479.61,952.31,597.42,464.21,605.37,264.73,"Mírového Hnutí, Prague - Háje",50.037896,14.521034,"CZK 20,000",Brick,,Very good,Personal,,1.0,1.0,,,,A,,,1.0,,,
"CZK 18,500","CZK 4,000",421225,2+kk,10/1/2022,52 m²,Partly,4,1.0,324.34,473.47,296.86,224.17,158.4,158.73,795.72,748.5,192.56,232.72,"Nepilova, Prague - Vysočany",50.110728,14.4959744,"CZK 35,000",Brick,,Very good,Personal,,1.0,1.0,,,,A,,,,,,
"CZK 16,500","CZK 6,000",730617,2+kk,9/1/2022,57 m²,Partly,4,1.0,352.88,459.2,344.74,2082.0,594.17,633.94,971.66,204.9,5317.79,225.18,Prague - Zbraslav,49.96156,14.38226,"CZK 33,000",Brick,Distance,Very good,,,1.0,1.0,,,,G,,1.0,,,,
"CZK 16,900","CZK 3,100",617632,2+kk,6/25/2022,44 m²,Partly,2,1.0,339.5,258.78,154.1,328.9,36.49,237.37,731.05,965.96,1127.37,353.92,"Olštýnská, Prague - Troja",50.127794,14.42029,"CZK 30,000",Prefab concrete,Distance,Very good,Personal,Up to 10 years,1.0,,,,Interior,B,Standard,,,,,
"CZK 28,235","CZK 5,289",728132,4+kk,9/1/2022,99 m²,Partly,1,,202.61,529.78,235.18,323.22,88.92,261.38,106.14,367.73,96.61,432.73,Prague - Vinohrady,50.07836,14.44153,"CZK 60,000",Brick,,Good,,,,1.0,,,,B,,,,,,
"CZK 21,000","CZK 6,000",730609,3+kk,9/1/2022,63 m²,Partly,2,,261.41,912.52,281.87,426.36,218.4,429.59,471.08,561.14,311.81,403.98,Prague - Nusle,50.059,14.43643,"CZK 50,000",Brick,,Very good,,,,,,,,G,,1.0,,,,
"CZK 18,000","CZK 5,500",186131,2+kk,8/17/2022,55 m²,Unfurnished,2,,195.19,877.98,502.29,700.39,241.47,555.71,968.09,689.81,1187.43,292.12,Prague - Strašnice,50.079646,14.5076921,"CZK 24,000",Brick,Central,Very good,Personal,Up to 10 years,,,,,,,Standard,,,,,
"CZK 3,000","CZK 2,500",519288,3+kk,9/1/2022,104 m²,Partly,1,1.0,96.33,542.63,85.99,322.57,25.69,320.91,135.51,230.39,466.15,198.39,"Kodaňská, Prague - Vršovice",50.0706748,14.4587171,"CZK 3,000",Brick,Gas boiler,Very good,Personal,Up to 10 years,,,,,Complete,,Standard,1.0,,,,
"CZK 28,000","CZK 4,826",730307,3+kk,10/1/2022,91 m²,Partly,5,1.0,146.4,1732.33,705.79,1697.51,857.78,1365.7,1665.15,1342.58,942.96,164.01,Prague - Stodůlky,50.0587,14.32951,"CZK 56,000",Brick,,Very good,,,1.0,1.0,,1.0,,G,,1.0,1.0,,,
"CZK 17,500","CZK 4,500",177188,2+kk,10/1/2022,50 m²,Fully furnished,4,1.0,129.15,496.6,548.8,535.24,652.16,641.56,642.27,943.64,1359.31,423.04,Prague - Stodůlky,50.0619404,14.3107778,"CZK 22,000",Brick,Electric boiler,,Personal,Up to 10 years,1.0,1.0,1.0,,,,,,,,,
"CZK 8,000","CZK 2,500",730602,Small studio,8/20/2022,20 m²,Partly,2,1.0,21.66,563.57,388.46,96.14,90.12,213.81,275.66,777.19,740.71,286.45,Prague - Smíchov,50.07176,14.4021,"CZK 10,000",Brick,Electric boiler,Wrong,Personal,Over 50 years,,,,,,G,,,,,,
"CZK 14,900","CZK 3,300",570282,Studio,10/1/2022,33 m²,Fully furnished,2,1.0,217.82,1579.87,778.68,898.42,525.92,766.94,621.01,720.34,2166.54,559.12,"Štverákova, Prague - Horní Počernice",50.1118599,14.6268181,"CZK 30,000",Brick,,,Personal,,1.0,,1.0,,,B,,,,,,
"CZK 18,000","CZK 4,124",730266,2+kk,10/1/2022,54 m²,Partly,5,1.0,175.3,564.49,102.46,100.04,144.3,390.19,592.06,397.3,382.76,510.05,Prague - Smíchov,50.07141,14.40787,"CZK 18,000",Brick,,Good,,,,,,1.0,,G,Standard,,,,,
"CZK 13,000",CZK 0,729911,Studio,9/1/2022,36 m²,Fully furnished,,,323.42,1575.2,1109.44,1343.97,1257.51,1799.06,1288.39,1403.21,499.67,448.07,Prague - Hloubětín,50.09394,14.52976,"CZK 13,000",Brick,,Good,,,,,,,,C,,,,,,
"CZK 20,000","CZK 2,500",577284,2+kk,10/23/2022,62 m²,Partly,1,1.0,33.11,987.61,363.88,969.16,628.75,914.45,908.02,958.36,839.36,322.99,"Saarinenova, Prague - Hloubětín",50.1067841,14.5284169,"CZK 22,000",Low-energy,Distance,New-build,Cooperative,Up to 10 years,,,1.0,1.0,,,Luxurious,,,,,
"CZK 9,300","CZK 4,500",729762,Studio,8/20/2022,26 m²,Partly,2,1.0,114.97,208.62,396.31,1615.36,9.96,1381.57,274.93,170.26,414.89,259.12,Prague - Střešovice,50.08912,14.38529,"CZK 15,000",Brick,,Very good,,,1.0,1.0,,,,G,,,,,,
"CZK 12,000","CZK 3,000",275844,1 bedroom,9/1/2022,35 m²,Partly,1,,325.63,647.92,361.45,532.99,389.75,462.14,521.63,491.27,1145.53,208.4,"Zachova, Prague - Krč",50.0395754,14.4450065,"CZK 20,000",Brick,Gas boiler,Very good,Personal,Up to 10 years,,,,,Interior,,Standard,,,,,
"CZK 20,000","CZK 3,500",730581,Studio,8/20/2022,30 m²,Fully furnished,3,,249.44,775.46,296.54,454.56,346.44,471.4,754.24,623.73,388.52,189.67,Prague - Strašnice,50.07918,14.48536,"CZK 47,000",Brick,Central,New-build,,,1.0,,1.0,1.0,Complete,C,Luxurious,,,,,
"CZK 22,500","CZK 5,000",683548,2+kk,10/1/2022,68 m²,Partly,4,1.0,231.82,688.19,238.77,396.79,288.67,346.25,666.97,484.38,370.9,167.66,"Janýrova, Prague - Strašnice",50.0792694,14.4866147,"CZK 45,000",Brick,Distance,Very good,Personal,,1.0,1.0,,1.0,,D,,1.0,1.0,,,
"CZK 12,250","CZK 2,615",485661,Studio,9/1/2022,50 m²,Partly,,,227.37,259.16,190.25,329.28,123.0,273.52,789.96,952.36,1293.57,401.17,"Hnězdenská, Prague - Troja",50.1263568,14.4202859,"CZK 20,000",Prefab concrete,Distance,Very good,Personal,10 to 30 years,,,,,Interior,C,,,,,,
"CZK 14,000","CZK 3,300",730577,Studio,8/31/2022,37 m²,Unfurnished,,,104.02,730.89,370.9,1062.59,199.68,739.54,425.64,271.77,238.27,354.71,Prague - Smíchov,50.06514,14.39497,"CZK 30,000",Brick,,Good,,,,,,1.0,,C,,,,,,
"CZK 8,000","CZK 1,500",666742,Small studio,8/22/2022,14 m²,Fully furnished,1,,63.56,2382.3,502.13,2085.54,453.16,1020.53,1623.0,348.67,951.91,676.91,"Bělohorská, Prague - Břevnov",50.07573,14.33054,CZK 0,Brick,Central,Good,Personal,10 to 30 years,,1.0,,,,A,Standard,,,,,
"CZK 28,000",CZK 700,730414,2 bedroom,8/18/2022,86 m²,Fully furnished,3,1.0,228.51,497.33,58.47,391.83,96.19,311.74,217.56,124.03,354.02,362.52,Prague - Vinohrady,50.07892,14.44711,"CZK 28,000",Brick,,Very good,Personal,,,,,,Complete,G,,,,,,
"CZK 32,000","CZK 6,000",729867,3+kk,9/1/2022,86 m²,Partly,3,1.0,619.74,957.8,1278.08,1960.39,141.51,1073.98,1363.22,1191.22,343.89,293.25,Prague - Letňany,50.14159,14.52344,"CZK 64,000",Brick,,New-build,,,1.0,,,,,B,,,1.0,,,
"CZK 14,900","CZK 2,100",730544,Studio,10/1/2022,40 m²,Fully furnished,1,,238.89,1093.41,192.63,756.92,68.18,369.6,298.96,478.79,220.68,369.05,Prague - Břevnov,50.08357,14.3772,"CZK 29,000",Low-energy,,New-build,,,,,,1.0,,A,,,,,,
"CZK 15,000","CZK 2,700",574643,2 bedroom,9/1/2022,54 m²,Partly,3,,78.31,270.98,111.86,177.77,220.6,148.23,200.59,169.97,686.53,257.79,"Na Petřinách, Prague - Břevnov",50.088277,14.346283,"CZK 22,000",Brick,Distance,Very good,Personal,,,,,,Interior,D,,,,,1.0,
"CZK 22,000","CZK 6,500",607367,2+kk,9/1/2022,55 m²,Fully furnished,4,1.0,198.58,426.93,115.73,304.68,64.1,257.35,115.49,281.56,645.2,300.83,"Mlynářská, Prague - Nové Město",50.0920451,14.4340658,"CZK 42,000",Brick,Gas boiler,Very good,Personal,Up to 10 years,,,,,Interior,E,Standard,,,,,
"CZK 13,000","CZK 4,000",547090,Studio,9/1/2022,30 m²,Partly,4,,102.18,995.39,143.74,941.57,148.56,695.47,686.19,602.9,719.44,255.35,"K Olympiku, Prague - Karlín",50.0979809,14.4663685,"CZK 17,000",Prefab concrete,Central,Very good,Personal,,1.0,,,,Complete,,,,,,,
"CZK 12,000",CZK 750,730527,1 bedroom,9/1/2022,45 m²,Partly,4,,153.35,303.75,10.45,286.53,24.33,238.01,302.67,247.29,712.85,737.48,Prague - Vinohrady,50.07217,14.43243,"CZK 12,000",Brick,,Good,,,,,,,,G,,,,,,
"CZK 39,900","CZK 7,900",677432,2+kk,9/29/2022,96 m²,Fully furnished,3,1.0,166.67,762.32,499.85,585.69,59.37,484.49,448.28,585.57,856.34,214.37,"Kobrova, Prague - Smíchov",50.07381,14.39677,"CZK 60,000",Low-energy,,New-build,Personal,,1.0,1.0,,,,A,,1.0,1.0,,,
"CZK 16,990",CZK 1,598795,2 bedroom,9/1/2022,50 m²,Fully furnished,1,1.0,84.28,452.15,71.02,142.91,110.43,317.24,25.0,395.09,493.4,511.97,"Černá, Prague - Nové Město",50.078786,14.418558,CZK 1,Brick,Central,Good,Personal,,,,,,,C,Standard,,,1.0,,
"CZK 25,000","CZK 8,000",488207,3+kk,10/1/2022,68 m²,Partly,,,136.58,210.07,741.46,5420.28,333.42,723.25,620.46,489.5,285.8,101.34,"Velkoosecká, Prague - Vinoř",50.1438182,14.576116,"CZK 50,000",Brick,Gas boiler,Very good,Personal,10 to 30 years,,1.0,,1.0,,D,Standard,,1.0,,,
"CZK 22,000","CZK 3,900",711232,2+kk,10/1/2022,52 m²,Fully furnished,6,1.0,345.18,237.79,213.38,397.33,79.2,429.95,311.53,50.08,190.8,341.51,"Šrobárova, Prague - Vinohrady",50.07588,14.46436,"CZK 20,000",Brick,Central,Very good,Personal,,,,,1.0,,A,,,,,,
"CZK 32,000","CZK 4,604",729774,3+kk,8/13/2022,91 m²,Unfurnished,3,1.0,326.52,558.95,229.44,287.34,32.38,621.26,339.05,1276.69,241.73,262.25,Prague - Bubeneč,50.10305,14.41876,"CZK 64,000",Brick,,Very good,,,,,,,,A,,1.0,,,,
"CZK 2,000",CZK 0,369211,Other,8/19/2022,9 m²,Unfurnished,1,,204.31,206.71,126.28,1523.05,151.11,979.08,947.47,574.14,754.43,155.95,"Svitákova, Prague - Stodůlky",50.0472687,14.3039981,CZK 0,Prefab concrete,,,Personal,,,1.0,,,,,,,1.0,,,
"CZK 12,000","CZK 2,500",539826,Studio,8/25/2022,30 m²,Fully furnished,4,1.0,106.69,1004.83,438.32,1080.19,349.56,1069.73,125.65,214.07,1008.93,182.44,"Petržílova, Prague - Modřany",49.9994485,14.4222431,"CZK 14,000",Prefab concrete,Distance,Very good,Personal,10 to 30 years,,,,,Complete,,Standard,,,,,
"CZK 14,500","CZK 4,500",459179,2+kk,8/15/2022,41 m²,Partly,8,1.0,202.98,776.1,334.11,511.79,277.82,386.78,173.19,350.18,839.96,141.01,"Litoměřická, Prague - Prosek",50.1188062,14.4937472,"CZK 20,000",Other,Distance,Very good,Personal,10 to 30 years,,,,,,C,Standard,,,,,
"CZK 17,000","CZK 4,000",728678,2+kk,8/4/2022,65 m²,Unfurnished,2,,287.55,835.04,124.2,980.53,396.62,297.16,462.97,263.08,511.43,65.12,Prague - Letňany,50.14089,14.50924,"CZK 17,000",Brick,,Very good,,,,,,,,B,,,,,,
"CZK 22,500","CZK 4,280",728700,3+kk,8/5/2022,68 m²,Partly,4,1.0,227.19,694.52,292.56,947.84,372.07,273.0,572.29,459.35,1024.68,123.64,Prague - Chodov,50.02741,14.5197,"CZK 45,000",Prefab concrete,Central,Very good,Personal,,,,,,,G,,1.0,,,1.0,
"CZK 15,500","CZK 2,800",730481,Studio,8/26/2022,35 m²,Fully furnished,2,1.0,218.2,368.06,1015.29,927.42,502.93,464.65,756.19,1241.26,506.8,171.4,Prague - Letňany,50.13773,14.51998,"CZK 18,300",Low-energy,,New-build,,,,,1.0,,,B,,,,,,
"CZK 16,000","CZK 4,500",729781,2 bedroom,9/30/2022,58 m²,Partly,2,,110.54,815.17,478.87,513.94,156.65,496.26,497.49,582.69,1174.39,298.25,Prague - Břevnov,50.08736,14.3389,"CZK 20,500",Brick,,Very good,,,,1.0,,,,G,,,,,,
"CZK 39,000","CZK 7,500",730479,3+1,8/19/2022,120 m²,Partly,6,1.0,257.07,413.9,172.69,369.66,65.95,126.45,206.73,296.92,511.52,310.58,Prague - Nové Město,50.07662,14.42275,"CZK 78,000",Brick,,Very good,,,,,,1.0,,G,,,,,,
"CZK 44,000","CZK 6,000",358804,4+kk,9/1/2022,130 m²,Fully furnished,2,,332.93,544.63,139.18,267.34,39.05,305.02,264.26,587.07,297.42,107.97,"Betlémské náměstí, Prague - Staré Město",50.0840811,14.4176178,CZK 2,Brick,,,Personal,,1.0,,,,Complete,,,,1.0,,,
"CZK 12,000","CZK 5,000",730464,2+kk,8/19/2022,34 m²,Partly,1,,246.8,554.23,143.24,855.98,293.39,547.38,182.42,375.49,1055.46,494.33,Prague - Košíře,50.07001,14.38251,"CZK 25,000",Brick,,Very good,,,,,,1.0,,E,,,,,,
"CZK 18,500","CZK 6,388",730433,2 bedroom,8/18/2022,53 m²,Partly,3,,126.61,867.92,116.61,599.34,153.68,205.03,423.19,810.05,332.86,236.35,Prague - Strašnice,50.07076,14.48734,"CZK 40,000",Brick,,Good,,,,,,,,C,,1.0,,,,
"CZK 17,990","CZK 5,013",730413,3+1,8/27/2022,67 m²,Partly,8,1.0,142.33,1028.73,157.64,1021.39,379.02,436.55,471.91,701.13,557.49,431.47,"Olbramovická, Prague - Kamýk",50.01687861111,14.43642138888,"CZK 23,003",Prefab concrete,,Very good,Personal,,,,,,,G,,1.0,,,1.0,"CZK 23,003"
"CZK 24,500","CZK 4,000",729741,3+1,8/13/2022,83 m²,Fully furnished,3,1.0,147.89,285.42,46.75,257.02,48.45,141.75,104.95,327.3,312.31,377.4,Prague - Žižkov,50.08542,14.45316,"CZK 36,750",Other,,Very good,,,,1.0,,,,G,,,1.0,,,
"CZK 30,000","CZK 5,000",413976,4+kk,10/1/2022,111 m²,Partly,2,1.0,239.09,979.8,527.41,944.98,440.24,499.97,912.62,449.03,393.93,401.17,"Melodická, Prague - Stodůlky",50.0515016,14.3302032,"CZK 36,000",Brick,Central,,Personal,,1.0,,1.0,1.0,,C,,,1.0,,,
"CZK 23,000","CZK 2,000",510077,3+1,9/1/2022,74 m²,Partly,3,,88.58,653.66,405.19,613.73,454.33,427.44,306.07,248.82,1240.24,316.76,"Novodvorská, Prague - Braník",50.027717,14.4287618,"CZK 44,000",Brick,Central,,Personal,,,,,,Complete,,Standard,1.0,,,,
"CZK 10,500","CZK 2,000",597400,Small studio,9/1/2022,22 m²,Unfurnished,1,,95.04,732.43,109.54,315.94,102.2,56.39,560.57,736.83,1049.15,353.35,"Trojská, Prague - Kobylisy",50.121955,14.4518,"CZK 13,500",Brick,Other,Good,Personal,Up to 10 years,,,,,Complete,G,Standard,,,,,
