Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,EPC,Heating,Floor space,Fully furnished,Floor,Building type,Age,Reconstruction,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Condition,Balcony,Lift,Designe,Parking,Garage,Cellar,New-build,Domácí mazlíčci vítáni,Terrace,Enclosed balcony,Administrative fee,Plot space,Plot type
"CZK 18,000","CZK 2,038","CZK 36,000",678045,2+kk,10/1/2022,Personal,G,,47 m²,Partly,1,Brick,,,234.53,890.93,125.68,740.59,387.89,682.36,975.35,409.59,703.6,63.12,Prague - Dejvice,50.0986737,14.3736855,Very good,,,,,,,,,,,,,
"CZK 22,400","CZK 3,500",CZK 0,645615,2+kk,12/1/2022,Personal,B,Central,61 m²,Partly,4,Brick,Up to 10 years,Complete,102.61,622.8,256.57,411.93,239.04,483.21,237.09,56.91,551.32,311.03,"Ambrožova, Prague - Žižkov",50.087815,14.472505,New-build,1.0,1.0,Luxurious,1.0,,1.0,1.0,,1.0,,,,
"CZK 23,000","CZK 3,500","CZK 53,000",430585,2+kk,10/1/2022,Personal,,,53 m²,Fully furnished,4,Brick,,,239.09,882.58,446.42,643.02,229.17,685.62,588.31,252.8,374.45,191.71,"Olgy Havlové, Prague - Žižkov",50.0886908,14.4828424,New-build,1.0,1.0,,,,1.0,1.0,,,1.0,,,
"CZK 13,000","CZK 3,500","CZK 25,000",725587,Studio,9/11/2022,,G,,33 m²,Partly,,Brick,,,817.84,1330.16,1030.06,1156.88,691.6,1186.71,1014.98,1019.92,1014.62,670.9,Prague - Vokovice,50.10321,14.35191,Very good,,,,,,,,,1.0,,,,
"CZK 22,000","CZK 6,000","CZK 40,000",735470,3+kk,10/17/2022,,G,,74 m²,Partly,3,Prefab concrete,,,405.96,554.48,127.21,416.85,404.22,445.92,164.65,727.62,580.02,145.17,Prague - Modřany,50.00835,14.41991,Very good,1.0,1.0,,,,1.0,,,,,,,
"CZK 18,000","CZK 3,500","CZK 18,000",734031,Studio,10/1/2022,Personal,G,Central,34 m²,Fully furnished,,Brick,10 to 30 years,,249.44,775.46,296.54,454.56,346.44,471.4,754.24,623.73,388.52,189.67,Prague - Strašnice,50.07918,14.48536,Very good,,,Standard,,,,,,1.0,,,,
"CZK 13,500","CZK 2,800","CZK 16,300",524929,Studio,9/1/2018,Personal,,,32 m²,Fully furnished,1,Brick,,,321.01,3235.79,590.23,3591.25,347.74,2875.71,2207.72,2716.78,2751.33,367.32,"Kestřanská, Prague - Cholupice",49.9887823,14.4454149,,1.0,,,,,,,1.0,,,,,
"CZK 18,000","CZK 4,000","CZK 18,000",737808,2+kk,9/19/2022,,C,Central,55 m²,Unfurnished,3,Prefab concrete,,Complete,232.61,146.06,13.95,221.87,10.19,63.91,278.39,443.83,1225.33,285.5,Prague - Vokovice,50.09625,14.3602,Very good,,1.0,,1.0,,1.0,,,,1.0,,,
"CZK 14,000",CZK 700,"CZK 20,000",453907,2+kk,10/1/2022,Personal,,,40 m²,Partly,2,Brick,,Complete,144.87,225.65,56.34,206.91,16.86,222.73,312.31,464.55,357.25,334.34,"Na Spojce, Prague - Vršovice",50.0676958,14.4567292,Very good,,,,,,,,,,,,,
"CZK 13,000","CZK 3,500","CZK 15,000",496032,Studio,10/3/2022,Personal,,,29 m²,Partly,3,Brick,,Complete,421.59,738.12,273.79,973.51,343.79,481.9,207.03,429.31,1095.78,534.65,"Pod radnicí, Prague - Košíře",50.0705177,14.3831241,,,,,,,,,,,,,,
"CZK 16,500","CZK 3,331","CZK 30,000",492630,2+kk,10/1/2022,Personal,,,53 m²,Fully furnished,2,Brick,,,355.4,903.76,583.42,1031.58,338.62,863.49,598.27,754.11,532.05,81.03,"Karla Kryla, Prague - Stodůlky",50.0368204,14.330625,,,1.0,,,,1.0,,,,1.0,,,
"CZK 20,500",CZK 880,"CZK 20,500",381587,2 bedroom,9/12/2022,Personal,,,90 m²,Unfurnished,3,Brick,,,72.57,89.05,84.69,56.33,4.22,136.59,320.86,798.22,409.8,337.3,"Šmeralova, Prague - Bubeneč",50.1002722,14.4225082,,,,,,,,,,,,,,
"CZK 18,000","CZK 1,000","CZK 18,000",380919,2 bedroom,,Cooperative,,Electric boiler,68 m²,Partly,4,Brick,,,134.35,703.62,295.83,129.71,179.94,179.33,384.73,268.03,283.24,350.29,"Kouřimská, Prague - Vinohrady",50.0776961,14.4719023,,1.0,,,,,1.0,,,,,,,
"CZK 18,000","CZK 3,497","CZK 25,000",737805,Studio,10/4/2022,,G,,30 m²,Fully furnished,2,Brick,,,244.01,756.43,234.11,1131.0,356.53,408.8,300.81,423.96,1217.3,415.74,Prague - Košíře,50.07148,14.3846,Very good,,1.0,,,,,,1.0,,,,,
"CZK 17,000","CZK 1,800","CZK 20,000",632473,Studio,10/1/2022,Personal,A,Electric boiler,43 m²,Fully furnished,1,Brick,Up to 10 years,Complete,294.94,409.3,45.18,338.8,178.53,254.54,193.85,710.73,84.22,381.6,"U Studánky, Prague - Bubeneč",50.102025,14.425824,Very good,,1.0,Luxurious,,,,,,,,,,
"CZK 28,400","CZK 6,000","CZK 50,000",737804,3+kk,10/1/2022,Personal,B,Central,91 m²,Fully furnished,5,Brick,Up to 10 years,,411.66,1945.02,535.38,1619.56,1273.47,741.19,1073.41,1354.32,1057.83,53.96,Prague - Vysočany,50.10469,14.51504,Very good,1.0,1.0,Standard,1.0,,1.0,1.0,,,1.0,,,
"CZK 15,000","CZK 1,500","CZK 16,500",415259,1 bedroom,9/9/2022,Personal,C,Central,47 m²,Partly,2,Brick,,,61.12,117.05,6.26,507.36,31.23,164.69,226.1,226.1,333.66,106.19,"Vršovická, Prague - Vršovice",50.0705542,14.4768657,,,1.0,,,,1.0,,,,,,,
"CZK 12,000","CZK 3,000","CZK 15,000",737802,2+kk,9/19/2022,,E,,44 m²,Partly,3,Prefab concrete,,,372.24,595.96,363.77,889.08,667.91,825.75,526.91,608.99,598.11,44.36,Prague - Horní Měcholupy,50.04313,14.55293,Good,,1.0,,,,1.0,,,,,,,
"CZK 11,990","CZK 1,759","CZK 13,749",737803,Studio,9/13/2022,Personal,B,,38 m²,Fully furnished,5,Other,,,239.9,898.28,492.58,763.17,617.18,354.86,455.88,556.66,1256.24,365.57,"Modenská, Prague - Horní Měcholupy",50.04008111111,14.56814888888,New-build,1.0,1.0,,1.0,,1.0,1.0,,,,"CZK 13,749",,
"CZK 16,500","CZK 4,300","CZK 25,000",687239,2+kk,12/1/2022,Personal,C,Central,45 m²,Fully furnished,2,Brick,Up to 10 years,,325.71,968.96,162.26,2110.68,160.3,997.63,1050.9,1575.88,2007.31,224.0,"K Beranovu, Prague - Dolní Chabry",50.13979,14.44901,New-build,1.0,1.0,Standard,1.0,,1.0,1.0,,,,,,
"CZK 22,000","CZK 3,360","CZK 40,000",551447,2+kk,9/13/2022,Personal,B,Central,51 m²,Partly,2,Brick,Up to 10 years,,283.79,148.02,158.99,1617.01,45.16,1048.39,1159.42,750.98,931.26,135.54,Prague - Stodůlky,50.0460523,14.3020788,,,1.0,Standard,,,,1.0,,1.0,,,,
"CZK 30,000","CZK 6,000","CZK 60,000",729867,3+kk,9/1/2022,,B,Central,86 m²,Partly,3,Brick,Up to 10 years,,619.74,957.8,1278.08,1960.39,141.51,1073.98,1363.22,1191.22,343.89,293.25,Prague - Letňany,50.14159,14.52344,New-build,1.0,1.0,,,1.0,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 20,000",735075,2+kk,9/12/2022,,G,,41 m²,Partly,1,Brick,,,370.75,1265.27,341.98,843.86,320.29,1025.67,1000.01,218.25,1013.68,332.92,Prague - Dejvice,50.09786,14.37792,Good,,,,,,,,,,,,,
"CZK 16,800","CZK 6,200","CZK 33,600",736067,Studio,9/10/2022,,G,,43 m²,Partly,2,Brick,,,91.07,448.7,86.43,440.13,17.29,443.11,266.22,545.91,268.72,412.57,Prague - Žižkov,50.08738,14.45211,Very good,,,,,,1.0,,,,,,,
"CZK 21,000","CZK 5,500","CZK 25,000",737556,2+kk,9/12/2022,,G,,56 m²,Fully furnished,4,Brick,,,159.19,701.35,186.0,393.34,186.98,214.61,352.62,518.89,577.8,707.14,Prague - Břevnov,50.08317,14.37215,New-build,,,,,,,1.0,,,,,,
"CZK 23,500","CZK 6,500","CZK 47,000",737546,3+1,9/12/2022,,G,Distance,73 m²,Partly,9,Prefab concrete,10 to 30 years,Complete,150.21,1065.51,122.99,745.82,275.03,439.02,447.45,903.52,387.6,282.72,Prague - Strašnice,50.06914,14.48862,Very good,1.0,1.0,Standard,1.0,1.0,,,,,,,,
"CZK 25,000","CZK 4,000","CZK 45,000",291076,3+kk,7/22/2019,Personal,,,85 m²,Partly,2,Brick,,,590.86,1219.89,571.48,894.44,717.02,1071.71,593.06,875.42,1204.28,706.55,"Pod Harfou, Prague - Vysočany",50.1039793,14.5075384,,1.0,,,,,,,,,,,,
"CZK 17,800","CZK 3,950","CZK 35,500",683748,2+kk,9/15/2022,Personal,B,Distance,54 m²,Partly,3,Prefab concrete,,Complete,303.84,848.03,239.06,681.86,194.56,148.3,626.23,1038.31,538.45,252.69,"Kloknerova, Prague - Chodov",50.03499,14.48703,Very good,,1.0,,,,1.0,,,,,,,
"CZK 9,000",CZK 950,"CZK 12,000",611830,Studio,9/13/2022,Personal,,Electric boiler,42 m²,Fully furnished,-1,Brick,Up to 10 years,Complete,206.45,636.53,178.03,193.02,161.57,150.92,307.75,134.09,471.29,429.39,"Sudoměřská, Prague - Žižkov",50.081416,14.458395,Very good,,,,,,,,,,,,,
"CZK 15,500","CZK 4,000","CZK 20,000",735446,Studio,9/7/2022,Personal,G,Central,23 m²,Fully furnished,3,Other,Up to 10 years,Complete,51.7,1483.2,433.92,1157.74,558.05,744.26,305.46,1138.73,1422.98,612.08,Prague - Vysočany,50.103156,14.5190992,New-build,,1.0,Luxurious,,,,1.0,,1.0,,,,
"CZK 17,900","CZK 1,100","CZK 25,000",682818,2+kk,10/1/2022,Personal,G,,48 m²,Partly,1,Brick,,,17.57,739.23,73.61,650.68,225.68,691.96,414.44,312.88,539.86,293.39,"28. pluku, Prague - Vršovice",50.07087,14.46352,Very good,1.0,1.0,,,,,,,,,,,
"CZK 12,000","CZK 2,000","CZK 20,000",729672,Studio,9/12/2022,,C,Electric boiler,21 m²,Partly,5,Other,,,124.98,538.05,121.55,184.75,182.23,558.84,300.08,228.47,431.04,520.36,"Husinecká, Prague - Žižkov",50.085698,14.4449948,Very good,1.0,,,,,,,,,,,,
"CZK 23,900","CZK 3,900","CZK 40,000",577288,2+kk,9/1/2022,Personal,C,Gas boiler,60 m²,Fully furnished,6,Brick,,,183.97,1118.9,5.8,558.34,121.65,425.24,124.13,356.18,285.18,98.76,"Drahobejlova, Prague - Libeň",50.1060756,14.4904958,Very good,1.0,1.0,,1.0,,1.0,,,,,,,
"CZK 13,950","CZK 3,000","CZK 20,000",731066,Studio,9/1/2022,,C,,30 m²,Partly,4,Brick,,,183.47,1118.41,6.3,558.83,121.16,424.75,123.63,355.68,284.69,98.26,Prague - Libeň,50.10608,14.4905,Very good,,1.0,,,,,,,,,,,
"CZK 12,500","CZK 3,000",CZK 0,267720,Studio,8/23/2022,Personal,,,45 m²,Fully furnished,5,Prefab concrete,,,140.65,1330.58,511.17,1085.56,206.79,1317.03,1111.5,640.52,844.37,273.91,"Roškotova, Prague - Braník",50.0405931,14.4265259,,,,,,,,,,,,,,
"CZK 8,000","CZK 5,000","CZK 10,000",736857,2 bedroom,9/12/2022,,G,,45 m²,Fully furnished,3,Brick,,,439.24,803.13,302.68,845.82,712.62,459.25,468.41,195.87,457.01,228.95,Prague - Strašnice,50.08273,14.49127,Good,,,,,,,,,,,,,
"CZK 14,000","CZK 4,000",CZK 0,736943,2 bedroom,10/1/2022,,G,,45 m²,Partly,2,Brick,,,709.72,829.85,448.06,2370.89,383.39,437.8,764.25,716.18,1821.64,649.04,Prague - Braník,50.03496,14.42055,Very good,,,,1.0,,,,,1.0,,,,
"CZK 14,000","CZK 3,000","CZK 30,000",731675,Studio,9/10/2022,,G,,34 m²,Fully furnished,4,Brick,,,159.96,318.63,144.94,410.41,117.64,270.71,737.06,831.3,943.97,238.54,Prague - Uhříněves,50.03064,14.59533,Very good,,1.0,,1.0,,1.0,,,,1.0,,,
"CZK 16,000","CZK 1,000","CZK 32,000",731534,1 bedroom,9/15/2022,,G,,46 m²,Partly,4,Brick,,,322.68,961.45,241.53,635.99,345.47,659.58,372.47,616.98,945.84,448.11,Prague - Vysočany,50.10386,14.50184,Very good,,1.0,,,,1.0,,,,,,,
"CZK 50,000","CZK 10,610","CZK 100,000",682234,5+kk,9/1/2022,Personal,C,,162 m²,Partly,11,Other,,,163.07,1109.71,303.21,956.68,424.05,1002.96,901.98,592.06,631.83,462.98,"Malešická, Prague - Žižkov",50.0870673,14.4834726,New-build,,1.0,,,1.0,1.0,,,1.0,,,,
"CZK 10,000","CZK 1,000","CZK 11,000",736716,3+1,9/12/2022,,A,,30 m²,Partly,1,Brick,,,377.25,753.08,261.66,548.17,290.84,743.07,518.13,1036.84,152.09,363.49,Prague - Podolí,50.05343,14.42159,Good,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,
"CZK 15,000","CZK 3,000","CZK 25,000",736774,2 bedroom,10/1/2022,,C,,59 m²,Fully furnished,4,Prefab concrete,,,160.51,891.21,172.92,1260.14,211.56,233.02,511.7,375.22,911.85,297.92,Prague - Kamýk,50.01649,14.44124,Very good,,1.0,,1.0,,1.0,,,,,,,
"CZK 22,000","CZK 5,300","CZK 40,000",736366,3+kk,11/1/2022,,G,Central,73 m²,Partly,4,Prefab concrete,,Complete,323.41,762.05,330.66,685.11,338.94,572.48,543.73,248.59,403.57,40.43,Prague - Řepy,50.06796,14.30066,Very good,,1.0,Standard,,,1.0,,,,1.0,,,
"CZK 13,500","CZK 3,000","CZK 16,500",725391,Studio,8/1/2022,,A,,31 m²,Partly,2,Brick,,,229.9,947.02,205.09,713.91,247.68,447.39,154.37,412.65,1095.26,196.69,Prague - Modřany,50.0061,14.40679,New-build,,1.0,,,,,1.0,,,,,,
"CZK 15,000","CZK 4,000","CZK 15,000",589495,1 bedroom,10/5/2022,Personal,C,Distance,31 m²,Fully furnished,5,Brick,Up to 10 years,Complete,281.46,602.99,267.93,692.17,403.95,688.3,1195.3,523.48,1247.72,159.24,"Peroutkova, Prague - Jinonice",50.058519,14.377489,New-build,,1.0,Standard,,,,1.0,,,,,,
"CZK 27,000","CZK 3,000","CZK 27,000",725907,1 bedroom,7/20/2022,,G,Central,27 m²,Fully furnished,3,Brick,,Complete,200.51,407.37,72.96,275.48,12.97,109.41,427.03,435.74,261.27,352.53,Prague - Karlín,50.09179,14.44168,Very good,1.0,,Luxurious,,,,,,1.0,,,,
"CZK 23,000","CZK 9,000","CZK 46,000",735408,3+1,9/7/2022,,C,,105 m²,Unfurnished,5,Brick,,,174.31,478.5,120.42,94.53,46.33,21.42,249.47,441.3,567.11,636.54,Prague - Vinohrady,50.07382,14.43183,Very good,,1.0,,,,,,,,,,,
"CZK 15,000","CZK 3,500","CZK 15,000",649769,1 bedroom,9/15/2022,Personal,F,Other,42 m²,Fully furnished,7,Brick,,Complete,410.8,292.17,259.59,431.87,82.53,429.05,234.89,492.96,764.52,261.18,"Ondříčkova, Prague - Vinohrady",50.080835,14.453137,Very good,,1.0,,,,,,,,,,,
"CZK 12,000","CZK 3,200","CZK 15,200",732486,Studio,11/25/2022,,G,,38 m²,Partly,1,Brick,,,29.62,74.69,161.27,2384.66,205.43,349.84,301.39,274.67,1230.51,244.29,Prague - Braník,50.03619,14.41129,Very good,,,,,,1.0,,,,,,,
"CZK 17,500","CZK 3,000","CZK 24,000",628100,1 bedroom,9/11/2022,Personal,A,Central,39 m²,Partly,4,Brick,Up to 10 years,Complete,362.81,259.2,126.77,286.13,118.18,279.99,159.44,215.84,295.88,466.72,"Vlkova, Prague - Žižkov",50.083992,14.448523,Very good,,,Standard,,,,,,,,,,
"CZK 12,990",CZK 0,"CZK 5,000",681721,Small studio,9/7/2022,Personal,G,Gas boiler,20 m²,Fully furnished,1,Brick,,Interior,155.39,507.59,93.73,189.31,18.14,382.05,535.16,340.41,325.87,706.18,"Na Bělidle, Prague - Smíchov",50.07176,14.40601,Good,,,Standard,,,,,,,,,,
"CZK 12,500","CZK 3,000","CZK 15,500",736501,Studio,10/1/2022,,B,,33 m²,Fully furnished,7,Brick,,,454.04,809.88,434.66,484.42,353.37,771.43,492.68,609.29,683.92,296.54,Prague - Vysočany,50.10533,14.50202,Very good,1.0,1.0,,,,,,,,,,,
"CZK 24,000","CZK 5,200","CZK 48,000",733392,Studio,9/10/2022,Personal,B,,35 m²,Fully furnished,3,Brick,,,130.34,674.95,328.7,662.91,182.49,531.16,929.62,307.24,572.75,335.78,Prague - Smíchov,50.06745,14.40788,New-build,,1.0,,,,1.0,,,,,,,
"CZK 24,000","CZK 1,500","CZK 24,000",736375,3+kk,9/12/2022,,A,,60 m²,Partly,3,Prefab concrete,,,109.1,334.01,224.08,266.59,387.33,602.89,288.34,323.48,678.15,288.82,Prague - Háje,50.03098,14.53461,Very good,,,,,,,,,,,,,
"CZK 20,000","CZK 8,819","CZK 40,000",736368,2+kk,11/1/2022,Personal,A,,90 m²,Partly,4,Brick,,,161.3,899.35,320.1,1764.87,3.18,853.19,435.36,1102.65,913.61,415.0,Prague - Kyje,50.10999,14.5568,Very good,1.0,,,,1.0,1.0,,1.0,1.0,,,,
"CZK 29,690",CZK 0,"CZK 25,000",731887,2+kk,8/31/2022,,G,,50 m²,Fully furnished,2,Brick,,,399.93,432.91,26.98,381.82,37.96,635.24,269.06,511.7,970.71,313.61,Prague - Vinohrady,50.07956,14.45426,Very good,,1.0,,,,,,,,,,,
"CZK 19,500","CZK 1,500","CZK 20,000",736364,1 bedroom,9/12/2022,,B,,33 m²,Partly,2,Prefab concrete,,,316.39,1037.18,438.67,1135.95,350.35,1013.99,444.71,245.89,1993.85,180.33,Prague - Kobylisy,50.13508,14.47123,Very good,,,,,,1.0,,1.0,,,,,
"CZK 7,500","CZK 1,500","CZK 18,000",688853,Other,7/1/2022,Personal,G,,31 m²,Unfurnished,,Brick,,,200.57,849.52,203.4,687.9,182.43,686.24,524.74,415.67,640.86,162.21,"Bulharská, Prague - Vršovice",50.07186,14.46305,Very good,,,,,,,,,,,,,
"CZK 27,501","CZK 5,000","CZK 40,000",732565,2+kk,10/1/2022,Personal,B,Central,58 m²,Partly,3,Other,Up to 10 years,Complete,345.23,1172.16,708.71,1335.11,118.68,1025.21,877.35,1167.12,43.97,292.3,"Cukrovarnická, Prague - Střešovice",50.094640315475,14.368989679002,New-build,,1.0,Luxurious,,1.0,1.0,1.0,,,1.0,,,
"CZK 17,000","CZK 3,400","CZK 20,400",735195,1 bedroom,9/26/2022,,G,,38 m²,Fully furnished,4,Prefab concrete,,,378.94,508.23,121.25,345.12,310.01,393.17,215.61,349.39,1160.21,203.79,Prague - Stodůlky,50.04779,14.34583,Very good,,,,,,,,,,,,,
"CZK 14,000","CZK 3,500","CZK 17,500",500196,2+kk,10/1/2022,Personal,C,,47 m²,Partly,4,Brick,,,248.63,1168.93,208.62,888.88,144.29,155.85,471.33,302.49,1263.33,91.95,"Holečkova, Prague - Smíchov",50.0726461,14.3900917,,,,,,,,,,,,,,
"CZK 15,500","CZK 1,000","CZK 15,500",736237,1 bedroom,9/12/2022,,C,,38 m²,Partly,2,Brick,,,263.91,392.87,292.05,419.81,59.45,338.14,186.03,293.45,552.34,458.44,Prague - Žižkov,50.08266,14.44689,Very good,,,,,,,,1.0,,,,,
"CZK 18,000","CZK 4,000","CZK 22,000",416712,2+kk,,Personal,B,,52 m²,Partly,1,Brick,,,208.66,1004.29,152.28,823.14,67.65,367.15,296.52,363.58,10.17,238.32,Prague - Břevnov,50.0843838,14.3782596,Very good,,,,,,,,,,,,,
"CZK 13,000","CZK 4,499","CZK 30,000",736234,2+kk,9/12/2022,,G,,49 m²,Partly,2,Brick,,,275.37,780.54,360.48,582.35,400.38,809.02,499.43,131.16,778.93,188.21,Prague - Nusle,50.0617,14.45221,Good,,,,,,,,,,1.0,,,
"CZK 14,000","CZK 3,500","CZK 28,000",735179,Studio,9/7/2022,,G,,27 m²,Fully furnished,3,Prefab concrete,,,335.07,589.94,203.34,490.57,272.38,255.37,249.48,103.14,1050.25,44.47,Prague - Střížkov,50.12665,14.49526,Very good,1.0,1.0,,,,1.0,,,,,,,
"CZK 16,500","CZK 3,300","CZK 19,800",735176,Studio,10/1/2022,,G,,30 m²,Fully furnished,1,Brick,,,195.12,867.74,62.52,586.39,83.23,257.18,288.89,320.22,267.74,209.92,Prague - Libeň,50.10745,14.49183,Very good,,,,,,,,,,,,,
"CZK 35,900","CZK 6,000",CZK 0,714313,2+kk,10/2/2022,Personal,C,Central,54 m²,Fully furnished,2,Brick,Up to 10 years,,272.02,210.14,23.15,386.93,95.61,262.55,143.76,286.0,485.98,170.46,"Kollárova, Prague - Karlín",50.09127,14.44921,New-build,,1.0,Standard,1.0,,1.0,1.0,,1.0,,,,
"CZK 35,000","CZK 9,000","CZK 70,000",732438,4+1,10/1/2022,,G,,144 m²,Partly,3,Brick,,,171.29,211.95,122.48,136.09,18.55,176.22,484.41,802.71,382.54,295.97,Prague - Bubeneč,50.10128,14.42327,Very good,,,,1.0,,1.0,,,,,,,
"CZK 28,000","CZK 4,500","CZK 28,000",736199,3+kk,9/30/2022,Personal,C,,71 m²,Partly,1,Brick,Up to 10 years,,115.76,2692.59,582.06,2669.69,596.64,2422.04,1894.42,1805.42,1543.94,105.72,Prague - Modřany,49.99122,14.4164,New-build,,1.0,Luxurious,,1.0,1.0,1.0,,1.0,,,,
"CZK 25,000","CZK 5,500","CZK 50,000",732035,3+kk,9/1/2022,,G,,80 m²,Partly,4,Brick,,,300.87,874.78,169.37,280.63,51.78,528.14,649.99,565.19,776.48,568.23,Prague - Žižkov,50.08594,14.43948,Very good,,1.0,,,1.0,,,,,,,,
"CZK 35,000",CZK 490,"CZK 35,000",584599,3+1,10/1/2022,Personal,G,Electric boiler,115 m²,Fully furnished,3,Brick,,Complete,235.09,750.04,190.44,609.02,147.66,390.52,438.65,258.58,274.37,269.57,"Krkonošská, Prague - Vinohrady",50.07954,14.444944,Very good,,,Luxurious,,,,,,,,,,
"CZK 25,000","CZK 3,500","CZK 25,000",603233,2+kk,9/20/2022,Personal,,Gas boiler,45 m²,Fully furnished,3,Brick,,,371.48,502.43,57.05,243.25,28.96,223.58,26.92,689.96,327.98,363.81,"Michalská, Prague - Staré Město",50.084426,14.42005,Very good,,1.0,Standard,,,,,,,,,,
"CZK 14,000","CZK 4,000","CZK 36,000",736226,Studio,10/1/2022,Personal,G,,36 m²,Partly,3,Brick,,,192.53,456.82,119.89,338.08,19.64,343.32,376.45,304.56,471.23,84.5,Prague - Libeň,50.10628,14.47564,Good,,,,,,1.0,,1.0,,,,,
"CZK 22,500","CZK 5,500","CZK 22,500",143341,2+kk,9/12/2022,Personal,,Central,52 m²,Fully furnished,5,Brick,,,352.95,593.06,21.78,1215.46,540.56,1003.74,518.7,442.18,509.85,433.27,"Vřesová, Prague - Troja",50.1267803,14.4324409,,,1.0,,1.0,,1.0,1.0,,,,,,
