Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Reconstruction,Condition,Ownership,EPC,Heating,Designe,Cellar,Balcony,Parking,Terrace,Garage,New-build,Enclosed balcony,Administrative fee,Plot space,Plot type,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 10,000","CZK 2,500",723936,Small studio,7/1/2022,20 m²,Fully furnished,,,294.42,595.44,95.3,370.38,20.25,526.88,508.84,415.42,616.27,206.02,Prague - Žižkov,50.08013,14.45882,"CZK 12,500",Brick,,,New-build,,C,,,,,1.0,,,,,,,,
"CZK 12,900","CZK 2,207",145046,1 bedroom,6/28/2022,40 m²,Partly,1,,139.22,1242.7,205.67,540.34,202.16,162.13,480.48,385.96,492.15,350.46,"Koulova, Prague - Dejvice",50.107998,14.3936916,"CZK 23,000",Brick,,,,Personal,,,,,,,,,,,,,,
"CZK 17,925","CZK 5,975",722005,Studio,8/11/2022,33 m²,Fully furnished,2,1.0,101.18,101.45,145.17,163.35,18.04,264.85,443.76,1400.9,420.74,148.07,"Sokolovská, Prague - Karlín",50.0933405,14.449225,,,,,,,,,,,,,,,,,,,,
"CZK 25,500","CZK 8,500",719991,Studio,8/12/2022,40 m²,Fully furnished,1,,29.42,633.87,151.61,536.64,130.46,316.51,387.63,899.46,984.19,128.97,"Šporkova, Prague - Malá Strana",50.0876289,14.3978335,,,,,,,,,,,,,,,,,,,,
"CZK 17,000",CZK 950,723346,2 bedroom,7/1/2022,43 m²,Partly,3,1.0,45.81,900.67,266.63,345.48,140.71,326.46,704.24,178.93,508.39,480.9,Prague - Nusle,50.05428,14.43851,"CZK 30,000",Brick,,,Good,,G,,,,,,,,,,,,,
"CZK 32,400","CZK 10,800",722376,2 bedroom,8/14/2022,62 m²,Fully furnished,2,1.0,115.5,432.36,102.25,252.86,101.54,270.19,296.51,392.65,201.07,164.93,"U Obecního dvora, Prague - Staré Město",50.091319,14.4234523,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 10,000",718922,Studio,6/30/2022,45 m²,Fully furnished,5,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,
"CZK 21,019","CZK 7,006",721725,Studio,8/8/2022,32 m²,Fully furnished,1,,419.83,740.81,425.23,494.96,193.69,893.21,285.06,623.78,454.44,365.18,"Nad Kolčavkou A, Prague - Libeň",50.1080609,14.4828384,,,,,,,,,,,,,,,,,,,,
"CZK 29,700","CZK 9,900",717598,Studio,8/6/2022,60 m²,Fully furnished,7,1.0,228.69,544.2,211.93,96.71,87.36,307.62,107.73,377.64,237.09,578.16,"Mánesova, Prague - Vinohrady",50.0778888,14.4403889,,,,,,,,,,,,,,,,,,,,
"CZK 18,075","CZK 6,025",720783,2 bedroom,7/22/2022,90 m²,Fully furnished,6,1.0,149.44,274.13,59.7,440.76,20.27,421.03,58.77,552.06,690.27,456.83,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",718920,2+kk,8/4/2022,60 m²,Fully furnished,3,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,1.0,,1.0,,,,,,,
