Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,Floor space,Fully furnished,Floor,Building type,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Condition,Balcony,Parking,Enclosed balcony,Age,Reconstruction,Heating,Designe,Garage,New-build,Domácí mazlíčci vítáni,Cellar,Terrace,Administrative fee,Plot type
"CZK 20,000","CZK 5,000","CZK 20,000",729979,2+kk,8/15/2022,,52 m²,Fully furnished,1,Other,1.0,147.37,951.08,153.05,538.29,374.51,662.93,209.14,1932.17,914.36,242.91,Prague - Zličín,50.05715,14.28452,G,Very good,1.0,1.0,,,,,,,,1.0,,,,
"CZK 10,900","CZK 3,798","CZK 14,698",730631,2+kk,9/1/2022,,43 m²,Partly,8,Prefab concrete,,256.32,973.77,271.19,227.25,271.81,311.37,128.71,282.21,617.34,142.38,Prague - Stodůlky,50.04385,14.31908,G,Good,,,,,,,,,,,1.0,,,
"CZK 14,000","CZK 7,500","CZK 16,000",621436,Studio,9/1/2022,Personal,40 m²,Fully furnished,1,Brick,,324.8,935.35,338.0,1038.12,168.04,650.8,580.16,549.31,350.29,231.28,"Nad Závěrkou, Prague - Břevnov",50.082898,14.379058,G,Very good,,,,,,,,,,,1.0,,,
"CZK 18,000",CZK 0,"CZK 16,000",730625,2 bedroom,8/20/2022,,70 m²,Partly,1,Brick,,116.18,1129.79,507.6,1052.84,342.54,826.51,467.99,680.11,864.92,474.26,Prague - Řepy,50.07081,14.30226,G,Good,,1.0,,Over 50 years,Interior,,,,,1.0,,,,
"CZK 17,000","CZK 3,000","CZK 30,000",678107,3+1,10/1/2022,Cooperative,82 m²,Partly,4,Prefab concrete,1.0,139.15,489.42,691.61,2969.27,540.85,838.62,952.02,1515.86,1660.06,368.03,"V Rohu, Prague - Libuš",50.01091,14.46631,C,Very good,1.0,,,,Bathroom unit,Central,,,,,1.0,,,
"CZK 12,000","CZK 2,000","CZK 14,000",653606,Small studio,8/22/2022,Personal,27 m²,Partly,5,Prefab concrete,1.0,237.35,1324.02,187.22,827.98,223.46,203.35,395.87,203.45,494.31,112.65,"Písečná, Prague - Troja",50.12429,14.44174,G,Good,,,1.0,,,Distance,,,,,,,,
"CZK 12,000","CZK 3,000","CZK 15,000",650716,Small studio,9/1/2022,Personal,33 m²,Partly,6,Brick,1.0,423.15,2168.74,1870.0,2245.52,406.28,2025.04,1219.49,2119.55,370.39,1106.24,"Šífařská, Prague - Hodkovičky",50.020821,14.40306,A,New-build,1.0,1.0,,Up to 10 years,,Distance,Luxurious,,1.0,,,,,
"CZK 19,000","CZK 4,000","CZK 19,000",514627,2+kk,9/1/2022,Personal,53 m²,Partly,8,Other,1.0,436.45,482.38,355.27,2168.88,451.43,585.29,902.55,311.64,478.12,124.82,"Kytínská, Prague - Hostivař",50.0529798,14.5443391,,New-build,1.0,,,Up to 10 years,,Distance,Standard,1.0,1.0,,1.0,,,
"CZK 14,000","CZK 1,930","CZK 31,860",437630,Studio,8/20/2022,Personal,32 m²,Fully furnished,5,Low-energy,1.0,777.75,1515.39,1436.1,2118.41,297.18,1411.22,1521.23,1349.24,501.91,402.89,"Kadečkové, Prague - Letňany",50.1425035,14.5253098,B,New-build,1.0,,,Up to 10 years,,Distance,Luxurious,1.0,1.0,,,,,
"CZK 18,000","CZK 4,500","CZK 20,000",613343,2+kk,10/1/2022,Personal,46 m²,,4,Brick,1.0,526.76,1019.91,431.15,1156.37,479.61,952.31,597.42,464.21,605.37,264.73,"Mírového Hnutí, Prague - Háje",50.037896,14.521034,A,Very good,1.0,1.0,,,,,,1.0,,,,,,
"CZK 9,500","CZK 4,500","CZK 16,000",326191,2+kk,8/20/2022,Personal,45 m²,Partly,,Brick,,118.21,901.07,270.57,440.14,356.62,402.74,697.18,657.21,541.06,238.94,"Nad Krocínkou, Prague - Prosek",50.1160844,14.5019544,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 4,000","CZK 35,000",421225,2+kk,10/1/2022,Personal,52 m²,Partly,4,Brick,1.0,324.34,473.47,296.86,224.17,158.4,158.73,795.72,748.5,192.56,232.72,"Nepilova, Prague - Vysočany",50.110728,14.4959744,A,Very good,1.0,1.0,,,,,,,,,,,,
"CZK 16,500","CZK 6,000","CZK 33,000",730617,2+kk,9/1/2022,,57 m²,Partly,4,Brick,1.0,352.88,459.2,344.74,2082.0,594.17,633.94,971.66,204.9,5317.79,225.18,Prague - Zbraslav,49.96156,14.38226,G,Very good,1.0,1.0,,,,Distance,,,,,1.0,,,
"CZK 16,900","CZK 3,100","CZK 30,000",617632,2+kk,6/25/2022,Personal,44 m²,Partly,2,Prefab concrete,1.0,339.5,258.78,154.1,328.9,36.49,237.37,731.05,965.96,1127.37,353.92,"Olštýnská, Prague - Troja",50.127794,14.42029,B,Very good,1.0,,,Up to 10 years,Interior,Distance,Standard,,,,,,,
"CZK 17,829","CZK 2,000","CZK 40,000",728348,2+kk,8/2/2022,,42 m²,Fully furnished,8,Prefab concrete,1.0,66.96,672.24,233.95,511.93,198.85,128.91,217.4,629.67,272.59,147.55,Prague - Letňany,50.13562,14.50983,C,Good,,,,,,,,,,,1.0,,,
"CZK 28,235","CZK 5,289","CZK 60,000",728132,4+kk,9/1/2022,,99 m²,Partly,1,Brick,,202.61,529.78,235.18,323.22,88.92,261.38,106.14,367.73,96.61,432.73,Prague - Vinohrady,50.07836,14.44153,B,Good,,1.0,,,,,,,,,,,,
"CZK 19,900","CZK 3,900","CZK 47,600",547694,2+kk,9/1/2022,Personal,40 m²,Fully furnished,5,Brick,1.0,247.6,612.03,162.08,212.68,150.4,308.87,373.02,109.89,426.4,395.65,"Pod Slovany, Prague - Nové Město",50.0712083,14.4161981,E,New-build,,1.0,,Up to 10 years,Interior,Gas boiler,Standard,,1.0,,,,,
"CZK 18,000","CZK 2,500","CZK 15,000",730611,2+kk,9/1/2022,,487 m²,Fully furnished,2,Prefab concrete,,432.47,869.51,516.98,547.07,76.89,490.6,587.46,571.61,689.8,392.87,Prague - Stodůlky,50.04872,14.32451,G,Very good,,,,,,,,,,,1.0,,,
"CZK 21,000","CZK 6,000","CZK 50,000",730609,3+kk,9/1/2022,,63 m²,Partly,2,Brick,,261.41,912.52,281.87,426.36,218.4,429.59,471.08,561.14,311.81,403.98,Prague - Nusle,50.059,14.43643,G,Very good,,,,,,,,,,,1.0,,,
"CZK 18,000","CZK 5,500","CZK 24,000",186131,2+kk,8/17/2022,Personal,55 m²,Unfurnished,2,Brick,,195.19,877.98,502.29,700.39,241.47,555.71,968.09,689.81,1187.43,292.12,Prague - Strašnice,50.079646,14.5076921,,Very good,,,,Up to 10 years,,Central,Standard,,,,,,,
"CZK 3,000","CZK 2,500","CZK 3,000",519288,3+kk,9/1/2022,Personal,104 m²,Partly,1,Brick,1.0,96.33,542.63,85.99,322.57,25.69,320.91,135.51,230.39,466.15,198.39,"Kodaňská, Prague - Vršovice",50.0706748,14.4587171,,Very good,,,,Up to 10 years,Complete,Gas boiler,Standard,,,,1.0,,,
"CZK 13,800","CZK 2,297","CZK 13,800",448060,Studio,8/21/2022,Personal,31 m²,Partly,4,Brick,1.0,777.75,1515.39,1436.1,2118.41,297.18,1411.22,1521.23,1349.24,501.91,402.89,"Kadečkové, Prague - Letňany",50.1425035,14.5253098,A,New-build,1.0,,,Up to 10 years,,,Standard,,1.0,,1.0,1.0,,
"CZK 28,000","CZK 4,826","CZK 56,000",730307,3+kk,10/1/2022,,91 m²,Partly,5,Brick,1.0,146.4,1732.33,705.79,1697.51,857.78,1365.7,1665.15,1342.58,942.96,164.01,Prague - Stodůlky,50.0587,14.32951,G,Very good,1.0,1.0,,,,,,1.0,,,1.0,1.0,,
"CZK 12,000","CZK 3,500","CZK 14,998",462357,Studio,9/1/2022,Personal,30 m²,Fully furnished,1,Brick,1.0,284.43,507.29,365.12,812.22,599.34,727.47,422.24,502.02,543.1,195.13,"Padovská, Prague - Horní Měcholupy",50.0426908,14.550883,,,,,,,,,,1.0,,,1.0,,,
"CZK 17,500","CZK 4,500","CZK 22,000",177188,2+kk,10/1/2022,Personal,50 m²,Fully furnished,4,Brick,1.0,129.15,496.6,548.8,535.24,652.16,641.56,642.27,943.64,1359.31,423.04,Prague - Stodůlky,50.0619404,14.3107778,,,1.0,1.0,,Up to 10 years,,Electric boiler,,,1.0,,,,,
"CZK 8,000","CZK 2,500","CZK 10,000",730602,Small studio,8/20/2022,,20 m²,Partly,2,Brick,1.0,21.66,563.57,388.46,96.14,90.12,213.81,275.66,777.19,740.71,286.45,Prague - Smíchov,50.07176,14.4021,G,Good,,,,Over 50 years,,Electric boiler,,,,,,,,
"CZK 14,900","CZK 3,300","CZK 30,000",570282,Studio,10/1/2022,Personal,33 m²,Fully furnished,2,Brick,1.0,217.82,1579.87,778.68,898.42,525.92,766.94,621.01,720.34,2166.54,559.12,"Štverákova, Prague - Horní Počernice",50.1118599,14.6268181,B,,1.0,,,,,,,,1.0,,,,,
"CZK 24,500","CZK 3,900","CZK 28,400",647743,2+kk,8/23/2022,Personal,52 m²,Fully furnished,6,Brick,1.0,321.74,272.42,32.18,227.85,42.93,69.06,244.65,812.35,163.33,572.38,"Opletalova, Prague - Nové Město",50.0814214,14.4299039,D,Very good,,1.0,,,Complete,Central,Luxurious,,,,,1.0,,
"CZK 10,000","CZK 3,000","CZK 13,000",164266,Studio,8/31/2022,Personal,33 m²,Unfurnished,2,Brick,,306.66,1179.67,410.22,1895.33,122.95,1226.13,779.0,1363.02,1258.88,88.64,"Jordánská, Prague - Kyje",50.1100749251,14.560223236,A,Very good,1.0,1.0,,Up to 10 years,,,,1.0,1.0,,1.0,,,
"CZK 14,900","CZK 4,800","CZK 39,300",305093,2+kk,10/3/2022,Personal,48 m²,Fully furnished,2,Brick,,96.06,765.97,227.0,244.45,116.36,398.12,490.03,484.99,430.44,337.94,"Jeseniova, Prague - Žižkov",50.0878963,14.4653059,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,718920,2+kk,9/8/2022,,60 m²,Fully furnished,3,,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,1.0,,,,,,,,,,,1.0,,
"CZK 29,500","CZK 6,000","CZK 29,500",730596,3+1,8/23/2022,,69 m²,Unfurnished,6,Brick,1.0,251.15,665.44,128.98,173.17,28.33,148.87,349.95,431.04,163.8,540.76,Prague - Holešovice,50.10039,14.43109,G,Very good,1.0,,1.0,,,,,,,,1.0,,,
"CZK 18,000","CZK 4,124","CZK 18,000",730266,2+kk,10/1/2022,,54 m²,Partly,5,Brick,1.0,175.3,564.49,102.46,100.04,144.3,390.19,592.06,397.3,382.76,510.05,Prague - Smíchov,50.07141,14.40787,G,Good,,,,,,,Standard,,,,,1.0,,
"CZK 13,000",CZK 0,"CZK 13,000",729911,Studio,9/1/2022,,36 m²,Fully furnished,,Brick,,323.42,1575.2,1109.44,1343.97,1257.51,1799.06,1288.39,1403.21,499.67,448.07,Prague - Hloubětín,50.09394,14.52976,C,Good,,,,,,,,,,,,,,
"CZK 20,000","CZK 2,500","CZK 22,000",577284,2+kk,10/23/2022,Cooperative,62 m²,Partly,1,Low-energy,1.0,33.11,987.61,363.88,969.16,628.75,914.45,908.02,958.36,839.36,322.99,"Saarinenova, Prague - Hloubětín",50.1067841,14.5284169,,New-build,,,,Up to 10 years,,Distance,Luxurious,,1.0,,,1.0,,
"CZK 31,500","CZK 10,500",,724600,2+kk,9/5/2022,,56 m²,Fully furnished,4,,,91.98,204.34,98.75,50.9,42.55,154.76,196.57,433.55,409.29,205.78,"náměstí Bratří Synků, Prague - Nusle",50.0640124,14.439955,,,,,,,,,,,,,,,,
"CZK 26,925","CZK 8,975",,730588,Studio,9/23/2022,,30 m²,Fully furnished,2,,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,
"CZK 9,300","CZK 4,500","CZK 15,000",729762,Studio,8/20/2022,,26 m²,Partly,2,Brick,1.0,114.97,208.62,396.31,1615.36,9.96,1381.57,274.93,170.26,414.89,259.12,Prague - Střešovice,50.08912,14.38529,G,Very good,1.0,1.0,,,,,,,,,,,,
"CZK 21,000","CZK 1,500","CZK 21,000",697671,2+kk,8/31/2022,Personal,64 m²,Partly,,Brick,,171.69,1015.59,407.1,797.48,264.17,765.75,520.57,495.17,663.79,270.66,"Pod Lázní, Prague - Nusle",50.0586,14.44228,B,Very good,,1.0,,Up to 10 years,Complete,Gas boiler,Standard,,1.0,,,,,
"CZK 12,000","CZK 3,000","CZK 20,000",275844,1 bedroom,9/1/2022,Personal,35 m²,Partly,1,Brick,,325.63,647.92,361.45,532.99,389.75,462.14,521.63,491.27,1145.53,208.4,"Zachova, Prague - Krč",50.0395754,14.4450065,,Very good,,,,Up to 10 years,Interior,Gas boiler,Standard,,,,,,,
"CZK 14,500",CZK 0,"CZK 14,500",727859,Studio,8/1/2022,Personal,42 m²,Fully furnished,1,Prefab concrete,1.0,406.25,992.01,179.15,816.42,163.67,350.4,524.05,477.87,585.78,346.29,Prague - Strašnice,50.07006,14.49794,G,Very good,,,1.0,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,717602,2+kk,9/1/2022,,56 m²,Fully furnished,5,,1.0,242.69,541.12,99.79,271.87,177.08,314.62,456.71,820.48,635.04,594.38,"Mečislavova, Prague - Nusle",50.0633339,14.4440155,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,500","CZK 47,000",730581,Studio,8/20/2022,,30 m²,Fully furnished,3,Brick,,249.44,775.46,296.54,454.56,346.44,471.4,754.24,623.73,388.52,189.67,Prague - Strašnice,50.07918,14.48536,C,New-build,1.0,,,,Complete,Central,Luxurious,,1.0,,,1.0,,
"CZK 18,000","CZK 4,950","CZK 25,000",416776,3+kk,9/1/2022,Personal,65 m²,Partly,6,Prefab concrete,,265.87,1107.74,271.42,1167.73,433.23,230.71,123.43,710.85,1212.58,94.84,"Tererova, Prague - Chodov",50.0240198,14.5211528,,,1.0,,,,Complete,Central,Standard,,,,,,,
"CZK 22,500","CZK 5,000","CZK 45,000",683548,2+kk,10/1/2022,Personal,68 m²,Partly,4,Brick,1.0,231.82,688.19,238.77,396.79,288.67,346.25,666.97,484.38,370.9,167.66,"Janýrova, Prague - Strašnice",50.0792694,14.4866147,D,Very good,1.0,1.0,,,,Distance,,1.0,,,1.0,1.0,,
"CZK 33,825","CZK 11,275",,726076,2 bedroom,9/15/2022,,79 m²,Fully furnished,5,,1.0,270.45,1172.6,186.32,213.17,97.89,229.78,181.65,481.59,415.95,182.56,"Neklanova, Prague - Vyšehrad",50.0667103,14.4200265,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",,728060,1 bedroom,9/24/2022,,50 m²,Fully furnished,2,,,187.82,338.29,111.0,241.4,39.4,347.76,25.85,486.49,569.58,575.91,"Karmelitská, Prague - Malá Strana",50.08657,14.4033198,,,,,,,,,,,,,,,,
"CZK 12,250","CZK 2,615","CZK 20,000",485661,Studio,9/1/2022,Personal,50 m²,Partly,,Prefab concrete,,227.37,259.16,190.25,329.28,123.0,273.52,789.96,952.36,1293.57,401.17,"Hnězdenská, Prague - Troja",50.1263568,14.4202859,C,Very good,,,,10 to 30 years,Interior,Distance,,,,,,,,
"CZK 48,645","CZK 16,215",,726073,3+1,9/15/2022,,55 m²,Fully furnished,2,,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,725775,2+kk,9/11/2022,,60 m²,Fully furnished,4,,1.0,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,
"CZK 31,875","CZK 10,625",,725887,2 bedroom,9/13/2022,,65 m²,Fully furnished,2,,,181.41,298.0,1.34,322.55,4.35,512.55,359.47,791.01,446.67,323.95,"Karlova, Prague - Staré Město",50.0859967,14.4175762,,,,,,,,,,,,,,,,
"CZK 28,800","CZK 5,800","CZK 45,000",566375,2 bedroom,9/1/2022,Personal,65 m²,Fully furnished,1,Brick,1.0,124.79,451.96,157.36,293.51,128.12,183.56,213.19,293.47,135.81,471.93,"Mánesova, Prague - Vinohrady",50.0779063,14.4417343,G,,1.0,,,,,Gas boiler,,,,,,,,
"CZK 34,650","CZK 11,550",,726077,2 bedroom,9/15/2022,,100 m²,Fully furnished,3,,1.0,47.36,89.7,50.91,353.17,50.36,559.15,144.5,503.29,323.37,346.2,"Plaská, Prague - Malá Strana",50.0806597,14.4049697,,,,,,,,,,,,,,,,
"CZK 36,450","CZK 12,150",,726075,3+kk,10/10/2022,,82 m²,Fully furnished,6,,1.0,101.2,551.63,76.94,167.66,45.43,94.55,322.6,504.78,539.56,607.69,"Rumunská, Prague - Vinohrady",50.0739629,14.4309041,,,,,,,,,,,,,,,,
"CZK 46,530","CZK 15,510",,726063,2 bedroom,9/8/2022,,48 m²,Fully furnished,2,,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",,723520,1 bedroom,9/24/2022,,30 m²,Fully furnished,3,,1.0,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",,728694,2 bedroom,10/4/2022,,53 m²,Fully furnished,9,,1.0,125.93,351.52,458.39,239.89,349.44,469.18,335.68,124.41,1424.09,330.78,"Arabská, Prague - Vokovice",50.0992269,14.3632307,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,720700,2+kk,9/12/2022,,60 m²,Fully furnished,2,,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,
"CZK 63,750","CZK 21,250",,729471,3+1,10/10/2022,,120 m²,Fully furnished,3,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,
"CZK 63,413","CZK 21,137",,730189,3+kk,10/16/2022,,62 m²,Fully furnished,3,,1.0,2.22,191.43,20.53,48.07,1.19,48.35,128.16,305.9,208.92,259.31,"Dlouhá, Prague - Staré Město",50.0907943,14.427063,,,,,,,,,,,,,,,,
"CZK 43,500","CZK 14,500",,730187,2 bedroom,10/16/2022,,82 m²,Fully furnished,3,,1.0,153.03,376.72,146.99,646.6,45.07,502.75,147.12,62.23,673.09,485.89,"Jana Masaryka, Prague - Vinohrady",50.0723321,14.4399493,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 6,000",,730186,Studio,10/16/2022,,21 m²,Fully furnished,5,,1.0,343.73,639.29,118.56,534.69,89.23,275.1,341.07,136.6,194.25,439.23,"Polská, Prague - Vinohrady",50.0783707,14.4448312,,,,,,,,,,,,,,,,
"CZK 56,250","CZK 18,750",,730578,2+kk,10/19/2022,,47 m²,Fully furnished,3,,1.0,145.3,409.63,254.35,292.12,59.28,309.45,136.5,419.43,177.03,511.6,"Elišky Krásnohorské, Prague - Josefov",50.0906304,14.4198248,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,300","CZK 30,000",730577,Studio,8/31/2022,,37 m²,Unfurnished,,Brick,,104.02,730.89,370.9,1062.59,199.68,739.54,425.64,271.77,238.27,354.71,Prague - Smíchov,50.06514,14.39497,C,Good,,,,,,,,,,,,1.0,,
"CZK 8,000","CZK 1,500",CZK 0,666742,Small studio,8/22/2022,Personal,14 m²,Fully furnished,1,Brick,,63.56,2382.3,502.13,2085.54,453.16,1020.53,1623.0,348.67,951.91,676.91,"Bělohorská, Prague - Břevnov",50.07573,14.33054,A,Good,,1.0,,10 to 30 years,,Central,Standard,,,,,,,
"CZK 8,000","CZK 1,500",CZK 0,729860,Small studio,8/22/2022,,14 m²,Fully furnished,3,Brick,,63.56,2382.3,502.13,2085.54,453.16,1020.53,1623.0,348.67,951.91,676.91,Prague - Břevnov,50.07573,14.33054,G,New-build,,,,Up to 10 years,,,Standard,,,1.0,,,,
"CZK 31,050","CZK 10,350",,730431,3+1,9/3/2022,,111 m²,Fully furnished,1,,,208.61,131.46,936.81,2564.81,336.74,613.32,243.84,2102.93,1889.94,338.05,"K Zámku, Prague - Dolní Počernice",50.0890765,14.5799076,,,1.0,,,,,,,,,,,1.0,,
"CZK 33,750","CZK 11,250",,726019,2+kk,8/24/2022,,75 m²,Fully furnished,6,,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,1.0,,,,,,,,,,,1.0,,
"CZK 42,120","CZK 14,040",,724853,2+kk,9/12/2022,,45 m²,Fully furnished,4,,1.0,336.41,302.29,48.66,211.39,57.6,35.65,274.52,787.09,193.2,587.05,"Opletalova, Prague - Nové Město",50.0812219,14.4297716,,,,,,,,,,,,,,,,
"CZK 41,625","CZK 13,875",,720848,4+kk,10/2/2022,,112 m²,Fully furnished,4,,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,1.0,,,,,,,,,,,1.0,,
"CZK 56,475","CZK 18,825",,723104,3+kk,8/24/2022,,67 m²,Fully furnished,2,,1.0,110.1,273.82,156.66,129.22,76.56,142.67,300.13,496.4,282.11,367.31,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,1.0,,,,,,,,,,,1.0,,
"CZK 14,800","CZK 2,300","CZK 28,000",730553,1 bedroom,10/1/2022,,43 m²,Partly,3,Brick,,401.18,749.85,140.97,350.8,185.5,213.93,310.4,836.12,264.45,209.65,Prague - Karlín,50.09247,14.45611,G,Very good,1.0,1.0,,,,,,,,,,,,
"CZK 27,000","CZK 5,000","CZK 28,000",730552,2 bedroom,8/19/2022,,93 m²,Fully furnished,1,Brick,1.0,117.81,529.81,10.96,245.69,114.6,371.46,233.79,188.42,694.67,259.6,Prague - Vinohrady,50.07558,14.45754,G,Very good,,,,,,,,,,,1.0,,,
"CZK 28,000",CZK 700,"CZK 28,000",730414,2 bedroom,8/18/2022,Personal,86 m²,Fully furnished,3,Brick,1.0,228.51,497.33,58.47,391.83,96.19,311.74,217.56,124.03,354.02,362.52,Prague - Vinohrady,50.07892,14.44711,G,Very good,,,,,Complete,,,,,,,,,
"CZK 12,868","CZK 2,132","CZK 15,000",585948,2+kk,10/1/2022,Personal,36 m²,Partly,12,Prefab concrete,1.0,324.6,243.87,139.2,314.0,51.4,222.46,745.96,951.05,1137.62,350.11,"Olštýnská, Prague - Troja",50.127672,14.420039,C,Good,,,,30 - 50 years,Complete,Central,Standard,,,,,,,
"CZK 16,700","CZK 7,300","CZK 30,000",729190,2+kk,8/22/2022,,53 m²,Partly,4,Brick,1.0,121.92,892.84,110.89,81.84,92.41,239.77,248.85,617.42,394.99,727.14,Prague - Holešovice,50.10062,14.43414,D,Very good,,1.0,,,Complete,Central,Standard,,,,1.0,,,
"CZK 32,000","CZK 6,000","CZK 64,000",729867,3+kk,9/1/2022,,86 m²,Partly,3,Brick,1.0,619.74,957.8,1278.08,1960.39,141.51,1073.98,1363.22,1191.22,343.89,293.25,Prague - Letňany,50.14159,14.52344,B,New-build,1.0,,,,,,,1.0,,,,,,
"CZK 14,900","CZK 2,100","CZK 29,000",730544,Studio,10/1/2022,,40 m²,Fully furnished,1,Low-energy,,238.89,1093.41,192.63,756.92,68.18,369.6,298.96,478.79,220.68,369.05,Prague - Břevnov,50.08357,14.3772,A,New-build,,,,,,,,,,,,1.0,,
"CZK 15,000","CZK 2,700","CZK 22,000",574643,2 bedroom,9/1/2022,Personal,54 m²,Partly,3,Brick,,78.31,270.98,111.86,177.77,220.6,148.23,200.59,169.97,686.53,257.79,"Na Petřinách, Prague - Břevnov",50.088277,14.346283,D,Very good,,,1.0,,Interior,Distance,,,,,,,,
"CZK 13,000","CZK 4,500","CZK 26,000",729825,2+kk,9/15/2022,,46 m²,Partly,1,Prefab concrete,,174.03,594.0,541.65,1059.35,209.58,827.67,730.29,210.17,539.55,220.53,Prague - Záběhlice,50.0534,14.50354,C,Good,,,1.0,,,,,,,,,,,
"CZK 21,000","CZK 6,500","CZK 42,000",607367,2+kk,9/1/2022,Personal,55 m²,Fully furnished,4,Brick,1.0,198.58,426.93,115.73,304.68,64.1,257.35,115.49,281.56,645.2,300.83,"Mlynářská, Prague - Nové Město",50.0920451,14.4340658,E,Very good,,,,Up to 10 years,Interior,Gas boiler,Standard,,,,,,,
"CZK 37,350","CZK 12,450",,730539,2+kk,9/19/2022,,68 m²,Fully furnished,2,,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,500","CZK 36,000",582936,3+kk,9/1/2022,Personal,56 m²,Unfurnished,1,Brick,,231.73,136.03,189.78,194.29,137.29,225.81,43.12,382.88,71.25,292.35,"Saratovská, Prague - Strašnice",50.075045,14.492493,G,Very good,,,,,Complete,Central,,,,,1.0,,,
"CZK 10,000","CZK 2,000","CZK 10,000",730532,Small studio,9/1/2022,,21 m²,Unfurnished,3,Brick,,158.8,977.15,154.16,694.26,24.31,3.94,370.55,455.77,411.28,343.95,Prague - Strašnice,50.0688,14.49417,G,Very good,,1.0,,,,,,,,,1.0,,,
"CZK 21,200","CZK 4,500","CZK 21,200",487779,2+kk,9/1/2022,Personal,53 m²,Fully furnished,4,Brick,1.0,229.21,413.18,460.16,1578.34,194.59,1206.62,479.48,374.81,377.87,266.78,"Za Hládkovem, Prague - Střešovice",50.0892763,14.3838556,C,Very good,1.0,,,Up to 10 years,Complete,Central,Standard,,,,,,,
"CZK 30,000","CZK 4,000","CZK 50,000",730455,4+kk,9/1/2022,Personal,75 m²,Partly,2,Brick,1.0,247.64,1134.25,797.93,954.31,604.14,1009.82,681.55,1051.65,671.69,96.45,Prague - Řeporyje,50.03934,14.32273,G,Very good,,1.0,,Up to 10 years,,Distance,Standard,,,,1.0,1.0,,
"CZK 12,000",CZK 750,"CZK 12,000",730527,1 bedroom,9/1/2022,,45 m²,Partly,4,Brick,,153.35,303.75,10.45,286.53,24.33,238.01,302.67,247.29,712.85,737.48,Prague - Vinohrady,50.07217,14.43243,G,Good,,,,,,,,,,,,,,
"CZK 25,900","CZK 2,700","CZK 47,800",558740,3+kk,10/1/2022,Personal,94 m²,Partly,1,Brick,,93.85,153.95,23.81,257.54,16.23,257.06,307.72,502.7,285.55,255.73,"Oblouková, Prague - Vršovice",50.0670925,14.4558324,G,Good,1.0,,,Over 50 years,Interior,Gas boiler,Luxurious,,,,1.0,,,
"CZK 39,900","CZK 7,900","CZK 60,000",677432,2+kk,9/29/2022,Personal,96 m²,Fully furnished,3,Low-energy,1.0,166.67,762.32,499.85,585.69,59.37,484.49,448.28,585.57,856.34,214.37,"Kobrova, Prague - Smíchov",50.07381,14.39677,A,New-build,1.0,1.0,,,,,,1.0,,,1.0,,,
