Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Age,Design,Heating,Total number of floors,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Administration fee,Ownership Type,PENB,Renovation,New building,Front garden,Developer name,Project name,Kód jednotky
582294,"CZK 20,500",50.091065,14.477632,"Biskupcova, Prague - Žižkov",2 bedroom with open-plan kitchen,Excellent,65 m²,"CZK 2,500","CZK 20,500",Brick building,Partially furnished,5,No,No,Yes,No,No,Yes,No,16. 05. 2022,,,,,224,"1,029",202,309,326,391,259,288,395,345,,Personal,E,,,,,,
713902,"CZK 10,500",50.0636028,14.435896,"Boleslavova, Prague - Nusle",1 bedroom,Excellent,50 m²,CZK 490,"CZK 10,500",Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 05. 2022,,,,,367,379,243,313,382,484,259,353,404,331,,Personal,G,,,,,,
290009,"CZK 10,500",50.0780988,14.5007519,"Kounická, Prague - Strašnice",1 bedroom,,45 m²,"CZK 2,660","CZK 15,000",Brick building,Partially furnished,,No,No,No,No,No,No,No,,,,,Ground floor,227,556,213,533,215,487,530,568,"1,315",304,,Personal,,,,,,,
711450,"CZK 17,000",50.03876,14.32323,"Kakosova, Prague - Řeporyje",1 bedroom with open-plan kitchen,New build,57 m²,"CZK 4,700","CZK 34,000",Brick building,Furnished,4,No,Yes,No,No,No,Yes,No,01. 05. 2022,,,Central heating,Top floor,222,"1,211",885,"1,074",483,"1,035",695,"1,115",621,75,,Personal,B,,Yes,,,,
451726,"CZK 20,000",50.0834475,14.3447623,"Na Klášterním, Prague - Břevnov",3 bedroom,Excellent,71 m²,"CZK 5,000","CZK 25,000",Prefab concrete building,Furnished,1,No,No,No,No,No,No,No,01. 06. 2022,,Premium materials and solutions,District heating,Raised ground floor,234,860,251,622,344,640,339,147,523,262,,Personal,,Overall,,,,,
590755,"CZK 16,800",50.073647,14.416906,"Na Moráni, Prague - Nové Město",2 bedroom,Good,60 m²,CZK 500,"CZK 16,782",Brick building,,5,No,No,No,No,No,No,No,12. 04. 2022,,,,,136,344,79,149,75,217,342,430,752,269,,Personal,A,,,,,,
713886,"CZK 13,500",50.0998507,14.4364065,"Podplukovníka Sochora, Prague - Holešovice",Studio,Excellent,20 m²,"CZK 2,000","CZK 15,500",Brick building,Furnished,2,No,No,No,No,No,Yes,No,12. 04. 2022,,,,,139,"1,065",99,268,197,177,164,"1,304",526,759,,Cooperative,G,,,,,,
209991,"CZK 11,900",50.0839945,14.4485314,"Vlkova, Prague - Žižkov",Studio,Excellent,18 m²,CZK 700,"CZK 11,900",Brick building,Unfurnished,3,No,No,No,No,No,No,No,12. 04. 2022,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,298,136,126,163,118,157,80,230,296,462,,Personal,,Overall,,,,,
713112,"CZK 35,000",50.02094,14.41331,"U Zátiší, Prague - Hodkovičky",2 bedroom with open-plan kitchen,Excellent,110 m²,"CZK 6,000","CZK 60,000",Brick building,Furnished,6,No,Yes,No,No,No,Yes,Yes,18. 04. 2022,,,,,253,"1,412","1,277","1,370",489,"1,491",183,,,,,Personal,A,,,,,,
713879,"CZK 12,500",50.07847,14.44563,"Polská, Prague - Vinohrady",Small studio,Excellent,30 m²,CZK 800,"CZK 1,200",Brick building,Furnished,4,No,No,No,No,No,Yes,No,11. 04. 2022,,,Gas boiler,Top floor,391,639,26,496,37,339,315,78,245,393,,Personal,G,,,,,,
713875,"CZK 14,000",50.1028,14.49695,"Českomoravská, Prague - Libeň",Studio,Excellent,48 m²,"CZK 4,650","CZK 20,000",Prefab concrete building,Furnished,3,Yes,No,No,No,Yes,Yes,No,02. 05. 2022,,,,,126,589,273,189,186,90,541,"1,080",637,392,,Personal,B,,,,,,
713873,"CZK 9,900",50.04546,14.45075,"Batelovská, Prague - Michle",Small studio,Excellent,28 m²,"CZK 2,000","CZK 12,000",Prefab concrete building,Partially furnished,12,No,No,Yes,No,No,Yes,No,20. 04. 2022,,,,,215,629,259,270,60,275,199,735,630,89,,Personal,G,,,,,,
713872,"CZK 17,625",50.1245336,14.4947443,"Jablonecká, Prague - Střížkov",1 bedroom with open-plan kitchen,,45 m²,"CZK 5,875",,,Furnished,10,Yes,No,No,No,No,Yes,No,13. 04. 2022,,,,,258,317,139,255,130,153,532,446,849,24,,,,,,,,,
623604,"CZK 10,500",50.056041,14.447178,"Družnosti, Prague - Nusle",1 bedroom,Excellent,35 m²,"CZK 3,500","CZK 10,500",Brick building,Partially furnished,2,No,No,No,No,No,No,No,04. 01. 2022,over 50 years years,Standard materials and solutions,Gas boiler,Middle floor,452,893,155,455,430,"1,053",355,299,935,293,,Personal,G,Interior,,,,,
713865,"CZK 16,500",50.06064,14.39971,"Na Neklance, Prague - Smíchov",Studio,New build,28 m²,"CZK 2,500","CZK 19,000",Other,Partially furnished,4,Yes,No,No,No,No,Yes,Yes,11. 04. 2022,,,,,161,895,212,926,204,442,602,741,663,541,,Personal,G,,,,,,
446569,"CZK 17,500",50.0886908,14.4828424,"Olgy Havlové, Prague - Žižkov",1 bedroom with open-plan kitchen,,54 m²,"CZK 3,500",CZK 1,Brick building,Partially furnished,3,Yes,No,Yes,No,No,No,No,18. 04. 2022,1 to 10 years years,,,,413,883,458,643,229,686,510,323,373,136,,Personal,,,,,,,
711674,"CZK 17,000",50.10235,14.42751,"Umělecká, Prague - Holešovice",1 bedroom with open-plan kitchen,New build,54 m²,"CZK 1,000","CZK 34,000",Brick building,Unfurnished,3,No,No,No,No,No,No,No,12. 04. 2022,,,Electric boiler,Middle floor,179,550,128,276,153,391,78,137,479,,,Personal,G,,,,,,
656240,"CZK 12,500",50.07128,14.45162,"Kodaňská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,38 m²,"CZK 3,000","CZK 15,500",Brick building,Furnished,1,No,No,No,No,Yes,No,No,01. 05. 2022,,,,,29,628,29,211,0,483,70,355,283,305,,Personal,G,,,,,,
657522,"CZK 14,500",50.06862,14.40104,"Ostrovského, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,61 m²,"CZK 3,000","CZK 17,500",Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 05. 2022,,,,,27,143,131,268,19,44,346,591,852,149,,Personal,D,,,,,,
713860,"CZK 9,000",50.07381,14.45633,"Hradešínská, Prague - Vinohrady",Small studio,Good,33 m²,"CZK 1,600","CZK 9,000",Brick building,Unfurnished,-1,No,No,No,No,No,Yes,No,12. 04. 2022,,,,,339,692,296,549,277,445,389,257,680,268,,Personal,G,,,,,,
713852,"CZK 63,000",50.090911,14.4295366,"Soukenická, Prague - Nové Město",2 bedroom with open-plan kitchen,,90 m²,"CZK 21,000",,,Furnished,4,No,No,No,No,No,Yes,Yes,20. 04. 2022,,,,,144,325,176,152,60,230,49,259,388,439,,,,,,,,,
713847,"CZK 16,500",50.07329,14.43979,"Záhřebská, Prague - Vinohrady",Studio,New build,31 m²,"CZK 3,500","CZK 30,000",Brick building,Partially furnished,2,No,Yes,No,No,No,Yes,No,11. 04. 2022,,,,,159,309,52,476,76,481,103,455,672,499,,Personal,C,,,,,,
713844,"CZK 12,000",50.03752,14.63354,"U Svodnice, Prague - Královice",Studio,New build,45 m²,"CZK 3,000","CZK 20,000",Brick building,Furnished,1,No,No,No,No,No,No,No,18. 04. 2022,,,,,347,,,,,,,,,,,Personal,B,,,,,,
713312,"CZK 16,000",50.0757517,14.6593589,Prague - Újezd nad Lesy,1 bedroom with open-plan kitchen,Excellent,65 m²,"CZK 3,700","CZK 16,000",Brick building,Partially furnished,2,Yes,Yes,No,No,No,No,No,01. 05. 2022,,,,,83,202,169,174,237,799,236,"1,400",196,,,Personal,B,,,15 m²,,,
713845,"CZK 16,500",50.07329,14.43979,"Záhřebská, Prague - Vinohrady",Studio,New build,34 m²,"CZK 3,500","CZK 30,000",Brick building,Partially furnished,2,No,Yes,No,No,No,Yes,No,11. 04. 2022,,,,,159,309,52,476,76,481,103,455,672,499,,Personal,C,,,,,,
713837,"CZK 9,500",50.10681,14.44864,"Poupětova, Prague - Holešovice",Small studio,Excellent,25 m²,"CZK 2,500","CZK 11,000",Brick building,Partially furnished,2,No,No,No,No,No,Yes,No,14. 04. 2022,,,,,235,487,69,299,155,303,302,761,400,361,,Personal,C,,,,,,
710665,"CZK 24,500",50.10137,14.42546,"Malířská, Prague - Bubeneč",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 1,500","CZK 40,000",Brick building,Furnished,3,Yes,No,Yes,Yes,No,Yes,No,17. 03. 2022,,Premium materials and solutions,Gas boiler,Middle floor,270,323,112,253,173,64,285,151,440,,,Personal,G,Overall,,,,,
126891,"CZK 16,600",50.1058683,14.4495501,"U Měšťanského Pivovaru, Prague - Holešovice",1 bedroom with open-plan kitchen,,49 m²,"CZK 4,500","CZK 16,600",Brick building,Furnished,2,Yes,No,No,No,No,Yes,No,,,Standard materials and solutions,District heating,Middle floor,134,324,75,136,34,140,340,598,309,417,,Cooperative,,Overall,,,,,
493091,"CZK 16,500",50.1268957,14.4219657,"Hnězdenská, Prague - Troja",1 bedroom with open-plan kitchen,,55 m²,"CZK 3,500","CZK 40,000",Other,Furnished,4,Yes,No,No,No,No,Yes,Yes,11. 04. 2022,10 to 30 years years,,,,403,318,77,388,182,332,687,968,"1,053",325,,Personal,C,,,,,,
713830,"CZK 15,000",50.05542,14.51693,"Strašnická, Prague - Hostivař",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 2,800","CZK 30,000",Prefab concrete building,Partially furnished,5,No,No,Yes,No,No,Yes,No,01. 05. 2022,,,,,345,473,447,435,457,477,800,"1,055",783,56,,Personal,G,,,,,,
713143,"CZK 24,000",50.08531,14.34044,"Plojharova, Prague - Břevnov",3 bedroom,Excellent,70 m²,"CZK 5,000","CZK 48,000",Brick building,Partially furnished,4,No,No,Yes,No,No,No,No,01. 05. 2022,,,,,192,884,534,587,289,570,226,375,881,372,,Personal,G,,,,,,
713145,"CZK 19,000",50.10882,14.52671,"Granitova, Prague - Hloubětín",1 bedroom with open-plan kitchen,New build,49 m²,"CZK 3,800","CZK 38,000",Prefab concrete building,Partially furnished,4,Yes,No,No,No,Yes,Yes,Yes,11. 04. 2022,,,,,209,"1,249",648,"1,230",912,"1,023","1,174",994,"1,121",457,,Personal,A,,,,,,
713828,"CZK 18,600",50.0718493,14.4552977,"Norská, Prague - Vršovice",2 bedroom,Excellent,46 m²,"CZK 3,000","CZK 18,600",Brick building,Furnished,1,No,No,No,No,Yes,No,No,12. 05. 2022,,Standard materials and solutions,Gas boiler,Middle floor,211,660,85,437,55,435,140,205,545,175,,Personal,G,Overall,,,,,
190925,"CZK 11,500",50.0241471,14.4558453,"Hurbanova, Prague - Krč",Studio,,34 m²,"CZK 2,500","CZK 15,000",Prefab concrete building,Unfurnished,3,No,No,Yes,Yes,No,No,No,11. 04. 2022,,,District heating,,426,931,475,512,466,534,"1,372",499,447,,,Cooperative,,,,,,,
536913,"CZK 14,000",50.0848545,14.483906,Prague - Strašnice,Studio,,52 m²,"CZK 4,000","CZK 20,000",Brick building,Furnished,2,Yes,No,No,No,Yes,Yes,Yes,ihned,1 to 10 years years,Premium materials and solutions,,Middle floor,167,"1,302",579,"1,188",705,920,"1,055",176,690,361,,Personal,,,Yes,,,,
423147,"CZK 16,500",50.0686181,14.369871,"Musílkova, Prague - Košíře",1 bedroom with open-plan kitchen,Excellent,38 m²,"CZK 4,000","CZK 25,000",Brick building,Furnished,1,No,Yes,Yes,No,No,Yes,No,12. 04. 2022,,,,Ground floor,192,544,59,293,128,186,228,"1,177",548,252,,Personal,,,Yes,15 m²,,,
713817,"CZK 13,000",50.06122,14.40449,"Na Neklance, Prague - Smíchov",Studio,Excellent,35 m²,CZK 410,"CZK 20,000",Brick building,Partially furnished,5,No,No,No,No,No,No,No,01. 05. 2022,,,,,73,643,191,"1,114",293,124,953,905,819,564,,Personal,G,,,,,,
713815,"CZK 14,500",50.0369,14.33773,"Přecechtělova, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 3,500","CZK 29,000",Prefab concrete building,Furnished,1,No,No,Yes,No,No,Yes,No,11. 04. 2022,,,,,260,481,208,917,203,478,292,396,212,92,,Personal,C,,,,,,
166213,"CZK 25,000",50.0808055,14.4197518,"Spálená, Prague - Nové Město",2 bedroom,Excellent,72 m²,"CZK 3,000","CZK 28,000",Brick building,Furnished,3,No,No,No,No,No,No,No,01. 04. 2022,1 to 10 years years,Premium materials and solutions,Gas boiler,,43,650,75,105,60,114,171,530,170,544,,Personal,C,Overall,,116 m²,,,
705090,"CZK 19,500",50.0925008,14.4438167,"Sokolovská, Prague - Karlín",Studio,Excellent,31 m²,"CZK 3,500","CZK 20,000",Brick building,Furnished,1,No,No,No,No,No,No,No,11. 04. 2022,1 to 10 years years,Premium materials and solutions,Central heating,Ground floor,113,295,84,293,18,292,279,"1,016",374,318,,Cooperative,C,Overall,,,,,
705725,"CZK 150,000",50.09114,14.41807,"Pařížská, Prague - Josefov",6 bedroom with open-plan kitchen,Excellent,322 m²,"CZK 15,000","CZK 165,000",Brick building,Unfurnished,6,No,Yes,No,No,No,Yes,No,09. 02. 2022,,,,,50,344,274,458,40,435,343,586,60,470,,Personal,G,,,,,,
713808,"CZK 18,000",50.0935,14.50512,"Učňovská, Prague - Hrdlořezy",1 bedroom with open-plan kitchen,New build,55 m²,"CZK 5,000","CZK 30,000",Brick building,Furnished,2,Yes,No,No,No,Yes,Yes,Yes,01. 06. 2022,,,,,531,"1,026",592,"1,376",652,638,882,805,"1,420",319,,Personal,B,,,,,,
713806,"CZK 9,500",49.99684,14.3205,"Na Cikánce, Prague - Radotín",Studio,Excellent,25 m²,"CZK 2,000","CZK 22,000",Brick building,Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,,,,,127,,,,,,,,,,,Personal,G,,,,,,
111639,"CZK 12,000",50.0908705,14.4234615,"Haštalská, Prague - Staré Město",Studio,Excellent,25 m²,"CZK 1,500","CZK 27,000",Brick building,Furnished,5,No,No,No,No,No,Yes,No,11. 04. 2022,,Standard materials and solutions,Other,Middle floor,60,394,36,180,50,197,274,320,164,166,,Personal,,Interior,,,,,
713802,"CZK 10,000",50.11776,14.45693,"Valčíkova, Prague - Libeň",1 bedroom,New build,40 m²,CZK 800,"CZK 10,000",Brick building,Partially furnished,1,No,No,No,No,Yes,No,No,18. 04. 2022,,Standard materials and solutions,Gas boiler,Ground floor,33,847,764,990,119,550,531,"1,108",725,455,,Personal,C,Interior,,,,,
713119,"CZK 20,000",50.0758076,14.419087,"Karlovo náměstí, Prague - Nové Město",1 bedroom,New build,58 m²,"CZK 1,900","CZK 20,000",Brick building,Partially furnished,1,No,No,No,No,No,No,No,06. 04. 2022,,,,,64,90,87,106,154,99,118,495,711,218,,Personal,C,,,,,,
332636,"CZK 10,000",50.0923038,14.5401226,"Zvíkovská, Prague - Kyje",1 bedroom with open-plan kitchen,,42 m²,"CZK 4,000","CZK 14,000",Brick building,Partially furnished,,No,No,No,No,No,No,No,,,Standard materials and solutions,Gas boiler,Raised ground floor,174,305,331,840,"1,019","1,366",220,,,,,Personal,,Interior,,,,,
543611,"CZK 23,000",50.100966,14.430497,"Františka Křížka, Prague - Holešovice",2 bedroom,Excellent,65 m²,"CZK 5,000","CZK 23,000",Brick building,Furnished,1,No,No,No,No,No,Yes,No,01. 06. 2022,over 50 years years,Standard materials and solutions,Gas boiler,Middle floor,204,466,140,276,72,172,293,179,556,,,Personal,D,Overall,,,,,
630457,"CZK 16,000",50.071753,14.431997,"Lublaňská, Prague - Nové Město",Small studio,Good,25 m²,"CZK 2,000",,Brick building,Furnished,2,No,No,No,No,No,No,No,12. 10. 2020,,,,,216,344,70,346,22,280,306,274,647,724,,Other,E,,,,,,
713110,"CZK 23,000",50.1056794,14.4916437,"Kovářská, Prague - Libeň",2 bedroom with open-plan kitchen,New build,80 m²,"CZK 5,000",,Brick building,Furnished,7,No,No,Yes,No,No,Yes,No,15. 05. 2022,,,,,59,268,110,330,11,423,6,380,151,122,,Personal,G,,,,,,
223403,"CZK 15,500",50.1331108,14.4861759,"Roudnická, Prague - Střížkov",1 bedroom with open-plan kitchen,Good,45 m²,"CZK 3,000",CZK 2,Prefab concrete building,Furnished,4,Yes,No,Yes,No,No,No,No,01. 05. 2022,,Premium materials and solutions,District heating,Middle floor,574,822,443,815,518,917,"1,422",168,,,,Personal,C,Overall,,,,,
400345,"CZK 14,000",50.1194442,14.4815146,"Hejnická, Prague - Střížkov",2 bedroom,Excellent,64 m²,"CZK 2,000","CZK 28,000",Brick building,Partially furnished,3,No,Yes,No,No,Yes,No,No,16. 05. 2022,10 to 30 years years,,Gas boiler,Attic,268,"1,472",400,"1,410",77,"1,088",538,562,634,262,,Personal,,,,120 m²,,,
713794,"CZK 15,500",50.0848285,14.3763459,"Bělohorská, Prague - Břevnov",Studio,Excellent,29 m²,"CZK 2,000","CZK 20,000",Brick building,Partially furnished,3,Yes,No,Yes,No,No,No,No,01. 05. 2022,,,,,53,824,62,397,57,161,81,398,262,273,,Other,F,,,,,,
713790,"CZK 14,000",50.07828,14.5085,"Limuzská, Prague - Strašnice",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 3,500","CZK 20,000",Brick building,Unfurnished,5,Yes,No,Yes,No,Yes,Yes,No,11. 04. 2022,,,,,53,915,509,892,124,768,934,"1,058","1,195",526,,Personal,A,,,,,,
607713,"CZK 19,900",50.071796,14.429385,"Fügnerovo náměstí, Prague - Nové Město",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 1,900","CZK 25,000",Brick building,Furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,1 to 10 years years,Premium materials and solutions,Electric boiler,Attic,195,562,237,360,239,190,296,492,736,504,,Personal,G,,Yes,,,,
710751,"CZK 14,500",50.06853,14.38762,"Nad Popelkou, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,55 m²,CZK 950,"CZK 29,000",Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,01. 07. 2022,,,Other,Ground floor,52,986,661,"1,180",625,"1,073",698,"1,065",537,177,,Personal,F,Overall,,,,,
712821,"CZK 25,000",50.09093,14.41747,"Břehová, Prague - Josefov",2 bedroom,Excellent,73 m²,"CZK 6,000","CZK 31,000",Brick building,Unfurnished,2,Yes,No,No,No,No,Yes,No,04. 04. 2022,,,,,65,331,261,422,0,508,385,628,143,640,,Personal,G,,,,,,
711098,"CZK 14,275",50.0478296,14.5599363,"Boloňská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,Good,45 m²,"CZK 1,949","CZK 16,224",Other,,1,No,No,No,No,No,No,No,14. 03. 2022,,,,,348,959,491,"1,037",69,"1,104",231,238,749,85,"CZK 2,341",Personal,,,,,,,
596997,"CZK 9,990",50.038205,14.592655,"U Uhříněveské obory, Prague - Uhříněves",1 bedroom with open-plan kitchen,New build,40 m²,CZK 1,"CZK 18,000",Brick building,Partially furnished,2,No,No,No,No,No,No,No,12. 04. 2022,,Premium materials and solutions,District heating,,465,"1,251",602,"1,053",670,"1,039",666,566,"1,446",348,,Personal,A,,,,,,
658032,"CZK 21,900",50.0568,14.37815,"Kačirkova, Prague - Jinonice",1 bedroom with open-plan kitchen,New build,57 m²,"CZK 3,000","CZK 24,900",Brick building,Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,425,383,567,433,477,975,428,"1,467",364,,,Personal,A,,Yes,,,,
713328,"CZK 19,000",50.0997147,14.4323015,"Podplukovníka Sochora, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,42 m²,"CZK 4,000","CZK 19,000",Brick building,Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,,,,,121,765,108,49,106,138,306,220,515,,,Personal,G,,,,,,
713618,"CZK 10,000",50.06458,14.40079,"Plzeňská, Prague - Smíchov",1 bedroom with open-plan kitchen,Good,50 m²,"CZK 1,000","CZK 10,000",Brick building,Partially furnished,2,Yes,No,Yes,No,No,No,No,01. 05. 2022,,,,,263,540,292,883,413,627,239,212,455,136,,Personal,G,,,,,,
557005,"CZK 16,900",50.077353752656,14.458361973016,"Boleslavská, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 1,200","CZK 21,800",Brick building,Furnished,5,No,No,Yes,No,No,Yes,No,01. 01. 1970,,,,,64,381,50,68,33,193,620,434,758,244,,Personal,,,,,,,
713209,"CZK 14,500",50.02559,14.43177,"Novodvorská, Prague - Braník",3 bedroom,Good,68 m²,"CZK 5,000","CZK 19,500",Prefab concrete building,Partially furnished,2,No,No,No,Yes,No,No,No,01. 05. 2022,,,,,137,277,207,284,217,303,270,249,843,372,,Personal,G,,,,,,
487524,"CZK 11,000",50.0500054,14.4539568,"Baarova, Prague - Michle",Studio,,30 m²,,"CZK 13,000",Brick building,Partially furnished,1,No,No,No,No,Yes,No,No,13. 04. 2022,,Standard materials and solutions,Gas boiler,Middle floor,290,350,273,380,350,250,552,629,406,91,,Personal,,Interior,,,,,
713765,"CZK 17,000",50.08278,14.50472,"Počernická, Prague - Malešice",2 bedroom,Excellent,52 m²,"CZK 3,000","CZK 20,000",Prefab concrete building,Partially furnished,4,No,No,Yes,Yes,No,Yes,Yes,11. 04. 2022,,Standard materials and solutions,District heating,,135,369,230,326,211,487,531,396,974,160,,Personal,E,Overall,,,,,
713073,"CZK 16,000",50.07784,14.49749,"Vrátkovská, Prague - Strašnice",2 bedroom,Excellent,52 m²,"CZK 5,756","CZK 40,000",Prefab concrete building,Partially furnished,2,No,No,Yes,No,No,No,No,01. 05. 2022,,,District heating,Middle floor,242,489,146,575,314,529,552,469,"1,195",154,,Cooperative,D,,,,,,
529688,"CZK 16,000",50.0748582,14.5011723,"U Kombinátu, Prague - Strašnice",1 bedroom with open-plan kitchen,Good,71 m²,"CZK 5,000","CZK 32,000",Brick building,Partially furnished,5,No,No,No,No,No,No,No,01. 09. 2018,10 to 30 years years,Standard materials and solutions,Gas boiler,Attic,383,822,90,873,249,827,118,397,995,541,,Personal,,,,,,,
713758,"CZK 18,500",50.10398,14.48591,"Českomoravská, Prague - Libeň",2 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 2,600","CZK 25,000",Brick building,Partially furnished,4,No,No,No,No,No,Yes,No,01. 05. 2022,,,,Middle floor,159,337,213,255,60,386,332,819,438,326,,Personal,D,,,,,,
713752,"CZK 25,000",50.06977,14.45441,"Holandská, Prague - Vršovice",2 bedroom with open-plan kitchen,Excellent,68 m²,"CZK 1,200","CZK 26,200",Brick building,Unfurnished,3,No,No,Yes,No,No,Yes,No,11. 04. 2022,over 50 years years,Premium materials and solutions,Gas boiler,Middle floor,190,438,132,197,140,232,189,156,322,169,,Other,D,Interior,,,,,
713754,"CZK 12,000",50.0561645,14.4324511,"Dačického, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 3,500","CZK 20,000",Brick building,Partially furnished,6,Yes,No,Yes,No,No,Yes,No,11. 04. 2022,,,,,186,"1,318",154,246,286,385,706,433,217,244,,Cooperative,G,,,,,,
713755,"CZK 18,881",50.0496224,14.3463558,"V Hůrkách, Prague - Stodůlky",1 bedroom with open-plan kitchen,,50 m²,"CZK 6,294",,,Furnished,6,Yes,No,No,No,No,Yes,No,08. 05. 2022,,,,,215,448,164,116,107,322,232,219,"1,153",185,,,,,,,,,
713753,"CZK 10,000",50.08737,14.47122,"Malešická, Prague - Žižkov",1 bedroom,Excellent,44 m²,"CZK 2,500","CZK 40,000",Brick building,Partially furnished,4,No,Yes,No,No,No,Yes,No,15. 04. 2022,,Standard materials and solutions,District heating,Top floor,11,509,152,297,124,388,351,171,438,286,,Personal,D,Interior,,,,,
