Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,New building,Age,Heating,Total number of floors,PENB,Design,Renovation,Developer name,Project name,Kód jednotky,Front garden,Administration fee,Investment Advisor
713848,"CZK 22,500",50.12666,14.45879,"Pakoměřická, Prague - Kobylisy",3 bedroom,78 m²,"CZK 5,500",Unfurnished,1,Yes,No,Yes,No,No,No,No,01. 05. 2022,159,958,318,610,207,287,456,408,597,428,Excellent,"CZK 45,000",Personal,Brick building,,,Central heating,,C,,Interior,,,,25 m²,,
716384,"CZK 32,000",50.08123,14.42982,"Opletalova, Prague - Nové Město",2 bedroom with open-plan kitchen,77 m²,"CZK 3,000",Partially furnished,7,Yes,No,No,Yes,Yes,Yes,No,02. 05. 2022,333,299,46,200,55,39,271,954,190,583,Excellent,"CZK 50,000",Personal,Brick building,,1 to 10 years years,District heating,Middle floor,G,Premium materials and solutions,Interior,,,,,,
369890,"CZK 15,000",50.107010860053,14.388327912828,"Zelená, Prague - Dejvice",1 bedroom with open-plan kitchen,42 m²,"CZK 3,500",Unfurnished,3,No,No,No,No,No,No,No,,30,"1,308",15,715,145,169,358,259,631,360,Good,"CZK 20,000",Personal,Brick building,,,,,,Premium materials and solutions,,,,,,,
503703,"CZK 14,000",50.0716385,14.4535707,"Estonská, Prague - Vršovice",1 bedroom,34 m²,"CZK 2,006",Unfurnished,5,No,No,No,No,No,No,No,01. 05. 2022,196,708,196,352,163,483,119,252,413,204,Excellent,"CZK 18,000",Personal,Brick building,,1 to 10 years years,Gas boiler,Middle floor,,Standard materials and solutions,Interior,,,,,,
716375,"CZK 25,000",50.0931827,14.5014335,"Učňovská, Prague - Hrdlořezy",2 bedroom with open-plan kitchen,80 m²,"CZK 4,000",Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 05. 2022,257,752,373,"1,102",378,420,608,531,"1,185",363,New build,"CZK 25,000",Personal,Brick building,,,,,A,,,,,,,,
716376,"CZK 9,000",50.0213,14.45822,"Jánošíkova, Prague - Krč",Small studio,27 m²,"CZK 3,500",Partially furnished,3,No,No,No,Yes,No,Yes,No,01. 05. 2022,328,768,645,561,460,509,"1,368",908,667,,Excellent,"CZK 15,000",Personal,Prefab concrete building,,,Central heating,,G,,Overall,,,,,,
474374,"CZK 18,500",50.0895199,14.4891951,"Pod Jarovem, Prague - Žižkov",2 bedroom with open-plan kitchen,72 m²,"CZK 3,000",Partially furnished,3,Yes,No,No,Yes,No,Yes,No,01. 06. 2022,90,422,488,675,266,427,421,594,271,351,,"CZK 30,000",Cooperative,Prefab concrete building,,,,,,,,,,,,,
716373,"CZK 12,800",50.05792,14.49438,"Jetelová, Prague - Záběhlice",1 bedroom,35 m²,"CZK 3,500",Partially furnished,3,No,No,No,No,Yes,Yes,No,01. 06. 2022,99,693,212,968,376,262,392,885,146,206,Excellent,"CZK 15,000",Personal,Prefab concrete building,,,,,G,,,,,,,,
715970,"CZK 15,700",50.067,14.4571,"Minská, Prague - Vršovice",2 bedroom,52 m²,CZK 600,Unfurnished,5,Yes,No,No,No,No,No,No,26. 04. 2022,92,228,89,269,103,360,473,574,389,313,Excellent,"CZK 15,700",Personal,Brick building,,,,,G,,,,,,,,
716372,"CZK 19,000",50.09435,14.49609,"Spojovací, Prague - Žižkov",2 bedroom with open-plan kitchen,60 m²,"CZK 4,000",Partially furnished,4,No,No,Yes,No,No,No,No,01. 07. 2022,128,509,379,828,52,443,416,527,579,176,Excellent,"CZK 25,000",Personal,Brick building,,,,,G,,,,,,,,
680857,"CZK 14,500",50.0698,14.37188,"U Kavalírky, Prague - Košíře",1 bedroom,54 m²,CZK 500,Partially furnished,3,No,No,No,No,No,No,No,01. 02. 2022,37,319,76,51,143,159,418,"1,032",753,86,Excellent,,Personal,Brick building,,,Gas boiler,Top floor,B,,,,,,,,
557589,"CZK 17,500",50.1187312,14.4967253,"Libočanská, Prague - Prosek",1 bedroom with open-plan kitchen,72 m²,"CZK 5,825",Furnished,2,No,No,No,No,Yes,Yes,No,01. 07. 2022,181,822,381,323,217,361,470,396,"1,094",370,Excellent,"CZK 25,000",Personal,Low-energy building,,10 to 30 years years,District heating,Middle floor,C,,,,,,,,
716363,"CZK 17,000",50.10119,14.38411,"Na Vlčovce, Prague - Dejvice",2 bedroom,58 m²,"CZK 5,000",Partially furnished,3,No,No,Yes,No,Yes,No,No,01. 05. 2022,232,"1,161",430,485,405,885,631,457,824,118,Excellent,"CZK 20,000",Cooperative,Brick building,,,,,G,,,,,,,,
716293,"CZK 12,500",50.066,14.29848,"Na Chobotě, Prague - Řepy",1 bedroom with open-plan kitchen,43 m²,"CZK 4,500",Partially furnished,5,No,No,No,No,Yes,Yes,No,29. 04. 2022,103,"1,037",255,999,46,799,784,482,"1,378",88,Excellent,"CZK 20,000",Cooperative,Prefab concrete building,,,,,F,,,,,,,,
33343,"CZK 13,500",50.1059177,14.4486013,"U měšťanského pivovaru, Prague - Holešovice",1 bedroom with open-plan kitchen,35 m²,"CZK 3,000",Furnished,4,No,No,No,No,No,Yes,No,01. 07. 2022,208,391,136,210,95,214,400,672,383,478,Excellent,"CZK 16,500",Personal,Prefab concrete building,,,Central heating,Middle floor,,Premium materials and solutions,Overall,,,,,,
715140,"CZK 20,000",50.08509,14.34136,"Plojharova, Prague - Břevnov",2 bedroom with open-plan kitchen,63 m²,"CZK 3,000",Partially furnished,2,No,No,Yes,No,No,No,No,16. 05. 2022,262,821,468,622,305,617,156,305,811,399,Excellent,"CZK 40,000",Personal,Brick building,,over 50 years years,District heating,Middle floor,G,Standard materials and solutions,Interior,,,,,,
715186,"CZK 19,000",50.09337,14.48937,"K Lučinám, Prague - Žižkov",1 bedroom with open-plan kitchen,55 m²,"CZK 2,500",Partially furnished,7,No,Yes,No,No,No,Yes,No,01. 05. 2022,278,307,64,270,164,285,185,208,320,139,Excellent,"CZK 30,000",Personal,Other,,,,,G,,,,,,,,
716194,"CZK 18,900",50.07532,14.35971,"Jeřabinová, Prague - Smíchov",1 bedroom with open-plan kitchen,49 m²,"CZK 5,400",Partially furnished,,No,Yes,No,No,No,Yes,No,01. 05. 2022,429,"1,202",675,920,548,519,467,,,,Excellent,"CZK 25,000",Personal,Brick building,,10 to 30 years years,District heating,Ground floor,B,Standard materials and solutions,Interior,,,,102 m²,,
716327,"CZK 20,000",50.05552,14.35149,"Vidoulská, Prague - Jinonice",1 bedroom with open-plan kitchen,65 m²,"CZK 3,800",Partially furnished,1,No,Yes,No,No,No,No,No,01. 05. 2022,585,"1,034",225,807,451,600,210,796,"1,496",306,Excellent,"CZK 20,000",Personal,Brick building,,,,,G,,,,,,,,
716199,"CZK 14,000",50.12993,14.42601,"Štětínská, Prague - Bohnice",3 bedroom,72 m²,"CZK 6,000",Partially furnished,2,No,No,Yes,Yes,No,No,No,02. 05. 2022,272,670,256,899,603,288,520,547,774,199,Excellent,"CZK 25,000",Cooperative,Prefab concrete building,,,District heating,Middle floor,G,,,,,,,,
577064,"CZK 16,900",50.1027788,14.3748352,"U Hadovky, Prague - Dejvice",2 bedroom,63 m²,"CZK 3,050",Partially furnished,1,No,No,Yes,No,No,No,No,29. 04. 2022,261,"1,397",338,"1,034",337,306,502,635,535,425,Excellent,"CZK 17,000",Cooperative,Brick building,,over 50 years years,Gas boiler,Raised ground floor,D,Standard materials and solutions,Interior,,,,,,
514160,"CZK 15,500",50.1168106,14.498901,Prague - Prosek,1 bedroom with open-plan kitchen,48 m²,"CZK 3,500",Furnished,3,No,No,No,No,No,Yes,No,01. 07. 2022,152,918,83,269,225,402,523,481,811,65,,"CZK 19,000",Cooperative,Prefab concrete building,,,District heating,Middle floor,,,Interior,,,,,,
716321,"CZK 19,000",50.04359,14.45589,"Počátecká, Prague - Michle",2 bedroom,68 m²,"CZK 4,000",Partially furnished,,No,No,Yes,No,No,No,No,01. 05. 2022,190,754,493,554,150,252,297,579,666,265,Excellent,"CZK 19,000",Personal,Brick building,,,,,G,,,,,,,,
716319,"CZK 15,500",50.10763,14.39085,"Šlejnická, Prague - Dejvice",2 bedroom,55 m²,"CZK 3,000",Furnished,5,No,No,Yes,No,No,Yes,No,01. 05. 2022,235,"1,371",4,778,373,178,618,161,676,639,Good,"CZK 18,500",Personal,Brick building,,,,,G,,,,,,,,
716317,"CZK 17,000",50.1022068,14.4360584,"U Smaltovny, Prague - Holešovice",2 bedroom,56 m²,"CZK 3,500",Partially furnished,7,Yes,No,Yes,No,No,Yes,No,01. 05. 2022,378,857,122,337,55,401,423,484,984,,Excellent,"CZK 34,000",Cooperative,Brick building,,,,,G,,,,,,,,
716316,"CZK 7,900",50.07769,14.49927,"Tuklatská, Prague - Strašnice",Studio,28 m²,"CZK 3,500",Unfurnished,8,No,No,No,No,No,Yes,No,01. 05. 2022,149,618,52,485,222,438,440,477,"1,286",255,Good,"CZK 11,400",Cooperative,Prefab concrete building,,,,,G,,,,,,,,
716313,"CZK 15,000",50.02073,14.45459,"V Štíhlách, Prague - Krč",1 bedroom with open-plan kitchen,39 m²,"CZK 3,000",Partially furnished,6,No,No,Yes,No,No,Yes,No,01. 05. 2022,399,554,442,280,108,793,996,714,596,,Excellent,"CZK 30,000",Personal,Prefab concrete building,,,,,G,,,,,,,,
716189,"CZK 50,000",50.09034,14.42111,"U Staré školy, Prague - Josefov",2 bedroom,105 m²,,Furnished,3,Yes,No,No,No,No,No,No,01. 05. 2022,421,119,199,24,216,108,327,317,368,,Excellent,,Personal,Brick building,,,,,C,,,,,,,,40
716311,"CZK 13,000",50.1034592,14.435691,"U Smaltovny, Prague - Holešovice",1 bedroom with open-plan kitchen,55 m²,"CZK 2,485",Partially furnished,1,No,No,No,No,No,No,No,01. 05. 2022,292,936,172,448,127,276,562,344,843,,Excellent,"CZK 26,000",Personal,Brick building,,,,,D,,,,,,,,
694998,"CZK 23,000",50.101655482973,14.452764628089,"Tusarova, Prague - Holešovice",1 bedroom with open-plan kitchen,47 m²,"CZK 4,000",Furnished,4,No,No,No,No,No,Yes,No,29. 04. 2022,186,544,93,266,23,203,405,367,111,248,New build,"CZK 23,000",Personal,Brick building,,,,,B,,,,,,,,
656895,"CZK 12,000",50.1060796,14.4540639,Prague - Holešovice,Studio,31 m²,"CZK 4,000",Partially furnished,5,No,No,Yes,No,No,Yes,No,01. 06. 2022,205,629,135,441,133,395,474,894,294,243,Excellent,"CZK 22,000",Personal,Brick building,,,,,G,,,,,,,,
678758,"CZK 10,500",50.12694,14.41888,"Hnězdenská, Prague - Troja",Studio,36 m²,"CZK 2,400",Furnished,13,No,No,No,No,No,Yes,No,09. 05. 2022,355,262,265,205,155,306,637,827,"1,325",333,Excellent,"CZK 12,000",Personal,Low-energy building,,10 to 30 years years,District heating,,C,,,,,,,,
715595,"CZK 9,200",50.05974,14.2945,"Na Radosti, Prague - Zličín",Studio,28 m²,"CZK 2,800",Partially furnished,1,No,No,No,No,No,No,No,01. 05. 2022,91,898,798,906,80,"1,016",679,"1,166",92,520,New build,"CZK 9,200",Personal,Brick building,,,,,G,,,,,,,,
716301,"CZK 12,990",50.10329055555,14.51906805555,"Poděbradská, Prague - Vysočany",Studio,18 m²,"CZK 2,399",Furnished,3,No,No,Yes,No,No,Yes,No,,63,"1,436",206,"1,417",765,216,"1,046","1,462","1,011",524,New build,"CZK 15,389",Personal,Brick building,Yes,,,,C,,,,,,,"CZK 15,389

                                
                                
                
i",
716298,"CZK 14,490",50.10329055555,14.51906805555,"Poděbradská, Prague - Vysočany",Studio,30 m²,"CZK 2,399",Furnished,3,No,No,Yes,No,No,No,No,,63,"1,436",206,"1,417",765,216,"1,046","1,462","1,011",524,New build,"CZK 16,889",Personal,Brick building,Yes,,,,C,,,,,,,"CZK 16,889

                                
                                
                
i",
716295,"CZK 13,990",50.10328972222,14.51910694444,"Poděbradská, Prague - Vysočany",Studio,27 m²,"CZK 2,399",Furnished,4,No,No,Yes,No,No,Yes,No,,61,"1,433",209,"1,415",762,219,"1,049","1,459","1,008",521,New build,"CZK 16,389",Personal,Brick building,Yes,,,,C,,,,,,,"CZK 16,389

                                
                                
                
i",
576044,"CZK 12,000",50.1251884,14.469121,"U Slovanky, Prague - Libeň",Studio,30 m²,"CZK 3,000",Furnished,4,No,No,Yes,No,Yes,Yes,Yes,28. 08. 2020,222,574,308,376,177,386,513,672,740,181,New build,"CZK 25,000",Personal,Brick building,Yes,1 to 10 years years,District heating,Middle floor,B,Premium materials and solutions,,,,,,,
556222,"CZK 26,000",50.1011508,14.4284798,"Veletržní, Prague - Holešovice",2 bedroom with open-plan kitchen,78 m²,"CZK 6,800",Furnished,4,No,No,No,No,No,Yes,No,01. 08. 2022,175,265,141,239,116,220,226,195,584,,,"CZK 30,000",Personal,Brick building,,,Gas boiler,Middle floor,,Standard materials and solutions,Interior,,,,,,
540339,"CZK 13,000",50.0743287,14.3177437,"Čistovická, Prague - Řepy",1 bedroom with open-plan kitchen,44 m²,"CZK 1,000",Unfurnished,1,No,No,No,No,No,No,No,15. 04. 2022,95,407,245,"1,357","1,182",257,370,276,,,,"CZK 26,000",Personal,Brick building,,,,,G,,,,,,,,
475975,"CZK 10,000",50.008473,14.4211704,"Pejevové, Prague - Modřany",Studio,27 m²,"CZK 2,500",Furnished,5,No,No,No,No,No,No,No,,448,594,445,455,523,480,241,"1,020",942,638,,"CZK 7,000",Personal,Prefab concrete building,,,,,C,,,,,,,,
713312,"CZK 16,000",50.1317955,14.5448996,Prague - Kbely,1 bedroom with open-plan kitchen,65 m²,"CZK 3,700",Partially furnished,2,Yes,Yes,No,No,No,No,No,01. 05. 2022,383,732,636,571,596,430,430,252,495,,Excellent,"CZK 16,000",Personal,Brick building,,,,,B,,,,,,15 m²,,
584474,"CZK 20,000",50.093256,14.448366,"Sokolovská, Prague - Karlín",1 bedroom with open-plan kitchen,50 m²,"CZK 3,000",Partially furnished,5,No,No,No,No,No,Yes,No,01. 04. 2022,162,40,176,224,43,326,383,"1,357",482,87,Excellent,"CZK 20,000",Cooperative,Brick building,,,,,G,,,,,,,,
