Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Balcony,Parking,Age,Reconstruction,Ownership,Heating,Designe,Enclosed balcony,Cellar,Terrace,New-build,Administrative fee,Domácí mazlíčci vítáni,Garage,Plot space,Plot type
"CZK 27,750","CZK 4,050",735596,2+kk,9/8/2022,55 m²,Partly,4,1.0,255.26,443.02,204.3,366.36,123.82,505.56,447.22,390.7,376.15,681.6,Prague - Smíchov,50.07376,14.4094,"CZK 30,000",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 5,900",732272,2 bedroom,9/10/2022,62 m²,Partly,2,,193.07,2055.72,1959.47,1811.12,1057.17,3315.71,1542.62,1445.66,1373.51,1098.9,Prague - Sobín,50.06745,14.26193,"CZK 20,000",A,New-build,Low-energy,,1.0,,,,,,,,,1.0,,,,,
"CZK 20,207","CZK 3,200",735588,2+kk,9/3/2022,60 m²,,1,,600.14,938.2,1258.49,1517.16,202.12,1054.39,1343.62,1171.63,324.3,162.25,"Hlučkova, Prague - Letňany",50.1423863,14.5217436,"CZK 23,050",,Good,Other,,,,,Personal,,,,,,,"CZK 3,031",,,,
"CZK 36,000","CZK 12,000",719175,2 bedroom,9/15/2022,50 m²,Fully furnished,-1,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 7,700",463358,3+1,9/8/2022,72 m²,Fully furnished,1,,327.04,478.94,66.46,176.37,55.19,271.7,334.1,430.17,357.95,326.08,"Petrohradská, Prague - Vršovice",50.0681262,14.4508446,"CZK 25,000",,Good,Prefab concrete,,,,,Personal,,,1.0,,,,,,,,
"CZK 14,501","CZK 5,000",629652,2+kk,10/1/2022,45 m²,Partly,2,,148.91,1424.3,271.27,1141.41,280.05,443.16,338.96,418.48,826.21,500.82,"Strančická, Prague - Strašnice",50.066058,14.495544,"CZK 14,500",G,New-build,Brick,,,Up to 10 years,Complete,Personal,Gas boiler,Standard,,,,,,,,,
"CZK 16,001","CZK 1,000",540339,2+kk,10/1/2022,44 m²,Unfurnished,1,,112.34,1546.08,445.39,1520.99,176.6,1203.39,1177.64,257.39,369.76,280.43,"Čistovická, Prague - Řepy",50.0743287,14.3177437,"CZK 28,000",G,,Brick,,,,,Personal,,,,,,,,,,,
"CZK 14,001",CZK 500,627804,Studio,10/1/2022,35 m²,Partly,1,,243.09,1970.14,252.89,1866.0,635.27,1498.09,1421.75,499.88,463.59,522.93,"Čistovická, Prague - Řepy",50.07479,14.324004,"CZK 26,000",G,New-build,Brick,,,Up to 10 years,,Personal,Gas boiler,Standard,,,1.0,,,,,,
"CZK 18,000","CZK 2,000",735582,2 bedroom,9/12/2022,60 m²,Partly,3,,371.08,123.45,240.52,446.52,89.64,389.33,204.11,453.24,724.79,230.4,Prague - Žižkov,50.08199,14.45368,"CZK 20,000",G,Very good,Brick,,,,,,,,,,,,,1.0,,,
"CZK 17,000","CZK 4,500",735579,2 bedroom,9/11/2022,65 m²,Fully furnished,2,,265.96,1069.75,354.3,698.85,600.59,1148.59,1232.26,1058.22,1071.19,301.69,Prague - Suchdol,50.13558,14.36991,"CZK 22,000",G,Very good,Brick,,1.0,,,,,,,,,,,,,,
"CZK 11,990","CZK 2,945",735581,Studio,9/9/2022,32 m²,Unfurnished,1,,238.59,576.86,229.13,268.85,232.47,367.92,374.85,528.7,504.18,461.86,"Hošťálkova, Prague - Břevnov",50.08293472222,14.37008416666,"CZK 14,935",G,Very good,Brick,,,,,Personal,,,,,,,"CZK 14,935",,,,
"CZK 13,990","CZK 2,949",735578,1 bedroom,9/9/2022,38 m²,Fully furnished,3,,356.01,895.24,106.52,408.38,184.1,967.39,447.07,313.63,863.22,150.36,"U družstva Repo, Prague - Nusle",50.057498931885,14.446800231934,"CZK 16,939",D,Very good,Brick,1.0,,,,Personal,,,,1.0,,,"CZK 16,939",,,,
"CZK 13,990","CZK 2,949",735577,1 bedroom,9/9/2022,38 m²,Fully furnished,3,,356.01,895.24,106.52,408.38,184.1,967.39,447.07,313.63,863.22,150.36,"U družstva Repo, Prague - Nusle",50.057498931885,14.446800231934,"CZK 16,939",D,Very good,Brick,1.0,,,,Personal,,,,1.0,,,"CZK 16,939",,,,
"CZK 17,900",CZK 590,463258,2+kk,10/1/2022,44 m²,Partly,2,,127.73,886.45,36.32,399.9,121.48,332.84,596.5,641.14,459.0,269.03,"Nezamyslova, Prague - Nusle",50.0648387,14.4266126,"CZK 35,800",,Good,Brick,1.0,1.0,,Complete,Personal,Other,Standard,,1.0,,,,,,,
"CZK 25,500","CZK 4,400",732263,2+kk,10/1/2022,70 m²,Fully furnished,5,,103.95,769.3,376.39,634.05,166.32,268.33,409.9,342.03,573.96,371.36,Prague - Břevnov,50.0862,14.37286,"CZK 29,900",G,Very good,Brick,,,,Complete,Personal,Electric boiler,,,,1.0,,,,,,
"CZK 17,500","CZK 3,500",735574,Studio,9/8/2022,42 m²,Fully furnished,2,1.0,225.65,1912.7,1075.38,1671.57,442.3,1319.22,767.02,1380.36,1360.16,689.15,Prague - Modřany,50.01262,14.40006,"CZK 35,000",B,New-build,Brick,1.0,,,,,,,,1.0,,1.0,,,,,
"CZK 16,000","CZK 4,000",735568,2+kk,9/8/2022,43 m²,Fully furnished,7,1.0,421.8,467.0,477.27,465.81,451.06,471.04,946.44,886.09,721.08,438.89,Prague - Hostivař,50.05468,14.5162,"CZK 16,000",G,Very good,Prefab concrete,,1.0,,,,,,,1.0,,,,,,,
"CZK 15,601","CZK 4,000",735566,3+kk,9/8/2022,85 m²,Partly,2,,265.16,882.06,393.23,1093.35,223.27,706.03,635.39,604.54,399.52,171.65,Prague - Břevnov,50.08302,14.37987,"CZK 19,600",G,Good,Brick,,,,,,,,,,,,,,,,
"CZK 41,250","CZK 13,750",719999,2+kk,10/16/2022,55 m²,Fully furnished,1,1.0,76.78,951.56,41.94,296.91,109.07,229.41,371.34,325.8,517.82,388.28,"Rečkova, Prague - Žižkov",50.0904334,14.4705869,,,,,,,,,,,,,,,,,,,,
"CZK 32,063","CZK 10,687",735567,2+kk,10/1/2022,63 m²,Fully furnished,3,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,,,,,,,,,,,,,,,,,1.0,,
"CZK 36,000","CZK 12,000",735565,2+kk,9/15/2022,45 m²,Fully furnished,2,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 4,600",462793,Studio,10/1/2022,58 m²,Fully furnished,4,1.0,243.2,1045.68,420.92,402.29,343.22,869.46,807.11,190.63,1167.33,436.4,"Velvarská, Prague - Dejvice",50.0992603,14.3830536,"CZK 37,000",,,Brick,,,,Complete,Personal,Central,,,,,,,,,,
"CZK 13,000","CZK 4,500",735561,2+kk,10/1/2022,44 m²,Partly,4,1.0,47.67,317.76,335.2,2638.92,322.09,407.97,424.51,1694.54,1152.1,50.92,Prague - Ruzyně,50.08835,14.30648,"CZK 15,000",G,Very good,Other,,,,,,,,,1.0,,,,,,,
"CZK 17,000","CZK 4,000",547319,2+kk,10/1/2022,39 m²,Fully furnished,5,1.0,155.0,229.19,137.12,373.31,106.81,374.18,550.32,428.38,446.2,144.94,Prague - Žižkov,50.0856409,14.4694581,"CZK 34,000",,Very good,Brick,,,Over 50 years,Interior,Cooperative,Central,Standard,1.0,,,,,,,,
"CZK 25,000","CZK 4,000",735546,3+1,9/8/2022,80 m²,Partly,,1.0,373.9,1059.73,502.8,1170.4,963.71,1114.23,932.44,908.85,663.29,484.81,Prague - Troja,50.12331,14.42989,"CZK 29,000",G,Very good,Prefab concrete,,,,,Personal,Central,Standard,,,,,,,,,
"CZK 27,000","CZK 4,000",735551,3+kk,9/8/2022,83 m²,Unfurnished,3,,149.2,1278.61,579.68,1498.92,671.57,884.65,577.38,531.29,725.03,679.79,Prague - Smíchov,50.05493,14.40442,"CZK 43,000",G,Very good,Brick,,1.0,,,,,,,1.0,,,,,1.0,,
"CZK 25,000","CZK 2,700",735548,4+kk,10/1/2022,154 m²,Fully furnished,5,,161.77,299.11,190.9,66.57,42.78,201.03,399.39,709.11,250.8,95.31,Prague - Vysočany,50.11113,14.50106,"CZK 25,000",G,Very good,Brick,,,,,,Electric boiler,,,,,,,,,,
"CZK 18,500","CZK 3,500",643846,2 bedroom,12/5/2022,56 m²,Fully furnished,2,1.0,111.69,907.32,55.31,823.75,18.58,367.76,297.13,266.62,90.56,141.35,"Bělohorská, Prague - Břevnov",50.084925,14.378923,"CZK 37,000",G,Very good,Brick,,1.0,,,Personal,,,,,,,,,,,
CZK 1,"CZK 6,220",31263,3+1,4/27/2022,70 m²,Unfurnished,,,207.23,1289.45,437.79,977.09,150.15,621.81,704.39,1017.59,346.87,40.94,Prague - Libeň,50.1115724,14.4775255,"CZK 22,000",,Wrong,Brick,,,,Interior,Personal,Electric boiler,Standard,,,,,,,,,
"CZK 13,700","CZK 2,400",643640,Studio,9/15/2022,41 m²,Fully furnished,2,1.0,249.79,1708.58,113.54,1390.67,390.06,1029.9,1070.5,905.99,153.29,209.21,"U Pekařky, Prague - Libeň",50.114484,14.479922,"CZK 25,000",C,New-build,Brick,,1.0,Up to 10 years,Complete,Personal,Gas boiler,Luxurious,,1.0,,1.0,,,1.0,,
"CZK 9,401","CZK 2,500",654236,Studio,10/1/2022,26 m²,Unfurnished,2,,140.83,618.68,155.87,210.92,205.44,136.81,449.51,954.55,752.29,262.81,"Zbynická, Prague - Radotín",49.98329,14.36373,"CZK 11,900",C,Very good,Brick,,,,,Personal,,,,,,,,,,,
"CZK 5,900","CZK 3,000",704504,Studio,10/1/2022,18 m²,Unfurnished,1,,140.83,618.68,155.87,210.92,205.44,136.81,449.51,954.55,752.29,262.81,"Zbynická, Prague - Radotín",49.98329,14.36373,"CZK 9,000",G,Good,Brick,,,,,Personal,Electric boiler,,,,,,,,,,
"CZK 11,000","CZK 5,000",456060,Studio,9/4/2022,43 m²,Partly,1,,195.33,1244.79,148.35,850.86,191.61,350.92,186.93,273.29,353.93,199.18,Prague - Vokovice,50.0978176,14.3459099,"CZK 16,000",F,Good,Brick,,1.0,Over 50 years,,Personal,,Standard,,1.0,,,,,,,
"CZK 25,988","CZK 8,662",728259,2 bedroom,11/1/2022,60 m²,Fully furnished,1,,250.51,417.46,211.46,417.21,207.64,462.73,364.17,360.99,525.54,550.17,"Lublaňská, Prague - Vinohrady",50.0710848,14.4324122,,,,,,,,,,,,,,,,,,,,
"CZK 15,750","CZK 5,250",730902,1 bedroom,9/25/2022,30 m²,Fully furnished,3,,217.38,2062.48,1281.33,4705.18,629.6,1074.91,597.5,3134.16,2915.46,646.77,"Švihovská, Prague - Písnice",49.9954018,14.4704771,,,,,,,,,,,,,,,,,,,,
"CZK 31,875","CZK 10,625",725887,2 bedroom,9/13/2022,65 m²,Fully furnished,2,,181.41,298.0,1.34,322.55,4.35,512.55,359.47,791.01,446.67,323.95,"Karlova, Prague - Staré Město",50.0859967,14.4175762,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,500",361151,Studio,9/15/2022,32 m²,Partly,4,1.0,215.32,438.18,296.02,743.11,644.93,658.37,353.14,432.92,563.02,240.72,"Nad přehradou, Prague - Horní Měcholupy",50.042408,14.5513031,"CZK 30,000",B,,Brick,1.0,1.0,Up to 10 years,,Personal,,,,,,,,,,,
"CZK 12,000","CZK 2,966",735535,Studio,9/8/2022,29 m²,Unfurnished,1,1.0,28.87,346.68,33.54,464.75,102.96,341.2,263.74,200.34,130.45,432.03,Prague - Vršovice,50.0657,14.45241,"CZK 24,000",D,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 4,500",732229,2+kk,10/1/2022,41 m²,Partly,3,1.0,151.47,359.06,216.97,449.48,54.46,522.46,195.36,238.46,651.0,770.59,Prague - Vinohrady,50.0703,14.43525,"CZK 40,000",E,New-build,Brick,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 5,000",613378,2 bedroom,3/27/2022,66 m²,Partly,3,1.0,55.2,629.97,142.4,377.63,85.31,456.95,460.5,203.2,81.95,258.57,"Marie Cibulkové, Prague - Nusle",50.060145,14.426566,"CZK 22,000",,Very good,Brick,,,,Complete,Personal,Gas boiler,Luxurious,,1.0,,,,,,,
"CZK 12,000","CZK 4,000",326012,2+kk,9/25/2022,36 m²,Fully furnished,4,1.0,252.9,371.76,282.31,398.7,195.79,264.91,457.56,643.23,798.84,286.11,"Radlická, Prague - Smíchov",50.0671265,14.40247255,"CZK 12,000",,,Brick,,,,Interior,Personal,Electric boiler,,,,,,,,,,
"CZK 17,500","CZK 4,500",700407,Studio,8/4/2022,50 m²,Partly,2,1.0,130.64,1101.17,255.39,417.11,434.12,556.95,377.03,268.5,254.19,419.35,"Tupolevova, Prague - Letňany",50.13335,14.50671,"CZK 20,000",B,New-build,Prefab concrete,,,,,Personal,Central,,1.0,,,,,,,,
"CZK 12,000","CZK 4,000",650717,Small studio,10/1/2022,30 m²,Partly,6,1.0,349.58,234.04,223.77,218.5,52.59,230.0,887.25,767.38,602.37,191.58,"Kamelova, Prague - Záběhlice",50.053693,14.51509,"CZK 16,000",B,Very good,Brick,,,Up to 10 years,,Personal,Distance,Standard,,,1.0,1.0,,,,,
"CZK 12,000","CZK 3,500",212190,Studio,10/1/2022,36 m²,Fully furnished,1,,189.7,1326.67,371.17,391.43,388.62,128.14,559.88,1082.07,600.96,593.69,"Českomoravská, Prague - Libeň",50.1028249,14.4966813,"CZK 15,500",,,Brick,,,,,Personal,,,,,,,,,,,
"CZK 41,756","CZK 13,919",728695,4+1,10/4/2022,102 m²,Fully furnished,2,,183.27,1023.84,165.5,746.11,195.16,730.27,819.74,259.7,600.66,303.35,"Xaveriova, Prague - Smíchov",50.0626569,14.3913498,,,,,,,,,,,,,,,,,,,,
"CZK 5,000","CZK 2,000",723664,Other,6/26/2022,9 m²,Fully furnished,1,,355.18,1302.88,992.79,1389.78,681.37,1265.38,719.71,940.58,192.06,775.63,Prague - Petrovice,50.03371,14.54724,"CZK 2,000",C,Good,Brick,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 3,900",272296,2+kk,6/1/2021,58 m²,Fully furnished,4,,296.76,495.49,292.2,508.16,319.52,397.4,353.87,525.47,683.82,409.22,"Radlická, Prague - Smíchov",50.0660628,14.4029194,"CZK 30,000",C,Very good,Brick,1.0,,Up to 10 years,,Personal,Electric boiler,Standard,,,,,,,,,
"CZK 59,000","CZK 9,500",432912,5+kk,9/1/2022,240 m²,Fully furnished,6,1.0,174.74,280.54,98.82,188.39,115.11,446.45,286.03,336.05,977.41,264.84,Prague - Vinohrady,50.078327416966,14.455739663754,"CZK 118,000",,,Brick,1.0,,,,Personal,,Luxurious,,,1.0,,,,,,
"CZK 27,000","CZK 3,800",611890,2+kk,10/1/2022,56 m²,Partly,6,1.0,458.22,1359.99,749.45,4002.43,439.08,726.17,1083.68,3425.09,1173.04,431.34,"Honzíkova, Prague - Dolní Měcholupy",50.067548,14.554658,"CZK 50,000",B,New-build,Prefab concrete,,,Up to 10 years,,Personal,Distance,Luxurious,,,1.0,1.0,,,1.0,,
"CZK 10,000",CZK 0,609306,Small studio,9/8/2022,22 m²,Fully furnished,,,419.78,689.05,336.56,510.31,483.75,541.04,177.96,624.54,698.68,163.17,"Nad Kuliškou, Prague - Košíře",50.066947,14.373544,"CZK 10,000",G,Very good,Brick,,,,,,,,,,,,,,,22 m²,
"CZK 13,000","CZK 2,200",523224,Studio,9/8/2022,36 m²,Fully furnished,4,1.0,408.63,1641.92,476.67,1413.35,555.89,1577.93,1319.91,1526.82,648.08,209.06,"Kolbenova, Prague - Vysočany",50.111912452778,14.513683039148,"CZK 15,000",B,,Other,,,,,Personal,Central,,1.0,,,1.0,,,,,
"CZK 20,000","CZK 6,500",531164,2+kk,10/1/2022,61 m²,Partly,4,1.0,362.37,1757.6,48.17,1386.97,502.63,984.94,979.72,829.72,93.77,220.29,"Nad Bání, Prague - Libeň",50.1154659,14.4798462,"CZK 45,000",B,New-build,Brick,1.0,1.0,Up to 10 years,,Personal,,,,1.0,,1.0,,,1.0,,
"CZK 16,000","CZK 5,000",735520,2+kk,10/1/2022,67 m²,Partly,1,,356.03,784.56,388.53,766.11,540.81,594.35,770.78,386.78,727.7,160.49,Prague - Hloubětín,50.10804,14.53189,"CZK 16,000",G,Very good,Brick,,,,,,,,,1.0,,,,,,,
"CZK 26,435","CZK 8,812",728696,2+kk,10/4/2022,45 m²,Fully furnished,5,,120.02,538.45,85.43,335.62,47.85,333.62,182.79,195.16,543.36,341.26,"Lípová, Prague - Nové Město",50.0747395,14.424046,,,,,,,,,,,,,,,,,,,,
"CZK 37,620","CZK 12,540",728258,2 bedroom,10/1/2022,54 m²,Fully furnished,7,1.0,379.66,564.73,5.21,191.31,38.84,242.1,65.9,705.75,343.76,422.75,"Michalská, Prague - Staré Město",50.0846396,14.4202484,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 5,000",666042,2 bedroom,9/1/2022,59 m²,Partly,6,1.0,117.5,270.46,138.74,133.57,38.01,277.34,47.26,66.93,685.67,257.65,Prague - Vinohrady,50.076212,14.4539725,"CZK 21,000",G,Very good,Brick,,,,,Personal,Distance,,,,,,,,,,
"CZK 14,001","CZK 4,800",735465,2+kk,10/1/2022,49 m²,Partly,2,,147.03,996.33,364.36,778.22,239.51,746.48,495.92,470.51,644.53,246.0,Prague - Nusle,50.05825,14.44248,"CZK 20,000",G,Good,Brick,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 4,000",735519,2+kk,9/8/2022,45 m²,Partly,2,1.0,235.6,275.67,138.46,131.82,154.01,247.69,191.11,191.11,1014.48,128.49,Prague - Kobylisy,50.1282,14.46748,"CZK 15,000",G,Very good,Prefab concrete,,,,,,,,,,,,,,,,
"CZK 17,501",CZK 0,731440,1 bedroom,8/27/2022,34 m²,Partly,1,,309.93,1324.95,228.84,710.35,257.19,425.17,569.56,583.75,698.96,307.13,Prague - Bubeneč,50.11009,14.39572,"CZK 33,000",D,Good,Brick,,,,,Personal,,,,1.0,,,,1.0,,,
"CZK 51,656","CZK 17,219",728895,2 bedroom,10/6/2022,60 m²,Fully furnished,4,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,,,,,,,,,,
"CZK 24,990","CZK 5,000",732234,3+kk,9/3/2022,100 m²,Fully furnished,2,,407.13,1424.18,250.92,1362.56,410.67,783.94,319.99,524.97,364.23,289.83,Prague - Střížkov,50.12272,14.48252,"CZK 50,000",C,Very good,Brick,1.0,,Up to 10 years,,Personal,Central,Standard,,,,,,,1.0,,
"CZK 19,200","CZK 6,400",732120,1 bedroom,11/1/2022,25 m²,Fully furnished,5,,325.99,599.06,10.69,489.3,51.0,359.95,315.04,78.83,255.47,309.72,"Polská, Prague - Vinohrady",50.0787721,14.4457646,,,,,,,,,,,,,,,,,,,,
"CZK 56,475","CZK 18,825",723104,3+kk,9/10/2022,67 m²,Fully furnished,2,1.0,110.1,273.82,156.66,129.22,76.56,142.67,300.13,496.4,282.11,367.31,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,1.0,,,,,,,,,1.0,,,,,,
