Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Reconstruction,Sklep 2 m²,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Lodžie 7.5 m²,Parking,Balkón 5 m²,Terasa 16.1 m²,Sklep 3.1 m²,Lodžie 7 m²,Age,Designe,Terasa 8 m²,Sklep 3 m²,New-build,Lodžie 4 m²,Sklep 4 m²,Administrative fee,Sklep 1 m²,Cellar,Domácí mazlíčci vítáni,Garage,Balkón 1 m²,Balkón 7 m²,Lodžie 3 m²,Lodžie 9 m²,Enclosed balcony,Balkón 6 m²,Sklep 8 m²,Balkón 9 m²,Terasa 10 m²,Sklep 5 m²,Balkón 3 m²,Lodžie 5 m²,Sklep 7 m²,Sklep 6 m²,Balkón 8 m²,Terasa 20 m²,Balkón 2 m²,Terasa 12 m²,Balkón 4 m²,Lodžie 8 m²,Balkón 13 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Lodžie 6 m²,Terasa 19 m²,Balkón 12 m²,Sklep 20 m²,Terasa 30 m²,Terasa 7 m²,Lodžie 10 m²,Balkón 10 m²,Sklep 4.1 m²,Sklep 3.5 m²,Sklep 30 m²,Lodžie 1 m²,Lodžie 2 m²,Terasa 14 m²,Balkón 6.1 m²,Terasa 10.1 m²,Terasa 5 m²,Terasa 14.1 m²,Sklep 10 m²,Sklep 6.4 m²,Terasa 40 m²,Balkón 35 m²,Terasa 16 m²,Balkón 33 m²,Balkón 60 m²,Balkón 32 m²,Terasa 32 m²,Water,Sewage,Balkón 70 m²,Plot space,Sklep 44 m²
"CZK 11,000","CZK 3,000","CZK 11,000",735490,Studio,9/7/2022,1,Brick,,26 m²,Fully furnished,Very good,,G,,,,71.82,1155.13,667.44,821.2,321.12,783.31,770.05,430.95,2336.32,607.25,Prague - Újezd nad Lesy,50.07387,14.67211,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 1,897","CZK 11,978",745105,Studio,10/20/2022,1,Other,,31 m²,,Good,Personal,,,,,250.44,1311.2,194.12,1351.17,283.02,272.09,479.5,98.38,1161.71,93.0,"Chudenická, Prague - Hostivař",50.0465531,14.518352,,,,,,,,,,,,,,,,"CZK 1,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,500","CZK 26,000",563640,Studio,11/1/2022,2,Brick,Other,25 m²,Fully furnished,Very good,Personal,,Complete,,1.0,286.81,574.89,38.48,341.92,12.17,299.81,391.88,282.98,620.19,292.25,"Sudoměřská, Prague - Žižkov",50.0799478,14.458484,,,,,,,,,,Standard,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 3,500","CZK 38,000",742232,2 bedroom,10/24/2022,3,Brick,,65 m²,Partly,Very good,Personal,G,Exterior,,,216.3,1117.45,759.92,933.68,907.11,964.4,372.5,1049.79,1110.58,484.52,Prague - Košíře,50.06471,14.37317,1.0,,,,,,,,10 to 30 years,Standard,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,250","CZK 7,750",,745101,1 bedroom,10/15/2022,4,,,47 m²,Fully furnished,,,,,,1.0,221.85,688.71,100.73,284.48,6.38,262.8,199.69,287.83,377.81,430.7,"V Jirchářích, Prague - Nové Město",50.080113730356,14.416184905557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,453","CZK 3,817",,745100,4+kk,11/21/2022,-1,,,60 m²,Fully furnished,,,,,,,128.07,590.39,54.39,441.02,27.54,567.88,151.31,255.51,710.79,142.74,"Masarykovo nábřeží, Prague - Nové Město",50.0778219,14.4145055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,500","CZK 3,500","CZK 10,500",745095,Studio,10/30/2022,1,Brick,,30 m²,Partly,Very good,,G,,,,152.76,611.02,20.34,707.05,97.29,684.98,340.72,341.67,299.98,189.85,Prague - Michle,50.04618,14.46108,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,493","CZK 9,497",,742401,2+kk,10/31/2022,3,,,53 m²,Fully furnished,,,,,,1.0,202.93,1083.69,84.41,522.08,140.61,459.37,143.09,392.14,304.14,134.72,"Drahobejlova, Prague - Libeň",50.1057951,14.4902938,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,900","CZK 4,900","CZK 25,000",719098,2 bedroom,11/1/2022,2,Brick,,43 m²,Fully furnished,New-build,Personal,G,Complete,,,218.91,611.55,237.55,492.12,561.42,312.81,250.46,362.38,742.8,282.58,"Počernická, Prague - Strašnice",50.0810281,14.4926073,,,,,,,,,Up to 10 years,Luxurious,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,900","CZK 38,000",625483,4+1,11/17/2022,6,Prefab concrete,,90 m²,,Very good,Personal,G,,1.0,1.0,101.81,239.77,158.25,174.61,174.64,167.59,427.38,634.67,1508.03,301.72,"Mazurská, Prague - Troja",50.127537,14.415946,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 4,500","CZK 27,500",559078,2+kk,11/1/2022,3,Brick,Gas boiler,53 m²,Fully furnished,,Personal,G,Interior,,1.0,167.96,387.24,108.24,130.89,117.45,130.66,430.73,593.65,641.51,509.31,"Čestmírova, Prague - Nusle",50.06416,14.44328,,,,1.0,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,500","CZK 18,500",621799,Studio,10/11/2022,5,Brick,Central,32 m²,Partly,New-build,Personal,B,Complete,,1.0,153.34,960.31,146.76,276.16,95.69,256.19,355.69,630.42,323.73,67.7,"Kurta Konráda, Prague - Libeň",50.104518,14.488426,,,,,,,,,Up to 10 years,Standard,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,500","CZK 20,000",745089,2 bedroom,10/13/2022,4,Prefab concrete,,55 m²,Partly,Good,,G,,1.0,1.0,232.61,146.06,13.95,221.87,10.19,63.91,278.39,443.83,1225.33,285.5,Prague - Vokovice,50.09625,14.3602,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,000","CZK 21,000",713312,2+kk,9/1/2022,2,Brick,Electric boiler,65 m²,Partly,Very good,Personal,B,Complete,,,320.54,804.25,643.24,6158.2,842.45,668.33,418.35,358.48,633.23,430.5,"Moravanská, Prague - Vinoř",50.1484241,14.58219925,,,,1.0,,,,,Up to 10 years,Luxurious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 7,990","CZK 3,800","CZK 11,790",717177,Studio,11/1/2022,2,Brick,,21 m²,Partly,Very good,Personal,G,,,,482.04,774.37,651.57,2085.85,515.76,750.21,791.76,1553.63,1343.79,826.85,"Pasteurova, Prague - Krč",50.01784,14.46071,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500",CZK 0,"CZK 25,000",683559,1 bedroom,10/14/2022,13,Prefab concrete,Central,38 m²,Unfurnished,Very good,Personal,B,Complete,1.0,1.0,62.99,804.51,86.75,804.08,551.66,78.24,373.96,681.84,957.0,222.55,"Vratislavská, Prague - Bohnice",50.13059,14.42444,,,,,,,,,,Standard,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 5,500","CZK 40,000",608798,3+1,11/1/2022,4,Prefab concrete,Distance,83 m²,Unfurnished,Very good,Cooperative,G,,,1.0,151.97,883.72,585.3,933.79,589.81,914.64,518.63,217.0,792.6,57.54,"V Zápolí, Prague - Michle",50.049561,14.465716,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,900","CZK 3,000","CZK 30,000",731675,Studio,10/8/2022,4,Brick,,34 m²,Fully furnished,Very good,,G,,,1.0,159.96,318.63,144.94,410.41,117.64,270.71,737.06,831.3,943.97,238.54,Prague - Uhříněves,50.03064,14.59533,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 63,413","CZK 21,137",,732321,3+kk,11/17/2022,3,,,62 m²,Fully furnished,,,,,,1.0,2.22,191.43,20.53,48.07,1.19,48.35,128.16,305.9,208.92,259.31,"Dlouhá, Prague - Staré Město",50.0907943,14.427063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 8,000","CZK 2,500","CZK 8,000",633605,Small studio,11/1/2022,1,Brick,,26 m²,Unfurnished,Very good,Personal,G,,,,130.36,861.09,156.19,306.45,114.93,778.36,391.37,514.67,778.62,112.84,"Dolní, Prague - Nusle",50.059834,14.448046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,490",CZK 999,"CZK 14,489",745085,Studio,10/14/2022,1,Brick,,35 m²,Fully furnished,Very good,Personal,G,,,,160.18,336.26,54.08,380.17,70.62,299.05,290.97,310.45,470.81,345.02,"Salačova, Prague - Uhříněves",50.02914305555,14.60111583333,,,,,,,,,,,,,,,,"CZK 14,489",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 3,000","CZK 40,000",729672,2 bedroom,10/10/2022,1,Other,Electric boiler,62 m²,Partly,Very good,,C,,,1.0,200.61,166.19,23.02,137.79,65.44,186.98,128.66,345.5,166.13,479.79,"Štítného, Prague - Žižkov",50.085196862514,14.450864016521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,500","CZK 4,000","CZK 31,500",742514,3+kk,10/3/2022,5,Brick,,86 m²,Partly,Very good,,G,,,,271.07,396.82,169.38,352.59,48.87,109.38,223.79,313.98,528.58,327.64,Prague - Nové Město,50.07662,14.42251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,000","CZK 5,500","CZK 40,000",745082,3+kk,11/1/2022,2,Brick,,76 m²,Fully furnished,New-build,,A,,,,323.29,1377.6,728.37,1332.13,1089.0,1228.83,1090.87,1024.81,1020.05,729.53,Prague - Hloubětín,50.10854,14.52547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,000","CZK 2,500","CZK 26,500",745080,2+kk,10/24/2022,5,Low-energy,,58 m²,Partly,New-build,,G,,,1.0,239.85,710.05,219.14,377.15,269.03,451.97,688.84,590.1,472.49,112.27,"Názovská, Prague - Strašnice",50.07874,14.48545,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 2,001","CZK 30,000",536863,Studio,,1,Low-energy,Central,35 m²,Fully furnished,New-build,Personal,B,,1.0,1.0,214.22,314.17,135.02,121.8,175.65,44.61,576.56,803.19,884.59,129.03,"Soukalova, Prague - Modřany",50.0063321,14.4147313,,,,1.0,,,,,Up to 10 years,Luxurious,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,490","CZK 1,049","CZK 20,539",745071,2 bedroom,10/14/2022,3,Brick,,70 m²,Unfurnished,Very good,Personal,G,,,,160.18,336.26,54.08,380.17,70.62,299.05,290.97,310.45,470.81,345.02,"Salačova, Prague - Uhříněves",50.02914305555,14.60111583333,,,,,,,,,,,,,,,,"CZK 20,539",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,733712,2+kk,10/22/2022,5,,,56 m²,Fully furnished,,,,,,1.0,240.81,540.67,44.44,271.87,34.53,284.1,466.7,624.38,640.6,582.46,"Mečislavova, Prague - Nusle",50.0633339,14.4440155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,500","CZK 24,000",742656,2+kk,9/27/2022,5,Brick,,50 m²,Partly,Very good,Personal,D,Complete,,,34.77,421.26,132.08,162.41,68.21,272.92,362.5,378.74,228.62,241.19,Prague - Vršovice,50.06793,14.45889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,900","CZK 1,000","CZK 25,800",671979,2+kk,10/17/2022,,Brick,Other,42 m²,Partly,Very good,Personal,G,,,,152.32,398.53,289.61,644.61,96.73,420.7,292.5,537.13,430.25,214.29,"U Kněžské louky, Prague - Žižkov",50.09451,14.49492,,,,,,,,,30 - 50 years,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,500","CZK 1,500","CZK 55,000",743282,3+kk,10/1/2022,4,Brick,,82 m²,Partly,Very good,,G,,,1.0,84.03,673.76,11.15,512.79,64.88,646.8,254.85,248.09,259.54,248.56,"Voroněžská, Prague - Vršovice",50.0716,14.44623,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,000","CZK 54,000",504678,2+kk,10/17/2022,2,Brick,Central,73 m²,Fully furnished,Very good,Cooperative,C,,,1.0,97.66,182.06,90.37,108.5,8.34,181.19,283.77,353.17,486.58,337.82,"Dělnická, Prague - Holešovice",50.1029397,14.4486996,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,500","CZK 2,500","CZK 17,500",655678,2+kk,1/1/2023,6,Brick,,42 m²,Fully furnished,Very good,Personal,B,,,1.0,77.25,199.93,48.44,61.62,30.24,36.14,200.18,221.53,145.31,195.71,"Dlouhá, Prague - Staré Město",50.09054,14.42611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 74,813","CZK 24,937",,740299,4+1,11/13/2022,3,,,136 m²,Fully furnished,,,,,,1.0,305.35,603.07,123.44,366.02,52.59,406.0,368.79,628.46,396.1,92.23,"Betlémská, Prague - Staré Město",50.0837893,14.416317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 79,000","CZK 20,000","CZK 158,000",714217,3+kk,10/17/2022,4,Other,Distance,164 m²,Fully furnished,New-build,Personal,B,,,1.0,384.26,1775.9,682.53,228.18,659.39,778.18,602.6,888.16,165.88,617.77,"Ke Dvoru, Prague - Vokovice",50.09653,14.34031,,,,1.0,,,,,,Luxurious,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 6,000",CZK 0,543562,2+kk,11/1/2022,4,Brick,,70 m²,Unfurnished,Very good,Personal,,,,1.0,122.31,334.22,74.45,117.66,20.37,233.68,313.83,221.77,581.67,201.54,Prague - Vinohrady,50.0761088,14.4502548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,900","CZK 2,600",CZK 0,352616,2 bedroom,10/5/2022,,Brick,,61 m²,Unfurnished,Good,Personal,G,,,,123.16,264.53,26.27,356.04,81.88,240.77,88.66,156.52,335.07,236.52,Prague - Žižkov,50.0854115,14.4543504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 4,500","CZK 23,000",266484,2+kk,10/15/2022,1,Brick,,45 m²,Partly,,Personal,C,,,,123.46,351.96,108.8,2721.35,899.67,419.41,2020.53,509.12,907.12,369.75,Prague - Ďáblice,50.1453207836,14.4867771564,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,990","CZK 4,990","CZK 24,990",745057,3+1,11/1/2022,4,Brick,,74 m²,Partly,Very good,,C,,,1.0,166.18,373.58,145.85,325.56,204.06,365.34,853.11,194.18,624.28,164.97,"Banskobystrická, Prague - Dejvice",50.09964,14.39189,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 2,000","CZK 20,000",707096,2+kk,12/1/2022,4,Brick,Electric boiler,65 m²,Partly,New-build,Personal,B,,,1.0,416.28,581.34,1098.92,1140.71,318.14,677.93,969.47,1043.89,233.55,175.41,"Miroslava Hajna, Prague - Letňany",50.13965,14.52041,,,,1.0,,,,,Up to 10 years,Standard,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,425","CZK 9,475",,742158,Studio,10/15/2022,2,,,30 m²,Fully furnished,,,,,,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 4,558","CZK 25,000",743593,2 bedroom,10/13/2022,5,Brick,Central,53 m²,Partly,Good,,G,,,1.0,68.47,1024.35,99.34,338.92,104.21,311.36,123.31,366.99,678.07,110.42,Prague - Bubeneč,50.10685,14.39612,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 4,000","CZK 43,000",735551,3+kk,10/1/2022,3,Brick,,83 m²,Unfurnished,Very good,,G,,,,149.2,1278.61,579.68,1498.92,671.57,884.65,577.38,531.29,725.03,679.79,Prague - Smíchov,50.05493,14.40442,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 5,000","CZK 30,000",735467,2 bedroom,12/1/2022,3,Prefab concrete,Central,52 m²,Partly,Very good,,G,Complete,,,259.57,169.5,228.9,216.61,320.45,408.86,274.71,450.32,856.1,305.91,Prague - Malešice,50.0829,14.49993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000",CZK 0,"CZK 20,000",745052,Studio,10/13/2022,-1,Brick,Electric boiler,34 m²,Fully furnished,Very good,,G,,,,557.21,661.61,705.63,2863.02,542.81,1005.63,1041.81,2559.19,1252.23,343.01,"Na Závěji, Prague - Nebušice",50.10821,14.31885,,,,1.0,,,,,10 to 30 years,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
