Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Age,Heating,Total number of floors,Renovation,Design,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
600056,"CZK 13,990",50.093418,14.454458,"Křižíkova, Prague - Karlín",Studio,New build,33 m²,"CZK 2,900",Personal,Brick building,Furnished,6,No,No,No,No,No,Yes,No,01. 04. 2022,B,426,551,90,195,17,158,343,"1,253",209,430,,,,,,,,,,,,,
283915,"CZK 11,500",50.1005785,14.3954363,Prague - Bubeneč,Studio,Excellent,33 m²,"CZK 2,500",Cooperative,Prefab concrete building,Furnished,1,No,No,No,No,No,Yes,No,,B,92,355,186,123,201,138,475,531,186,226,"CZK 22,000",1 to 10 years years,District heating,Middle floor,Overall,,,,,,,,
553540,"CZK 22,000",50.1074434,14.3253147,"Nad Želivkou, Prague - Nebušice",3 bedroom,,90 m²,"CZK 5,000",Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,No,No,Ihned,C,616,635,679,601,597,633,102,,,,"CZK 25,000",,,,,,,,,,,,
66020,"CZK 18,500",50.0866182,14.4531338,"Roháčova, Prague - Žižkov",2 bedroom,Excellent,74 m²,CZK 810,,Brick building,Partially furnished,1,No,No,No,Yes,No,No,No,01. 05. 2022,D,120,255,151,447,58,317,291,355,291,496,"CZK 37,000",1 to 10 years years,Gas boiler,Middle floor,Overall,Premium materials and solutions,,,,,,,
577698,"CZK 19,000",50.1085446,14.5094786,"U Vysočanského pivovaru, Prague - Vysočany",2 bedroom,Good,75 m²,"CZK 3,000",Cooperative,Brick building,Unfurnished,4,Yes,No,No,No,No,No,No,15. 08. 2021,D,267,864,373,621,349,824,510,374,823,753,"CZK 22,000",,,,,,,,,,,,
188676,"CZK 10,000",50.0727944,14.5477211,"Andersenova, Prague - Štěrboholy",Studio,Excellent,37 m²,"CZK 5,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,Yes,No,No,01. 04. 2022,,459,540,505,544,486,"1,017","1,064","1,037",,,"CZK 15,000",,Central heating,Middle floor,,Standard materials and solutions,,,,,,,
708753,"CZK 12,000",50.10907,14.5569,"Za černým mostem, Prague - Kyje",Studio,New build,27 m²,"CZK 1,900",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 03. 2022,B,176,800,136,48,754,418,"1,323","1,438",483,,"CZK 12,000",,,,,,,,,,,,
514636,"CZK 14,000",50.0861821,14.448717,"Dalimilova, Prague - Žižkov",Studio,,47 m²,"CZK 3,500",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,ihned,,210,387,202,394,7,354,121,246,145,732,"CZK 17,500",,,,,,,,,,,,
468820,"CZK 12,500",50.0684978,14.3880015,"Nad Popelkou, Prague - Smíchov",1 bedroom,,55 m²,"CZK 2,800",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,,C,46,980,655,"1,173",630,"1,067",691,"1,059",531,171,"CZK 27,000",1 to 10 years years,Central heating,Middle floor,Overall,Standard materials and solutions,,,,,,,
582869,"CZK 16,000",50.130171,14.493349,"Makedonská, Prague - Střížkov",1 bedroom with open-plan kitchen,New build,58 m²,"CZK 3,500",Personal,Prefab concrete building,Unfurnished,3,Yes,No,No,No,No,Yes,Yes,15. 03. 2022,B,340,"1,042",186,967,614,460,541,418,"1,167",108,"CZK 25,000",1 to 10 years years,District heating,Middle floor,,Standard materials and solutions,Yes,,,,,,
582869,"CZK 16,000",50.130171,14.493349,"Makedonská, Prague - Střížkov",1 bedroom with open-plan kitchen,New build,58 m²,"CZK 3,500",Personal,Prefab concrete building,Unfurnished,3,Yes,No,No,No,No,Yes,Yes,15. 03. 2022,B,340,"1,042",186,967,614,460,541,418,"1,167",108,"CZK 25,000",1 to 10 years years,District heating,Middle floor,,Standard materials and solutions,Yes,,,,,,
708125,"CZK 22,500",50.08885,14.38529,"Hládkov, Prague - Střešovice",4 bedroom with open-plan kitchen,Excellent,108 m²,"CZK 4,200",Personal,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 04. 2022,G,138,196,384,"1,295",78,"1,376",269,165,484,247,"CZK 22,500",,,Middle floor,Interior,,,,,,,,
708745,"CZK 8,690",50.07716,14.49625,"Černokostelecká, Prague - Strašnice",Studio,Excellent,29 m²,"CZK 1,900",Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,G,130,297,88,562,325,596,605,313,"1,038",165,"CZK 10,590",,,,,,,,,,,,
626037,"CZK 11,000",50.0002,14.406567,"K Vystrkovu, Prague - Modřany",Studio,New build,26 m²,"CZK 1,500",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,15. 09. 2020,B,92,"1,353",650,"1,472",393,498,635,606,383,532,"CZK 12,500",1 to 10 years years,Central heating,Top floor,,Standard materials and solutions,Yes,,,,,,
694966,"CZK 13,000",50.0123751,14.4000073,"Vrátnická, Prague - Modřany",Studio,New build,42 m²,"CZK 2,500",Personal,Brick building,Unfurnished,2,Yes,No,Yes,No,Yes,Yes,No,04. 12. 2021,A,197,"1,078",373,"1,322",740,"1,383","1,378",662,,,"CZK 15,500",,Central heating,Middle floor,,,Yes,,,,,,
427407,"CZK 15,500",50.1091682,14.5338204,"Zelenečská, Prague - Hloubětín",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 2,450",Personal,Brick building,Furnished,1,No,No,Yes,No,No,No,No,,C,356,656,311,637,553,473,465,269,766,276,"CZK 31,000",1 to 10 years years,District heating,Raised ground floor,Interior,Premium materials and solutions,,,,,,,
428451,"CZK 10,500",50.0669491,14.3686364,"Cetyňská, Prague - Košíře",Small studio,,25 m²,"CZK 1,500",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,,,418,786,264,596,450,507,477,971,342,454,"CZK 12,000",,,Middle floor,Overall,,,,,,,,
708741,"CZK 11,706",50.0427649,14.4931358,"Klapálkova, Prague - Chodov",Studio,Good,32 m²,"CZK 2,221",Personal,Other,,1,No,No,No,No,No,No,No,17. 03. 2022,,33,832,168,877,517,"1,461",395,"1,201","1,083",262,"CZK 13,927",,,,,,,"CZK 1,756",,,,,
655768,"CZK 14,000",50.06344,14.45338,"Petrohradská, Prague - Vršovice",2 bedroom,Excellent,53 m²,"CZK 4,500",Cooperative,Brick building,Partially furnished,4,No,No,Yes,No,No,Yes,No,01. 04. 2022,G,157,614,155,737,26,597,398,363,402,420,"CZK 20,000",,Gas boiler,Middle floor,,Standard materials and solutions,,,,,,,
708738,"CZK 13,338",50.14144095,14.5061245359,"Malkovského, Prague - Letňany",Studio,Good,32 m²,"CZK 1,000",Personal,Other,,8,No,No,No,No,No,No,No,01. 03. 2022,,216,973,163,857,450,179,512,356,378,29,"CZK 14,338",,,,,,,"CZK 2,001",,,,,
107657,"CZK 23,500",50.08938,14.44505,"Pernerova, Prague - Karlín",2 bedroom with open-plan kitchen,Good,70 m²,"CZK 4,500",Personal,Brick building,Furnished,1,No,No,No,No,Yes,Yes,No,01. 04. 2022,A,179,725,364,602,58,577,278,881,688,225,"CZK 30,000",,,,,,,,,,,,
628673,"CZK 16,000",50.052378,14.342837,"Mezi Školami, Prague - Stodůlky",2 bedroom with open-plan kitchen,Excellent,84 m²,"CZK 5,500",Cooperative,Prefab concrete building,Partially furnished,1,Yes,Yes,Yes,Yes,No,Yes,No,30. 09. 2020,B,266,385,254,332,230,296,224,64,"1,136",110,"CZK 16,000",,District heating,,Overall,,,,,,,,
708120,"CZK 13,600",50.13991,14.52038,"Miroslava Hajna, Prague - Letňany",Studio,New build,34 m²,"CZK 2,400",Personal,Brick building,Furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 05. 2022,B,445,572,"1,075","1,158",291,696,972,"1,102","1,234",252,"CZK 18,000",,,,,,,,,,,,
611912,"CZK 13,900",50.060864,14.449321,"Kloboučnická, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,33 m²,"CZK 3,200",Personal,Brick building,,3,No,No,No,No,No,Yes,No,08. 06. 2020,F,74,991,145,363,55,645,436,432,914,327,"CZK 15,000",,,,,,,,,,,,
242371,"CZK 16,000",50.0764113,14.4569736,"Slezská, Prague - Vinohrady",1 bedroom with open-plan kitchen,,54 m²,"CZK 1,500",Personal,Brick building,Furnished,2,No,No,Yes,No,No,Yes,No,,C,166,470,133,154,179,372,252,456,839,375,"CZK 20,000",,,,,,,,,,,,
708734,"CZK 23,500",50.09891,14.42388,"Dobrovského, Prague - Holešovice",2 bedroom with open-plan kitchen,Excellent,86 m²,"CZK 2,114",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,No,Yes,No,01. 03. 2022,G,202,233,97,164,127,198,275,387,563,,"CZK 25,000",1 to 10 years years,Central heating,Middle floor,Interior,Standard materials and solutions,,,,,,,
397958,"CZK 14,000",50.1169133,14.4984247,"Cihlářská, Prague - Prosek",1 bedroom with open-plan kitchen,Excellent,39 m²,"CZK 5,000",Personal,Brick building,Furnished,1,No,Yes,No,No,No,No,No,01. 03. 2022,,150,916,113,275,223,408,491,449,837,94,"CZK 19,000",1 to 10 years years,,Ground floor,,,,,64 m²,,,,
708115,"CZK 22,500",50.11285,14.39231,"Máslova, Prague - Dejvice",1 bedroom with open-plan kitchen,Excellent,80 m²,"CZK 4,000",Personal,Brick building,Furnished,4,Yes,No,Yes,No,No,Yes,No,14. 03. 2022,G,311,221,"1,247",390,"1,022",952,452,539,598,,"CZK 40,000",,Central heating,,,,,,,,,,
491626,"CZK 17,500",50.0715736,14.4762758,"Bajkalská, Prague - Vršovice",2 bedroom,,59 m²,"CZK 2,500",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,,,178,65,183,341,66,155,203,284,443,287,"CZK 35,000",,,,,,,,,,,,
708732,"CZK 10,941",50.0290081,14.3616798,"Vítové, Prague - Hlubočepy",Studio,Good,26 m²,"CZK 2,185",Cooperative,Other,,4,No,No,No,No,No,No,No,01. 03. 2022,,437,"1,318",559,"1,298",301,"1,336",529,769,854,542,"CZK 13,126",,,,,,,"CZK 1,641",,,,,
239222,"CZK 12,500",50.1450753,14.4498921,"Prunéřovská, Prague - Dolní Chabry",1 bedroom,Good,37 m²,"CZK 1,200",Personal,Brick building,Furnished,,No,Yes,No,No,No,No,No,02. 03. 2022,C,191,274,226,123,203,"1,035",970,340,,,"CZK 15,000",1 to 10 years years,Central heating,Ground floor,,Standard materials and solutions,,,500 m²,,,,
581453,"CZK 8,000",50.058519,14.377489,"Peroutkova, Prague - Jinonice",Studio,New build,16 m²,"CZK 3,000",Personal,Other,Furnished,1,No,No,No,No,No,Yes,No,01. 04. 2022,G,268,604,268,"1,017",406,800,"1,195",497,"1,194",159,"CZK 11,000",1 to 10 years years,Central heating,Ground floor,Overall,,Yes,,,,,,
708727,"CZK 10,369",50.13580005,14.50691408186,"Rýmařovská, Prague - Letňany",Studio,Good,25 m²,"CZK 2,245",Personal,Other,,1,No,No,No,No,No,No,No,01. 03. 2022,,99,803,163,285,345,281,282,532,226,392,"CZK 12,614",,,,,,,"CZK 1,555",,,,,
708725,"CZK 17,253",50.13138,14.42938,"Toruňská, Prague - Bohnice",3 bedroom,Excellent,80 m²,"CZK 4,747",Personal,Prefab concrete building,Furnished,6,No,No,No,Yes,Yes,Yes,No,01. 03. 2022,G,180,521,163,"1,280",516,561,632,398,672,220,"CZK 30,000",,,,,,,,,,,,
499094,"CZK 18,000",50.0708431,14.4501547,"Charkovská, Prague - Vršovice",2 bedroom with open-plan kitchen,,76 m²,"CZK 1,500",Personal,Brick building,Unfurnished,4,No,No,No,No,No,No,No,,,135,648,146,195,73,510,187,447,378,363,"CZK 18,000",,,,,,,,,,,,
708724,"CZK 17,625",50.1245336,14.4947443,"Jablonecká, Prague - Střížkov",1 bedroom with open-plan kitchen,,45 m²,"CZK 5,875",,,Furnished,10,Yes,No,No,No,No,Yes,No,01. 04. 2022,,258,317,139,255,130,153,532,446,849,24,,,,,,,,,,,,,
671640,"CZK 14,500",50.0789,14.4987,"V Úžlabině, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,35 m²,"CZK 1,340",Personal,Prefab concrete building,Furnished,2,No,No,Yes,No,No,No,No,01. 08. 2021,D,265,500,203,343,252,297,473,612,"1,125",114,"CZK 15,000",,,,,,,,,,,,
588117,"CZK 14,500",50.057065,14.430227,"Na Dolinách, Prague - Nusle",1 bedroom,Excellent,33 m²,"CZK 2,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,F,76,770,301,305,11,278,712,492,107,150,"CZK 16,500",30 to 50 years years,Central heating,Middle floor,Interior,Standard materials and solutions,,,,,,,
648537,"CZK 19,500",50.078549,14.456946,"Přemyslovská, Prague - Žižkov",2 bedroom,Excellent,52 m²,"CZK 3,000",Personal,Brick building,Furnished,,No,No,No,No,Yes,Yes,No,01. 04. 2022,G,122,379,81,141,42,364,508,568,896,215,"CZK 22,500",,,,,,,,,,,,
588123,"CZK 23,000",50.075306,14.41547,"Dittrichova, Prague - Nové Město",1 bedroom with open-plan kitchen,Excellent,69 m²,"CZK 4,000",Cooperative,Brick building,Furnished,,No,No,No,No,No,No,No,01. 03. 2022,G,117,263,234,291,45,337,175,523,739,462,"CZK 27,000",30 to 50 years years,Gas boiler,Ground floor,Interior,Standard materials and solutions,,,,,,,
656249,"CZK 8,500",50.07128,14.45162,"Kodaňská, Prague - Vršovice",Studio,Excellent,19 m²,"CZK 2,000",Personal,Brick building,Furnished,1,No,No,No,No,Yes,No,No,01. 04. 2022,G,29,628,29,211,0,483,70,355,283,305,"CZK 10,500",,,,,,,,,,,,
707836,"CZK 16,200",50.05704,14.43038,"Na Dolinách, Prague - Nusle",1 bedroom,Excellent,28 m²,"CZK 2,300",Personal,Brick building,Furnished,3,No,No,Yes,Yes,Yes,Yes,No,20. 03. 2022,G,65,781,290,294,0,266,723,481,96,162,"CZK 18,500",,,,,,,,,,,,
707660,"CZK 65,000",50.07423,14.44409,"Šumavská, Prague - Vinohrady",4 bedroom,Excellent,164 m²,"CZK 4,900",Personal,Brick building,Furnished,4,No,No,Yes,No,No,Yes,No,28. 02. 2022,B,142,108,94,612,75,377,285,257,475,229,,,,,,,,,,,,,
707951,"CZK 20,500",50.08013,14.45882,"Sudoměřská, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 2,500",Personal,Brick building,Furnished,5,No,Yes,Yes,No,Yes,Yes,No,01. 04. 2022,C,292,578,395,418,20,396,577,454,619,207,"CZK 23,000",,,,,,,,,,,,
694503,"CZK 13,500",50.1064196,14.5318267,"Kbelská, Prague - Hloubětín",Studio,New build,35 m²,"CZK 2,500",Personal,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,No,30. 11. 2021,G,175,646,208,628,397,472,663,428,560,268,"CZK 13,500",,,,,,,,,,,,
708718,"CZK 12,500",50.09031,14.49512,"Pod Lipami, Prague - Žižkov",2 bedroom,Excellent,53 m²,"CZK 4,000",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,No,Yes,No,01. 04. 2022,G,316,550,261,792,211,554,703,261,642,230,"CZK 12,500",,,,,,,,,,,,
708719,"CZK 17,000",50.0585,14.42011,"Vodárenská, Prague - Podolí",1 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 4,000",Personal,Brick building,Furnished,2,Yes,No,Yes,No,No,No,No,01. 03. 2022,G,84,76,84,217,147,188,262,689,569,167,"CZK 21,000",,,,,,,,,,,,
149785,"CZK 14,000",50.0947483,14.3561901,"Na dlouhém lánu, Prague - Vokovice",1 bedroom with open-plan kitchen,,43 m²,"CZK 1,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,01. 03. 2022,,419,521,337,494,365,347,274,616,"1,157",136,"CZK 17,500",,,,,,,,,,,,
598847,"CZK 12,000",50.012466,14.6024605,"K Pitkovicům, Prague - Benice",Studio,New build,42 m²,"CZK 2,500",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 01. 1970,A,239,296,219,,,,,,,,"CZK 15,000",1 to 10 years years,Geothermal heat pump,Middle floor,,Premium materials and solutions,Yes,,,,,,
707496,"CZK 17,500",50.05346,14.54576,"Kytínská, Prague - Hostivař",1 bedroom with open-plan kitchen,New build,61 m²,"CZK 4,050",Personal,Brick building,Furnished,7,Yes,No,No,No,Yes,Yes,No,01. 04. 2022,G,557,610,552,525,622,"1,079",348,515,153,,"CZK 35,000",,,,,,,,,,,,
708715,"CZK 14,500",50.0574,14.44181,"V Zálomu, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 1,730",Cooperative,Brick building,Partially furnished,3,No,No,Yes,No,No,No,No,01. 05. 2022,G,90,"1,164",306,784,284,702,480,455,686,199,"CZK 28,000",,Gas boiler,,,,,,,,,,
626356,"CZK 18,000",50.052159,14.337469,"Kodymova, Prague - Stodůlky",2 bedroom with open-plan kitchen,Excellent,75 m²,"CZK 3,750",Personal,Brick building,Unfurnished,3,Yes,No,No,Yes,No,Yes,No,01. 06. 2021,G,116,419,253,384,372,278,310,336,983,179,"CZK 18,000",10 to 30 years years,District heating,Middle floor,,,,,,,,,
708711,"CZK 20,000",50.08567,14.56351,"U Hostavického potoka, Prague - Hostavice",2 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 5,000",Personal,Brick building,Furnished,,No,Yes,Yes,No,No,Yes,Yes,01. 03. 2022,C,287,259,630,96,,,,,,,"CZK 40,000",,,Ground floor,,,,,,,,,
696248,"CZK 47,000",50.07906,14.44976,"Laubova, Prague - Vinohrady",3 bedroom,Excellent,109 m²,"CZK 6,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,Yes,Yes,No,01. 01. 2022,D,209,273,39,272,113,301,142,267,694,169,"CZK 53,000",,,,,,,,,,,,
708190,"CZK 14,000",50.0526728,14.5442451,"Bělinského, Prague - Hostivař",2 bedroom,Good,61 m²,"CZK 3,500",Personal,Prefab concrete building,Partially furnished,5,No,No,Yes,Yes,No,Yes,No,30. 04. 2022,C,383,435,308,404,578,856,305,471,255,,"CZK 20,000",,District heating,Middle floor,,Standard materials and solutions,,,,,,,
699391,"CZK 13,000",50.10558,14.54778,"Rochovská, Prague - Hloubětín",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 5,000",Personal,Prefab concrete building,Furnished,2,No,No,No,No,Yes,Yes,No,01. 02. 2022,G,147,924,268,942,552,930,275,668,946,205,"CZK 24,000",,District heating,,,,,,,,,,
708290,"CZK 20,000",50.07264,14.3888,"Holečkova, Prague - Smíchov",3 bedroom,Excellent,84 m²,"CZK 5,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,01. 05. 2022,B,205,"1,222",188,961,230,"1,108",467,760,"1,277",223,"CZK 20,000",,,,,,,,,,,,
707342,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",2 bedroom,,46 m²,"CZK 12,000",,,Furnished,5,No,No,No,No,No,Yes,No,02. 03. 2022,,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,
707258,"CZK 45,000",50.082182161145,14.415757035582,"Karoliny Světlé, Prague - Staré Město",2 bedroom,,72 m²,"CZK 15,000",,,Furnished,3,No,No,No,No,No,Yes,No,03. 03. 2022,,186,811,109,132,85,110,274,275,231,398,,,,,,,,,,,,,
707399,"CZK 28,688",50.077834,14.422878,"Příčná, Prague - Nové Město",Studio,,26 m²,"CZK 9,562",,,Furnished,2,No,No,No,No,No,No,No,18. 04. 2022,,224,529,123,232,36,222,310,471,467,408,,,,,,,,,,,,,
707374,"CZK 30,000",50.0372353,14.482405,"Hněvkovská, Prague - Chodov",1 bedroom with open-plan kitchen,,40 m²,"CZK 10,000",,,Furnished,2,Yes,No,No,No,No,No,No,02. 03. 2022,,469,"1,480",408,"1,340",370,"1,305",889,"1,194",334,309,,,,,,,,,,,,,
707348,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,,45 m²,"CZK 12,000",,,Furnished,3,No,No,No,No,No,Yes,No,02. 03. 2022,,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,
707353,"CZK 44,925",50.0873557,14.4001355,"Vlašská, Prague - Malá Strana",2 bedroom with open-plan kitchen,,90 m²,"CZK 14,975",,,Furnished,2,No,No,No,No,No,No,No,03. 03. 2022,,171,434,49,337,17,310,367,699,784,255,,,,,,,,,,,,,
707341,"CZK 32,250",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom,,57 m²,"CZK 10,750",,,Furnished,5,No,No,No,No,No,Yes,No,02. 03. 2022,,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,
707287,"CZK 37,425",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",1 bedroom with open-plan kitchen,,45 m²,"CZK 12,475",,,Furnished,2,No,No,No,No,No,Yes,No,14. 03. 2022,,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,
707259,"CZK 37,500",50.0894289,14.423732,"Masná, Prague - Staré Město",Studio,,46 m²,"CZK 12,500",,,Furnished,3,No,No,No,No,No,Yes,No,04. 03. 2022,,68,269,126,89,16,107,70,52,156,144,,,,,,,,,,,,,
707368,"CZK 33,750",50.0790219,14.4245347,"Školská, Prague - Nové Město",Studio,,26 m²,"CZK 11,250",,,Furnished,1,Yes,No,No,No,No,Yes,No,13. 03. 2022,,326,716,122,141,29,217,161,519,502,456,,,,,,,,,,,,,
707361,"CZK 28,350",50.0987973,14.42253,"Nad štolou, Prague - Holešovice",1 bedroom with open-plan kitchen,,58 m²,"CZK 9,450",,,Furnished,3,Yes,No,No,No,No,Yes,No,02. 03. 2022,,203,173,192,194,67,259,186,499,403,,,,,,,,,,,,,,
707352,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom with open-plan kitchen,,59 m²,"CZK 12,000",,,Furnished,-1,No,No,No,No,No,No,No,02. 03. 2022,,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,
707318,"CZK 28,253",50.0940007,14.4535929,"Sokolovská a, Prague - Karlín",Studio,,36 m²,"CZK 9,418",,,Furnished,4,No,Yes,No,No,No,Yes,Yes,02. 03. 2022,,109,421,13,160,21,228,518,"1,364",384,467,,,,,,,,,,,,,
707303,"CZK 20,160",50.0631412,14.4044623,"Radlická, Prague - Smíchov",Studio,,35 m²,"CZK 6,720",,,Furnished,2,No,No,No,No,No,No,No,02. 03. 2022,,28,453,78,852,18,206,643,616,794,538,,,,,,,,,,,,,
707269,"CZK 18,000",50.101287,14.4274794,"Veletržní, Prague - Holešovice",1 bedroom,,,"CZK 6,000",,,Furnished,1,No,No,No,No,No,No,No,01. 04. 2022,,159,212,112,187,64,141,210,116,549,,,,,,,,,,,,,,
708703,"CZK 18,500",50.11712,14.51092,"Klíčovská, Prague - Vysočany",1 bedroom with open-plan kitchen,New build,68 m²,"CZK 3,700",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,Yes,01. 03. 2022,C,245,"1,350",551,869,296,867,"1,033",163,"1,041",297,"CZK 25,000",,,,,,,,,,,,
704620,"CZK 16,000",50.06067,14.43501,"Žateckých, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,43 m²,CZK 630,Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,01. 03. 2022,D,174,819,29,613,88,562,214,528,450,342,"CZK 25,000",,,,,,,,,,,,
708699,"CZK 16,600",50.02109,14.46635,"V Zeleném údolí, Prague - Kunratice",1 bedroom with open-plan kitchen,Excellent,57 m²,"CZK 3,200",Personal,Other,Partially furnished,1,No,Yes,No,No,No,Yes,Yes,28. 02. 2022,C,282,"1,238","1,115",69,408,705,97,,,,"CZK 22,000",,,,,,,,,,,,
478149,"CZK 15,500",50.0541364,14.4837901,"Podle náhonu, Prague - Záběhlice",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 3,900",Personal,Brick building,Furnished,3,Yes,No,No,No,No,Yes,Yes,01. 04. 2022,,190,"1,150",551,"1,092",231,"1,176",938,747,373,191,"CZK 30,000",,,,,,Yes,,,,,,
708675,"CZK 16,000",50.09678,14.35746,"Africká, Prague - Vokovice",2 bedroom with open-plan kitchen,Excellent,54 m²,"CZK 2,800",Personal,Prefab concrete building,Partially furnished,2,No,No,Yes,Yes,No,Yes,No,01. 03. 2022,C,277,327,184,209,233,182,362,488,"1,075",108,"CZK 32,000",,,,,,,,,,,,
697032,"CZK 15,000",50.0981894,14.3985813,"Kafkova, Prague - Dejvice",1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 3,500",Personal,Brick building,Furnished,,No,No,Yes,No,No,No,No,01. 03. 2022,G,261,202,123,105,108,218,300,604,484,278,"CZK 18,500",,,,,,,,,,,,
708671,"CZK 7,500",50.08313,14.37756,"Závěrka, Prague - Břevnov",Small studio,Excellent,20 m²,CZK 500,Personal,Brick building,Furnished,,No,No,No,No,No,No,No,01. 03. 2022,G,340,"1,109",301,674,72,478,399,528,255,344,"CZK 7,000",,,,,,,,,,,,
130706,"CZK 12,600",50.0669277,14.4510716,Prague - Vršovice,1 bedroom with open-plan kitchen,,50 m²,CZK 703,Cooperative,Brick building,Unfurnished,2,No,No,Yes,No,No,Yes,No,01. 04. 2022,,310,452,199,349,208,155,266,315,223,390,"CZK 12,000",,Other,Middle floor,,Standard materials and solutions,,,,,,,
708668,"CZK 12,000",50.11501,14.38237,"K Matěji, Prague - Dejvice",Small studio,Excellent,49 m²,"CZK 3,500",Personal,Brick building,Furnished,3,No,Yes,Yes,No,No,Yes,No,01. 03. 2022,G,155,391,314,"1,407",851,364,957,750,,,"CZK 15,000",,Gas boiler,,,,,,,,,,
140225,"CZK 12,000",50.0568947,14.4469041,"U družstva Život, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 2,175",Personal,Brick building,Partially furnished,3,No,No,Yes,No,No,No,No,01. 02. 2022,,404,895,107,406,257,"1,022",324,241,867,245,"CZK 12,000",,Gas boiler,,Overall,,,,,,,,
588659,"CZK 11,000",50.0981173,14.4810399,"Novovysočanská, Prague - Libeň",Studio,New build,26 m²,"CZK 2,500",Personal,Low-energy building,Partially furnished,2,No,No,No,No,No,Yes,No,02. 03. 2022,B,60,"1,372",634,"1,008",555,"1,145",744,736,683,464,"CZK 15,000",1 to 10 years years,Central heating,Middle floor,,Standard materials and solutions,Yes,,,,,,
708074,"CZK 10,900",50.05702105,14.292262248137,"Do Zahrádek I, Prague - Třebonice",Studio,New build,35 m²,"CZK 2,900",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,No,Yes,No,24. 02. 2022,B,289,"1,204",586,530,842,640,640,864,481,,"CZK 13,800",,,,,,,,,,,,
379118,"CZK 11,900",49.999400230001,14.410353649738,"Benáčanova, Prague - Modřany",Studio,New build,35 m²,"CZK 2,400",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,No,,,61,"1,008",908,"1,103",275,756,893,758,461,221,,1 to 10 years years,District heating,,,,Yes,,,,,,
646794,"CZK 18,000",50.104291,14.485296,"Drahobejlova, Prague - Libeň",2 bedroom,Excellent,65 m²,"CZK 1,700",Personal,Brick building,Furnished,3,No,No,Yes,Yes,No,Yes,No,16. 05. 2022,G,179,286,176,203,140,653,280,768,394,257,"CZK 20,000",,,,,,,,,,,,
