Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Age,Designe,Ownership,Heating,Terasa 4 m²,Sklep 4 m²,Garage,New-build,Parking,Terasa 12 m²,Reconstruction,Sklep 2 m²,Balkón 6 m²,Terasa 8 m²,Balkón 7 m²,Sklep 5 m²,Balkón 2 m²,Lodžie 4 m²,Lodžie 9 m²,Balkón 8 m²,Sklep 8.1 m²,Balkón 1 m²,Sklep 8 m²,Lodžie 7 m²,Sklep 3.1 m²,Lodžie 1 m²,Terasa 20 m²,Sklep 3 m²,Terasa 5 m²,Lodžie 3 m²,Terasa 32 m²,Domácí mazlíčci vítáni,Administrative fee,Cellar,Balkón 4 m²,Lodžie 10 m²,Sklep 15 m²,Balkón 5 m²,Terasa 9 m²,Balkón 9 m²,Balkón 10 m²,Lodžie 5 m²,Balkón 3 m²,Balkón 40 m²,Terasa 50 m²,Sklep 6 m²,Balkón 15 m²,Terasa 25 m²,Lodžie 14.6 m²,Terasa 10 m²,Terasa 24 m²,Lodžie 6 m²,Sklep 12 m²,Enclosed balcony,Lodžie 5.1 m²,Terasa 11 m²,Lodžie 8 m²,Sklep 7 m²,Terasa 1 m²,Terasa 37 m²,Sklep 1 m²,Terasa 17 m²,Terasa 15 m²,Sklep 14 m²,Terasa 13 m²,Balkón 8.73 m²,Terasa 2.67 m²,Sklep 28 m²,Lodžie 15 m²,Balkón 18 m²,Sklep 3.2 m²,Balkón 30 m²,Terasa 18 m²,Terasa 200 m²,Terasa 350 m²,Sklep 10 m²,Balkón 11 m²,Balkón 28 m²,Balkón 2.29 m²,Terasa 16.1 m²,Terasa 6 m²,Terasa 14 m²,Balkón 13 m²,Balkón 33 m²,Terasa 29 m²,Terasa 100 m²,Terasa 30 m²,Terasa 7 m²,Terasa 45 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Sklep 20 m²,Balkón 12 m²,Terasa 14.1 m²,Terasa 40 m²,Balkón 70 m²,Plot space,Lodžie 12 m²
"CZK 20,000","CZK 1,000","CZK 20,000",373315,2 bedroom,11/1/2022,1,B,75 m²,Unfurnished,Very good,Brick,,229.85,1102.94,1189.53,2143.55,289.89,959.24,1032.32,1196.75,419.13,572.15,"Pikovická, Prague - Braník",50.0304498,14.4076684,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 4,900","CZK 30,000",747401,1 bedroom,11/10/2022,3,G,30 m²,Fully furnished,Very good,Brick,,79.36,611.57,106.17,303.56,107.15,219.14,363.06,439.06,538.89,625.14,"Zúžená, Prague - Břevnov",50.0834,14.37131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 4,000","CZK 26,000",747397,2+kk,10/24/2022,,B,50 m²,Partly,Very good,Brick,,854.38,3873.32,792.01,3899.19,3418.2,4016.17,3559.1,3521.34,5135.33,823.79,"Starý lis, Prague - Točná",49.9668,14.42462,,,,,Personal,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 26,000",747392,Small studio,10/24/2022,,G,28 m²,Fully furnished,Very good,Brick,1.0,135.59,836.0,96.57,471.97,124.11,405.08,470.83,221.69,227.25,261.32,"Biskupcova, Prague - Žižkov",50.09153,14.48104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 4,500","CZK 16,000",308727,Studio,8/15/2022,1,,26 m²,Partly,Very good,Brick,,321.61,1313.49,216.96,1113.77,394.42,254.78,164.22,156.5,890.05,246.07,"Na výhledech, Prague - Strašnice",50.0684525,14.5009037,,,Over 50 years,Standard,Personal,Electric boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 3,500","CZK 25,000",139610,2 bedroom,10/19/2022,5,,46 m²,Fully furnished,Very good,Brick,,140.53,931.29,212.88,415.85,141.86,828.47,460.57,460.04,899.21,361.46,"Kloboučnická, Prague - Nusle",50.0613525,14.4500789,,,,Standard,Personal,,,,,,,,Complete,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,499","CZK 2,499","CZK 18,998",747390,2+kk,11/14/2022,3,A,55 m²,Partly,New-build,Low-energy,1.0,343.27,1140.0,1410.58,2058.01,322.96,2182.65,1555.23,2691.62,2132.56,965.94,"Želetická, Prague - Sobín",50.06453,14.27368,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,425","CZK 7,475",,747388,Studio,11/20/2022,3,,30 m²,Fully furnished,,,1.0,258.66,685.78,233.92,407.82,154.16,415.37,547.3,506.41,132.73,464.34,"V Háji, Prague - Holešovice",50.1013638,14.4546402,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,366","CZK 1,634","CZK 42,000",743786,1 bedroom,11/15/2022,3,D,45 m²,Unfurnished,Very good,Brick,1.0,129.24,11.67,129.87,643.14,94.89,101.48,197.83,270.2,412.1,242.21,"Litevská, Prague - Vršovice",50.07158,14.47671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,900","CZK 4,900","CZK 25,000",719098,2 bedroom,11/1/2022,2,G,43 m²,Fully furnished,New-build,Brick,,218.91,611.55,237.55,492.12,561.42,312.81,250.46,362.38,742.8,282.58,"Počernická, Prague - Strašnice",50.0810281,14.4926073,,,Up to 10 years,Luxurious,Personal,,,,,,,,Complete,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,220","CZK 3,000",CZK 0,746587,2+kk,10/19/2022,1,G,56 m²,Fully furnished,Very good,Brick,,233.13,651.17,112.38,907.79,67.69,969.25,438.62,1399.78,409.08,118.92,Prague - Zličín,50.06004,14.29102,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,500","CZK 3,300","CZK 26,000",747380,2 bedroom,10/24/2022,4,C,52 m²,Fully furnished,Very good,Brick,1.0,256.92,374.05,33.18,541.02,325.93,533.79,283.38,128.85,350.98,209.75,"Dětská, Prague - Strašnice",50.07509,14.49559,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 3,000","CZK 52,000",747376,2+kk,12/1/2022,5,G,58 m²,Partly,New-build,Brick,1.0,304.22,307.1,190.87,482.9,214.4,627.63,392.99,190.24,150.2,108.64,"V Mezihoří, Prague - Libeň",50.10226,14.47875,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,900",CZK 600,"CZK 20,000",499632,Studio,10/24/2022,1,,34 m²,Partly,New-build,Brick,1.0,189.98,399.2,93.35,2076.9,171.2,129.81,215.31,270.01,1564.76,478.57,"Na Vinohradu, Prague - Braník",50.0356293,14.4150772,,,Up to 10 years,Standard,Personal,Distance,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 6,000","CZK 32,000",746626,2+kk,10/19/2022,5,B,55 m²,Fully furnished,New-build,Other,1.0,206.79,511.13,187.24,169.76,131.6,323.25,808.8,934.79,479.14,344.34,Prague - Karlín,50.09557,14.4512,,,,,Personal,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,000","CZK 20,000",213428,Studio,11/20/2022,6,,43 m²,Partly,New-build,Brick,1.0,26.88,492.09,143.29,462.65,430.69,470.49,321.08,608.97,311.75,198.3,"Tlumačovská, Prague - Stodůlky",50.0399305,14.3357572,1.0,,Up to 10 years,Luxurious,Personal,Distance,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,500","CZK 25,000",577089,Studio,10/23/2022,3,E,34 m²,Partly,Good,Other,,448.36,1129.75,547.04,1376.97,505.39,861.59,1255.8,768.87,1169.63,602.82,"Houdova, Prague - Košíře",50.064252,14.3821221,,,30 - 50 years,Standard,Personal,Central,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 39,600","CZK 13,200",,717648,2+kk,11/15/2022,2,,46 m²,Fully furnished,,,,249.05,258.88,108.69,237.41,65.07,536.83,294.74,273.73,806.33,231.2,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 42,000","CZK 5,000","CZK 47,000",746896,4+kk,12/1/2022,1,G,148 m²,Partly,New-build,Brick,,,,,,,,,,,,Prague - Velká Chuchle,50.01264,14.38504,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,500",CZK 500,"CZK 15,500",273534,2+kk,11/1/2022,1,,50 m²,Partly,,Brick,,280.97,389.55,209.6,740.43,188.47,515.06,235.83,261.31,432.42,218.94,"Lužická, Prague - Vinohrady",50.0735635,14.4449567,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 44,000","CZK 6,000",CZK 2,358804,4+kk,9/1/2022,2,,130 m²,Fully furnished,,Brick,,332.93,544.63,139.18,267.34,39.05,305.02,264.26,587.07,297.42,107.97,"Betlémské náměstí, Prague - Staré Město",50.0840811,14.4176178,1.0,,,,Personal,,,,1.0,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 4,000","CZK 43,000",735551,3+kk,10/1/2022,3,G,83 m²,Unfurnished,Very good,Brick,,149.2,1278.61,579.68,1498.92,671.57,884.65,577.38,531.29,725.03,679.79,Prague - Smíchov,50.05493,14.40442,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 3,000","CZK 21,000",621181,3+kk,11/1/2022,3,,75 m²,Partly,Very good,Brick,,166.06,225.9,140.93,322.4,103.85,105.04,556.17,485.12,806.35,528.48,"Zenklova, Prague - Libeň",50.120128,14.4581,,,,,Personal,Electric boiler,,,,,,,Complete,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,490",CZK 871,"CZK 13,361",747357,Studio,10/25/2022,1,G,42 m²,Partly,Very good,Brick,1.0,242.07,716.8,95.59,529.28,96.44,481.42,502.08,976.93,346.08,275.16,"U parního mlýna, Prague - Holešovice",50.10657,14.45446527777,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CZK 13,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 9,200","CZK 30,000",746805,3+1,11/7/2022,3,B,78 m²,Partly,Very good,Prefab concrete,1.0,323.31,354.53,231.16,1017.2,145.79,351.23,221.43,290.13,261.6,196.8,"Přecechtělova, Prague - Stodůlky",50.03659,14.33928,,,10 to 30 years,Standard,Personal,Distance,,1.0,,,,,Complete,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 4,000","CZK 30,000",553340,2+kk,12/1/2022,12,,42 m²,Fully furnished,Very good,Prefab concrete,,219.22,490.09,426.79,2811.24,374.64,470.37,385.73,1866.86,1259.58,74.89,"U Valu, Prague - Ruzyně",50.0887184,14.3045167,,,,Standard,Personal,Distance,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 4,500","CZK 23,000",266484,2+kk,11/1/2022,1,C,41 m²,Partly,,Brick,,123.46,351.96,108.8,2721.35,899.67,419.41,2020.53,509.12,907.12,369.75,Prague - Ďáblice,50.1453207836,14.4867771564,,,,,Personal,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
