Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Domácí mazlíčci vítáni,Parking,Balkón 8 m²,Sklep 4 m²,Garage,Sklep 6 m²,Terasa 13 m²,Age,Designe,Ownership,Heating,Balkón 5 m²,Sklep 2 m²,Balkón 8.73 m²,Terasa 2.67 m²,Reconstruction,Lodžie 6 m²,Balkón 7 m²,Sklep 3 m²,Cellar,Balkón 2 m²,Sklep 8 m²,Balkón 4 m²,Lodžie 4 m²,Balcony,Terrace,Sklep 28 m²,Lodžie 15 m²,Sklep 5 m²,Balkón 18 m²,Sklep 3.2 m²,New-build,Balkón 30 m²,Lodžie 5 m²,Lodžie 7 m²,Balkón 6 m²,Terasa 18 m²,Terasa 200 m²,Sklep 15 m²,Terasa 350 m²,Enclosed balcony,Balkón 3 m²,Balkón 40 m²,Terasa 50 m²,Lodžie 3 m²,Sklep 12 m²,Terasa 5 m²,Sklep 10 m²,Balkón 10 m²,Terasa 15 m²,Balkón 11 m²,Balkón 28 m²,Balkón 32 m²,Terasa 32 m²,Administrative fee,Lodžie 8 m²,Lodžie 10 m²,Terasa 20 m²,Balkón 2.29 m²,Terasa 12 m²,Terasa 16.1 m²,Sklep 3.1 m²,Balkón 6.1 m²,Sklep 3.7 m²,Terasa 11 m²,Terasa 8 m²,Terasa 6 m²,Lodžie 9 m²,Terasa 14 m²,Terasa 25 m²,Balkón 15 m²,Terasa 10 m²,Sklep 1 m²,Balkón 13 m²,Sklep 7 m²,Balkón 33 m²,Terasa 29 m²,Balkón 9 m²,Sklep 1.5 m²,Terasa 30 m²,Terasa 7 m²,Terasa 45 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Balkón 1 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Balkón 12 m²,Sklep 20 m²,Balkón 16 m²,Terasa 14.1 m²,Terasa 9 m²,Sklep 14 m²,Terasa 40 m²,Balkón 35 m²,Balkón 70 m²,Plot space,Lodžie 12 m²
"CZK 16,000","CZK 2,458",652949,2+kk,11/1/2022,45 m²,Fully furnished,3,1.0,178.81,464.01,193.94,813.21,103.8,774.54,156.97,202.9,813.18,576.81,"Ohradní, Prague - Michle",50.05227,14.451992,"CZK 20,000",B,Very good,Prefab concrete,,1.0,,,,,,10 to 30 years,Standard,Cooperative,Central,,1.0,,,Complete,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 4,500",727309,2+kk,11/1/2022,52 m²,Fully furnished,3,,146.32,492.64,134.39,82.54,43.23,127.07,359.57,296.35,259.87,607.53,Prague - Smíchov,50.07226,14.40521,"CZK 18,000",A,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 8,000","CZK 4,000",544787,Small studio,9/1/2022,19 m²,Fully furnished,,,96.72,989.4,234.88,512.51,13.45,358.12,365.95,354.86,328.29,225.86,"Rašínovo nábřeží, Prague - Nové Město",50.0688474,14.415003,"CZK 12,000",,Very good,Brick,,,,,,,,,Standard,Personal,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 4,000",383815,Studio,10/22/2022,25 m²,Fully furnished,3,,145.18,491.5,133.25,83.68,44.36,128.21,360.71,297.49,261.01,608.67,Prague - Smíchov,50.0723115,14.405214,"CZK 14,000",,,Brick,,,,,,,,,,Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,500","CZK 1,000",519199,3+1,12/1/2022,72 m²,Partly,3,,469.62,859.49,343.37,675.71,529.46,586.75,556.72,670.25,425.91,503.52,"Dubrovnická, Prague - Košíře",50.0668055,14.368008,"CZK 20,000",C,Very good,Prefab concrete,,,,,,,,10 to 30 years,,Personal,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,000",745269,2 bedroom,10/15/2022,56 m²,Partly,1,,653.73,1070.08,688.33,1269.11,813.32,833.38,1014.74,1014.74,468.95,523.0,"U Trati, Prague - Strašnice",50.06606,14.48228,"CZK 16,000",G,Very good,Brick,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,200","CZK 4,800",657252,2+kk,11/1/2022,50 m²,Fully furnished,4,1.0,133.15,481.82,43.42,82.77,46.47,54.1,409.65,568.09,3.58,537.27,"Křižíkova, Prague - Karlín",50.09258,14.45368,"CZK 26,000",G,Very good,Brick,,,,,,,,,,Cooperative,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 4,000",444945,3+kk,10/20/2022,69 m²,Partly,4,1.0,246.03,951.99,348.55,359.89,312.02,454.72,162.95,156.77,309.5,96.78,"Přímětická, Prague - Nusle",50.05182,14.43587,"CZK 38,000",C,Very good,Prefab concrete,,,,,,,,,,Personal,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 34,000","CZK 5,000",746600,4+kk,10/19/2022,100 m²,Partly,2,,275.89,1282.8,590.99,856.41,340.16,1093.65,1324.24,713.05,979.29,383.88,Prague - Krč,50.03784,14.43102,"CZK 50,000",G,Very good,Prefab concrete,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,250","CZK 5,750",744960,3+1,11/7/2022,90 m²,Fully furnished,5,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,000",673665,2 bedroom,7/26/2021,54 m²,Unfurnished,2,1.0,216.94,318.35,141.37,299.9,384.48,148.73,210.08,156.02,563.75,160.82,"Mochovská, Prague - Hloubětín",50.10756,14.53865,"CZK 15,000",E,Very good,Brick,,,,,,,,,,Personal,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 2,700",337645,Studio,11/1/2022,37 m²,Fully furnished,6,1.0,101.21,885.61,406.61,1205.48,272.17,307.81,299.96,820.36,115.79,300.55,"Na Slatince, Prague - Záběhlice",50.055986,14.4925778,"CZK 20,000",B,New-build,Brick,,,,,,,,10 to 30 years,Standard,Personal,Central,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 3,800",744477,2 bedroom,10/17/2022,52 m²,Partly,3,,150.91,235.66,180.98,701.01,214.42,699.76,576.83,524.49,260.3,130.46,Prague - Záběhlice,50.05659,14.50407,"CZK 40,000",G,Very good,Brick,,,,,,,,,,,Distance,,1.0,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",740295,2+kk,11/11/2022,60 m²,Fully furnished,4,1.0,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,000","CZK 6,500",746479,3+kk,12/1/2022,73 m²,Partly,4,,256.25,302.28,132.74,231.78,152.21,43.09,312.87,682.56,172.26,459.44,"Malířská, Prague - Bubeneč",50.10119,14.42554,"CZK 36,000",E,Very good,Brick,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,300","CZK 4,500",510540,2+kk,10/20/2022,36 m²,Fully furnished,8,,276.91,570.87,261.21,576.51,480.32,251.65,399.4,198.94,1174.18,166.0,"Běhounkova, Prague - Stodůlky",50.0539099,14.3425225,"CZK 15,800",,,Prefab concrete,,,,,,1.0,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 4,741",650428,3+kk,10/24/2022,73 m²,Fully furnished,4,1.0,459.45,1210.88,205.64,1051.69,459.17,439.06,593.97,379.68,323.48,364.93,Prague - Troja,50.124588,14.439661,"CZK 22,000",G,Very good,Prefab concrete,,,,,,,,,,Personal,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,990","CZK 2,990",731636,2+kk,10/24/2022,45 m²,Partly,2,,390.75,265.34,171.22,306.49,105.7,468.21,315.9,391.17,719.11,219.65,Prague - Vinohrady,50.07997,14.45165,"CZK 25,000",,Very good,Brick,,,,,,,,,,Personal,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 4,000",743306,Small studio,10/1/2022,25 m²,Partly,5,1.0,111.04,459.71,21.31,60.66,24.36,76.21,431.77,545.98,0.31,550.11,Prague - Karlín,50.09251,14.45339,"CZK 17,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,000","CZK 5,000",746764,3+kk,12/1/2022,70 m²,Fully furnished,2,1.0,165.66,665.46,303.91,741.3,4.41,348.57,226.69,217.96,676.45,216.12,Prague - Karlín,50.08938,14.44505,"CZK 33,000",A,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,375","CZK 7,125",734261,3+1,11/7/2022,35 m²,Fully furnished,-1,1.0,36.05,792.81,20.0,597.08,172.08,638.36,366.32,329.81,486.26,346.96,"Dvacátého osmého pluku, Prague - Vršovice",50.0707338,14.4627954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 6,000",745257,2 bedroom,10/15/2022,53 m²,Partly,1,,374.35,1437.32,503.95,1109.66,196.98,491.28,261.81,309.7,329.69,271.13,"Královická, Prague - Strašnice",50.06506,14.51036,"CZK 29,000",G,Very good,Brick,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 1,500",641855,2+kk,12/1/2022,51 m²,Unfurnished,5,1.0,70.22,159.98,85.68,31.82,96.79,66.07,337.6,635.58,408.15,502.47,"Ovenecká, Prague - Holešovice",50.099605,14.424394,"CZK 33,000",D,Very good,Brick,,,,,,,,Up to 10 years,Standard,Personal,,,,,,Complete,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 4,000",745255,1 bedroom,10/15/2022,45 m²,Partly,2,,136.44,1065.98,296.3,310.66,289.99,303.57,603.89,77.7,559.57,42.09,"Kettnerova, Prague - Stodůlky",50.04719,14.32164,"CZK 20,000",B,Good,Prefab concrete,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",732124,1 bedroom,11/1/2022,36 m²,Fully furnished,1,,241.61,1008.07,337.84,676.78,180.71,627.3,876.02,1008.48,488.31,192.83,"Sanderova, Prague - Holešovice",50.104936,14.458846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 4,000",127221,Small studio,10/20/2022,30 m²,Partly,2,1.0,305.29,465.59,70.26,318.95,193.37,417.68,166.25,425.78,753.15,101.85,"Jagellonská, Prague - Žižkov",50.08,14.45573,"CZK 17,000",,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,900","CZK 2,900",639046,Studio,10/20/2022,18 m²,Partly,2,,362.81,259.2,126.77,286.13,118.18,279.99,159.44,215.84,295.88,466.72,"Vlkova, Prague - Žižkov",50.083992,14.448523,"CZK 15,000",A,Very good,Brick,,,,,,,,Up to 10 years,Luxurious,Personal,Central,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 5,000",746728,3+1,11/3/2022,72 m²,Partly,,,43.81,694.63,67.68,155.87,0.0,96.76,258.85,836.83,26.95,365.39,"Dejvická, Prague - Dejvice",50.0981,14.40469,"CZK 20,000",G,Good,Brick,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 7,500",746740,4+1,11/1/2022,75 m²,Partly,1,1.0,369.67,172.71,197.4,262.15,272.43,589.16,362.04,156.57,1299.88,153.36,"Mimoňská, Prague - Prosek",50.12399,14.49938,"CZK 30,000",C,Very good,Prefab concrete,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,990",CZK 600,745241,3+kk,10/15/2022,76 m²,Partly,4,,335.24,381.26,96.98,310.76,230.33,229.72,245.91,762.53,136.02,332.04,"Malířská, Prague - Bubeneč",50.10195,14.42523,"CZK 27,990",C,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 1,100",746737,2+kk,10/20/2022,51 m²,Partly,1,,183.43,878.51,301.45,880.86,170.59,759.25,489.64,732.44,861.23,440.43,"Vnější, Prague - Michle",50.05166,14.45912,"CZK 14,999",G,Good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,000",729802,2 bedroom,11/1/2022,36 m²,Fully furnished,3,,354.21,737.34,455.75,355.35,376.01,575.19,1043.45,328.66,1016.27,67.61,Prague - Střešovice,50.09684,14.38976,"CZK 20,000",B,Good,Brick,,1.0,,,,,,,Standard,,Central,,,,,Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000",745240,3+1,11/1/2022,70 m²,Unfurnished,1,1.0,149.83,844.68,139.84,622.57,176.91,228.25,446.42,786.81,356.08,259.58,"Na Hroudě, Prague - Strašnice",50.0707,14.4871,"CZK 40,000",G,Good,Brick,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 5,000",744613,2+kk,11/1/2022,45 m²,Fully furnished,3,,426.62,893.56,186.34,488.2,428.94,967.96,324.34,238.03,901.79,323.74,"Družnosti, Prague - Nusle",50.05583,14.4469,"CZK 30,000",C,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 4,850",746731,3+kk,10/20/2022,83 m²,Partly,2,1.0,249.49,1322.58,278.37,1330.93,830.67,1275.41,847.6,1350.8,993.37,25.05,"Václava Trojana, Prague - Uhříněves",50.03299,14.61196,"CZK 50,000",G,New-build,Brick,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 4,800",420205,2 bedroom,11/1/2022,68 m²,Fully furnished,3,,137.96,604.73,117.7,134.06,16.12,232.76,179.31,561.48,551.79,498.51,"Navrátilova, Prague - Nové Město",50.0786422,14.4230852,"CZK 30,000",C,Very good,Brick,,,,,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 48,000","CZK 3,500",522827,4+1,,102 m²,Fully furnished,4,,164.33,274.68,47.39,177.79,18.0,284.15,112.16,465.63,548.72,579.31,Prague - Malá Strana,50.0870672,14.4033291,"CZK 48,000",,,Brick,,,,,,,,Over 50 years,Luxurious,Personal,Electric boiler,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 5,000",627305,2+kk,11/1/2022,45 m²,Partly,2,,151.1,271.72,850.99,5144.62,273.84,832.78,729.99,457.14,429.6,75.42,"Čeperská, Prague - Vinoř",50.141882,14.576502,"CZK 20,000",B,Very good,Prefab concrete,,,,,,,,,Standard,Other,,,,,,Complete,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
