Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Designe,Floor space,Fully furnished,Condition,Ownership,EPC,Heating,Balcony,Garage,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Lift,Cellar,New-build,Parking,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Reconstruction,Administrative fee,Plot type
"CZK 18,000","CZK 5,000","CZK 36,000",683172,2+kk,8/16/2022,5,Brick,Over 50 years,Standard,55 m²,Partly,Very good,Personal,G,Gas boiler,,,300.02,346.31,242.92,505.85,74.44,510.98,211.05,158.51,186.03,232.81,"Písecká, Prague - Vinohrady",50.0763515,14.4651577,,1.0,,,,,,Complete,,
"CZK 11,900","CZK 2,700","CZK 10,000",711642,Studio,3/25/2022,1,Brick,,,28 m²,Fully furnished,New-build,Personal,C,,,,125.51,226.17,234.93,335.55,184.92,199.09,644.6,738.84,851.51,35.4,"Ke Kříži, Prague - Uhříněves",50.03017,14.59654,,1.0,,,,,,,,
"CZK 19,500","CZK 2,500","CZK 22,000",731915,2+kk,8/31/2022,4,Brick,,,55 m²,Partly,Very good,,G,,,,169.73,215.76,94.17,145.25,81.15,76.56,390.09,728.86,241.33,401.53,Prague - Bubeneč,50.10088,14.4248,1.0,1.0,,,,,,,,
"CZK 12,000","CZK 2,500","CZK 14,500",731909,Studio,9/19/2022,2,Prefab concrete,,,33 m²,Partly,Very good,,A,,,,84.12,1247.63,724.44,893.53,723.38,1241.82,428.2,294.51,777.75,176.41,Prague - Michle,50.04686,14.4677,,,,,1.0,,,,,
"CZK 21,000","CZK 5,000","CZK 21,000",625005,2 bedroom,9/1/2022,1,Brick,10 to 30 years,Standard,57 m²,Fully furnished,Very good,Personal,D,Gas boiler,,,204.28,447.36,120.4,316.12,133.65,468.15,168.81,137.77,299.77,570.13,"Husinecká, Prague - Žižkov",50.085831,14.446835,,,,,,,,Interior,,
"CZK 9,000","CZK 2,250","CZK 11,250",594331,4+1,9/1/2022,2,Prefab concrete,,,75 m²,Fully furnished,Very good,Personal,D,Distance,,,352.03,955.04,652.99,1168.73,624.96,604.85,856.1,628.72,422.98,44.94,"Luhovská, Prague - Kobylisy",50.127727,14.439651,,,,,,,,Complete,,
"CZK 23,000","CZK 1,000","CZK 25,000",731903,2+kk,10/1/2022,2,Brick,Over 50 years,Luxurious,81 m²,Partly,Very good,Personal,G,,,,378.93,951.45,269.95,786.53,428.13,920.27,279.63,122.79,839.47,361.04,Prague - Nusle,50.05516,14.44648,,,,,,,,Complete,,
"CZK 22,000","CZK 3,500","CZK 44,000",731901,2+kk,9/29/2022,7,Low-energy,,,50 m²,Fully furnished,New-build,,E,,,,311.79,937.12,217.43,494.16,172.3,251.34,607.78,1093.67,297.97,798.29,Prague - Holešovice,50.10363,14.43617,,,,,,,1.0,,,
"CZK 15,000","CZK 4,900","CZK 20,000",635038,Studio,10/1/2022,4,Other,Up to 10 years,Standard,32 m²,Fully furnished,Very good,Personal,B,Central,,1.0,474.8,735.23,455.41,409.77,278.71,696.77,513.44,390.75,684.01,221.88,"Freyova, Prague - Vysočany",50.105327,14.50215,1.0,,1.0,1.0,,,,,,
"CZK 21,000","CZK 4,000","CZK 20,998",731894,2+kk,8/31/2022,6,Brick,,,63 m²,Fully furnished,New-build,,A,,1.0,1.0,370.35,1846.99,68.29,1521.54,1168.02,656.18,967.96,1256.29,959.81,91.64,Prague - Vysočany,50.1043,14.51031,1.0,1.0,1.0,1.0,1.0,,1.0,,,
"CZK 14,500",CZK 682,"CZK 30,400",727527,Studio,9/23/2022,2,Brick,,Standard,32 m²,Unfurnished,Good,Personal,E,,,,134.1,1231.17,484.46,487.91,0.66,491.14,797.02,376.04,364.68,547.87,"5. května, Prague - Nusle",50.05624815,14.43716165,1.0,1.0,,,,,,Interior,,
"CZK 24,000","CZK 1,100","CZK 36,000",572986,3+1,10/1/2022,1,Brick,Up to 10 years,Luxurious,75 m²,Partly,Very good,Personal,,Gas boiler,1.0,,20.73,736.07,76.78,653.85,228.84,695.13,411.28,309.72,543.02,290.23,"Dvacátého osmého pluku, Prague - Vršovice",50.070779649373,14.463591322468,1.0,,,,,,,Complete,,
"CZK 17,960","CZK 3,071","CZK 21,000",731892,2+kk,8/26/2022,1,Other,,,51 m²,,Good,Personal,,,,,191.96,775.9,384.94,1612.12,1060.62,840.41,591.33,330.22,909.68,61.09,"Cukrova, Prague - Černý Most",50.1017559,14.5637255,,,,1.0,,,,,"CZK 2,694",
"CZK 15,452","CZK 3,200","CZK 60,000",731891,1 bedroom,8/31/2022,2,Brick,,,47 m²,Partly,Good,,C,,,,65.71,741.71,62.13,373.04,123.65,157.79,628.06,85.93,274.88,77.04,Prague - Vinohrady,50.0769,14.47629,,,,,,,,,,
"CZK 13,500","CZK 2,500","CZK 25,000",731890,1 bedroom,8/31/2022,5,Prefab concrete,,,34 m²,Unfurnished,Very good,,G,,,,246.83,1125.71,266.13,1352.95,317.8,547.91,323.27,954.4,383.94,131.64,Prague - Záběhlice,50.05399,14.49154,1.0,,,,,,,,,
"CZK 12,000","CZK 3,500","CZK 31,000",108759,Studio,10/1/2022,4,Brick,,,33 m²,Partly,Very good,Personal,C,,1.0,,218.35,1064.26,186.63,1161.29,525.62,1096.93,732.04,583.93,838.79,514.62,"Boloňská, Prague - Horní Měcholupy",50.0483486747,14.5587515831,1.0,1.0,,,,,,,,
"CZK 20,000","CZK 4,700","CZK 20,000",660434,3+kk,10/15/2022,,Low-energy,Up to 10 years,,62 m²,Fully furnished,New-build,Personal,A,Central,,1.0,471.96,128.89,381.46,1479.58,402.79,169.27,282.8,272.75,534.71,148.42,Prague - Stodůlky,50.0370913,14.3429815,1.0,,,,,,,,,Housing
"CZK 12,000","CZK 3,500","CZK 20,000",333149,Studio,9/1/2022,7,Prefab concrete,,,26 m²,Fully furnished,Very good,Personal,D,,,,45.26,1203.52,144.64,801.69,174.79,205.8,175.77,171.44,374.4,238.75,"Vokovická, Prague - Vokovice",50.0969127,14.3475731,,,,,,,,,,
"CZK 34,920","CZK 11,640",,728102,2 bedroom,10/2/2022,5,,,,52 m²,Fully furnished,,,,,,,99.55,314.58,150.34,67.01,34.6,412.05,133.24,331.05,397.28,726.22,"Vinohradská, Prague - Vinohrady",50.0779159,14.4375296,1.0,,,,,,,,,
"CZK 22,124","CZK 7,374",,729938,Studio,9/6/2022,1,,,,32 m²,Fully furnished,,,,,,,447.58,805.32,396.64,450.11,197.32,945.56,256.47,627.41,458.07,336.59,"Nad Kolčavkou A, Prague - Libeň",50.1080609,14.4828384,,,,,,,,,,
"CZK 24,000","CZK 3,892","CZK 24,000",731882,2+kk,8/31/2022,1,Low-energy,Up to 10 years,Standard,80 m²,Partly,Very good,,G,Central,1.0,1.0,405.6,1464.68,497.77,1080.01,146.99,1119.79,1146.85,267.71,674.66,28.68,Prague - Liboc,50.08978,14.33119,1.0,1.0,,,,,,,,
"CZK 20,000","CZK 5,000","CZK 20,000",731881,3+kk,10/1/2022,2,Prefab concrete,,,70 m²,Fully furnished,Very good,,G,,,,679.55,1577.66,776.93,1418.39,249.69,809.34,630.74,1225.73,1541.32,243.18,Prague - Újezd u Průhonic,50.02246,14.52549,,1.0,,,1.0,,,,,
"CZK 26,000","CZK 3,700","CZK 50,000",731045,2+kk,8/24/2022,1,Brick,Up to 10 years,Luxurious,48 m²,Fully furnished,New-build,,B,,,1.0,152.75,963.53,293.54,1377.9,146.79,1254.69,1052.33,930.46,622.51,550.29,Prague - Řepy,50.06812,14.29404,1.0,,1.0,1.0,,,1.0,,,
"CZK 36,000","CZK 12,000",,719175,2 bedroom,9/4/2022,-1,,,,50 m²,Fully furnished,,,,,,,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,1.0,,,,,,,,,
"CZK 7,000","CZK 4,000","CZK 11,000",244227,Small studio,9/1/2022,,Brick,Up to 10 years,Standard,27 m²,Unfurnished,New-build,Personal,,Central,,,44.75,354.96,24.69,319.69,185.62,289.46,387.77,572.6,271.22,293.77,"Koněvova, Prague - Žižkov",50.0888925,14.4603288,,,1.0,,,,,Complete,,
"CZK 23,000","CZK 4,000","CZK 27,000",240526,2+kk,9/1/2022,7,Brick,Up to 10 years,Luxurious,62 m²,,,Personal,,Central,1.0,1.0,275.03,629.24,55.34,441.72,67.99,393.86,323.27,897.37,163.39,111.95,"U Uranie, Prague - Holešovice",50.1067006,14.4519976,1.0,1.0,,,,,,,,
"CZK 25,808","CZK 8,602",,725069,2 bedroom,9/23/2022,5,,,,54 m²,Fully furnished,,,,,,,221.57,827.75,176.34,604.4,98.94,602.74,417.35,332.18,571.22,245.6,"Bulharská, Prague - Vršovice",50.0720218,14.4618189,,,,,,,,,,
"CZK 36,000","CZK 12,000",,718218,2+kk,9/6/2022,2,,,,45 m²,Fully furnished,,,,,,,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,1.0,,,,,,,,,
"CZK 18,500","CZK 3,000","CZK 30,000",567194,2+kk,9/1/2022,1,Brick,,,68 m²,Fully furnished,Very good,Personal,G,Gas boiler,,,285.66,2069.77,240.71,1789.58,596.4,336.05,1506.92,381.52,1344.42,107.42,"Bolívarova, Prague - Břevnov",50.0761438,14.3363845,,,,,,,1.0,Complete,,
"CZK 16,000","CZK 2,500","CZK 32,000",673649,Studio,10/1/2022,5,Brick,,,26 m²,Fully furnished,Very good,Personal,G,Electric boiler,,,60.98,721.34,75.87,68.33,38.37,9.05,345.05,453.26,425.76,314.33,"Jana Želivského, Prague - Žižkov",50.08965,14.46868,1.0,,,,,,,,,
"CZK 14,500","CZK 2,500","CZK 25,000",612251,Studio,9/1/2022,1,Brick,,,25 m²,,New-build,Personal,B,,,,211.15,237.15,355.34,868.62,194.77,283.9,145.14,177.97,611.03,466.53,"Omská, Prague - Vršovice",50.072914,14.478114,,,,,,,,,,
"CZK 21,000","CZK 7,000","CZK 30,000",312846,3+1,10/15/2022,4,Brick,10 to 30 years,Standard,78 m²,Partly,Very good,Personal,C,Gas boiler,,,224.41,326.27,369.08,535.55,344.51,441.14,189.51,793.2,1960.26,232.34,"U Kříže, Prague - Jinonice",50.0539125,14.3681254,1.0,,,,,,,,,
"CZK 13,499",CZK 1,"CZK 13,500",731868,Small studio,9/5/2022,,Brick,,,22 m²,Fully furnished,Very good,,G,,,,174.54,791.67,834.8,804.72,588.07,1362.65,523.38,633.06,1128.55,513.73,Prague - Záběhlice,50.04202,14.48698,,,,,,,,,,
"CZK 53,510","CZK 17,836",,725486,4+1,10/8/2022,7,,,,110 m²,Fully furnished,,,,,1.0,,348.55,940.69,207.03,294.37,97.8,272.7,322.85,445.04,400.99,361.6,"Divadelní, Prague - Staré Město",50.0824664,14.4140344,1.0,,,,,,1.0,,,
"CZK 21,500","CZK 4,200","CZK 30,000",621022,2+kk,9/1/2020,4,Brick,10 to 30 years,Standard,68 m²,Partly,Very good,Personal,D,Distance,1.0,1.0,340.38,692.59,244.27,689.89,421.32,526.19,638.04,193.52,678.92,299.57,"Štěpařská, Prague - Hlubočepy",50.029986,14.376053,1.0,,,,,,,,,
"CZK 20,000","CZK 3,000","CZK 20,000",654482,2 bedroom,9/5/2022,2,Brick,,,47 m²,Fully furnished,Very good,Personal,C,,,,242.96,1014.5,91.5,312.36,76.96,135.27,336.66,291.12,411.24,337.32,"Buchovcova, Prague - Žižkov",50.0905,14.47285,1.0,,,,,,,,,
"CZK 27,000","CZK 6,000","CZK 33,000",462223,3+kk,9/1/2022,8,Brick,Up to 10 years,Luxurious,106 m²,Fully furnished,New-build,Personal,B,Central,,1.0,212.08,812.91,162.18,1052.96,441.38,396.18,445.25,146.72,1065.71,247.83,"Otradovická, Prague - Kamýk",50.0198176,14.4448089,1.0,,1.0,,,,1.0,,,
"CZK 9,000","CZK 3,000","CZK 10,000",642394,Small studio,9/9/2022,1,Brick,,,21 m²,Partly,Very good,Personal,G,Distance,,,40.4,128.96,206.2,624.34,291.79,589.26,489.02,532.48,381.68,101.04,"Jabloňová, Prague - Záběhlice",50.056632,14.502264,,1.0,,,,,,Interior,,
"CZK 12,000","CZK 4,000","CZK 16,000",731504,2+kk,9/5/2022,1,Prefab concrete,10 to 30 years,Standard,48 m²,Partly,Very good,Personal,G,Distance,1.0,1.0,220.91,971.01,222.54,979.36,479.1,923.84,496.03,999.23,641.8,187.11,Prague - Uhříněves,50.03197,14.60946,1.0,1.0,,,,,,Interior,,
"CZK 12,000","CZK 4,500",CZK 0,266484,1 bedroom,10/1/2022,1,Brick,,,45 m²,Partly,,Personal,C,,,,123.46,351.96,108.8,2721.35,899.67,419.41,2020.53,509.12,907.12,369.75,Prague - Ďáblice,50.1453207836,14.4867771564,,,,1.0,,,,,,
"CZK 13,000","CZK 3,420","CZK 20,000",731847,Studio,9/1/2022,2,Brick,,,33 m²,Fully furnished,New-build,Personal,C,,1.0,,467.67,936.5,491.3,3808.89,400.89,489.39,381.14,3600.37,539.76,305.07,Prague - Štěrboholy,50.06882,14.55143,1.0,,,,,1.0,,,,
"CZK 18,000","CZK 5,000","CZK 20,000",731774,2 bedroom,8/30/2022,3,Brick,,,70 m²,Partly,Good,,G,,,,161.29,337.38,55.19,381.29,71.73,300.17,292.09,311.56,471.93,346.14,Prague - Uhříněves,50.02907,14.60114,,1.0,,,,1.0,,,,
"CZK 14,500","CZK 3,000","CZK 20,000",731851,2+kk,8/31/2022,3,Prefab concrete,30 - 50 years,Standard,44 m²,Partly,Good,,G,Central,,,178.66,637.83,583.15,963.21,27.44,919.22,821.64,367.58,529.56,16.47,Prague - Záběhlice,50.05346,14.50533,1.0,1.0,,,,,,Complete,,
"CZK 10,800",CZK 900,"CZK 10,000",696706,Studio,12/21/2021,1,Brick,,,24 m²,Fully furnished,Very good,Personal,G,,,,186.78,722.71,253.0,1111.34,189.73,189.67,805.67,611.83,932.63,611.84,"Na Neklance, Prague - Smíchov",50.06102,14.40291,,,,,,,,,,
"CZK 11,490","CZK 2,213","CZK 13,703",731845,Studio,9/3/2022,3,Brick,,,31 m²,Unfurnished,New-build,Personal,C,,1.0,,52.48,1513.31,845.47,2293.07,663.28,1670.05,1214.25,1805.9,1093.36,675.88,"Davidovičova, Prague - Kyje",50.11542194444,14.56071416666,1.0,1.0,1.0,1.0,,,,,"CZK 13,703",
"CZK 28,100","CZK 3,801","CZK 56,200",571766,2+kk,7/24/2022,4,Brick,,Luxurious,75 m²,Fully furnished,,Personal,,Gas boiler,,,263.94,473.14,107.04,412.76,39.58,450.66,409.9,711.12,442.84,75.83,"Liliová, Prague - Staré Město",50.0847515,14.4166508,,1.0,,,,,,,,
"CZK 14,500","CZK 1,300","CZK 15,500",731841,Studio,8/31/2022,1,Brick,,,25 m²,Fully furnished,Very good,Personal,C,Electric boiler,,,275.99,237.57,187.93,147.65,110.52,275.78,212.62,309.08,345.47,403.05,Prague - Smíchov,50.07431,14.40502,,,,1.0,,,,Complete,,
"CZK 25,500","CZK 3,000","CZK 28,500",731843,2+kk,8/31/2022,2,Brick,,,45 m²,Fully furnished,New-build,,G,,,1.0,91.79,1033.08,59.53,216.71,276.84,361.04,302.53,510.3,1073.48,204.66,Prague - Kobylisy,50.12404,14.44935,1.0,1.0,1.0,,1.0,,,,,
"CZK 13,000","CZK 6,000","CZK 19,000",731842,2+kk,10/1/2022,1,Prefab concrete,,,46 m²,Partly,Good,,G,,,,38.3,180.61,107.72,122.2,166.98,1590.76,177.43,402.41,1066.18,405.04,Prague - Záběhlice,50.0473,14.48676,1.0,1.0,,1.0,1.0,1.0,,,,
"CZK 16,000","CZK 4,500","CZK 20,000",518471,Studio,10/1/2022,9,Prefab concrete,,,42 m²,Partly,,Personal,,,1.0,,186.23,681.13,6.36,494.12,111.52,580.42,338.19,225.96,332.16,77.08,Prague - Krč,50.0472729,14.4353047,1.0,1.0,,,1.0,,,Complete,,
"CZK 30,000","CZK 6,000","CZK 60,000",641531,3+kk,2/1/2021,4,Prefab concrete,Up to 10 years,Luxurious,85 m²,Fully furnished,New-build,Personal,A,Distance,1.0,1.0,130.93,1007.1,37.48,465.02,115.5,445.04,247.78,438.88,274.05,99.72,"U Svobodárny, Prague - Libeň",50.105646,14.48901,1.0,1.0,1.0,1.0,,,,,,
"CZK 20,000",CZK 750,"CZK 20,000",678363,3+kk,9/1/2022,3,Brick,,,70 m²,Fully furnished,Very good,Personal,E,,,,66.7,418.89,55.56,148.62,34.78,293.35,446.46,251.71,237.17,665.49,"Staropramenná, Prague - Smíchov",50.07204,14.40681,,,,,,,,,,
"CZK 20,000","CZK 8,100","CZK 33,000",729666,3+kk,9/15/2022,1,Brick,,Standard,70 m²,Fully furnished,Good,Personal,G,,1.0,,202.84,1000.51,965.34,2744.15,598.14,946.39,806.09,3874.68,843.89,666.43,Prague - Štěrboholy,50.0747,14.55265,1.0,,,,,1.0,,,,
"CZK 46,530","CZK 15,510",,726063,2 bedroom,9/8/2022,2,,,,48 m²,Fully furnished,,,,,,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,
"CZK 37,500","CZK 12,500",,725775,2+kk,9/11/2022,4,,,,60 m²,Fully furnished,,,,,,,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,1.0,,,,,,,,,
"CZK 26,000","CZK 3,400","CZK 52,000",731701,3+1,9/1/2022,5,Prefab concrete,10 to 30 years,Standard,76 m²,Fully furnished,Very good,,E,Central,,,120.43,428.73,339.27,2034.46,148.91,446.4,546.11,362.42,1324.24,194.2,Prague - Čimice,50.13864,14.42964,1.0,,,1.0,1.0,,,Bathroom unit,,
"CZK 25,000","CZK 7,000","CZK 60,000",647143,3+kk,11/1/2022,4,Brick,10 to 30 years,,132 m²,Fully furnished,Very good,Personal,B,,,1.0,354.2,1029.02,773.22,1943.85,379.14,1815.43,2263.83,753.81,992.0,207.97,"Povltavská, Prague - Troja",50.1146126,14.4097123,1.0,1.0,,1.0,,,,Complete,,
"CZK 25,000","CZK 3,500","CZK 25,000",603233,2+kk,9/20/2022,3,Brick,,Standard,45 m²,Fully furnished,Very good,Personal,,Gas boiler,,,371.48,502.43,57.05,243.25,28.96,223.58,26.92,689.96,327.98,363.81,"Michalská, Prague - Staré Město",50.084426,14.42005,1.0,,,,,,,,,
"CZK 17,500","CZK 5,000","CZK 35,000",731780,2+kk,10/1/2022,4,Brick,10 to 30 years,Standard,50 m²,Fully furnished,New-build,,G,Central,,,177.79,275.87,204.47,959.97,184.53,794.91,413.35,516.35,694.83,177.79,Prague - Hlubočepy,50.03086,14.36582,1.0,,,1.0,,,1.0,,,
"CZK 60,000","CZK 20,000",,717694,2+kk,9/4/2022,3,,,,,Fully furnished,,,,,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,
"CZK 25,380","CZK 8,460",,723857,2 bedroom,10/31/2022,5,,,,35 m²,Fully furnished,,,,,,,220.05,826.22,174.81,602.88,97.41,601.22,415.82,330.65,569.7,247.12,"Bulharská, Prague - Vršovice",50.0719625,14.461813,,,,,,,,,,
"CZK 25,988","CZK 8,662",,728259,2 bedroom,10/4/2022,1,,,,60 m²,Fully furnished,,,,,,,250.51,417.46,211.46,417.21,207.64,462.73,364.17,360.99,525.54,550.17,"Lublaňská, Prague - Vinohrady",50.0710848,14.4324122,,,,,,,,,,
"CZK 39,900","CZK 5,600","CZK 45,500",730978,4+kk,9/1/2022,4,Brick,Over 50 years,Luxurious,128 m²,Fully furnished,Very good,Personal,G,,1.0,1.0,93.39,822.37,236.32,755.17,455.41,558.27,194.88,1179.37,603.42,182.98,Prague - Holešovice,50.11028,14.44754,1.0,1.0,,,,,,Complete,,
"CZK 19,000","CZK 1,400","CZK 19,000",666035,1 bedroom,6/1/2021,3,Brick,,,47 m²,Partly,Very good,Personal,C,Gas boiler,,,240.37,535.85,128.78,264.25,148.06,598.17,238.39,1253.6,279.18,239.16,"Jana Zajíce, Prague - Bubeneč",50.10257,14.41939,,,,,,,,Complete,,
"CZK 18,000","CZK 1,000","CZK 18,000",380919,2 bedroom,,4,Brick,,,68 m²,Partly,,Cooperative,,Electric boiler,1.0,,134.35,703.62,295.83,129.71,179.94,179.33,384.73,268.03,283.24,350.29,"Kouřimská, Prague - Vinohrady",50.0776961,14.4719023,,1.0,,,,,,,,
"CZK 28,425","CZK 9,475",,728696,2+kk,10/4/2022,5,,,,45 m²,Fully furnished,,,,,,,120.02,538.45,85.43,335.62,47.85,333.62,182.79,195.16,543.36,341.26,"Lípová, Prague - Nové Město",50.0747395,14.424046,,,,,,,,,,
"CZK 37,620","CZK 12,540",,728258,2 bedroom,10/1/2022,7,,,,54 m²,Fully furnished,,,,,,,379.66,564.73,5.21,191.31,38.84,242.1,65.9,705.75,343.76,422.75,"Michalská, Prague - Staré Město",50.0846396,14.4202484,1.0,,,,,,,,,
"CZK 33,000","CZK 11,000",,728257,3+kk,10/1/2022,2,,,,80 m²,Fully furnished,,,,,,,156.94,402.05,153.34,284.97,151.52,248.16,393.35,447.14,193.37,153.39,"Anežská, Prague - Staré Město",50.0920126,14.4239059,,,,,,,,,,
"CZK 39,000","CZK 13,000",,728062,2 bedroom,9/25/2022,7,,,,92 m²,Fully furnished,,,,,1.0,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,1.0,,,,,,1.0,,,
"CZK 56,250","CZK 18,750",,730578,2+kk,10/19/2022,3,,,,47 m²,Fully furnished,,,,,,,145.3,409.63,254.35,292.12,59.28,309.45,136.5,419.43,177.03,511.6,"Elišky Krásnohorské, Prague - Josefov",50.0906304,14.4198248,1.0,,,,,,,,,
"CZK 47,340","CZK 15,780",,717682,2+kk,9/4/2022,6,,,,69 m²,Fully furnished,,,,,1.0,,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,1.0,,,,,,1.0,,,
"CZK 36,338","CZK 12,112",,728972,5+kk,9/20/2022,1,,,,180 m²,Fully furnished,,,,,1.0,1.0,710.63,2420.81,2011.34,2281.37,826.06,2150.45,2487.2,2253.5,2584.79,783.97,"Ibišková, Prague - Křeslice",50.0183023,14.5625656,,,,,,,1.0,,,
"CZK 24,728","CZK 8,242",,731157,Studio,10/24/2022,3,,,,30 m²,Fully furnished,,,,,,1.0,99.26,361.63,490.78,556.87,427.65,345.52,452.0,519.02,404.9,293.38,"Olšanská, Prague - Žižkov",50.0830187,14.4654473,1.0,,,,,,,,,
"CZK 52,500","CZK 17,500",,731817,2+kk,10/30/2022,3,,,,80 m²,Fully furnished,,,,,,,281.86,547.59,69.97,211.73,9.84,221.9,245.36,614.41,367.39,520.5,"Ve Smečkách, Prague - Nové Město",50.0795975,14.4273504,1.0,,,,,,,,,
"CZK 55,000","CZK 12,000","CZK 60,000",600532,4+1,8/26/2022,6,Brick,Up to 10 years,Luxurious,165 m²,Partly,Very good,Personal,G,Central,,,281.19,218.92,349.21,355.1,68.81,419.51,195.94,539.69,525.15,308.24,"Janáčkovo Nábřeží, Prague - Smíchov",50.0756819,14.4085242,1.0,,,,,,1.0,Interior,,
"CZK 19,800","CZK 6,600",,726085,3+1,10/19/2022,5,,,,90 m²,Fully furnished,,,,,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,1.0,,,,,,,,,
"CZK 17,120","CZK 5,000","CZK 25,000",509997,2+kk,9/1/2022,1,Brick,10 to 30 years,Standard,56 m²,Fully furnished,Very good,Personal,,Gas boiler,,,742.13,400.25,652.82,1532.69,674.16,440.63,311.54,533.65,806.07,419.78,"Klausova, Prague - Stodůlky",50.0370525,14.3446198,,,,,,,,Interior,,
"CZK 30,000","CZK 9,000","CZK 30,000",606435,3+1,9/12/2022,2,Brick,,,136 m²,Unfurnished,Good,Personal,G,,,,281.19,218.92,349.21,355.1,68.81,419.51,195.94,539.69,525.15,308.24,"Janáčkovo Nábřeží, Prague - Smíchov",50.075681,14.408523,1.0,,,,,,,,,
"CZK 14,500","CZK 3,000","CZK 20,000",731806,Studio,9/1/2022,3,Brick,,,45 m²,Partly,New-build,,G,,1.0,1.0,192.27,910.61,150.25,326.7,59.39,306.72,360.7,594.12,374.26,65.73,Prague - Libeň,50.10481,14.488,1.0,,1.0,,,,,,,
"CZK 12,000","CZK 4,500","CZK 12,000",532966,1 bedroom,9/15/2022,,Brick,Up to 10 years,Luxurious,50 m²,Fully furnished,Very good,Personal,C,Electric boiler,,,42.39,900.33,776.91,1023.52,561.54,907.81,1006.95,861.82,711.36,235.65,Prague - Modřany,49.9991704,14.4145554,,,,,,,,Complete,,
"CZK 41,625","CZK 13,875",,720848,4+kk,10/2/2022,4,,,,112 m²,Fully furnished,,,,,1.0,,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,1.0,,,,,,1.0,,,
"CZK 17,000","CZK 3,500","CZK 17,000",731795,2+kk,9/1/2022,1,Brick,,,40 m²,Fully furnished,Very good,,G,,,1.0,240.07,1265.84,601.84,894.93,796.68,1344.68,1267.55,1254.31,1267.28,235.71,Prague - Suchdol,50.13334,14.36768,,,,1.0,,,1.0,,,
"CZK 19,000","CZK 5,000","CZK 24,000",731794,3+1,8/30/2022,4,Prefab concrete,,,85 m²,Partly,Very good,,G,,,,167.55,1458.44,212.29,1498.41,144.74,133.82,626.74,223.89,1153.45,11.8,Prague - Hostivař,50.04536,14.51707,,,,,1.0,,,,,
"CZK 12,000","CZK 6,000","CZK 20,000",588580,1 bedroom,6/1/2022,1,Brick,Over 50 years,Standard,40 m²,Fully furnished,Very good,Personal,D,Electric boiler,,,87.62,199.98,94.39,16.26,97.48,177.74,263.1,459.6,475.82,231.83,"Boleslavova, Prague - Nusle",50.064228,14.439752,,,,,,,,Complete,,
"CZK 13,000","CZK 3,600","CZK 30,000",394108,Studio,2/14/2022,2,Brick,Up to 10 years,Standard,38 m²,Partly,New-build,Personal,C,Distance,1.0,1.0,397.48,1157.97,524.03,810.7,282.3,556.98,243.15,618.05,949.96,157.32,"Jurkovičova, Prague - Háje",50.025085,14.526786,1.0,1.0,1.0,,,,,,,
"CZK 18,000","CZK 5,500","CZK 36,000",731786,2+kk,8/30/2022,1,Other,,,66 m²,Fully furnished,Very good,,G,,1.0,1.0,223.14,396.36,386.08,380.82,166.66,392.32,871.88,943.9,697.12,319.69,Prague - Záběhlice,50.05328,14.5131,1.0,,,1.0,,,,,,
"CZK 28,000","CZK 5,500","CZK 56,000",731257,2+kk,9/12/2022,3,Low-energy,,,65 m²,Fully furnished,New-build,,B,,,1.0,317.17,621.5,297.62,296.86,195.97,433.63,686.66,1053.07,567.17,521.88,Prague - Karlín,50.09598,14.45293,1.0,,1.0,1.0,1.0,,1.0,,,
"CZK 16,000","CZK 4,700","CZK 20,000",731783,2+kk,10/1/2022,2,Brick,,,45 m²,Fully furnished,Very good,,B,,1.0,,87.46,291.02,164.85,573.95,23.76,280.13,390.41,427.27,175.63,261.32,Prague - Žižkov,50.08749,14.4538,1.0,1.0,,,,,,,,
