Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Heating,Total number of floors,New building,Front garden,Renovation,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
717693,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,06. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717692,"CZK 56,250",50.0766855,14.4294035,"Sokolská, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 18,750",Furnished,4,No,No,No,No,No,No,No,09. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717691,"CZK 25,713",50.0837266,14.430251,"Růžová, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 8,571",Furnished,2,No,No,No,No,No,No,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717690,"CZK 27,900",50.0471114,14.4429584,"Krchlebská, Prague - Krč",1 bedroom with open-plan kitchen,41 m²,"CZK 9,300",Furnished,5,No,No,No,No,No,No,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717689,"CZK 35,175",50.0769346,14.4169603,"Na Zbořenci, Prague - Nové Město",2 bedroom,65 m²,"CZK 11,725",Furnished,4,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717688,"CZK 23,195",50.0719625,14.461813,"Bulharská, Prague - Vršovice",Studio,35 m²,"CZK 7,731",Furnished,5,No,No,No,No,No,No,No,12. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717687,"CZK 18,975",50.1045704,14.3964833,"Nikolaje Alexejeviče Někrasova, Prague - Bubeneč",1 bedroom with open-plan kitchen,55 m²,"CZK 6,325",Furnished,4,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717685,"CZK 36,338",50.0183023,14.5625656,"Ibišková, Prague - Křeslice",4 bedroom with open-plan kitchen,180 m²,"CZK 12,112",Furnished,1,Yes,Yes,No,No,No,No,Yes,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717684,"CZK 48,000",50.0718291,14.4385892,"Americká, Prague - Vinohrady",3 bedroom,72 m²,"CZK 16,000",Furnished,5,No,No,No,No,No,Yes,No,25. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717683,"CZK 35,175",50.0747395,14.424046,"Lípová, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 11,725",Furnished,5,No,No,No,No,No,No,No,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717682,"CZK 47,340",50.1025661,14.4522431,"Na Maninách, Prague - Holešovice",1 bedroom with open-plan kitchen,69 m²,"CZK 15,780",Furnished,6,Yes,Yes,No,No,No,Yes,No,09. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717681,"CZK 29,664",50.0925119,14.4502616,"Křižíkova, Prague - Karlín",Studio,51 m²,"CZK 9,888",Furnished,5,Yes,No,No,No,No,Yes,Yes,09. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717680,"CZK 24,439",50.0735628,14.4373343,"Uruguayská, Prague - Vinohrady",Studio,26 m²,"CZK 8,146",Furnished,1,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717679,"CZK 30,956",50.0726658,14.3919787,"Grafická, Prague - Smíchov",1 bedroom with open-plan kitchen,46 m²,"CZK 10,318",Furnished,2,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717678,"CZK 34,416",50.0918972,14.4483184,"Křižíkova, Prague - Karlín",Studio,44 m²,"CZK 11,472",Furnished,3,No,No,No,No,No,Yes,Yes,08. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717677,"CZK 28,793",50.0918972,14.4483184,"Křižíkova, Prague - Karlín",Studio,44 m²,"CZK 9,597",Furnished,2,No,Yes,No,No,No,Yes,Yes,08. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717676,"CZK 30,096",50.0925119,14.4502616,"Křižíkova, Prague - Karlín",Studio,40 m²,"CZK 10,032",Furnished,6,Yes,Yes,No,No,No,Yes,Yes,03. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717675,"CZK 26,933",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",Studio,50 m²,"CZK 8,977",Furnished,1,No,No,No,No,No,Yes,Yes,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717674,"CZK 30,636",50.0918972,14.4483184,"Křižíkova, Prague - Karlín",1 bedroom with open-plan kitchen,63 m²,"CZK 10,212",Furnished,2,Yes,Yes,No,No,No,Yes,Yes,04. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717673,"CZK 42,814",50.0722637,14.3926388,"Grafická, Prague - Smíchov",1 bedroom with open-plan kitchen,79 m²,"CZK 14,271",Furnished,6,No,No,No,No,No,No,No,09. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717672,"CZK 54,803",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",3 bedroom with open-plan kitchen,160 m²,"CZK 18,268",Furnished,6,No,Yes,No,No,No,Yes,Yes,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717671,"CZK 30,744",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",1 bedroom,45 m²,"CZK 10,248",Furnished,2,No,No,No,No,No,Yes,Yes,05. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717670,"CZK 40,037",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",1 bedroom with open-plan kitchen,66 m²,"CZK 13,345",Furnished,1,No,Yes,No,No,No,Yes,Yes,20. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717669,"CZK 31,039",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",2 bedroom with open-plan kitchen,95 m²,"CZK 10,346",Furnished,3,No,Yes,No,No,No,Yes,Yes,06. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717668,"CZK 35,422",50.0925119,14.4502616,"Křižíkova, Prague - Karlín",2 bedroom,88 m²,"CZK 11,807",Furnished,5,No,No,No,No,No,Yes,Yes,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717667,"CZK 59,100",50.0882082,14.4262296,"Rybná, Prague - Staré Město",2 bedroom with open-plan kitchen,86 m²,"CZK 19,700",Furnished,2,Yes,No,No,No,No,No,No,29. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717666,"CZK 63,000",50.0895437,14.4260543,"Rybná, Prague - Staré Město",3 bedroom,86 m²,"CZK 21,000",Furnished,3,No,No,No,No,No,No,No,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717665,"CZK 39,015",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,44 m²,"CZK 13,005",Furnished,3,No,No,No,No,No,No,No,19. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717664,"CZK 49,650",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,53 m²,"CZK 16,550",Furnished,3,No,No,No,No,No,Yes,No,06. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717663,"CZK 51,225",50.0908563,14.4202783,"Dušní, Prague - Josefov",1 bedroom with open-plan kitchen,80 m²,"CZK 17,075",Furnished,6,No,Yes,No,No,No,Yes,No,07. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717662,"CZK 86,625",50.0882058,14.4262315,"Rybná, Prague - Staré Město",3 bedroom with open-plan kitchen,150 m²,"CZK 28,875",Furnished,4,No,No,No,No,No,No,No,11. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717661,"CZK 53,550",50.090911,14.4295366,"Soukenická, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 17,850",Furnished,4,Yes,No,No,No,No,Yes,Yes,18. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717660,"CZK 49,650",50.0894663,14.4240032,"Masná, Prague - Staré Město",Studio,46 m²,"CZK 16,550",Furnished,6,No,No,No,No,No,Yes,No,19. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717659,"CZK 46,103",50.0840648,14.4187033,"Jilská, Prague - Staré Město",1 bedroom with open-plan kitchen,53 m²,"CZK 15,367",Furnished,3,No,No,No,No,No,Yes,No,16. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717657,"CZK 16,200",50.0478326,14.4843362,"Hrusická, Prague - Záběhlice",2 bedroom,52 m²,"CZK 5,400",Furnished,1,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717656,"CZK 39,000",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",2 bedroom,80 m²,"CZK 13,000",Furnished,3,No,No,No,No,No,Yes,No,29. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717655,"CZK 46,530",50.0918754,14.4250902,"Řásnovka, Prague - Staré Město",2 bedroom,48 m²,"CZK 15,510",Furnished,2,No,No,No,No,No,No,No,09. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717654,"CZK 53,510",50.0824664,14.4140344,"Divadelní, Prague - Staré Město",4 bedroom,110 m²,"CZK 17,836",Furnished,7,No,Yes,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717653,"CZK 43,710",50.0918754,14.4250902,"Řásnovka, Prague - Staré Město",3 bedroom,55 m²,"CZK 14,570",Furnished,2,No,No,No,No,No,No,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717652,"CZK 37,125",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",2 bedroom,90 m²,"CZK 12,375",Furnished,2,No,No,No,No,No,Yes,No,05. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717651,"CZK 18,375",50.0830181,14.4654208,"Olšanská e, Prague - Žižkov",Studio,34 m²,"CZK 6,125",Furnished,3,Yes,No,No,No,No,Yes,Yes,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717650,"CZK 27,225",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",1 bedroom with open-plan kitchen,45 m²,"CZK 9,075",Furnished,6,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717649,"CZK 32,918",50.0876118,14.4080467,"Míšeňská, Prague - Malá Strana",Studio,35 m²,"CZK 10,972",Furnished,2,No,No,No,No,No,No,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717648,"CZK 39,600",50.0876118,14.4080467,"Míšeňská, Prague - Malá Strana",1 bedroom with open-plan kitchen,46 m²,"CZK 13,200",Furnished,2,No,No,No,No,No,No,No,28. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717646,"CZK 39,971",50.0877117,14.4091678,"U Lužického semináře, Prague - Malá Strana",2 bedroom,56 m²,"CZK 13,324",Furnished,1,No,Yes,No,No,No,No,No,03. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717644,"CZK 43,500",50.0723321,14.4399493,"Jana Masaryka, Prague - Vinohrady",2 bedroom,82 m²,"CZK 14,500",Furnished,3,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717643,"CZK 51,656",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,60 m²,"CZK 17,219",Furnished,4,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717642,"CZK 35,925",50.0749602,14.4305105,"Legerova, Prague - Vinohrady",Studio,30 m²,"CZK 11,975",Furnished,6,No,No,No,No,No,Yes,No,21. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717637,"CZK 31,425",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,30 m²,"CZK 10,475",Furnished,2,No,No,No,No,No,Yes,No,19. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717636,"CZK 41,250",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,50 m²,"CZK 13,750",Furnished,-1,No,No,No,No,No,Yes,No,09. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717635,"CZK 32,175",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,30 m²,"CZK 10,725",Furnished,3,No,No,No,No,No,Yes,No,16. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717634,"CZK 23,513",50.0848162,14.4690502,"Pitterova, Prague - Žižkov",Studio,50 m²,"CZK 7,837",Furnished,6,Yes,Yes,No,No,No,Yes,Yes,22. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717633,"CZK 26,775",50.0911861,14.4228786,"U Obecního dvora, Prague - Staré Město",1 bedroom with open-plan kitchen,50 m²,"CZK 8,925",Furnished,2,No,No,No,No,No,No,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717632,"CZK 28,688",50.0730353,14.4083714,"Zborovská, Prague - Smíchov",Studio,40 m²,"CZK 9,562",Furnished,2,Yes,Yes,No,No,No,No,No,27. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717631,"CZK 25,500",50.0876289,14.3978335,"Šporkova, Prague - Malá Strana",Studio,40 m²,"CZK 8,500",Furnished,1,No,No,No,No,No,No,No,07. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717630,"CZK 35,975",50.0918972,14.4483184,"Křižíkova, Prague - Karlín",Studio,49 m²,"CZK 11,992",Furnished,2,Yes,Yes,No,No,No,Yes,Yes,09. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717629,"CZK 38,625",50.0895308,14.4237131,"Masná, Prague - Staré Město",1 bedroom,38 m²,"CZK 12,875",Furnished,4,No,No,No,No,No,Yes,No,29. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717628,"CZK 18,720",50.0713305,14.4638794,"Na Míčánkách, Prague - Vršovice",1 bedroom with open-plan kitchen,49 m²,"CZK 6,240",Furnished,2,No,No,No,No,No,Yes,No,06. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717627,"CZK 23,625",50.0984636,14.4253146,"Ovenecká, Prague - Holešovice",1 bedroom with open-plan kitchen,55 m²,"CZK 7,875",Furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717626,"CZK 22,493",50.1013638,14.4546402,"V Háji, Prague - Holešovice",Studio,30 m²,"CZK 7,497",Furnished,3,No,No,No,No,No,Yes,Yes,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717625,"CZK 63,000",50.090911,14.4295366,"Soukenická, Prague - Nové Město",2 bedroom with open-plan kitchen,90 m²,"CZK 21,000",Furnished,4,No,No,No,No,No,Yes,Yes,18. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717624,"CZK 43,350",50.0894289,14.423732,"Masná, Prague - Staré Město",Studio,46 m²,"CZK 14,450",Furnished,3,No,No,No,No,No,Yes,No,18. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717623,"CZK 22,478",50.0830187,14.4654473,"Olšanská, Prague - Žižkov",Studio,30 m²,"CZK 7,492",Furnished,3,No,No,No,No,No,No,Yes,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717622,"CZK 36,675",50.0830187,14.4654473,"Olšanská h, Prague - Žižkov",1 bedroom with open-plan kitchen,62 m²,"CZK 12,225",Furnished,7,No,No,No,No,No,Yes,No,27. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717621,"CZK 31,725",50.0795659,14.4357789,"Balbínova, Prague - Vinohrady",1 bedroom with open-plan kitchen,60 m²,"CZK 10,575",Furnished,3,No,No,No,No,No,Yes,No,21. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717620,"CZK 56,700",50.082182161145,14.415757035582,"Karoliny Světlé, Prague - Staré Město",2 bedroom,72 m²,"CZK 18,900",Furnished,3,No,No,No,No,No,Yes,No,02. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717616,"CZK 51,225",50.090911,14.4295366,"Soukenická, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 17,075",Furnished,4,No,No,No,No,No,Yes,Yes,05. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717615,"CZK 18,675",50.0667869,14.4553047,"Sportovní, Prague - Vršovice",1 bedroom with open-plan kitchen,45 m²,"CZK 6,225",Furnished,2,No,Yes,No,No,No,No,No,03. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717614,"CZK 37,620",50.0706439,14.4164891,"Trojická, Prague - Nové Město",1 bedroom with open-plan kitchen,60 m²,"CZK 12,540",Furnished,3,No,No,No,No,No,Yes,No,30. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717613,"CZK 17,346",50.1030733,14.4335679,"Šimáčkova, Prague - Holešovice",Studio,30 m²,"CZK 5,782",Furnished,3,Yes,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717609,"CZK 39,000",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 13,000",Furnished,2,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717608,"CZK 41,325",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,67 m²,"CZK 13,775",Furnished,4,Yes,Yes,No,No,No,Yes,No,30. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717607,"CZK 41,250",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,50 m²,"CZK 13,750",Furnished,-1,No,No,No,No,No,No,No,16. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717606,"CZK 21,019",50.1033901,14.4020568,"U Zeměpisného ústavu, Prague - Bubeneč",Studio,28 m²,"CZK 7,006",Furnished,1,No,No,No,No,No,No,No,02. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717604,"CZK 31,875",50.0902753,14.4260311,"Rybná, Prague - Staré Město",Studio,40 m²,"CZK 10,625",Furnished,1,No,No,No,No,No,No,No,26. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717603,"CZK 23,625",50.097327,14.4663608,"Nekvasilova, Prague - Karlín",1 bedroom with open-plan kitchen,40 m²,"CZK 7,875",Furnished,7,No,No,No,No,No,Yes,Yes,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717602,"CZK 37,500",50.0633339,14.4440155,"Mečislavova, Prague - Nusle",1 bedroom with open-plan kitchen,56 m²,"CZK 12,500",Furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717601,"CZK 35,175",50.0769346,14.4169603,"Na Zbořenci, Prague - Nové Město",2 bedroom,65 m²,"CZK 11,725",Furnished,3,No,No,No,No,No,Yes,No,02. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717600,"CZK 29,520",50.0861053,14.4085409,"Na Kampě, Prague - Malá Strana",1 bedroom with open-plan kitchen,39 m²,"CZK 9,840",Furnished,3,No,No,No,No,No,No,No,16. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717599,"CZK 59,250",50.0710929,14.4032595,"Stroupežnického, Prague - Smíchov",3 bedroom with open-plan kitchen,90 m²,"CZK 19,750",Furnished,2,No,No,No,No,No,Yes,No,09. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717598,"CZK 29,700",50.0778888,14.4403889,"Mánesova, Prague - Vinohrady",Studio,60 m²,"CZK 9,900",Furnished,7,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717597,"CZK 37,425",50.0749602,14.4305105,"Legerova, Prague - Vinohrady",1 bedroom,30 m²,"CZK 12,475",Furnished,2,No,No,No,No,No,Yes,No,15. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717580,"CZK 29,000",50.04994,14.45428,"Baarova, Prague - Michle",2 bedroom with open-plan kitchen,82 m²,"CZK 6,484",Partially furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 07. 2022,New build,"CZK 35,500",Personal,Brick building,G,220,281,203,310,281,180,727,568,336,193,,,,,,,,,,,,
717582,"CZK 18,000",50.13087,14.48337,"Černého, Prague - Střížkov",3 bedroom,62 m²,"CZK 4,500",Partially furnished,5,No,No,No,No,No,Yes,No,07. 05. 2022,Excellent,"CZK 36,000",Personal,Prefab concrete building,G,265,"1,283",504,"1,367",191,498,131,663,"1,210",191,,,,,,,,,,,,
717581,"CZK 17,000",50.10689,14.39512,"Zelená, Prague - Bubeneč",1 bedroom with open-plan kitchen,59 m²,"CZK 3,500",Partially furnished,3,Yes,No,No,No,No,Yes,No,01. 06. 2022,Excellent,"CZK 25,000",Personal,Brick building,E,7,995,47,381,30,240,288,504,670,204,,,,,,,,,,,,
716761,"CZK 16,500",50.1069,14.56511,"Cíglerova, Prague - Černý Most",3 bedroom,75 m²,"CZK 5,500",Furnished,7,No,No,No,No,No,Yes,No,09. 05. 2022,Excellent,"CZK 35,000",Personal,Prefab concrete building,C,51,506,83,"1,163",725,563,613,697,"1,410",389,,,,,,,,,,,,
717549,"CZK 18,000",50.0865306,14.514837,"U Tvrze, Prague - Malešice",1 bedroom with open-plan kitchen,73 m²,"CZK 4,000",Partially furnished,4,No,Yes,No,No,Yes,Yes,Yes,15. 07. 2022,New build,"CZK 36,000",Personal,Brick building,G,254,"1,118",695,"1,314",265,718,547,"1,089",35,245,,,,,,,,,,,,
717571,"CZK 16,000",50.04677,14.31573,"Klukovická, Prague - Stodůlky",1 bedroom with open-plan kitchen,45 m²,"CZK 3,000",Furnished,6,No,No,No,No,No,Yes,No,30. 05. 2022,Excellent,"CZK 25,000",Personal,Prefab concrete building,C,98,582,453,591,499,108,642,220,585,216,,,,,,,,,,,,
717569,"CZK 12,500",50.09126,14.4739,"Koněvova, Prague - Žižkov",1 bedroom with open-plan kitchen,48 m²,"CZK 3,500",Partially furnished,2,No,No,Yes,No,No,No,No,07. 05. 2022,Good,"CZK 16,000",Personal,Brick building,G,77,"1,140",83,141,95,37,200,423,240,303,,,,,,,,,,,,
717567,"CZK 10,000",49.99106,14.40695,"U Skladu, Prague - Komořany",Small studio,24 m²,"CZK 2,000",Unfurnished,,No,No,No,No,No,No,No,07. 05. 2022,New build,"CZK 12,000",Personal,Brick building,A,236,218,280,969,153,,,,,,,,,,,,,,,,,
717564,"CZK 14,900",50.02801,14.36646,"Wassermannova, Prague - Hlubočepy",Studio,33 m²,"CZK 2,900",Partially furnished,3,Yes,No,No,No,No,Yes,No,29. 05. 2022,New build,"CZK 24,999",Personal,Brick building,B,17,"1,180",411,"1,160",154,"1,188",171,587,470,406,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,,,,,,,,
717562,"CZK 13,000",50.102,14.43331,"Veletržní, Prague - Holešovice",2 bedroom,52 m²,CZK 700,Unfurnished,1,No,No,No,No,No,No,No,09. 05. 2022,Excellent,"CZK 13,000",Personal,Brick building,B,124,628,3,140,85,176,395,470,848,,,,,,,,,,,,,
717559,"CZK 14,000",50.06992,14.47596,"Karpatská, Prague - Vršovice",1 bedroom,39 m²,"CZK 1,500",Furnished,1,No,No,No,No,No,No,No,01. 06. 2022,Good,"CZK 14,000",Personal,Brick building,G,136,268,133,356,115,316,196,90,181,134,,,,,,,,,,,,
