Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Age,Design,Total number of floors,Renovation,Heating,Front garden,Administration fee,Developer name,Project name,Kód jednotky,New building,Investment Advisor
713010,"CZK 16,500",50.0887144,14.459732,"Koněvova, Prague - Žižkov",Studio,45 m²,CZK 900,Unfurnished,1,Yes,No,Yes,No,No,Yes,No,01. 05. 2022,84,377,222,366,71,311,440,610,127,443,New build,"CZK 33,000",Personal,Low-energy building,B,,,,,Central heating,,,,,,,
548319,"CZK 14,800",50.0453193,14.3371599,"Böhmova, Prague - Stodůlky",1 bedroom with open-plan kitchen,45 m²,"CZK 2,000",Partially furnished,2,No,No,No,No,No,Yes,No,01. 05. 2022,357,457,298,485,402,478,373,419,489,134,Excellent,"CZK 25,000",Personal,Prefab concrete building,,,,,,,,,,,,,
536913,"CZK 16,000",50.0848545,14.483906,Prague - Strašnice,Studio,52 m²,"CZK 4,000",Furnished,2,Yes,No,No,No,Yes,Yes,Yes,ihned,167,"1,302",579,"1,188",705,920,"1,055",176,690,361,,"CZK 20,000",Personal,Brick building,,1 to 10 years years,Premium materials and solutions,Middle floor,,,,,,,,Yes,
716235,"CZK 11,500",50.04454,14.56863,"Hornoměcholupská, Prague - Horní Měcholupy",Studio,33 m²,"CZK 2,500",Partially furnished,8,Yes,No,No,No,Yes,Yes,No,01. 06. 2022,137,"1,155",17,952,632,52,806,687,"1,106",484,New build,"CZK 14,000",Personal,Brick building,B,,,,,,,,,,,,
716233,"CZK 13,500",50.13091,14.41029,"Zelenohorská, Prague - Bohnice",1 bedroom with open-plan kitchen,43 m²,"CZK 3,500",Partially furnished,11,No,No,No,No,No,No,No,28. 04. 2022,79,905,114,835,112,902,630,449,303,,Excellent,"CZK 17,000",Personal,Prefab concrete building,B,,,,Overall,District heating,,,,,,,
652714,"CZK 24,000",50.140401,14.506608,"Místecká, Prague - Letňany",2 bedroom with open-plan kitchen,69 m²,"CZK 6,000",Furnished,9,No,No,Yes,Yes,Yes,Yes,No,01. 06. 2022,213,841,151,783,337,104,369,416,515,226,Excellent,"CZK 30,000",Personal,Prefab concrete building,G,,,,,,,,,,,,
277147,"CZK 28,000",50.0779565,14.4177856,Prague - Nové Město,2 bedroom with open-plan kitchen,92 m²,"CZK 4,500",Furnished,4,No,No,No,No,No,No,No,15. 12. 2021,64,431,52,170,24,345,178,243,487,429,Excellent,"CZK 42,000",Personal,Brick building,,1 to 10 years years,Premium materials and solutions,Attic,Interior,Gas boiler,2 m²,,,,,,
716225,"CZK 13,000",50.08876,14.3046,"U Valu, Prague - Ruzyně",1 bedroom with open-plan kitchen,42 m²,"CZK 3,000",Partially furnished,10,No,No,Yes,Yes,No,Yes,No,09. 05. 2022,224,487,429,416,372,473,383,"1,257",72,,Good,"CZK 15,000",Personal,Prefab concrete building,A,,,,,,,,,,,,
602233,"CZK 30,000",50.078073,14.423947,"Řeznická, Prague - Nové Město",3 bedroom,85 m²,"CZK 4,000",Furnished,1,Yes,No,No,No,No,Yes,No,01. 06. 2022,238,629,89,270,94,333,234,419,415,356,Good,"CZK 34,000",Personal,Brick building,F,over 50 years years,Standard materials and solutions,Middle floor,Bathroom unit,Central heating,,,,,,,
474952,"CZK 24,500",50.0523437,14.3299152,Prague - Stodůlky,2 bedroom with open-plan kitchen,90 m²,"CZK 3,000",Furnished,3,No,Yes,No,No,No,Yes,Yes,01. 07. 2022,190,"1,097",454,"1,062",658,617,"1,030",473,295,524,Excellent,CZK 1,Personal,Brick building,,1 to 10 years years,,,Overall,Central heating,,,,,,,
509105,"CZK 13,500",50.1058662,14.4495428,"U Měšťanského pivovaru, Prague - Holešovice",1 bedroom,49 m²,"CZK 4,200",Furnished,4,No,No,No,No,No,Yes,No,,134,324,75,137,35,140,340,599,310,417,,"CZK 20,000",Cooperative,Brick building,C,,,,,,,,,,,,
585738,"CZK 18,000",50.129377,14.551176,"Hornopočernická, Prague - Kbely",2 bedroom with open-plan kitchen,100 m²,"CZK 5,000",Partially furnished,2,No,Yes,Yes,No,No,No,No,28. 04. 2022,95,832,202,381,217,958,918,831,299,,Excellent,"CZK 22,000",Personal,Brick building,G,,,,,Central heating,,,,,,,
275083,"CZK 22,900",50.0855268,14.4464269,"Krásova, Prague - Žižkov",2 bedroom with open-plan kitchen,71 m²,CZK 900,Partially furnished,2,No,No,No,No,No,No,No,30. 04. 2022,159,357,61,299,88,378,280,107,439,583,,"CZK 30,000",Personal,Brick building,,1 to 10 years years,Standard materials and solutions,Middle floor,Interior,,,,,,,,
715209,"CZK 48,000",50.0718291,14.4385892,"Americká, Prague - Vinohrady",3 bedroom,72 m²,"CZK 16,000",Furnished,5,No,No,No,No,No,Yes,No,19. 06. 2022,274,300,81,587,69,312,103,253,793,568,,,,,,,,,,,,,,,,,
442008,"CZK 17,000",50.0996048,14.3444734,"Na Lužci, Prague - Vokovice",1 bedroom with open-plan kitchen,45 m²,"CZK 2,600",Partially furnished,2,No,No,No,No,No,No,No,27. 01. 2020,136,420,"1,003",113,625,347,545,405,91,,Excellent,"CZK 30,000",Personal,Brick building,B,1 to 10 years years,,Attic,Overall,Central heating,,,,,,,
113106,"CZK 16,800",50.0538919,14.4972997,"U Zahradního Města, Prague - Záběhlice",3 bedroom,67 m²,"CZK 4,500",Partially furnished,3,Yes,No,No,No,No,Yes,No,21. 02. 2022,302,839,466,"1,326",305,474,512,354,751,609,Excellent,"CZK 33,600",Personal,Brick building,,10 to 30 years years,Standard materials and solutions,Middle floor,,Central heating,,,,,,,
715350,"CZK 41,438",50.077834,14.422878,"Příčná, Prague - Nové Město",Studio,26 m²,"CZK 13,812",Furnished,2,No,No,No,No,No,No,No,20. 06. 2022,224,529,123,232,36,222,310,471,467,408,,,,,,,,,,,,,,,,,
716213,"CZK 28,688",50.0730353,14.4083714,"Zborovská, Prague - Smíchov",Studio,40 m²,"CZK 9,562",Furnished,2,Yes,Yes,No,No,No,No,No,27. 06. 2022,94,401,89,199,59,403,430,911,"1,115",601,,,,,,,,,,,,,,,,,
716212,"CZK 36,675",50.0830187,14.4654473,"Olšanská h, Prague - Žižkov",1 bedroom with open-plan kitchen,62 m²,"CZK 12,225",Furnished,7,No,No,No,No,No,Yes,No,27. 06. 2022,99,368,492,556,426,352,496,585,430,491,,,,,,,,,,,,,,,,,
471664,"CZK 30,000",50.0705672,14.4310026,"Legerova, Prague - Vinohrady",4 bedroom,126 m²,"CZK 12,000",Partially furnished,1,No,No,Yes,No,No,No,No,01. 05. 2022,190,550,227,457,24,316,119,480,501,471,Good,"CZK 50,000",Cooperative,Brick building,E,over 50 years years,Premium materials and solutions,Middle floor,Interior,Gas boiler,,,,,,,
716211,"CZK 14,900",50.09903,14.34437,"Na Lužci, Prague - Vokovice",1 bedroom with open-plan kitchen,34 m²,"CZK 2,600",Partially furnished,1,No,No,No,No,No,No,No,16. 05. 2022,219,"1,461",363,920,56,568,263,488,348,34,Excellent,"CZK 30,000",Personal,Brick building,B,,,,,,,,,,,,
338671,"CZK 14,000",50.0541721,14.3670096,"U Kříže, Prague - Jinonice",1 bedroom with open-plan kitchen,50 m²,"CZK 3,500",Partially furnished,,No,No,No,No,No,No,No,15. 05. 2022,224,233,454,316,525,229,835,806,201,,Excellent,"CZK 14,000",Personal,Brick building,,10 to 30 years years,Standard materials and solutions,Ground floor,,District heating,,,,,,,
