Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Cellar,Enclosed balcony,Heating,Ownership,Parking,Age,Balcony,Designe,Reconstruction,Terrace,Garage,New-build,Administrative fee,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 13,500","CZK 1,500",415497,Studio,8/1/2022,24 m²,Partly,4,,232.84,1024.63,101.62,302.23,66.83,125.14,346.79,301.25,401.11,327.19,"Buchovcova, Prague - Žižkov",50.0905227,14.4724595,"CZK 15,000",,,Brick,,,,Personal,,,1.0,,,,,,,,,
"CZK 38,000",CZK 800,388358,5+kk,7/1/2022,175 m²,Unfurnished,5,1.0,95.99,1196.09,87.05,510.66,83.53,372.88,291.62,400.22,506.41,231.83,"Terronská, Prague - Bubeneč",50.1082765,14.395231,"CZK 76,000",G,Very good,Brick,,,Gas boiler,Personal,,10 to 30 years,1.0,Standard,,,,,,,,
"CZK 19,000","CZK 2,500",716489,2+kk,8/1/2022,71 m²,Partly,5,,416.15,1119.2,164.68,682.83,309.93,545.96,146.46,1060.0,596.48,112.48,"Na Střelnici, Prague - Karlín",50.09357,14.46052,"CZK 35,000",G,Very good,Brick,1.0,,,Personal,,,,,Complete,,,,,,,
"CZK 17,900","CZK 5,400",576482,2+kk,7/9/2022,57 m²,Unfurnished,4,1.0,233.49,742.78,183.19,212.39,145.9,294.76,238.33,80.12,291.7,260.96,"Pod Slovany, Prague - Nové Město",50.070173,14.4169234,"CZK 35,800",G,Very good,Brick,,,Gas boiler,Personal,,,,,,,,,,,,
"CZK 22,000","CZK 3,000",453331,2+kk,6/10/2022,51 m²,Partly,2,,171.89,1091.6,622.05,1336.02,429.82,1037.02,863.46,769.75,1094.42,198.16,"Na Zemance, Prague - Braník",50.0399038,14.4230019,"CZK 22,000",A,Very good,Brick,1.0,,Central,Personal,,Up to 10 years,,,,1.0,1.0,,,,,
"CZK 18,500","CZK 3,000",723388,Studio,8/1/2022,45 m²,Fully furnished,2,1.0,277.67,953.71,208.09,234.94,221.54,251.55,405.74,527.02,334.16,581.79,Prague - Vyšehrad,50.06554,14.42231,"CZK 15,000",C,Very good,Prefab concrete,1.0,,,,1.0,,,,,,1.0,1.0,,,,
"CZK 18,500",CZK 0,578001,Studio,7/25/2022,40 m²,Partly,2,1.0,137.68,1096.54,416.52,3706.42,118.55,405.63,851.61,3129.08,1010.23,167.66,"Kryšpínova, Prague - Dolní Měcholupy",50.06698,14.5509831,"CZK 20,000",A,New-build,Low-energy,,,Distance,,1.0,,1.0,Standard,,,1.0,1.0,,,,
"CZK 11,000","CZK 1,000",725206,Small studio,7/9/2022,29 m²,Unfurnished,4,1.0,75.55,616.99,107.9,44.65,87.64,198.35,291.0,364.57,310.03,371.84,Prague - Žižkov,50.08835,14.46802,"CZK 24,000",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 29,250","CZK 9,750",724407,2 bedroom,8/13/2022,65 m²,Fully furnished,4,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,,
"CZK 53,438","CZK 17,812",725849,4+kk,8/3/2022,93 m²,Fully furnished,6,1.0,84.32,365.4,41.47,397.77,99.63,298.31,136.39,236.15,659.67,664.81,"Blanická, Prague - Vinohrady",50.0745467,14.4389986,,,,,,,,,,,1.0,,,1.0,,,,,,
"CZK 12,500","CZK 2,800",725848,Studio,9/1/2022,29 m²,Fully furnished,3,,119.05,111.56,188.56,162.4,54.49,115.9,285.86,241.74,477.76,183.2,Prague - Žižkov,50.09217,14.49045,"CZK 10,000",G,Very good,Brick,1.0,,,,,,,,,,,,,,,
"CZK 9,900","CZK 3,500",620621,Small studio,8/1/2022,45 m²,Fully furnished,2,,141.42,141.37,6.86,166.35,4.45,37.09,296.23,307.55,932.14,177.15,"Sluneční Náměstí, Prague - Stodůlky",50.050213,14.342631,"CZK 15,000",G,Good,Prefab concrete,,,Distance,Personal,,10 to 30 years,1.0,Standard,,,1.0,,,,,
"CZK 18,000","CZK 3,000",725839,2+kk,7/14/2022,68 m²,Fully furnished,2,,101.52,2185.38,1619.87,2958.42,328.37,2921.25,2581.95,2236.24,2935.96,218.67,Prague - Nedvězí u Říčan,50.01682,14.65416,"CZK 18,000",B,New-build,Low-energy,,,,,1.0,,,,,,,1.0,,,,
"CZK 19,000","CZK 4,500",725099,2+kk,7/8/2022,54 m²,Partly,3,,467.09,1003.0,522.43,1785.3,521.26,624.12,460.18,394.67,481.92,205.34,Prague - Libuš,50.01273,14.44535,"CZK 40,000",G,New-build,Brick,1.0,,,,,,,,Complete,,,1.0,,,,
"CZK 22,000","CZK 3,325",437084,2+kk,7/1/2022,50 m²,Fully furnished,3,1.0,77.44,178.68,44.71,148.37,33.33,189.5,186.99,355.36,533.72,363.06,"Elišky Peškové, Prague - Smíchov",50.0769889,14.4053328,"CZK 25,325",,,Brick,,,Central,Personal,,Up to 10 years,,Standard,Complete,,,1.0,,,,
"CZK 16,000","CZK 3,500",583636,Studio,8/1/2022,32 m²,Fully furnished,3,1.0,496.77,1625.44,529.51,1520.87,608.72,923.09,1372.72,1358.83,374.9,126.06,"Svatošových, Prague - Vysočany",50.1081578,14.5180987,"CZK 20,000",A,New-build,Brick,,,Central,Personal,,Up to 10 years,1.0,Luxurious,Complete,1.0,1.0,1.0,,,,
"CZK 23,000","CZK 5,000",723662,2+kk,8/1/2022,54 m²,Fully furnished,5,1.0,248.13,434.64,284.68,215.85,302.0,423.93,194.53,888.81,323.92,157.1,Prague - Podolí,50.05603,14.42064,"CZK 50,000",G,Very good,Brick,,,,,,,,,,1.0,,,,,,
"CZK 13,000","CZK 4,000",488054,2 bedroom,7/15/2022,70 m²,Partly,,,198.49,1642.92,342.2,1753.83,309.08,1096.79,1808.11,2472.34,293.92,336.66,"Staňkovská, Prague - Hostavice",50.0869774,14.5608294,"CZK 26,000",D,,Brick,,,Gas boiler,Personal,,,,Standard,,,,,,,,
"CZK 21,000","CZK 5,100",725190,3+kk,7/9/2022,68 m²,Unfurnished,-1,1.0,82.25,1105.99,152.64,420.57,148.09,346.95,201.53,446.88,596.51,192.06,Prague - Bubeneč,50.10753,14.39572,"CZK 21,000",D,Very good,Brick,,,,,,,,Standard,Complete,,,,,,,
"CZK 13,000","CZK 4,500",725834,2+kk,7/14/2022,43 m²,Unfurnished,4,,160.48,736.74,144.27,235.22,182.93,242.7,256.6,618.57,317.27,210.52,Prague - Libeň,50.10629,14.4718,"CZK 13,000",G,Very good,Brick,,,,,,,1.0,,,,,,,,,
"CZK 11,500","CZK 4,500",677359,2+kk,8/1/2022,43 m²,Partly,3,1.0,286.66,134.49,581.2,1298.83,131.44,845.62,571.18,172.85,311.96,139.79,"Bukolská, Prague - Bohnice",50.13018,14.43292,"CZK 16,000",C,Very good,Prefab concrete,,,Distance,Personal,,,,Standard,Complete,,,,,,,
"CZK 26,000","CZK 2,000",725831,3+1,7/14/2022,80 m²,Partly,4,,388.09,370.72,221.81,343.13,41.23,618.21,375.66,616.81,682.72,239.59,Prague - Malá Strana,50.08615,14.40739,"CZK 28,000",G,Very good,Brick,,,Electric boiler,,,Up to 10 years,,Standard,Interior,,,,,,,
"CZK 13,000","CZK 4,000",554005,2+kk,9/1/2022,45 m²,Unfurnished,3,1.0,295.91,432.79,298.72,612.71,199.51,213.51,274.96,380.15,630.79,314.0,"Michnova, Prague - Chodov",50.0306828,14.5217282,"CZK 20,000",G,,Prefab concrete,1.0,,Central,Personal,,,,Standard,,,,,,,,
"CZK 18,000",CZK 800,667300,2 bedroom,2/1/2022,70 m²,Unfurnished,5,,203.62,374.65,89.38,128.29,38.4,271.89,380.42,525.76,363.4,175.56,Prague - Bubeneč,50.0991378,14.3998595,"CZK 37,600",F,Very good,Brick,,,,Personal,,,1.0,,,,,,,,,
"CZK 20,000","CZK 5,000",725187,2+kk,9/1/2022,60 m²,Fully furnished,3,1.0,458.42,1780.49,709.75,1762.04,1174.23,719.13,1430.17,1451.74,980.2,20.82,Prague - Vysočany,50.10518,14.51655,"CZK 40,000",B,Very good,Prefab concrete,,,,,,,1.0,,,,1.0,,,,,
"CZK 19,000","CZK 4,156",721043,2+kk,6/3/2022,67 m²,Partly,4,1.0,283.62,243.01,90.38,1559.14,230.41,1015.17,983.55,610.23,790.51,120.8,Prague - Stodůlky,50.04754,14.30313,"CZK 40,000",G,New-build,Brick,,,Central,Cooperative,,,1.0,Standard,,,,1.0,,,,
"CZK 17,000","CZK 3,000",683525,Studio,7/14/2022,37 m²,Partly,9,1.0,189.28,893.35,127.81,355.25,16.58,335.28,338.25,551.31,364.37,55.69,"Kurta Konráda, Prague - Libeň",50.1051406,14.4878892,"CZK 25,000",B,New-build,Brick,1.0,1.0,,Personal,1.0,Up to 10 years,,Luxurious,,,1.0,,,,,
"CZK 8,500",CZK 0,360494,5+1,7/10/2022,10 m²,Fully furnished,3,,209.02,550.75,154.14,285.43,89.33,281.78,458.54,982.32,332.3,430.22,"Šaldova, Prague - Karlín",50.0949776,14.4544831,"CZK 8,500",,,Brick,,,,Cooperative,,,1.0,,,,,,,,,
"CZK 16,500","CZK 4,500",665413,Studio,9/1/2022,32 m²,Fully furnished,3,1.0,155.68,480.27,74.86,782.01,202.26,630.21,205.91,284.36,1101.91,434.15,Prague - Košíře,50.0700464,14.3813528,"CZK 21,000",G,New-build,Other,,,Electric boiler,Personal,1.0,Up to 10 years,1.0,Standard,,,1.0,1.0,,,,
"CZK 18,900","CZK 3,240",723711,3+1,7/10/2022,69 m²,Partly,1,,114.52,692.74,343.0,396.21,286.43,378.53,280.84,442.87,957.75,180.52,Prague - Břevnov,50.08668,14.34099,"CZK 39,000",G,Very good,Prefab concrete,1.0,,Distance,Personal,,,1.0,Standard,Complete,,,,,,,
"CZK 33,750","CZK 11,250",724540,3+kk,8/8/2022,85 m²,Fully furnished,7,1.0,43.1,275.33,86.81,107.67,29.44,58.04,584.89,359.35,612.41,136.97,"Jičínská, Prague - Žižkov",50.0780714,14.460831,,,,,,,,,,,,,,,,,,,,
"CZK 13,200","CZK 2,700",725805,1 bedroom,7/31/2022,36 m²,Partly,6,1.0,154.07,406.2,74.24,182.85,104.76,181.19,163.72,127.34,482.95,160.29,Prague - Vršovice,50.07006,14.45725,"CZK 31,800",E,Very good,Brick,1.0,,Central,,,,1.0,,,,,,,,,
"CZK 23,000",CZK 800,725803,3+1,7/14/2022,105 m²,Unfurnished,4,1.0,174.31,478.5,120.42,94.53,46.33,21.42,249.47,441.3,567.11,636.54,Prague - Vinohrady,50.07382,14.43183,"CZK 46,000",C,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 15,000",CZK 700,598724,2 bedroom,4/1/2020,59 m²,,1,,148.5,262.91,247.0,388.47,118.29,164.82,398.09,583.77,742.12,177.25,"Kováků, Prague - Smíchov",50.0675586,14.4016239,"CZK 30,000",G,Very good,Brick,,,,Personal,,,1.0,,,,,,,,,
"CZK 15,500","CZK 7,000",725798,3+1,8/1/2022,74 m²,Fully furnished,4,1.0,349.87,806.08,296.1,729.14,339.52,652.6,623.84,322.3,379.72,40.87,Prague - Řepy,50.06765,14.29965,"CZK 15,000",G,Very good,Prefab concrete,,1.0,Central,Personal,1.0,,,Standard,Bathroom unit,,,,,,,
"CZK 15,000","CZK 4,000",725799,2 bedroom,7/14/2022,44 m²,Unfurnished,3,,327.59,1031.26,738.83,735.25,395.53,862.89,739.33,927.71,635.47,467.53,Prague - Holešovice,50.09367,14.41261,"CZK 15,000",G,Good,Brick,,,,,,,1.0,,,,,,,,,
"CZK 19,000","CZK 3,000",721706,Studio,8/13/2022,32 m²,Fully furnished,3,1.0,184.9,491.18,201.53,600.56,185.71,464.1,909.61,880.1,1116.52,293.82,Prague - Uhříněves,50.02854,14.59565,"CZK 40,000",B,New-build,Brick,1.0,1.0,Electric boiler,Personal,,Up to 10 years,,Luxurious,,,,1.0,,,,
"CZK 11,500","CZK 3,000",666043,Studio,9/1/2022,29 m²,Partly,8,1.0,297.87,147.25,573.29,1497.54,55.44,856.83,652.11,201.35,235.95,80.18,"Bukolská, Prague - Bohnice",50.13068,14.43328,"CZK 23,000",D,Very good,Prefab concrete,,,Electric boiler,Personal,1.0,,,Standard,Bathroom unit,,,,,,,
"CZK 15,000","CZK 2,900",383005,Studio,7/14/2022,42 m²,Fully furnished,3,1.0,121.11,785.79,731.11,1251.14,273.09,846.9,749.52,229.4,731.35,284.04,"Harlacherova, Prague - Záběhlice",50.0527629,14.5021932,"CZK 20,000",B,New-build,Brick,,,Other,Personal,1.0,,,,,1.0,,1.0,,,,
"CZK 12,000","CZK 3,000",612594,Small studio,7/14/2022,30 m²,Fully furnished,2,1.0,273.79,1014.9,621.92,826.9,720.35,529.84,591.13,667.21,1355.58,682.2,"Mantovská, Prague - Horní Měcholupy",50.041946,14.569451,"CZK 15,000",B,New-build,Brick,1.0,,,Personal,,Up to 10 years,1.0,Standard,,,,1.0,,,,
"CZK 16,000","CZK 4,000",725786,2 bedroom,7/14/2022,35 m²,Fully furnished,1,,108.56,133.25,146.43,543.35,201.0,182.3,810.32,500.19,799.28,565.3,Prague - Libeň,50.11945,14.4611,"CZK 32,000",B,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,500",682714,2 bedroom,7/1/2022,55 m²,Partly,6,,315.59,361.53,250.72,203.26,202.82,352.14,283.86,532.42,1192.05,38.37,"Jablonecká, Prague - Prosek",50.12158,14.49901,"CZK 20,000",G,Very good,Prefab concrete,,1.0,,Personal,,,,,,,,,,,,
"CZK 14,900","CZK 2,700",595062,1 bedroom,8/1/2022,33 m²,Unfurnished,2,,145.92,839.28,532.81,665.28,89.67,679.16,517.62,553.12,592.83,353.17,"Husitská, Prague - Žižkov",50.08727,14.443274,"CZK 13,000",G,Very good,Brick,,,Gas boiler,Personal,,,,Standard,Complete,,,,,,,
"CZK 57,000","CZK 8,830",720855,4+kk,6/2/2022,110 m²,Unfurnished,3,1.0,91.01,254.74,137.58,110.13,57.48,149.86,319.23,477.31,263.02,386.4,Prague - Nové Město,50.08676,14.43233,"CZK 65,830",G,Very good,Brick,1.0,,,,1.0,,1.0,,,,,,,,,
"CZK 21,900","CZK 4,000",566347,2+kk,7/14/2022,51 m²,Fully furnished,4,,245.55,500.68,586.64,435.97,477.69,597.43,420.87,209.15,1507.6,336.94,"Tobrucká, Prague - Vokovice",50.10036,14.362073,"CZK 21,900",,,Prefab concrete,,,,Cooperative,,,1.0,,,,,,,,,
"CZK 13,000",CZK 800,188036,Small studio,7/14/2022,30 m²,Partly,2,,106.35,679.83,92.21,698.34,156.46,642.22,507.09,592.65,382.81,407.43,"Pod Zvonařkou, Prague - Vinohrady",50.0683542,14.4340856,"CZK 10,000",,,Brick,,,Electric boiler,Personal,,,,,,,,,,,,
"CZK 16,000","CZK 5,500",725557,2+kk,8/1/2022,56 m²,Partly,,,217.61,1378.75,374.8,832.55,346.78,326.66,564.31,93.15,846.7,428.27,Prague - Kobylisy,50.12638,14.44604,"CZK 21,500",G,Good,Prefab concrete,1.0,,,,,,1.0,,,,,,,,,
"CZK 17,500","CZK 4,500",554468,2 bedroom,9/1/2022,64 m²,Partly,3,,312.25,1230.66,709.87,1017.45,657.16,1071.28,1063.41,305.78,1251.82,559.68,Prague - Košíře,50.0635526,14.3806957,"CZK 20,000",,Very good,Brick,1.0,1.0,Central,Personal,1.0,,1.0,,,,1.0,,,,,
"CZK 18,000","CZK 3,000",722992,1 bedroom,7/15/2022,39 m²,Fully furnished,3,1.0,226.36,433.55,79.86,10.74,37.15,105.4,560.99,924.38,555.02,135.87,Prague - Libeň,50.10424,14.49114,"CZK 18,000",A,Very good,Brick,,,Electric boiler,,,,,,Complete,,,,,,,
"CZK 33,750","CZK 11,250",718594,1 bedroom,7/18/2022,45 m²,Fully furnished,3,1.0,154.88,368.87,146.98,651.03,45.07,545.33,204.63,327.9,671.18,484.21,"Jana Masaryka, Prague - Vinohrady",50.0723321,14.4399493,,,,,,,,,,,,,,,,,,,,
"CZK 29,500","CZK 3,500",310862,4+kk,8/1/2022,97 m²,Fully furnished,4,,356.86,414.06,107.1,343.56,236.72,164.88,255.77,772.65,146.14,319.6,Prague - Bubeneč,50.1021761,14.4253942,"CZK 35,000",A,,Brick,,,,Personal,,Up to 10 years,,Luxurious,Complete,,,,,,,
"CZK 17,900",CZK 0,722059,2+kk,8/1/2022,54 m²,Partly,5,1.0,276.93,764.54,188.51,176.26,108.39,338.32,641.05,664.48,609.93,325.62,Prague - Žižkov,50.08863,14.46576,"CZK 44,800",E,Very good,Brick,1.0,1.0,,,,,,,,,,,,,,
"CZK 21,019","CZK 7,006",721725,Studio,8/8/2022,32 m²,Fully furnished,1,,419.83,740.81,425.23,494.96,193.69,893.21,285.06,623.78,454.44,365.18,"Nad Kolčavkou A, Prague - Libeň",50.1080609,14.4828384,,,,,,,,,,,,,,,,,,,,
"CZK 26,250","CZK 8,750",719202,2+kk,7/16/2022,46 m²,Fully furnished,3,,99.77,437.38,81.67,124.22,1.06,339.84,530.75,1037.92,1232.16,690.83,"Lidická, Prague - Smíchov",50.0723918,14.4059555,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",724080,1 bedroom,8/28/2022,43 m²,Fully furnished,4,1.0,276.64,299.92,82.85,597.17,63.3,447.09,45.77,62.13,794.8,565.99,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,,,,,,,,
"CZK 42,000","CZK 14,000",724430,2+kk,8/31/2022,70 m²,Fully furnished,6,1.0,131.02,427.0,167.64,222.78,153.5,424.47,453.78,447.06,416.6,569.82,"Rubešova, Prague - Vinohrady",50.0782991,14.4323831,,,,,,,,,,,,,,,1.0,,,,,
"CZK 45,000","CZK 15,000",723086,2+kk,7/19/2022,70 m²,Fully furnished,4,1.0,285.3,547.87,69.97,206.93,9.84,222.16,245.36,617.77,369.53,523.86,"Ve Smečkách, Prague - Nové Město",50.0795975,14.4273504,,,,,,,,,,,,,,,,,,,,
"CZK 19,286","CZK 6,428",724519,2+kk,9/1/2022,40 m²,Fully furnished,6,,275.72,613.97,142.96,237.63,75.92,333.81,397.97,134.84,451.34,420.6,"Na Poříčním právu, Prague - Nové Město",50.0712667,14.4160344,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 4,500",725330,Studio,9/9/2022,60 m²,Fully furnished,3,,88.58,1289.66,1130.28,2912.47,1349.02,1419.48,1802.13,1057.3,6008.9,1068.66,"K Vejvoďáku, Prague - Zbraslav",49.9556717,14.3808711,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",717602,2+kk,7/17/2022,56 m²,Fully furnished,5,1.0,242.69,541.12,99.79,271.87,177.08,314.62,456.71,820.48,635.04,594.38,"Mečislavova, Prague - Nusle",50.0633339,14.4440155,,,,,,,,,,,,,,,,,,,,
"CZK 8,000","CZK 2,500",692604,5+1,6/1/2022,106 m²,Fully furnished,6,1.0,163.68,646.03,216.88,217.8,157.54,136.84,235.76,358.3,1401.37,134.81,"Nušlova, Prague - Stodůlky",50.05191,14.34802,"CZK 10,500",C,Very good,Prefab concrete,1.0,,,Personal,,,1.0,,,,,,,,,
"CZK 37,500","CZK 12,500",725775,2+kk,9/12/2022,60 m²,Fully furnished,4,1.0,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,
"CZK 31,500","CZK 10,500",724514,2 bedroom,9/1/2022,76 m²,Fully furnished,5,1.0,173.24,237.07,170.98,194.52,84.53,150.25,482.36,158.74,537.92,88.5,"Slezská, Prague - Vinohrady",50.076837,14.4602531,,,,,,,,,,,,,,,,,,,,
"CZK 28,425","CZK 9,475",721648,Studio,7/16/2022,30 m²,Fully furnished,2,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 3,800",430141,3+1,9/1/2022,63 m²,Partly,5,1.0,146.63,797.83,505.37,712.0,564.74,742.68,679.85,668.58,637.63,350.08,"Pražského, Prague - Hlubočepy",50.0363717,14.3833851,"CZK 27,000",G,Very good,Prefab concrete,1.0,,Central,Personal,,,1.0,,Complete,,,,,,,
"CZK 16,500","CZK 1,000",628101,2+kk,7/25/2022,51 m²,,2,1.0,85.69,472.14,86.67,135.18,43.68,27.95,255.84,146.37,585.91,210.24,Prague - Košíře,50.069745,14.369603,"CZK 20,000",G,Good,Brick,,,,Personal,,Over 50 years,,Standard,Interior,,,,,,,
"CZK 35,000","CZK 4,500",388456,2 bedroom,7/14/2022,69 m²,Fully furnished,4,1.0,109.21,977.76,200.38,434.41,20.92,330.86,293.5,329.4,301.04,97.85,Prague - Nové Město,50.068306857504,14.415852951138,"CZK 59,000",B,Very good,Brick,,,,Personal,,Over 50 years,1.0,Luxurious,Complete,,,,,,,
"CZK 18,000","CZK 6,000",725762,2 bedroom,8/1/2022,57 m²,Partly,3,,191.03,401.6,391.32,479.34,266.21,397.55,712.61,885.03,666.68,99.5,Prague - Záběhlice,50.0551,14.51408,"CZK 48,000",C,Good,Prefab concrete,,1.0,,,,,,,,,,,,,,
"CZK 16,500","CZK 5,500",725760,1 bedroom,8/1/2022,60 m²,Unfurnished,2,,420.57,963.94,334.42,613.8,422.76,953.93,728.99,847.05,238.66,574.35,Prague - Podolí,50.05259,14.4239,"CZK 33,000",G,Very good,Brick,1.0,,,,,,1.0,Standard,Complete,,,,,,,
"CZK 21,009","CZK 7,003",722293,Studio,8/2/2022,27 m²,Fully furnished,1,,356.54,736.2,458.21,353.24,376.04,829.05,1040.15,326.58,1014.22,65.27,"Buštěhradská, Prague - Střešovice",50.0968441,14.3897247,,,,,,,,,,,1.0,,,1.0,,,,,,
"CZK 23,000","CZK 7,000",670443,3+kk,7/12/2021,81 m²,Partly,4,1.0,120.52,354.09,123.17,186.26,360.75,373.65,286.91,305.73,642.18,375.19,"Čeljabinská, Prague - Vršovice",50.07006,14.46981,"CZK 40,000",E,Very good,Brick,1.0,,Distance,Personal,,Over 50 years,1.0,Standard,Interior,,,,,,,
"CZK 17,000","CZK 1,300",725758,3+1,7/13/2022,68 m²,Unfurnished,3,1.0,235.57,1512.19,159.19,1724.05,528.89,205.65,200.13,859.42,1937.32,112.62,Prague - Újezd nad Lesy,50.07113,14.68175,"CZK 40,000",D,Good,Prefab concrete,1.0,1.0,,,1.0,,,,,,,,,,,
"CZK 18,000","CZK 3,500",678322,Studio,8/1/2022,40 m²,Fully furnished,2,1.0,112.7,973.28,121.1,877.77,223.18,115.06,312.68,421.76,623.04,371.94,"Adamova, Prague - Veleslavín",50.0949972,14.3484594,"CZK 43,000",,New-build,Low-energy,,,,Personal,,Up to 10 years,,,,,,,,,,
"CZK 18,900","CZK 4,800",501177,3+1,7/20/2022,64 m²,Unfurnished,5,1.0,188.27,457.93,213.92,519.76,204.52,519.5,520.06,140.6,81.78,146.07,"Hodonínská, Prague - Michle",50.0472538,14.4592681,"CZK 38,000",C,Very good,Brick,1.0,,Central,Personal,,,,,,,,,,,,
"CZK 11,000","CZK 1,170",725750,1 bedroom,7/13/2022,40 m²,Partly,-1,,278.76,531.92,76.96,327.04,283.2,396.92,290.08,627.71,586.91,269.88,Prague - Strašnice,50.07475,14.48666,"CZK 22,000",G,Good,Brick,1.0,,,,,,,,,,,,,,,
"CZK 9,900","CZK 1,200",725749,Studio,7/13/2022,20 m²,Unfurnished,-1,1.0,231.53,738.77,118.11,132.24,0.18,87.19,211.39,555.27,229.41,286.48,Prague - Staré Město,50.08294,14.42096,"CZK 19,800",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 4,000",725742,1 bedroom,7/13/2022,39 m²,Partly,1,,152.13,453.96,165.73,193.19,58.01,145.32,291.16,228.83,614.54,92.89,Prague - Košíře,50.06946,14.37034,"CZK 25,000",G,Very good,Brick,,,,,,,,,,,,,,,,
