Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Reconstruction,Heating,Parking,Balcony,Terrace,New-build,Enclosed balcony,Designe,Garage,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 25,990","CZK 4,560","CZK 30,550",724703,3+1,7/7/2022,8,Prefab concrete,"CZK 30,550",73 m²,Fully furnished,Good,Personal,G,1.0,1.0,230.71,363.54,185.46,1043.95,179.71,360.25,128.83,277.71,295.53,116.41,"Prusíkova, Prague - Stodůlky",50.03613861111,14.33899416666,,,,,1.0,,,,,,,,
"CZK 17,000","CZK 2,400","CZK 20,000",724700,2+kk,7/4/2022,4,Brick,,45 m²,Fully furnished,Very good,,G,1.0,1.0,255.28,1642.21,253.76,1682.19,270.57,259.65,810.52,415.67,1258.27,67.93,Prague - Hostivař,50.04474,14.51544,,,,,1.0,,,,,,,,
"CZK 60,000","CZK 20,000",,717694,2+kk,7/13/2022,3,,,,Fully furnished,,,,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,,,
"CZK 59,250","CZK 19,750",,717599,4+kk,7/9/2022,2,,,90 m²,Fully furnished,,,,,1.0,140.09,527.92,223.64,125.85,37.89,66.77,510.79,1001.31,1180.94,559.23,"Stroupežnického, Prague - Smíchov",50.0710929,14.4032595,,,,,,,,,,,,,
"CZK 21,525","CZK 7,175",,722788,1 bedroom,8/15/2022,-1,,,35 m²,Fully furnished,,,,,,382.14,590.69,160.72,829.35,129.39,795.0,444.92,113.58,578.94,260.21,"Šmilovského, Prague - Vinohrady",50.0708095,14.4422894,,,,,,,,,,1.0,,,
"CZK 13,000","CZK 4,000","CZK 20,000",554005,2+kk,9/1/2022,3,Prefab concrete,,45 m²,Unfurnished,,Personal,G,1.0,1.0,295.91,432.79,298.72,612.71,199.51,213.51,274.96,380.15,630.79,314.0,"Michnova, Prague - Chodov",50.0306828,14.5217282,,,Central,,,,,,Standard,,,,
"CZK 14,500","CZK 4,500","CZK 20,000",582958,2+kk,9/1/2022,3,Brick,,51 m²,Partly,Very good,Personal,C,1.0,1.0,241.92,871.57,34.61,704.83,409.42,829.47,203.7,2069.42,1078.72,158.89,"Sazovická, Prague - Zličín",50.057864,14.282579,Up to 10 years,,Central,1.0,,,,1.0,Standard,1.0,,,
"CZK 17,990","CZK 3,203","CZK 21,193",724697,2+kk,7/8/2022,5,Other,"CZK 21,193",57 m²,Unfurnished,New-build,Personal,B,1.0,1.0,645.22,964.85,875.39,2559.26,685.03,982.52,1070.9,898.54,1849.03,658.2,"Hrašeho, Prague - Čimice",50.13906861111,14.42643305555,,,,1.0,1.0,,1.0,,,,,,
"CZK 17,000","CZK 3,500","CZK 30,000",724696,2 bedroom,8/15/2022,1,Prefab concrete,,60 m²,Unfurnished,Very good,,C,1.0,,272.9,416.54,306.62,252.64,455.91,517.37,197.18,469.08,577.46,342.15,Prague - Háje,50.02985,14.53319,,,Central,,,,,1.0,,,,,
"CZK 7,500",CZK 0,"CZK 15,000",724692,3+1,8/1/2022,5,Prefab concrete,,63 m²,Fully furnished,Very good,Personal,G,1.0,1.0,104.67,745.53,173.45,868.68,402.1,153.89,477.35,366.26,945.52,155.81,Prague - Chodov,50.02711,14.52102,,Complete,Distance,,1.0,,,1.0,,,,,
"CZK 47,340","CZK 15,780",,717682,2+kk,7/9/2022,6,,,69 m²,Fully furnished,,,,,1.0,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,,,,,1.0,1.0,,,,,,,
CZK 1,CZK 800,CZK 1,724123,1 bedroom,6/29/2022,4,Brick,,57 m²,Unfurnished,Under construction,,G,,,261.32,369.9,189.95,760.08,189.22,495.41,255.48,280.96,452.06,238.59,Prague - Vinohrady,50.07363,14.44468,,,,,,,,,,,,,
"CZK 17,000","CZK 2,500","CZK 34,000",724688,3+1,7/25/2022,2,Brick,,55 m²,Partly,Very good,,G,,,303.34,1545.34,910.88,1538.0,894.12,969.56,873.94,1167.13,1353.64,327.98,Prague - Hodkovičky,50.02125,14.41856,,,,1.0,,,,,,,,,
"CZK 14,500","CZK 1,700","CZK 25,000",644343,2+kk,8/1/2022,2,Brick,,53 m²,Partly,Very good,Cooperative,F,1.0,,354.86,1203.0,310.31,1279.99,328.24,423.54,199.87,663.16,161.44,80.67,"Krejčího, Prague - Libeň",50.113661,14.466423,,,,,1.0,,,,,,,,
"CZK 9,500","CZK 2,000","CZK 10,000",724687,Studio,9/1/2022,2,Brick,,30 m²,Unfurnished,Good,,G,,,304.93,1155.23,71.44,1438.31,20.15,445.42,428.89,306.3,538.28,489.15,Prague - Libeň,50.11575,14.47113,,,,,,,,,,,,,
"CZK 6,000","CZK 1,000","CZK 5,000",692180,3+1,9/2/2022,1,Prefab concrete,,65 m²,Fully furnished,Very good,Other,G,,1.0,129.39,654.2,376.46,1487.44,204.23,416.42,217.88,217.88,198.57,263.06,"Brodského, Prague - Chodov",50.0376,14.50418,,,,,1.0,,,,Standard,,,,
"CZK 14,000","CZK 4,500","CZK 14,000",724685,2+kk,8/1/2022,5,Prefab concrete,,57 m²,Partly,Very good,,A,1.0,1.0,216.44,517.64,171.19,880.87,171.5,514.34,280.49,431.8,200.56,80.55,Prague - Stodůlky,50.03687,14.33719,,,,,,,,,,,,,
"CZK 48,000","CZK 16,000",,717684,3+1,8/2/2022,5,,,72 m²,Fully furnished,,,,,1.0,273.55,299.9,80.57,586.7,68.95,312.33,103.27,252.88,792.89,567.68,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,
"CZK 9,500","CZK 3,500","CZK 10,000",724683,Small studio,8/1/2022,2,Brick,,28 m²,Fully furnished,Very good,,G,1.0,1.0,166.58,777.6,98.52,161.07,44.85,143.4,306.37,653.4,383.48,341.21,Prague - Nové Město,50.08129,14.42175,,,,,1.0,,,,,,,,
"CZK 15,900","CZK 5,000","CZK 32,000",720255,2+kk,7/1/2022,1,Brick,,35 m²,Partly,New-build,,A,,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,1.0,,,1.0,,,,,,
"CZK 16,000","CZK 5,000","CZK 33,000",720260,2+kk,7/1/2022,1,Brick,,42 m²,Partly,New-build,,A,,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,1.0,,,1.0,,,,,,
"CZK 14,900","CZK 5,000","CZK 30,000",720261,2+kk,7/1/2022,1,Brick,,45 m²,Partly,New-build,,A,,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,1.0,,1.0,1.0,,,,,,
"CZK 22,500",CZK 0,"CZK 34,000",724112,2 bedroom,10/1/2022,1,Brick,,50 m²,Partly,Very good,,G,1.0,,223.09,740.62,215.3,404.59,207.61,474.03,404.07,276.61,298.27,269.34,Prague - Nusle,50.06368,14.42373,,,,,,,,,,,,,
"CZK 15,000","CZK 3,965","CZK 30,000",670414,2+kk,9/1/2022,4,Brick,,58 m²,Fully furnished,New-build,Personal,B,,1.0,298.92,1555.45,474.48,1216.5,290.41,845.64,667.97,705.02,623.56,481.18,"V Zahradách, Prague - Libeň",50.11494,14.47612,10 to 30 years,,Central,,1.0,,,,,1.0,,,
"CZK 14,900","CZK 5,000","CZK 30,000",720267,Studio,7/1/2022,2,Brick,,35 m²,Partly,New-build,,A,,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,1.0,,,1.0,,,,,,
"CZK 16,000","CZK 5,000","CZK 32,000",720270,Studio,7/1/2022,1,Brick,,42 m²,Partly,New-build,,A,,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,1.0,,,1.0,,,,,,
"CZK 18,000","CZK 3,850","CZK 21,850",314235,2+kk,6/28/2022,2,Brick,,60 m²,Unfurnished,New-build,Personal,,,,603.04,1474.15,1101.83,1604.73,1376.67,1410.76,1637.14,1535.11,1368.6,523.53,"Vidlák, Prague - Hostavice",50.0933097176,14.5630865833,,,,,1.0,,,,,1.0,,,
"CZK 12,000",CZK 750,"CZK 24,000",724672,1 bedroom,7/4/2022,3,Brick,,51 m²,Unfurnished,Very good,,G,1.0,,119.95,1153.11,93.25,151.46,130.57,98.23,217.4,440.03,250.34,312.89,Prague - Žižkov,50.09146,14.47332,,,,,,,,,,,,,
"CZK 16,000","CZK 2,000","CZK 16,000",407391,2 bedroom,8/1/2022,2,Brick,,63 m²,Fully furnished,Very good,Personal,C,,,756.04,645.81,666.88,2935.48,777.9,628.15,1349.07,521.53,2225.26,319.83,"Vehlovická, Prague - Čimice",50.1418764,14.4210868,,,Gas boiler,1.0,1.0,,,,Standard,,,,
"CZK 28,688","CZK 9,562",,723982,Studio,8/24/2022,2,,,40 m²,Fully furnished,,,,,,87.49,353.69,89.13,198.59,58.79,391.02,424.91,274.28,259.74,601.22,"Zborovská, Prague - Smíchov",50.0730353,14.4083714,,,,,1.0,1.0,,,,,,,
"CZK 31,500","CZK 10,500",,717597,1 bedroom,7/9/2022,2,,,30 m²,Fully furnished,,,,,1.0,22.29,463.39,80.9,95.69,72.35,158.42,361.29,435.63,383.68,450.56,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,
"CZK 12,500","CZK 3,500","CZK 25,000",724671,Studio,8/1/2022,3,Low-energy,,34 m²,Fully furnished,New-build,,B,,1.0,518.47,1006.6,256.51,3083.75,240.6,1129.45,1023.85,130.02,2001.81,164.0,Prague - Čakovice,50.15646,14.51509,,,,,1.0,,1.0,,,1.0,,,
"CZK 23,000","CZK 4,000","CZK 23,000",695067,2+kk,2/1/2022,3,Brick,,47 m²,Fully furnished,New-build,Personal,B,,1.0,181.38,538.71,88.67,261.45,6.72,198.21,400.23,362.63,176.46,277.43,"Tusarova, Prague - Holešovice",50.101887608886,14.45268887592,,,,,,,,,,,,,
"CZK 22,000","CZK 4,000","CZK 30,000",724593,3+1,7/10/2022,1,Brick,,78 m²,Unfurnished,Very good,,G,,,275.99,237.57,187.93,147.65,110.52,275.78,212.62,309.08,345.47,403.05,Prague - Smíchov,50.07431,14.40502,,,,,,,,,,,,,
"CZK 79,000","CZK 20,000","CZK 158,000",714217,3+kk,7/1/2022,4,Other,,164 m²,Fully furnished,New-build,Personal,B,1.0,1.0,384.26,1775.9,682.53,228.18,659.39,778.18,602.6,888.16,165.88,617.77,"Ke Dvoru, Prague - Vokovice",50.09653,14.34031,,,Distance,1.0,,1.0,,,Luxurious,,,,
"CZK 16,074","CZK 5,358",,724236,Studio,7/9/2022,3,,,27 m²,Fully furnished,,,,,,356.54,735.0,453.42,353.01,373.67,572.85,1041.11,326.33,1013.94,65.27,"Buštěhradská, Prague - Střešovice",50.0968441,14.3897247,,,,,,,,,,,,,
"CZK 13,990","CZK 2,429","CZK 16,419",724667,2+kk,7/8/2022,7,Prefab concrete,"CZK 16,419",40 m²,Fully furnished,Good,Personal,F,1.0,1.0,90.11,347.99,277.17,355.32,288.14,343.93,183.31,177.43,908.79,427.17,"Novodvorská, Prague - Braník",50.02595305555,14.43094388888,,,,,,,,,,,,,
"CZK 19,000","CZK 4,000","CZK 35,000",724666,2+kk,8/10/2022,2,Brick,,53 m²,Fully furnished,New-build,,G,,,515.72,1592.09,1152.15,1542.36,868.5,1100.81,701.25,621.88,402.37,116.68,Prague - Smíchov,50.07555,14.36079,,,,,,,,1.0,,,,,
"CZK 10,000","CZK 3,000","CZK 13,000",724664,Small studio,7/4/2022,4,Brick,,21 m²,Partly,Very good,,G,,,83.12,107.31,13.27,101.25,33.01,122.39,297.31,407.24,362.9,463.34,Prague - Žižkov,50.08417,14.45159,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",,724540,3+kk,8/8/2022,7,,,85 m²,Fully furnished,,,,,1.0,43.1,275.33,86.81,107.67,29.44,58.04,584.89,359.35,612.41,136.97,"Jičínská, Prague - Žižkov",50.0780714,14.460831,,,,,,,,,,,,,
"CZK 15,000","CZK 4,500","CZK 40,000",690939,2+kk,7/1/2022,8,Prefab concrete,,41 m²,Partly,Very good,Personal,B,,1.0,174.46,172.95,79.71,2502.65,185.1,123.29,374.59,1558.26,1468.67,118.63,"Žukovského, Prague - Ruzyně",50.090668,14.3081756,30 - 50 years,Complete,Distance,1.0,1.0,,,,Standard,,,,
"CZK 21,990","CZK 2,898","CZK 24,888",724661,3+kk,7/8/2022,8,Prefab concrete,"CZK 24,888",75 m²,Partly,Good,Personal,G,1.0,1.0,160.63,558.54,263.99,258.01,134,265.96,153.66,667.55,558.02,251.01,"Přímětická, Prague - Michle",50.04637305555,14.44896111111,,,,,,,,,,,,,
"CZK 29,400","CZK 5,000","CZK 34,400",720415,2+kk,5/30/2022,1,Other,,90 m²,Fully furnished,New-build,,G,,1.0,338.49,1248.67,777.04,957.6,399.57,957.91,1181.0,168.16,888.66,114.86,Prague - Vysočany,50.11566,14.51013,,,,1.0,,,,,,1.0,,,
"CZK 27,000","CZK 6,500","CZK 33,500",724102,4+kk,6/29/2022,1,Brick,,110 m²,Unfurnished,Very good,,F,1.0,,221.91,1454.82,87.21,845.4,294.99,253.45,444.69,138.34,503.18,523.88,Prague - Dejvice,50.10798,14.38969,,,,,,,,,,,,,
"CZK 19,000","CZK 4,700","CZK 30,000",724086,3+1,9/1/2022,3,Prefab concrete,,73 m²,Partly,Very good,,B,,1.0,138.41,1021.31,106.59,654.39,195.46,187.05,495.71,431.15,1738.84,221.68,Prague - Černý Most,50.10596,14.57308,,,,,,,,1.0,,,,,
"CZK 41,625","CZK 13,875",,720848,4+kk,8/1/2022,4,,,112 m²,Fully furnished,,,,,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,1.0,1.0,,,,,,,
"CZK 22,950","CZK 7,650",,720321,Studio,7/29/2022,1,,,30 m²,Fully furnished,,,,,,132.37,501.79,36.37,411.65,20.42,261.97,31.33,216.92,578.69,177.33,"Klimentská, Prague - Nové Město",50.0922767,14.4324355,,,,,,,,,,,,,
"CZK 30,000","CZK 2,600","CZK 60,000",724650,2 bedroom,7/4/2022,4,Brick,,91 m²,Partly,Very good,,G,1.0,1.0,302.0,238.01,247.55,266.19,121.13,325.91,148.52,400.64,944.25,459.99,Prague - Nové Město,50.07634,14.41639,,Complete,,,1.0,,,,Luxurious,,,,
"CZK 19,000","CZK 6,000","CZK 25,000",724647,3+kk,7/4/2022,5,Brick,,49 m²,Partly,Good,,G,1.0,,195.13,677.09,272.52,491.63,193.45,240.55,250.1,211.03,546.19,371.92,Prague - Břevnov,50.08551,14.37249,,,,,,1.0,,1.0,,,,,
"CZK 16,000",CZK 0,"CZK 16,000",550011,4+1,7/5/2019,19,Low-energy,,26 m²,Fully furnished,New-build,Cooperative,A,1.0,1.0,110.29,517.45,40.44,41.35,24.43,76.41,292.45,181.86,1302.89,204.35,"Petržílkova, Prague - Stodůlky",50.050706268831,14.348084754523,Up to 10 years,Complete,Distance,1.0,1.0,1.0,1.0,1.0,Luxurious,1.0,,,
"CZK 18,000",CZK 700,"CZK 18,700",724644,2 bedroom,7/4/2022,3,Brick,,70 m²,Unfurnished,Good,,G,,,177.41,1162.87,784.53,1784.42,248.45,1289.01,812.14,1209.67,507.67,576.45,Prague - Hostivař,50.05548,14.53938,,,,,,,,,,,,,
"CZK 36,000","CZK 6,000","CZK 42,000",724642,2 bedroom,7/4/2022,3,Brick,,72 m²,Unfurnished,Very good,,G,,1.0,190.62,241.74,3.79,258.03,141.41,283.34,114.97,303.2,637.85,149.7,Prague - Vinohrady,50.07889,14.4503,,,,,1.0,,,,,1.0,,,
"CZK 32,000","CZK 6,000","CZK 38,000",724619,2+kk,7/4/2022,4,Brick,,83 m²,Unfurnished,Very good,,G,,1.0,344.33,616.92,69.31,274.61,44.69,137.75,322.3,866.01,188.27,454.99,Prague - Karlín,50.0938,14.45505,,,,,,,,,,,,,
"CZK 30,000","CZK 7,000","CZK 37,000",724616,3+kk,7/4/2022,4,Brick,,113 m²,Unfurnished,Good,,G,,,134.84,389.72,10.81,375.7,11.2,30.53,358.82,90.64,282.58,389.14,Prague - Vinohrady,50.07711,14.44353,,,,,,,,,,,,,
"CZK 24,000","CZK 8,000",,721726,Studio,8/14/2022,4,,,20 m²,Fully furnished,,,,,1.0,135.73,343.51,169.52,240.21,114.43,5.65,313.21,791.73,231.47,538.72,"Washingtonova, Prague - Nové Město",50.0805511,14.4309281,,,,,,,,,,,,,
"CZK 17,925","CZK 5,975",,722005,Studio,8/11/2022,2,,,33 m²,Fully furnished,,,,,1.0,101.18,101.45,145.17,163.35,18.04,264.85,443.76,1400.9,420.74,148.07,"Sokolovská, Prague - Karlín",50.0933405,14.449225,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,719138,2+kk,7/17/2022,4,,,60 m²,Fully furnished,,,,,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",,724608,2 bedroom,8/4/2022,9,,,53 m²,Fully furnished,,,,,1.0,125.93,351.52,458.39,239.89,349.44,469.18,335.68,124.41,1424.09,330.78,"Arabská, Prague - Vokovice",50.0992269,14.3632307,,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",,717697,Studio,7/15/2022,12,,,25 m²,Fully furnished,,,,,1.0,189.82,256.26,203.59,195.12,172.26,262.02,433.07,416.1,435.58,299.38,"Freyova, Prague - Vysočany",50.108944,14.501028,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 15,000",655889,2+kk,8/1/2022,5,Prefab concrete,,41 m²,Partly,Very good,Personal,G,,1.0,115.91,449.01,165.69,364.84,146.49,417.57,628.96,336.44,397.27,79.79,"Kovařovicova, Prague - Krč",50.04237,14.43795,,,,,,,,1.0,,,,,
"CZK 15,000","CZK 3,010","CZK 15,000",724554,Studio,8/1/2022,5,Prefab concrete,,38 m²,Fully furnished,Very good,,G,,1.0,315.67,988.1,523.0,748.54,344.96,791.15,693.83,329.38,477.17,307.51,Prague - Žižkov,50.08858,14.48141,Up to 10 years,,,,1.0,,,,,,,,
"CZK 15,500","CZK 8,000",CZK 0,724582,4+kk,7/14/2022,9,Prefab concrete,,63 m²,Partly,Very good,,C,1.0,1.0,253.59,643.72,53.28,280.84,314.16,375.62,390.76,203.87,435.71,207.14,Prague - Háje,50.02864,14.52961,,,,,,,,1.0,,1.0,,,
"CZK 21,000","CZK 6,000","CZK 30,000",483897,3+kk,8/1/2022,2,Brick,,92 m²,Fully furnished,Very good,Personal,,1.0,,137.91,1008.34,405.32,637.44,539.18,1087.18,1284.46,996.81,1069.33,273.85,"Uzoučká, Prague - Suchdol",50.13279,14.36972,Up to 10 years,,Gas boiler,1.0,,,,,Standard,,,,
"CZK 8,500","CZK 5,000",CZK 0,523647,Studio,7/14/2022,5,Prefab concrete,,31 m²,Partly,,Personal,C,1.0,1.0,112.67,622.4,409.67,1455.64,237.43,444.99,181.86,186.08,181.86,314.31,"Brodského, Prague - Chodov",50.0375938,14.5041351,,Complete,Central,,,,,,,,,,
"CZK 16,000","CZK 5,000","CZK 32,000",617958,3+1,7/1/2022,2,Prefab concrete,,75 m²,Unfurnished,Good,Personal,,,1.0,213.98,700.66,231.78,676.94,221.26,684.78,108.59,557.51,102.32,86.41,"Drimlova, Prague - Stodůlky",50.039086,14.337624,10 to 30 years,,Central,,1.0,,,,,,,,
"CZK 30,000","CZK 8,000","CZK 30,000",606434,3+1,9/12/2022,2,Brick,,106 m²,Partly,Good,Personal,G,,1.0,278.74,223.11,343.94,342.19,68.45,417.84,193.38,839.03,1058.67,308.53,"Janáčkovo Nábřeží, Prague - Smíchov",50.075681,14.408523,,Complete,Central,,1.0,,,,Standard,,,,
"CZK 18,000","CZK 5,500","CZK 23,500",724573,2+kk,7/3/2022,4,Brick,,55 m²,Partly,Very good,,G,1.0,1.0,107.33,379.42,91.24,282.93,161.43,388.98,731.08,257.07,502.24,175.6,Prague - Dejvice,50.10023,14.39253,,,,1.0,,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 40,000",724572,Studio,7/8/2022,4,Brick,,44 m²,Fully furnished,New-build,Personal,C,,1.0,145.74,122.09,199.62,338.5,304.59,445.73,360.63,454.11,826.39,399.99,"Pod Klamovkou, Prague - Košíře",50.0693726,14.37604275,,Complete,Central,,,,1.0,,Luxurious,,,,
"CZK 22,000","CZK 1,900","CZK 44,000",724571,2+kk,8/1/2022,3,Brick,,45 m²,Partly,Very good,,G,,,185.36,165.49,252.08,2475.46,225.26,207.32,392.19,267.6,1105.89,136.41,Prague - Braník,50.03559,14.41069,,Complete,,,,,,,Luxurious,,,,
"CZK 27,000","CZK 8,400","CZK 35,400",400077,3+1,7/1/2022,2,Brick,,109 m²,Partly,,Personal,C,,1.0,217.79,597.56,265.89,683.05,336.87,315.43,400.63,752.22,652.55,483.58,"Talichova, Prague - Břevnov",50.0879235,14.3636788,,,Central,,1.0,1.0,,,,,,,
"CZK 25,000","CZK 6,500","CZK 25,000",443057,3+kk,8/1/2022,5,Brick,,68 m²,Fully furnished,,Personal,,1.0,1.0,322.53,458.92,300.29,485.87,265.43,360.84,370.67,553.6,711.95,373.27,"Radlická, Prague - Smíchov",50.066358,14.4027444,,,Central,,,,,,,,,,
"CZK 17,500","CZK 4,000","CZK 21,500",724567,2+kk,7/3/2022,3,Low-energy,,43 m²,Fully furnished,Very good,Personal,C,,1.0,83.09,278.62,205.88,378.41,5.96,503.36,395.91,397.31,304.34,390.61,Prague - Libeň,50.10418,14.47862,10 to 30 years,Complete,Central,,,,,,Standard,,,,
"CZK 15,000","CZK 2,000","CZK 17,000",480743,Studio,7/1/2022,4,Brick,,43 m²,Unfurnished,New-build,Personal,,,1.0,204.9,251.55,125.07,364.98,282.63,259.02,847.82,736.32,692.68,223.49,"Soukalova, Prague - Modřany",50.0038161,14.4155874,Up to 10 years,,Distance,1.0,1.0,,1.0,,Standard,1.0,,,
"CZK 14,500","CZK 5,000","CZK 40,000",537244,2 bedroom,8/1/2022,8,Prefab concrete,,51 m²,Partly,,Cooperative,C,1.0,1.0,525.24,735.54,615.0,595.97,506.06,625.79,439.42,413.37,1312.64,101.54,"Tobrucká, Prague - Vokovice",50.1016601,14.3597364,30 - 50 years,Exterior,Central,1.0,,,,,,,,,
"CZK 13,000","CZK 6,000","CZK 18,000",724564,Studio,7/4/2022,4,Brick,,30 m²,Fully furnished,Very good,,G,1.0,1.0,173.11,480.68,157.09,182.99,54.28,49.65,571.37,625.94,121.51,764.35,Prague - Karlín,50.09218,14.43936,,,,,,,,,,,,,
"CZK 17,000","CZK 4,500","CZK 35,000",197576,2+kk,8/1/2021,3,Brick,,56 m²,Fully furnished,,Personal,,1.0,1.0,77.17,239.92,106.3,82.01,140.44,135.38,497.16,699.8,348.57,238.06,"Bratří Dohalských, Prague - Vysočany",50.1108029,14.4995092,10 to 30 years,,Distance,,,,,,Standard,,,,
"CZK 24,000","CZK 5,000","CZK 58,000",609333,2+kk,8/1/2022,3,Brick,,66 m²,Fully furnished,New-build,Personal,G,,1.0,70.63,316.15,440.2,605.53,386.45,304.32,500.65,477.82,389.93,167.72,"Olšanská, Prague - Žižkov",50.083025,14.465472,Up to 10 years,,Central,1.0,,,,,Luxurious,1.0,,,
"CZK 15,000","CZK 2,500","CZK 15,000",723903,2+kk,8/1/2022,1,Prefab concrete,,45 m²,Fully furnished,Good,,G,1.0,1.0,75.49,951.99,829.18,2227.48,373.16,438.71,661.21,1599.7,1462.97,464.39,Prague - Krč,50.01986,14.46292,,Bathroom unit,Central,1.0,,,,,Standard,,,,
"CZK 19,500","CZK 2,300","CZK 40,000",718728,2+kk,5/16/2022,4,Brick,,73 m²,Partly,Very good,Personal,C,1.0,1.0,229.47,2023.05,1162.12,1925.67,345.81,1458.48,876.34,1467.0,1212.04,798.47,"Vorařská, Prague - Modřany",50.01368,14.40018,,,,,,,,,,1.0,,,
"CZK 15,000","CZK 4,500","CZK 30,000",724548,1 bedroom,8/1/2022,1,Prefab concrete,,36 m²,Fully furnished,Good,,G,1.0,1.0,218.5,978.72,232.06,501.62,518.54,504.29,182.89,264.21,341.09,424.32,Prague - Letňany,50.13374,14.50727,,,,,,,,1.0,,,,,
"CZK 19,000","CZK 2,000","CZK 19,000",292712,2 bedroom,8/1/2022,,Low-energy,,50 m²,Partly,Very good,Personal,A,,,103.2,432.16,400.15,340.01,354.51,494.07,755.28,761.41,591.42,593.43,"Při hranici, Prague - Sedlec",50.1354932,14.3835595,Over 50 years,Complete,Geothermal,1.0,,,,,Standard,,,,
"CZK 25,000","CZK 4,900","CZK 50,000",722371,2+kk,6/30/2022,,Brick,,52 m²,Fully furnished,Very good,Personal,G,,,257.94,176.82,349.18,313.01,110.88,385.78,174.23,537.57,525.12,350.31,Prague - Smíchov,50.07558,14.40817,,,,,,,,,Luxurious,,,,
"CZK 26,000","CZK 8,123","CZK 52,000",712288,3+1,7/1/2022,2,Prefab concrete,,92 m²,Fully furnished,Very good,Personal,G,,1.0,337.8,318.61,296.95,240.45,420.31,790.8,511.3,195.73,286.08,670.29,"Kazašská, Prague - Vršovice",50.06747,14.46649,,,Distance,,1.0,,,,Standard,,,,
"CZK 21,500","CZK 1,000","CZK 21,500",563355,3+kk,8/1/2022,3,Brick,,70 m²,Fully furnished,Very good,Personal,B,,,339.61,435.48,193.82,449.25,167.41,389.77,241.36,360.95,701.29,294.02,"Herálecká II, Prague - Krč",50.0449923,14.4438755,Up to 10 years,Interior,Distance,,,,,,Standard,,,,
"CZK 12,800","CZK 3,062",CZK 0,197481,1 bedroom,6/28/2022,4,Brick,,48 m²,Partly,Good,Personal,,1.0,,219.92,522.99,254.42,318.08,291.14,512.99,288.04,869.5,254.51,133.4,"Podolská, Prague - Podolí",50.0554479,14.4208775,,,Gas boiler,,,,,,Standard,,,,
"CZK 22,000","CZK 6,000","CZK 44,000",724509,4+kk,8/15/2022,4,Brick,,93 m²,Unfurnished,New-build,,G,,1.0,285.55,1540.52,258.87,2074.87,630.11,994.4,1705.71,2472.56,600.83,95.63,Prague - Hostavice,50.08567,14.56351,,,,1.0,,1.0,1.0,,,1.0,,,
"CZK 12,800","CZK 3,300","CZK 25,000",724502,Studio,9/1/2022,5,Brick,,41 m²,Partly,New-build,,G,1.0,1.0,353.71,1587.0,421.75,1358.43,500.97,1523.01,1264.99,1471.9,593.16,136.37,Prague - Vysočany,50.11201,14.51458,,,,1.0,,,1.0,1.0,,1.0,,,
"CZK 21,500","CZK 2,500",CZK 1,554807,3+1,7/1/2021,2,Brick,,76 m²,Fully furnished,Very good,Personal,C,1.0,1.0,175.53,470.22,65.07,126.0,78.48,162.78,394.51,655.62,805.59,288.86,Prague - Krč,50.0465752,14.4461258,Up to 10 years,Complete,Distance,1.0,,,,,Luxurious,,,,
"CZK 16,000","CZK 6,000","CZK 32,000",724498,2+kk,7/2/2022,1,Prefab concrete,,43 m²,Fully furnished,Very good,,B,,1.0,332.2,1373.23,149.76,1714.34,583.84,525.05,243.66,839.9,1759.19,192.97,Prague - Chodov,50.02252,14.51303,,,,,,,,,,,,,
"CZK 18,824","CZK 2,500","CZK 40,000",723888,2 bedroom,6/27/2022,4,Brick,,58 m²,Partly,Good,,C,,1.0,270.6,232.91,79.3,455.68,144.54,154.01,180.96,329.69,570.73,144.67,Prague - Holešovice,50.10083,14.44664,,,,,1.0,,,,,,,,
