Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Condition,Ownership,EPC,Heating,Terrace,Cellar,New-build,Parking,Garage,Reconstruction,Sklep 2 m²,Balcony,Lodžie 7.5 m²,Designe,Balkón 6 m²,Sklep 34 m²,Sklep 4 m²,Domácí mazlíčci vítáni,Balkón 33 m²,Balkón 4 m²,Balkón 9 m²,Enclosed balcony,Balkón 60 m²,Balkón 10 m²,Sklep 10 m²,Balkón 2 m²,Sklep 5 m²,Balkón 8 m²,Terasa 20 m²,Sklep 6 m²,Administrative fee,Terasa 12 m²,Balkón 3.1 m²,Balkón 32 m²,Terasa 32 m²,Terasa 19 m²,Balkón 7 m²,Sklep 20 m²,Sklep 3 m²,Sklep 1 m²,Terasa 40 m²,Lodžie 8 m²,Balkón 3 m²,Lodžie 1 m²,Balkón 5 m²,Terasa 15 m²,Water,Sewage,Plot space,Sklep 44 m²,Terasa 10 m²,Sklep 8 m²
"CZK 16,990","CZK 3,000",744144,2+kk,10/15/2022,48 m²,Unfurnished,7,1.0,305.21,227.91,189.06,298.04,121.81,272.32,739.62,895.96,1292.37,399.97,Prague - Troja,50.12662,14.41972,"CZK 35,000",Brick,10 to 30 years,Very good,,C,Central,,,,1.0,1.0,Interior,,,,Luxurious,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,750","CZK 8,250",744147,1 bedroom,12/4/2022,33 m²,Fully furnished,2,,135.92,324.33,21.29,391.1,0.72,128.36,277.99,286.71,365.94,338.43,"Sokolovská, Prague - Karlín",50.0922065,14.4436651,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,800",743195,2+kk,1/2/2023,42 m²,Fully furnished,2,,279.88,800.08,359.98,458.37,378.53,519.4,340.49,160.32,557.25,133.68,"Jilmová, Prague - Žižkov",50.08837,14.47425,"CZK 12,000",Brick,,Good,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,600",CZK 950,744142,2 bedroom,10/5/2022,60 m²,Partly,3,1.0,356.99,178.69,32.08,205.62,146.95,199.47,272.71,290.15,338.15,567.85,"Víta Nejedlého, Prague - Žižkov",50.08332,14.44936,"CZK 17,600",Brick,,Good,,C,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 3,500",532024,2+kk,10/7/2022,48 m²,Fully furnished,4,1.0,301.76,257.59,88.14,239.74,177.19,278.38,388.47,557.52,605.52,414.76,Prague - Žižkov,50.0827807,14.4523064,"CZK 20,000",Brick,,Very good,Personal,,,,,,,,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,500",225253,Studio,10/1/2022,38 m²,Partly,4,1.0,213.07,574.88,306.6,375.78,176.72,383.36,510.56,649.19,775.35,192.42,"U Slovanky, Prague - Libeň",50.1252431145,14.4691799952,"CZK 27,000",Brick,Up to 10 years,New-build,Personal,,Distance,,1.0,1.0,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000",CZK 0,744140,Small studio,10/29/2022,27 m²,Partly,1,,157.59,1219.81,238.32,1258.19,573.1,243.32,1459.51,691.78,1205.92,122.36,"Brtnická, Prague - Michle",50.05778,14.46996,"CZK 12,000",Brick,,Very good,,G,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 3,000",715217,2+kk,5/1/2022,42 m²,Partly,1,,124.02,1124.46,421.65,753.55,655.3,1203.3,1300.79,1112.93,1125.9,259.97,"Špačkova, Prague - Suchdol",50.13348,14.36849,"CZK 22,000",Brick,,Very good,Personal,B,,,,,,1.0,,,1.0,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,000",743189,Studio,9/30/2022,27 m²,Fully furnished,3,1.0,640.2,2301.2,658.92,2161.71,735.95,2237.09,1279.01,3846.78,3469.94,28.65,Prague - Újezd u Průhonic,50.00866,14.54417,"CZK 30,000",Brick,,New-build,,B,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 6,000",743187,Studio,10/25/2022,25 m²,Fully furnished,12,1.0,228.88,257.2,204.55,166.76,173.2,262.96,328.04,408.55,436.47,292.09,"Freyova, Prague - Vysočany",50.108944,14.501028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,750","CZK 6,250",742817,3+1,11/24/2022,90 m²,Fully furnished,2,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,500","CZK 3,500",717741,Studio,10/1/2022,39 m²,Fully furnished,1,1.0,342.59,1326.85,726.69,2995.06,961.35,668.42,1372.96,2007.16,967.91,938.91,"Rýnská, Prague - Čakovice",50.1474651,14.5341012,"CZK 25,000",Low-energy,,Very good,Personal,B,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,700",CZK 0,447510,2 bedroom,10/9/2022,54 m²,Fully furnished,6,1.0,104.3,541.85,34.03,570.27,117.64,709.31,250.82,234.79,246.24,197.41,"Francouzská, Prague - Vinohrady",50.0719242,14.4456501,"CZK 8,000",Brick,,,Other,B,Electric boiler,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,493","CZK 9,497",742401,2+kk,10/31/2022,53 m²,Fully furnished,3,1.0,202.93,1083.69,84.41,522.08,140.61,459.37,143.09,392.14,304.14,134.72,"Drahobejlova, Prague - Libeň",50.1057951,14.4902938,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,453","CZK 3,817",743661,4+kk,11/21/2022,60 m²,Fully furnished,-1,,128.07,590.39,54.39,441.02,27.54,567.88,151.31,255.51,710.79,142.74,"Masarykovo nábřeží, Prague - Nové Město",50.0778219,14.4145055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,000","CZK 5,000",569318,2 bedroom,11/1/2022,61 m²,Fully furnished,2,1.0,252.37,189.31,99.18,212.73,108.58,57.88,308.83,463.59,1208.04,275.91,"Kladenská, Prague - Vokovice",50.0963542,14.3590518,"CZK 62,000",Brick,,Very good,Personal,C,Distance,,1.0,,1.0,,Complete,,,,Luxurious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,400","CZK 3,500",744132,Studio,10/5/2022,34 m²,Fully furnished,4,1.0,154.39,800.04,407.06,612.03,531.66,314.98,462.24,471.14,1140.72,380.22,"Hornoměcholupská, Prague - Horní Měcholupy",50.04012,14.56724,"CZK 16,900",Brick,,Very good,,C,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,990","CZK 2,531",744124,2 bedroom,10/9/2022,56 m²,Unfurnished,3,1.0,205.14,355.16,175.35,269.38,178.82,433.61,137.61,259.19,777.5,248.13,"Vladivostocká, Prague - Vršovice",50.06899416666,14.47283888888,"CZK 20,521",Brick,,Very good,Personal,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CZK 20,521",,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 4,000",742395,2 bedroom,9/26/2022,53 m²,Fully furnished,4,,279.96,422.86,311.37,313.72,203.31,288.46,388.89,314.85,867.51,28.08,Prague - Strašnice,50.07986,14.49758,"CZK 38,000",Prefab concrete,,Very good,,A,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,783",CZK 700,744117,1 bedroom,10/5/2022,40 m²,Partly,2,,161.54,1057.24,132.77,925.83,322.62,816.45,897.65,310.85,817.62,111.99,"Velvarská, Prague - Dejvice",50.09833,14.37579,"CZK 24,000",Brick,,Very good,,G,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 2,000",653744,2+kk,11/7/2022,65 m²,Partly,,,210.07,568.54,107.05,234.96,7.26,252.28,249.36,373.69,199.53,349.23,"Bílkova, Prague - Staré Město",50.09109,14.42169,"CZK 27,000",Brick,,Very good,Personal,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,438","CZK 13,812",732123,Studio,11/1/2022,26 m²,Fully furnished,2,,229.1,530.05,122.61,223.26,36.43,222.12,280.75,471.08,466.92,408.11,"Příčná, Prague - Nové Město",50.077834,14.422878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,500","CZK 8,500",732231,2+kk,11/2/2022,48 m²,Fully furnished,3,1.0,188.32,492.36,64.31,169.76,16.44,202.35,307.51,551.4,544.96,488.43,"Řeznická, Prague - Nové Město",50.0781758,14.4220203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",731156,2+kk,11/25/2022,49 m²,Fully furnished,2,1.0,84.02,732.97,86.86,659.07,276.51,744,408.19,306.62,634.43,198.98,"Na Míčánkách, Prague - Vršovice",50.0713305,14.4638794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,250","CZK 5,750",740359,3+1,11/7/2022,90 m²,Fully furnished,5,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",742166,Studio,10/10/2022,30 m²,Fully furnished,3,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 6,000",627716,3+kk,1/2/2023,77 m²,Fully furnished,4,1.0,458.21,1194.95,581.92,1176.5,744.45,831.13,1134.24,1188.9,989.97,145.2,"Nepelova, Prague - Hloubětín",50.106263,14.523929,"CZK 35,000",Brick,,Very good,Personal,G,Central,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 2,400",698535,Studio,7/1/2022,30 m²,Fully furnished,2,1.0,297.87,147.25,573.29,1497.54,55.44,856.83,652.11,201.35,235.95,80.18,"Bukolská, Prague - Bohnice",50.13068,14.43328,"CZK 12,000",Prefab concrete,,Good,Personal,G,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,600","CZK 2,000",59541,2+kk,10/4/2022,45 m²,Partly,4,,315.06,1330.08,233.97,715.47,262.31,511.72,574.69,605.48,711.67,312.25,"M.J. Lermontova, Prague - Bubeneč",50.1098916,14.3970292,"CZK 30,000",Brick,,Very good,Personal,,Electric boiler,1.0,,,,,Complete,,1.0,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,050","CZK 7,350",734261,3+1,11/7/2022,35 m²,Fully furnished,-1,1.0,36.05,792.81,20.0,597.08,172.08,638.36,366.32,329.81,486.26,346.96,"Dvacátého osmého pluku, Prague - Vršovice",50.0707338,14.4627954,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,213","CZK 6,737",741181,Studio,10/23/2022,40 m²,Fully furnished,2,1.0,125.08,1820.88,983.56,1579.74,350.48,1227.39,675.2,1288.54,1305.39,597.33,"Vrátnická, Prague - Modřany",50.0124281,14.4009203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 59,250","CZK 19,750",717599,4+kk,10/10/2022,90 m²,Fully furnished,2,1.0,140.09,527.92,223.64,125.85,37.89,66.77,510.79,1001.31,1180.94,559.23,"Stroupežnického, Prague - Smíchov",50.0710929,14.4032595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 63,413","CZK 21,137",732321,3+kk,11/17/2022,62 m²,Fully furnished,3,1.0,2.22,191.43,20.53,48.07,1.19,48.35,128.16,305.9,208.92,259.31,"Dlouhá, Prague - Staré Město",50.0907943,14.427063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,875","CZK 8,625",732113,Studio,10/10/2022,30 m²,Fully furnished,3,1.0,258.66,685.78,233.92,407.82,154.16,415.37,547.3,506.41,132.73,464.34,"V Háji, Prague - Holešovice",50.1013638,14.4546402,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,500","CZK 8,500",629329,2+kk,11/1/2022,62 m²,,2,1.0,163.13,718.6,183.86,204.76,153.56,496.97,771.71,878.75,478.73,244.81,"Kališnická, Prague - Žižkov",50.089741,14.462408,"CZK 33,000",Brick,,Very good,Personal,B,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 5,000",493336,2+kk,10/15/2022,70 m²,Unfurnished,2,1.0,288.3,901.28,80.99,734.55,439.13,859.19,233.42,2099.13,1108.43,151.4,"Sazovická, Prague - Zličín",50.0580475,14.282181,"CZK 23,000",Brick,10 to 30 years,,Personal,B,Central,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 1,000",744094,3+kk,10/5/2022,76 m²,Partly,4,,78.43,192.12,24.37,509.03,158.11,260.35,168.67,365.14,523.49,129.82,"U Nikolajky, Prague - Smíchov",50.06728,14.3997,"CZK 38,000",Brick,,Good,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 5,000",744088,3+kk,10/5/2022,68 m²,Partly,1,,204.14,814.58,199.39,383.89,106.43,571.1,358.65,368.21,379.65,360.78,"Sevastopolská, Prague - Vršovice",50.07088,14.44827,"CZK 27,000",Brick,,New-build,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,500","CZK 3,400",512456,Studio,11/1/2022,27 m²,Fully furnished,10,1.0,151.8,1217.53,275.75,1303.51,664.47,294.93,1504.83,699.73,1136.74,42.01,"V Dolině, Prague - Michle",50.0579892,14.4684243,"CZK 10,000",Brick,30 - 50 years,Very good,Cooperative,,Distance,,1.0,,,,,,,,Standard,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,625","CZK 13,875",720848,4+kk,10/10/2022,112 m²,Fully furnished,4,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,085","CZK 10,695",730431,3+1,11/1/2022,111 m²,Fully furnished,1,,208.61,131.46,936.81,2564.81,336.74,613.32,243.84,2102.93,1889.94,338.05,"K Zámku, Prague - Dolní Počernice",50.0890765,14.5799076,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,756","CZK 13,919",728695,4+1,10/10/2022,102 m²,Fully furnished,2,,183.27,1023.84,165.5,746.11,195.16,730.27,819.74,259.7,600.66,303.35,"Xaveriova, Prague - Smíchov",50.0626569,14.3913498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",740295,2+kk,11/11/2022,60 m²,Fully furnished,4,1.0,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,900","CZK 5,000",720255,2+kk,7/1/2022,35 m²,Partly,1,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,"CZK 32,000",Brick,,New-build,,A,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,900","CZK 5,000",720261,2+kk,7/1/2022,45 m²,Partly,1,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,"CZK 30,000",Brick,,New-build,,A,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,900","CZK 5,000",720267,Studio,7/1/2022,35 m²,Partly,2,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,"CZK 30,000",Brick,,New-build,,A,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 5,000",720270,Studio,7/1/2022,42 m²,Partly,1,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,"CZK 32,000",Brick,,New-build,,A,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,800","CZK 3,500",709958,2+kk,10/10/2022,45 m²,Partly,4,1.0,189.88,1141.56,308.66,1149.91,649.64,1094.38,666.58,1169.78,812.35,335.76,"Václava Trojana, Prague - Uhříněves",50.03221,14.61024,"CZK 30,000",Brick,Up to 10 years,New-build,Personal,C,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,000",604280,Studio,11/1/2022,27 m²,Partly,2,1.0,108.89,544.51,122.94,471.14,1.83,582.33,562.77,320.97,141.46,248.87,"Přípotoční, Prague - Vršovice",50.066052,14.460206,"CZK 14,000",Brick,Up to 10 years,Very good,Personal,D,Electric boiler,,1.0,,,,Complete,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 6,000",744067,2 bedroom,10/5/2022,48 m²,Unfurnished,3,,301.14,415.57,235.62,714.42,162.46,541.09,209.81,235.29,406.4,192.93,"Lužická, Prague - Vinohrady",50.07364,14.44532,"CZK 20,000",Brick,,Very good,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 63,000","CZK 21,000",735517,3+kk,11/7/2022,110 m²,Fully furnished,6,1.0,30.08,409.78,41.21,139.22,4.79,323.92,155.78,264.84,623.64,381.72,"Myslíkova, Prague - Nové Město",50.0781479,14.4179311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 5,000",743003,3+kk,9/29/2022,88 m²,Fully furnished,2,1.0,158.28,712.58,223.34,1412.86,555.35,811.32,716.09,629.4,410.19,530.6,"Vřesová, Prague - Troja",50.12648,14.43461,"CZK 21,000",Brick,,Very good,,G,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 2,850",477061,2+kk,12/1/2022,44 m²,Fully furnished,1,1.0,139.83,463.14,79.41,491.8,234.52,483.97,211.17,364.86,652.51,104.0,Prague - Stodůlky,50.0444059,14.3367301,"CZK 30,000",Prefab concrete,,Very good,Personal,E,Central,,1.0,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,000","CZK 2,000",744056,4+1,10/31/2022,150 m²,Partly,4,1.0,66.31,649.79,32.0,36.78,72.48,59.27,238.53,707.48,526.44,413.15,"Jungmannova, Prague - Nové Město",50.07979,14.42214,"CZK 11,000",Brick,,Very good,,G,Central,,,,,,Complete,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,900","CZK 1,500",451436,Studio,11/1/2022,26 m²,Partly,5,,215.27,586.31,164.28,470.7,188.5,302.61,110.42,688.27,172.95,443.5,"Umělecká, Prague - Holešovice",50.1026409,14.4272798,"CZK 24,800",Brick,,Very good,Personal,,Electric boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 4,500",559078,2+kk,11/1/2022,53 m²,Fully furnished,3,1.0,167.96,387.24,108.24,130.89,117.45,130.66,430.73,593.65,641.51,509.31,"Čestmírova, Prague - Nusle",50.06416,14.44328,"CZK 27,500",Brick,,,Personal,G,Gas boiler,,,,1.0,,Interior,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,500","CZK 3,500",671365,1 bedroom,11/1/2022,26 m²,Fully furnished,4,1.0,159.06,1020.66,109.87,956.72,72.15,101.5,573.99,480.05,1122.95,168.69,Prague - Košíře,50.0711777,14.3890688,"CZK 20,000",Brick,,Very good,Personal,G,,,1.0,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 3,200",743114,2+kk,10/10/2022,50 m²,Partly,4,1.0,117.51,380.97,302.58,383.76,82.81,369.64,488.73,242.1,360.59,250.71,Prague - Libeň,50.10517,14.4779,"CZK 44,000",Low-energy,,New-build,,B,,1.0,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 2,500",551499,2+kk,11/1/2022,45 m²,Partly,4,,351.5,954.51,652.46,1168.2,624.44,604.32,856.61,629.23,422.46,45.45,Prague - Kobylisy,50.1277273,14.4396424,"CZK 20,000",Prefab concrete,10 to 30 years,Very good,Personal,C,Distance,,1.0,,,,Complete,,,,Luxurious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 3,000",744046,Studio,10/5/2022,41 m²,Fully furnished,4,1.0,93.83,1372.32,143.57,1013.44,64.96,581.86,361.47,676.19,461.93,172.31,"Ve Vrchu, Prague - Libeň",50.11375,14.47328,"CZK 31,000",Brick,,New-build,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,500",552726,Studio,11/1/2022,43 m²,Partly,2,1.0,359.24,992.0,229.11,919.39,623.97,1044.03,418.26,2283.97,1293.27,220.9,Prague - Zličín,50.057707771529,14.280283233838,"CZK 20,000",Low-energy,Up to 10 years,New-build,Personal,C,Central,,,1.0,1.0,1.0,,,1.0,,Luxurious,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,900","CZK 2,600",352616,2 bedroom,10/5/2022,61 m²,Unfurnished,,,123.16,264.53,26.27,356.04,81.88,240.77,88.66,156.52,335.07,236.52,Prague - Žižkov,50.0854115,14.4543504,CZK 0,Brick,,Good,Personal,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 4,800",645916,2 bedroom,11/1/2022,62 m²,Unfurnished,3,1.0,215.6,393.58,261.7,387.93,204.16,366.75,464.93,373.44,345.06,591.52,"Vršovická, Prague - Vršovice",50.066411,14.442794,"CZK 40,000",Brick,,New-build,Personal,G,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 7,340",743094,3+1,10/1/2022,73 m²,Partly,7,1.0,176.42,782.89,192.75,435.63,312.52,514.79,295.82,281.24,574.88,189.16,"Stříbrského, Prague - Háje",50.02762,14.52985,"CZK 25,000",Prefab concrete,,Very good,,G,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,500","CZK 5,300",744020,2 bedroom,10/5/2022,64 m²,Partly,3,,149.81,450.32,287.68,391.91,293.95,1425.98,237.88,179.65,1007.1,129.88,"Měchenická, Prague - Záběhlice",50.04909,14.48446,"CZK 30,000",Brick,30 - 50 years,Very good,,B,Central,,,,,,,,,,Standard,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,900","CZK 6,700",743752,4+1,10/4/2022,75 m²,Unfurnished,8,1.0,23.15,373.79,226.35,315.38,235.54,1336.94,244.87,514.87,1076.56,517.49,Prague - Záběhlice,50.04815,14.49058,"CZK 21,900",Brick,,Very good,Personal,G,Central,,1.0,,,,Interior,,,,Standard,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,000","CZK 3,500",557594,2 bedroom,10/7/2022,45 m²,Fully furnished,1,1.0,182.79,383.87,241.78,503.3,81.98,576.28,220.17,263.27,676.93,796.52,"Londýnská, Prague - Vinohrady",50.0704231,14.4355191,"CZK 30,000",Brick,Up to 10 years,,Personal,,,1.0,,,,,Complete,,,,Luxurious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 3,500",743382,2+kk,10/2/2022,44 m²,Fully furnished,1,,184.56,297.58,183.88,426.14,147.84,395.52,90.85,276.69,135.44,117.35,"náměstí Jiřího z Lobkovic, Prague - Vinohrady",50.07674,14.46612,"CZK 25,000",Brick,,Very good,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 4,000",695002,2+kk,11/1/2022,65 m²,Fully furnished,5,1.0,202.41,455.72,81.78,254.56,0.16,261.41,393.34,352.45,183.34,310.02,"Tusarova, Prague - Holešovice",50.101840109189,14.452761226864,"CZK 29,000",Brick,,New-build,Personal,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,000",736226,Studio,10/1/2022,36 m²,Partly,3,,192.53,456.82,119.89,338.08,19.64,343.32,376.45,304.56,471.23,84.5,Prague - Libeň,50.10628,14.47564,"CZK 36,000",Brick,,Good,Personal,G,,,1.0,,,,Complete,,,,Standard,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,000",CZK 800,743998,1 bedroom,10/25/2022,43 m²,Unfurnished,2,,241.72,136.32,174.51,245.55,157.14,282.58,71.71,411.47,99.84,264.41,Prague - Strašnice,50.07545,14.49272,"CZK 22,000",Brick,,Good,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
