Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Terrace,Cellar,Balcony,New-build,Parking,Ownership,Heating,Designe,Garage,Age,Reconstruction,"You will rent this apartment for approximately CZK 18,038 CZK","You will rent this apartment for approximately CZK 20,978 CZK","You will rent this apartment for approximately CZK 13,021 CZK","You will rent this apartment for approximately CZK 14,785 CZK","You will rent this apartment for approximately CZK 15,067 CZK","You will rent this apartment for approximately CZK 19,842 CZK","You will rent this apartment for approximately CZK 16,685 CZK","You will rent this apartment for approximately CZK 26,628 CZK","You will rent this apartment for approximately CZK 15,484 CZK",Enclosed balcony,"You will rent this apartment for approximately CZK 13,555 CZK","You will rent this apartment for approximately CZK 11,653 CZK","You will rent this apartment for approximately CZK 14,502 CZK","You will rent this apartment for approximately CZK 16,168 CZK","You will rent this apartment for approximately CZK 19,295 CZK",Administrative fee,"You will rent this apartment for approximately CZK 19,219 CZK",Domácí mazlíčci vítáni,"You will rent this apartment for approximately CZK 22,478 CZK","You will rent this apartment for approximately CZK 11,958 CZK","You will rent this apartment for approximately CZK 16,710 CZK","You will rent this apartment for approximately CZK 14,973 CZK","You will rent this apartment for approximately CZK 10,802 CZK","You will rent this apartment for approximately CZK 13,881 CZK","You will rent this apartment for approximately CZK 17,882 CZK","You will rent this apartment for approximately CZK 16,430 CZK","You will rent this apartment for approximately CZK 16,433 CZK","You will rent this apartment for approximately CZK 13,310 CZK","You will rent this apartment for approximately CZK 16,917 CZK","You will rent this apartment for approximately CZK 18,373 CZK","You will rent this apartment for approximately CZK 12,389 CZK","You will rent this apartment for approximately CZK 12,342 CZK","You will rent this apartment for approximately CZK 18,271 CZK","You will rent this apartment for approximately CZK 25,924 CZK","You will rent this apartment for approximately CZK 15,979 CZK","You will rent this apartment for approximately CZK 10,688 CZK","You will rent this apartment for approximately CZK 20,472 CZK","You will rent this apartment for approximately CZK 14,704 CZK","You will rent this apartment for approximately CZK 14,436 CZK","You will rent this apartment for approximately CZK 13,970 CZK","You will rent this apartment for approximately CZK 20,023 CZK","You will rent this apartment for approximately CZK 14,724 CZK","You will rent this apartment for approximately CZK 18,643 CZK","You will rent this apartment for approximately CZK 19,743 CZK","You will rent this apartment for approximately CZK 11,793 CZK","You will rent this apartment for approximately CZK 14,967 CZK","You will rent this apartment for approximately CZK 21,299 CZK","You will rent this apartment for approximately CZK 10,879 CZK","You will rent this apartment for approximately CZK 15,662 CZK","You will rent this apartment for approximately CZK 15,864 CZK","You will rent this apartment for approximately CZK 10,343 CZK","You will rent this apartment for approximately CZK 23,918 CZK","You will rent this apartment for approximately CZK 20,140 CZK","You will rent this apartment for approximately CZK 16,221 CZK","You will rent this apartment for approximately CZK 13,251 CZK","You will rent this apartment for approximately CZK 17,653 CZK","You will rent this apartment for approximately CZK 21,704 CZK","You will rent this apartment for approximately CZK 16,003 CZK","You will rent this apartment for approximately CZK 16,196 CZK","You will rent this apartment for approximately CZK 17,219 CZK","You will rent this apartment for approximately CZK 11,412 CZK","You will rent this apartment for approximately CZK 15,137 CZK",Plot type,"You will rent this apartment for approximately CZK 15,092 CZK","You will rent this apartment for approximately CZK 12,236 CZK","You will rent this apartment for approximately CZK 15,029 CZK","You will rent this apartment for approximately CZK 15,119 CZK","You will rent this apartment for approximately CZK 13,665 CZK","You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 19,000","CZK 5,000",729104,2+kk,8/12/2022,48 m²,Fully furnished,4,1.0,634.27,870.62,220.77,1005.97,282.21,234.65,479.9,251.36,711.03,122.07,Prague - Kunratice,50.02378,14.48676,"CZK 24,000",B,Very good,Brick,,1.0,1.0,,1.0,,Central,Standard,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 5,000",683172,2+kk,8/16/2022,55 m²,Partly,5,,300.02,346.31,242.92,505.85,74.44,510.98,211.05,158.51,186.03,232.81,"Písecká, Prague - Vinohrady",50.0763515,14.4651577,"CZK 36,000",G,Very good,Brick,,1.0,,,,Personal,Gas boiler,Standard,,Over 50 years,Complete,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,750","CZK 5,250",729756,1 bedroom,9/1/2022,30 m²,Fully furnished,3,,217.38,2062.48,1281.33,4705.18,629.6,1074.91,597.5,3134.16,2915.46,646.77,"Švihovská, Prague - Písnice",49.9954018,14.4704771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,500",525627,2+kk,9/1/2022,60 m²,Fully furnished,4,1.0,114.2,810.73,103.06,540.29,57.5,403.42,271.19,1131.7,453.94,192.0,Prague - Karlín,50.0949394,14.4579608,"CZK 40,000",,Very good,Brick,,1.0,,,,Personal,Gas boiler,,,Up to 10 years,Complete,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,900",729754,Studio,8/13/2022,32 m²,Fully furnished,2,1.0,316.32,1158.31,607.56,3768.19,297.19,584.27,941.78,3190.85,1111.36,311.61,Prague - Dolní Měcholupy,50.06689,14.55286,"CZK 20,000",C,New-build,Brick,,,1.0,1.0,,Personal,Central,Standard,,Up to 10 years,Complete,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,900",140081,Studio,8/12/2022,55 m²,Unfurnished,1,1.0,542.21,1573.66,1133.72,1477.75,803.89,1053.73,636.64,648.37,337.76,143.17,"Na Císařce, Prague - Smíchov",50.0749882,14.3612781,"CZK 32,000",,,Brick,1.0,,,,1.0,Personal,Central,Standard,,Up to 10 years,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",729753,3+1,9/23/2022,90 m²,Fully furnished,5,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,250","CZK 5,750",729752,3+1,9/30/2022,90 m²,Fully furnished,5,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,999","CZK 5,000",284845,3+1,,75 m²,Fully furnished,,,147.22,108.13,162.83,574.38,244.0,78.72,238.0,837.51,1013.85,448.35,"Lipí, Prague - Horní Počernice",50.1148176,14.6115998,"CZK 30,000",,,Brick,,,,,,Personal,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,895","CZK 4,974",520606,2+kk,8/17/2022,61 m²,Fully furnished,2,1.0,266.74,130.97,156.48,1599.96,103.61,1031.33,1142.37,733.92,914.21,118.49,Prague - Stodůlky,50.045754631723,14.302769103705,"CZK 40,000",B,New-build,Brick,,,1.0,1.0,,Personal,Central,Luxurious,,Up to 10 years,Complete,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,500",572808,1 bedroom,10/1/2022,48 m²,Partly,,,593.42,1563.03,985.96,1497.87,902.07,1539.96,1115.46,854.83,2677.62,641.14,"V Podhoří, Prague - Troja",50.1277983,14.4032229,"CZK 10,000",C,,Brick,,1.0,,,1.0,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 2,500",355657,Studio,10/1/2022,31 m²,Fully furnished,6,1.0,116.53,539.22,323.54,628.53,89.16,929.12,412.29,436.2,125.33,160.97,"Topolová, Prague - Záběhlice",50.056367,14.5081821,"CZK 10,000",C,Very good,Prefab concrete,,,,1.0,,Personal,Electric boiler,Standard,,Up to 10 years,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,500","CZK 2,250",535066,Studio,9/1/2022,45 m²,Partly,3,1.0,40.17,108.54,113.38,53.5,68.0,170.45,660.87,387.86,674.26,659.0,"Suchdolské náměstí, Prague - Suchdol",50.1353961,14.3803059,"CZK 25,000",,,Brick,1.0,1.0,1.0,,1.0,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,700",729074,2+kk,9/1/2022,46 m²,Partly,2,1.0,91.54,820.46,1038.67,2473.66,459.96,709.18,1822.92,652.03,467.42,170.28,Prague - Ďáblice,50.14495,14.47491,"CZK 20,000",B,New-build,Other,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,900",590617,2 bedroom,9/15/2022,56 m²,Partly,1,1.0,160.54,500.04,164.13,314.58,170.86,270.69,164.67,274.83,505.0,419.68,"Kolátorova, Prague - Břevnov",50.084717,14.371051,"CZK 25,000",E,Very good,Other,,1.0,,,,Other,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,500",567644,2+kk,11/1/2022,60 m²,Partly,2,1.0,418.09,2005.45,2004.8,2524.93,2073.58,2053.8,2603.95,2619.27,1714.42,1372.64,"Lošáková, Prague - Pitkovice",50.0138924,14.5867087,"CZK 30,000",B,Very good,Other,,1.0,1.0,1.0,1.0,Personal,,Standard,,Up to 10 years,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,500","CZK 4,000",729741,3+1,8/13/2022,83 m²,Fully furnished,3,1.0,147.89,285.42,46.75,257.02,48.45,141.75,104.95,327.3,312.31,377.4,Prague - Žižkov,50.08542,14.45316,"CZK 36,750",G,Very good,Other,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 5,000",413976,4+kk,10/1/2022,111 m²,Partly,2,1.0,239.09,979.8,527.41,944.98,440.24,499.97,912.62,449.03,393.93,401.17,"Melodická, Prague - Stodůlky",50.0515016,14.3302032,"CZK 36,000",C,,Brick,1.0,,1.0,1.0,,Personal,Central,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 1,300",574992,2+kk,9/1/2022,43 m²,Unfurnished,1,1.0,227.25,66.72,146.12,271.01,170.1,203.15,427.7,447.44,1166.77,322.96,"Krátký lán, Prague - Vokovice",50.0966337,14.3619598,"CZK 28,000",,New-build,Brick,,1.0,,1.0,,Personal,Gas boiler,Standard,,Up to 10 years,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,500","CZK 3,500",729492,2+kk,9/1/2022,47 m²,Partly,4,1.0,134.46,669.35,190.02,469.25,90.59,366.62,360.94,239.34,574.35,331.79,Prague - Žižkov,50.08208,14.44511,"CZK 30,000",G,Very good,Brick,1.0,,,,1.0,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 5,000",704308,2+kk,4/1/2022,54 m²,Partly,3,1.0,300.19,883.57,676.94,554.32,271.1,1302.44,469.97,769.87,455.5,210.7,"Pod Stárkou, Prague - Michle",50.05812,14.45611,"CZK 24,000",B,New-build,Brick,,1.0,,1.0,1.0,Personal,Geothermal,Luxurious,1.0,Up to 10 years,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,500","CZK 3,000",729011,2 bedroom,8/15/2022,52 m²,Partly,6,1.0,177.07,269.0,231.65,226.23,267.11,290.6,407.63,406.33,1050.8,116.53,Prague - Malešice,50.08182,14.50268,"CZK 40,000",G,Very good,Prefab concrete,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 8,000",725610,3+1,8/1/2022,98 m²,Fully furnished,3,,76.73,221.17,161.29,371.76,108.95,123.08,305.59,502.06,660.41,175.74,Prague - Smíchov,50.06817,14.40018,"CZK 45,000",G,Very good,Brick,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 5,500",729722,3+kk,9/15/2022,66 m²,Partly,10,1.0,223.77,1415.04,282.97,1508.49,412.06,312.09,282.03,672.86,1553.34,348.25,Prague - Chodov,50.02367,14.51523,"CZK 38,000",C,Very good,Prefab concrete,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 2,085",728488,3+kk,8/15/2022,70 m²,Unfurnished,2,1.0,149.3,329.81,60.5,549.65,426.17,223.19,445.02,571.19,569.54,183.67,"Petýrkova, Prague - Chodov",50.0297134,14.4867098,"CZK 50,200",D,Very good,Prefab concrete,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,825","CZK 6,275",728701,2 bedroom,9/9/2022,70 m²,Fully furnished,6,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 4,000",201798,Studio,9/1/2022,43 m²,Fully furnished,3,1.0,386.11,337.87,327.6,420.89,126.16,333.83,1007.3,712.74,535.42,295.41,"Mattioliho, Prague - Záběhlice",50.0527787,14.5150765,"CZK 17,000",B,,Brick,,,1.0,,,Personal,Electric boiler,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 3,450",607624,2 bedroom,9/1/2022,51 m²,Fully furnished,1,1.0,380.08,416.78,27.72,443.71,116.89,197.01,431.98,528.25,576.4,623.56,"Krásova, Prague - Žižkov",50.082061,14.447904,"CZK 23,000",C,Very good,Brick,,,,,,Personal,Central,,,,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,000","CZK 2,400",698535,Studio,7/1/2022,30 m²,Fully furnished,2,1.0,297.87,147.25,573.29,1497.54,55.44,856.83,652.11,201.35,235.95,80.18,"Bukolská, Prague - Bohnice",50.13068,14.43328,"CZK 13,000",G,Good,Prefab concrete,,,,,,Personal,Central,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 34,898","CZK 11,632",726071,2 bedroom,9/10/2022,90 m²,Fully furnished,4,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,000","CZK 3,000",727085,2 bedroom,9/22/2022,26 m²,Fully furnished,3,,240.22,762.14,534.22,521.0,543.1,584.05,536.64,879.96,1049.11,157.74,"U Chmelnice, Prague - Modřany",50.0080579,14.4107768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,438","CZK 13,812",728262,Studio,9/11/2022,26 m²,Fully furnished,2,,229.1,530.05,122.61,223.26,36.43,222.12,280.75,471.08,466.92,408.11,"Příčná, Prague - Nové Město",50.077834,14.422878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,750","CZK 7,250",728426,Studio,10/2/2022,25 m²,Fully furnished,12,1.0,228.88,257.2,204.55,166.76,173.2,262.96,328.04,408.55,436.47,292.09,"Freyova, Prague - Vysočany",50.108944,14.501028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 51,840","CZK 17,280",728059,3+1,9/30/2022,85 m²,Fully furnished,2,1.0,278.51,602.82,173.91,301.83,0.93,288.1,225.94,440.55,233.82,416.1,"Bílkova, Prague - Staré Město",50.0912254,14.4209612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 38,040","CZK 12,680",724143,2 bedroom,8/15/2022,70 m²,Fully furnished,5,,92.39,704.33,6.31,418.26,11.89,396.59,447.42,561.87,517.82,191.93,"Karoliny Světlé, Prague - Staré Město",50.0841726,14.4139535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",728694,2 bedroom,10/4/2022,53 m²,Fully furnished,9,1.0,125.93,351.52,458.39,239.89,349.44,469.18,335.68,124.41,1424.09,330.78,"Arabská, Prague - Vokovice",50.0992269,14.3632307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,990","CZK 3,500",729717,1 bedroom,10/1/2022,46 m²,Fully furnished,4,1.0,284.17,245.2,246.37,273.86,239.52,266.03,346.18,377.4,600.14,218.74,Prague - Stodůlky,50.04412,14.3335,"CZK 23,500",G,Very good,Prefab concrete,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
