Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Balcony,Cellar,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Terrace,Lift,Heating,Domácí mazlíčci vítáni,Parking,Enclosed balcony,Designe,Reconstruction,New-build,Garage,Age,"You will rent this apartment for approximately CZK 12,389 CZK",Plot type,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 30,000","CZK 5,000","CZK 36,000",413976,4+kk,10/1/2022,2,Brick,,111 m²,Partly,,Personal,C,1.0,,239.09,979.8,527.41,944.98,440.24,499.97,912.62,449.03,393.93,401.17,"Melodická, Prague - Stodůlky",50.0515016,14.3302032,1.0,1.0,Central,,,,,,1.0,1.0,,,,
"CZK 14,000","CZK 1,300","CZK 28,000",574992,2+kk,9/1/2022,1,Brick,,43 m²,Unfurnished,New-build,Personal,,,1.0,227.25,66.72,146.12,271.01,170.1,203.15,427.7,447.44,1166.77,322.96,"Krátký lán, Prague - Vokovice",50.0966337,14.3619598,,1.0,Gas boiler,,,,Standard,Complete,1.0,,Up to 10 years,,,
"CZK 19,000","CZK 5,000","CZK 24,000",704308,2+kk,4/1/2022,3,Brick,,54 m²,Partly,New-build,Personal,B,,1.0,300.19,883.57,676.94,554.32,271.1,1302.44,469.97,769.87,455.5,210.7,"Pod Stárkou, Prague - Michle",50.05812,14.45611,,1.0,Geothermal,,1.0,1.0,Luxurious,,1.0,1.0,Up to 10 years,,,
"CZK 17,500","CZK 3,000","CZK 40,000",729011,2 bedroom,8/15/2022,6,Prefab concrete,,52 m²,Partly,Very good,,G,,1.0,177.07,269.0,231.65,226.23,267.11,290.6,407.63,406.33,1050.8,116.53,Prague - Malešice,50.08182,14.50268,,1.0,,,,,,,,,,,,
"CZK 26,000","CZK 8,000","CZK 45,000",725610,3+1,8/1/2022,3,Brick,,98 m²,Fully furnished,Very good,,G,1.0,,76.73,221.17,161.29,371.76,108.95,123.08,305.59,502.06,660.41,175.74,Prague - Smíchov,50.06817,14.40018,,,,,,,,,,,,,,
"CZK 21,000","CZK 5,500","CZK 42,000",729722,3+kk,9/15/2022,10,Prefab concrete,,66 m²,Partly,Very good,,C,1.0,1.0,223.77,1415.04,282.97,1508.49,412.06,312.09,282.03,672.86,1553.34,348.25,Prague - Chodov,50.02367,14.51523,,1.0,,,,,,,,,,,,
"CZK 23,000","CZK 2,085","CZK 50,200",728488,3+kk,8/15/2022,2,Prefab concrete,,70 m²,Unfurnished,Very good,,D,,1.0,149.3,329.81,60.5,549.65,426.17,223.19,445.02,571.19,569.54,183.67,"Petýrkova, Prague - Chodov",50.0297134,14.4867098,,1.0,,,,1.0,,,,,,,,
"CZK 18,750","CZK 6,250",,729015,3+1,9/18/2022,2,,,90 m²,Fully furnished,,,,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,1.0,,,,,,,,,,,,
"CZK 18,825","CZK 6,275",,728701,2 bedroom,9/9/2022,6,,,70 m²,Fully furnished,,,,,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,1.0,,,,,,,,,,,,
"CZK 33,000","CZK 11,000",,719175,2 bedroom,8/17/2022,-1,,,50 m²,Fully furnished,,,,,,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,1.0,,,,,,,,,,,,
"CZK 23,000","CZK 3,450","CZK 23,000",607624,2 bedroom,9/1/2022,1,Brick,,51 m²,Fully furnished,Very good,Personal,C,,,380.08,416.78,27.72,443.71,116.89,197.01,431.98,528.25,576.4,623.56,"Krásova, Prague - Žižkov",50.082061,14.447904,,1.0,Central,,,,,Interior,,,,,,
"CZK 11,000","CZK 2,400","CZK 13,000",698535,Studio,7/1/2022,2,Prefab concrete,,30 m²,Fully furnished,Good,Personal,G,,,297.87,147.25,573.29,1497.54,55.44,856.83,652.11,201.35,235.95,80.18,"Bukolská, Prague - Bohnice",50.13068,14.43328,,1.0,Central,,,,,,,,,,,
"CZK 48,645","CZK 16,215",,726073,3+1,9/15/2022,2,,,55 m²,Fully furnished,,,,,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,
"CZK 42,075","CZK 14,025",,726062,2 bedroom,9/26/2022,6,,,80 m²,Fully furnished,,,,,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,1.0,,,,,,,,,,,,
"CZK 49,500","CZK 16,500",,726069,3+1,9/18/2022,2,,,90 m²,Fully furnished,,,,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,1.0,,,,,,,,,,,,
"CZK 24,225","CZK 8,075",,725228,2+kk,9/22/2022,1,,,40 m²,Fully furnished,,,,,,29.42,633.78,151.61,536.89,130.46,316.51,391.7,900.17,984.89,128.97,"Šporkova, Prague - Malá Strana",50.0876289,14.3978335,,,,,,,,,,,,,,
"CZK 34,898","CZK 11,632",,726071,2 bedroom,9/10/2022,4,,,90 m²,Fully furnished,,,,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,1.0,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",,728060,1 bedroom,9/21/2022,2,,,50 m²,Fully furnished,,,,,,187.82,338.29,111.0,241.4,39.4,347.76,25.85,486.49,569.58,575.91,"Karmelitská, Prague - Malá Strana",50.08657,14.4033198,,,,,,,,,,,,,,
"CZK 21,038","CZK 7,012",,725888,Studio,10/4/2022,2,,,35 m²,Fully furnished,,,,,,233.1,571.46,103.21,275.27,139.29,314.88,470.1,600.61,643.99,585.85,"Mojmírova, Prague - Nusle",50.0630016,14.4450348,,1.0,,,,,,,,,,,,
"CZK 9,000","CZK 3,000",,727085,2 bedroom,9/22/2022,3,,,26 m²,Fully furnished,,,,,,240.22,762.14,534.22,521.0,543.1,584.05,536.64,879.96,1049.11,157.74,"U Chmelnice, Prague - Modřany",50.0080579,14.4107768,,,,,,,,,,,,,,
"CZK 40,013","CZK 13,337",,728260,2 bedroom,10/1/2022,4,,,68 m²,Fully furnished,,,,,,299.64,986.04,155.79,542.01,136.1,490.5,358.25,626.28,376.95,477.5,"Lounských, Prague - Nusle",50.0598363,14.4340771,,1.0,,,,,,,,,,,,
"CZK 41,438","CZK 13,812",,728262,Studio,9/11/2022,2,,,26 m²,Fully furnished,,,,,,229.1,530.05,122.61,223.26,36.43,222.12,280.75,471.08,466.92,408.11,"Příčná, Prague - Nové Město",50.077834,14.422878,,,,,,,,,,,,,,
"CZK 21,750","CZK 7,250",,728426,Studio,10/2/2022,12,,,25 m²,Fully furnished,,,,,,228.88,257.2,204.55,166.76,173.2,262.96,328.04,408.55,436.47,292.09,"Freyova, Prague - Vysočany",50.108944,14.501028,,1.0,,,,,,,,,,,,
"CZK 51,840","CZK 17,280",,728059,3+1,9/30/2022,2,,,85 m²,Fully furnished,,,,,,278.51,602.82,173.91,301.83,0.93,288.1,225.94,440.55,233.82,416.1,"Bílkova, Prague - Staré Město",50.0912254,14.4209612,,1.0,,,,,,,,,,,,
"CZK 32,400","CZK 10,800",,728253,2 bedroom,10/1/2022,5,,,65 m²,Fully furnished,,,,,,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,1.0,,,,,,,,,,,,
"CZK 60,000","CZK 20,000",,717694,2+kk,8/20/2022,3,,,,Fully furnished,,,,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,,,,
"CZK 59,250","CZK 19,750",,717599,4+kk,8/17/2022,2,,,90 m²,Fully furnished,,,,,,140.09,527.92,223.64,125.85,37.89,66.77,510.79,1001.31,1180.94,559.23,"Stroupežnického, Prague - Smíchov",50.0710929,14.4032595,,1.0,,,,,,,,,,,,
"CZK 41,756","CZK 13,919",,728695,4+1,10/4/2022,2,,,102 m²,Fully furnished,,,,,,183.27,1023.84,165.5,746.11,195.16,730.27,819.74,259.7,600.66,303.35,"Xaveriova, Prague - Smíchov",50.0626569,14.3913498,,,,,,,,,,,,,,
"CZK 60,000","CZK 20,000",,717693,2+kk,8/20/2022,3,,,,Fully furnished,,,,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,,,,
"CZK 38,040","CZK 12,680",,724143,2 bedroom,8/17/2022,5,,,70 m²,Fully furnished,,,,,,92.39,704.33,6.31,418.26,11.89,396.59,447.42,561.87,517.82,191.93,"Karoliny Světlé, Prague - Staré Město",50.0841726,14.4139535,,,,,,,,,,,,,,
"CZK 38,475","CZK 12,825",,728979,2+kk,9/5/2022,6,,,78 m²,Fully furnished,,,,1.0,,174.08,259.01,108.15,453.56,89.86,306.35,138.1,230.02,834.66,678.5,"Varšavská, Prague - Vinohrady",50.0734867,14.4381655,1.0,1.0,,,,,,,,,,,,
"CZK 63,750","CZK 21,250",,729471,3+1,10/10/2022,3,,,120 m²,Fully furnished,,,,,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,1.0,,,,,,,,,,,,
"CZK 39,000","CZK 13,000",,728062,2 bedroom,9/30/2022,7,,,92 m²,Fully furnished,,,,1.0,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,1.0,1.0,,,,,,,,,,,,
"CZK 34,500","CZK 11,500",,729181,2+kk,9/1/2022,2,,,55 m²,Fully furnished,,,,,,101.2,551.63,76.94,167.66,45.43,94.55,322.6,504.78,539.56,607.69,"Rumunská, Prague - Vinohrady",50.0739629,14.4309041,,1.0,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",,728694,2 bedroom,10/4/2022,9,,,53 m²,Fully furnished,,,,,,125.93,351.52,458.39,239.89,349.44,469.18,335.68,124.41,1424.09,330.78,"Arabská, Prague - Vokovice",50.0992269,14.3632307,,1.0,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,720700,2+kk,9/12/2022,2,,,60 m²,Fully furnished,,,,,,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,1.0,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",,729347,Studio,10/10/2022,6,,,42 m²,Fully furnished,,,,1.0,,281.75,307.61,213.79,334.55,123.9,263.48,107.78,215.2,467.08,403.1,"Krásova, Prague - Žižkov",50.0830503,14.4473656,1.0,1.0,,,,,,,,,,,,
"CZK 19,990","CZK 3,500","CZK 23,500",729717,2+kk,10/1/2022,4,Prefab concrete,,46 m²,Fully furnished,Very good,,G,,,284.17,245.2,246.37,273.86,239.52,266.03,346.18,377.4,600.14,218.74,Prague - Stodůlky,50.04412,14.3335,,1.0,Central,,,1.0,,Complete,,,,,,
"CZK 20,000","CZK 5,500","CZK 30,000",728974,2+kk,8/7/2022,,Brick,,50 m²,Fully furnished,Very good,,G,,1.0,163.17,1460.32,391.65,714.12,243.34,686.55,366.05,249.98,869.35,280.34,Prague - Bubeneč,50.10882,14.4003,,,,,,,,,,1.0,,,,
"CZK 29,250","CZK 9,750",,725020,2 bedroom,9/19/2022,3,,,65 m²,Fully furnished,,,,,,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,1.0,,,,,,,,,,,,
"CZK 18,500","CZK 5,990","CZK 23,000",513052,3+1,9/1/2022,6,Prefab concrete,,75 m²,Fully furnished,Good,Personal,A,1.0,,351.74,1212.9,293.28,850.1,350.33,207.65,366.1,626.86,1723.21,98.13,Prague - Černý Most,50.1063173,14.572282,,1.0,Central,,,,Standard,Exterior,,,,,,
"CZK 29,520","CZK 9,840",,717600,2+kk,8/17/2022,3,,,39 m²,Fully furnished,,,,,,416.82,407.31,197.18,385.84,61.6,672.56,443.17,554.95,732.4,173.97,"Na Kampě, Prague - Malá Strana",50.0861053,14.4085409,,,,,,,,,,,,,,
"CZK 25,000","CZK 3,000","CZK 50,000",728962,3+1,10/1/2022,5,Prefab concrete,,70 m²,Partly,Very good,,G,1.0,1.0,76.47,230.59,118.58,144.76,131.77,179.15,229.8,215.28,573.28,273.54,Prague - Hlubočepy,50.0358,14.37752,,1.0,,,,,,,,,,,,
"CZK 19,000","CZK 4,000","CZK 40,000",577465,2+kk,8/8/2022,2,Brick,,54 m²,Fully furnished,Very good,Personal,,,1.0,215.92,1028.43,112.45,206.36,186.07,125.43,594.28,371.57,355.19,379.38,"Viktorinova, Prague - Nusle",50.0589996,14.4325461,,,,,,,,Complete,,,Over 50 years,,,
"CZK 14,500","CZK 2,700","CZK 17,000",729704,Studio,9/1/2022,5,Other,,31 m²,Partly,New-build,,B,1.0,1.0,157.65,460.15,319.12,458.96,444.21,464.19,642.41,845.71,714.23,167.02,Prague - Záběhlice,50.05611,14.51485,,1.0,,,,,,,1.0,1.0,,,,
"CZK 14,000","CZK 3,000","CZK 18,000",725587,Studio,8/15/2022,,Brick,,33 m²,Partly,Very good,,G,,,817.84,1330.16,1030.06,1156.88,691.6,1186.71,1014.98,1019.92,1014.62,670.9,Prague - Vokovice,50.10321,14.35191,1.0,,,,,,,,,,,,,
"CZK 22,500","CZK 5,500","CZK 28,000",726148,2 bedroom,9/1/2022,2,Brick,,67 m²,Partly,Very good,Personal,G,1.0,1.0,732.67,524.1,711.78,1524.96,305.51,1047.89,590.4,485.73,128.14,417.23,Prague - Střešovice,50.08958,14.38264,,1.0,Central,,1.0,,,Complete,,,,,,
"CZK 21,990","CZK 3,407","CZK 25,397",729697,2+kk,8/15/2022,2,Other,"CZK 25,397",58 m²,Unfurnished,New-build,Personal,C,1.0,1.0,356.7,653.35,563.88,2270.73,373.52,776.99,782.38,587.03,1560.51,157.37,"Hrašeho, Prague - Čimice",50.13851916666,14.42648583333,,1.0,,,1.0,,,,1.0,,,,,
"CZK 32,000","CZK 3,000","CZK 35,000",689930,3+1,9/1/2022,2,Brick,,80 m²,Fully furnished,Very good,Personal,C,,,83.09,278.62,205.88,378.41,5.96,503.36,395.91,397.31,304.34,390.61,"Novákových, Prague - Libeň",50.10418,14.47862,,1.0,Central,,,,,,,,,,,
"CZK 42,120","CZK 14,040",,724853,2+kk,9/12/2022,4,,,45 m²,Fully furnished,,,,,,336.41,302.29,48.66,211.39,57.6,35.65,274.52,787.09,193.2,587.05,"Opletalova, Prague - Nové Město",50.0812219,14.4297716,,1.0,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",,717597,1 bedroom,8/28/2022,2,,,30 m²,Fully furnished,,,,,,22.29,463.39,80.9,95.69,72.35,158.42,361.29,435.63,383.68,450.56,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,1.0,,,,,,,,,,,,
"CZK 28,500","CZK 4,000","CZK 28,500",729694,3+kk,8/12/2022,1,Brick,,76 m²,Partly,Very good,,G,,,83.64,611.38,81.87,629.89,10.85,661.05,486.54,529.59,401.64,426.26,Prague - Vinohrady,50.06811,14.43465,,1.0,,1.0,,,,,,,,,,
"CZK 28,000","CZK 7,200","CZK 56,000",584777,3+1,9/1/2022,6,Brick,,110 m²,Fully furnished,Very good,Personal,G,,,286.67,574.75,38.34,342.06,12.03,299.95,392.01,283.12,620.33,292.11,"Sudoměřská, Prague - Žižkov",50.079945,14.458475,1.0,1.0,,,,,Standard,Complete,,,,,,
"CZK 29,850","CZK 9,950",,728156,2+kk,8/28/2022,3,,,50 m²,Fully furnished,,,,,,75.01,890.63,40.68,622.44,47.2,145.83,371.43,242.4,512.42,352.71,"Kubelíkova, Prague - Žižkov",50.0815843,14.4461973,,1.0,,,,,,,,,,,,
"CZK 12,000","CZK 2,500","CZK 25,000",644195,Studio,8/20/2022,2,Low-energy,,33 m²,Fully furnished,New-build,Personal,B,,,496.55,854.28,445.6,499.07,246.28,973.79,305.43,592.5,429.06,385.55,"Kovanecká, Prague - Libeň",50.108302,14.484137,,1.0,Distance,,,,,,1.0,,,,,
"CZK 12,000","CZK 5,000","CZK 36,000",290321,1 bedroom,9/1/2022,4,Brick,,45 m²,Partly,Very good,Personal,,,,127.98,511.89,62.72,208.35,194.67,81.79,438.74,951.83,681.78,234.58,"Nýřanská, Prague - Radotín",49.9834399,14.3630214,,1.0,,,,,Standard,,,,10 to 30 years,,,
"CZK 21,500","CZK 1,500","CZK 5,000",729685,2+kk,9/1/2022,1,Brick,,46 m²,Fully furnished,Very good,,G,,,291.61,184.22,159.81,343.76,98.8,382.28,349.22,55.72,247.17,362.7,Prague - Vinohrady,50.07608,14.46399,,,,,,,,,,,,,,
"CZK 14,118","CZK 3,516","CZK 16,000",728135,2+kk,9/1/2022,1,Other,"CZK 2,118",46 m²,,Good,Personal,,,,184.43,181.79,99.7,210.45,83.87,202.62,419.0,162.1,393.25,142.55,"Zázvorkova, Prague - Stodůlky",50.0452067,14.3329921,,,,,,,,,,,,,,
"CZK 15,300","CZK 1,816","CZK 15,934",728137,2+kk,9/1/2022,1,Other,"CZK 2,118",46 m²,,Good,Personal,,,,253.32,699.11,277.95,669.45,477.72,627.7,170.69,462.17,396.72,56.54,"Zlešická, Prague - Chodov",50.0229149,14.4937916,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 26,000",729676,Studio,9/1/2022,,Brick,,36 m²,Partly,New-build,,G,,,335.73,1631.27,344.95,2039.5,595.56,1085.15,1796.47,2522.74,541.03,186.38,Prague - Hostavice,50.08528,14.56306,1.0,1.0,,,,,,,1.0,,,,,
"CZK 45,000","CZK 5,000","CZK 50,000",729675,2 bedroom,9/1/2022,3,Brick,,52 m²,Fully furnished,Very good,,G,,,200.51,407.37,72.96,275.48,12.97,109.41,427.03,435.74,261.27,352.53,Prague - Karlín,50.09179,14.44168,1.0,,,,,,,,,,,,,
"CZK 14,500","CZK 2,000","CZK 25,000",729672,1 bedroom,9/1/2022,1,Other,,55 m²,Partly,New-build,,C,,,257.29,300.15,33.66,194.47,8.77,205.24,71.99,288.83,109.46,536.46,Prague - Žižkov,50.08521,14.45006,,,,,,,,,,,,,,
"CZK 16,000",CZK 133,"CZK 32,000",725651,Studio,10/7/2022,8,Other,,27 m²,Fully furnished,Very good,Personal,A,,1.0,,,,,,,,,,,Prague - Stodůlky,50.04595,14.32223,,1.0,Central,,1.0,,,,1.0,,Up to 10 years,,,
"CZK 18,000","CZK 5,000","CZK 40,000",9349,2+kk,9/1/2022,2,Brick,,50 m²,Partly,,Personal,E,,,304.48,869.35,195.04,351.24,213.59,304.16,191.51,145.15,539.67,409.18,"Jeseniova, Prague - Žižkov",50.089056,14.473377,,,,,,1.0,Standard,,,,30 - 50 years,,,
"CZK 13,500","CZK 5,000",CZK 0,430594,2 bedroom,9/1/2022,3,Brick,,60 m²,Partly,Very good,Personal,B,,,186.72,293.18,218.25,2597.83,837.29,399.71,1897.0,489.42,844.75,271.76,"Legionářů, Prague - Ďáblice",50.144275696926,14.486294358752,,,,,,,,,,,Up to 10 years,,,
"CZK 8,000","CZK 2,500","CZK 10,500",719011,Other,8/13/2022,3,Brick,,20 m²,Fully furnished,Good,Personal,G,,,185.56,664.34,226.63,628.85,163.5,615.3,479.38,174.01,684.95,337.58,"Na Zájezdu, Prague - Vinohrady",50.07336,14.46087,,,,,,,,,,,,,,
"CZK 14,500","CZK 2,100","CZK 20,000",729648,2+kk,9/1/2022,10,Prefab concrete,,43 m²,Partly,Good,,C,1.0,,142.01,314.5,268.56,2635.66,318.83,312.14,379.46,1691.27,1244.29,72.32,Prague - Ruzyně,50.0892,14.30693,,,,,,,,,,,,,,
"CZK 21,000","CZK 3,360","CZK 40,000",551447,2+kk,8/25/2022,2,Brick,,51 m²,Partly,,Personal,B,,,283.79,148.02,158.99,1617.01,45.16,1048.39,1159.42,750.98,931.26,135.54,Prague - Stodůlky,50.0460523,14.3020788,1.0,,Central,,,,Standard,,1.0,,Up to 10 years,,,
"CZK 13,500","CZK 3,000","CZK 13,500",729656,2+kk,8/12/2022,3,Brick,,44 m²,Partly,Very good,,F,,1.0,77.24,310.53,55.09,128.76,97.46,245.74,254.13,580.63,197.7,207.98,Prague - Vysočany,50.11106,14.50386,,,,,,,,,,,,,,
"CZK 12,000","CZK 5,000","CZK 20,000",729652,1 bedroom,9/1/2022,4,Brick,,45 m²,Fully furnished,Very good,,G,,,196.54,1235.93,253.83,1002.82,297.85,497.67,95.98,558.82,1100.42,126.9,Prague - Modřany,50.00691,14.40377,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,200","CZK 14,000",437594,2 bedroom,9/1/2022,4,Brick,,64 m²,Partly,Good,Cooperative,,,1.0,219.09,1106.44,213.31,832.39,198.15,169.31,501.71,326.11,612.07,249.08,"Krupská, Prague - Strašnice",50.0686082,14.4969042,,,Distance,1.0,,,,,,,30 - 50 years,,,
"CZK 19,900","CZK 3,700","CZK 30,000",628422,2+kk,10/1/2020,1,Brick,,79 m²,Fully furnished,New-build,Personal,B,1.0,,153.93,922.96,472.52,888.14,468.15,443.13,855.78,428.62,421.85,344.33,"Harmonická, Prague - Stodůlky",50.051045,14.330516,1.0,1.0,Distance,,,,Luxurious,,,,Up to 10 years,,,
"CZK 30,000","CZK 10,000",,718922,Studio,9/11/2022,5,,,45 m²,Fully furnished,,,,,,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,1.0,,,,,,,,,,,,
"CZK 13,500","CZK 3,000","CZK 16,500",725391,Studio,8/1/2022,2,Brick,,31 m²,Partly,New-build,,A,,,229.9,947.02,205.09,713.91,247.68,447.39,154.37,412.65,1095.26,196.69,Prague - Modřany,50.0061,14.40679,,1.0,,,,,,,1.0,,,,,
"CZK 25,000","CZK 3,200","CZK 56,500",727402,2 bedroom,10/1/2022,4,Brick,,70 m²,Partly,Very good,Personal,E,1.0,,301.78,703.07,65.42,479.72,19.7,478.06,235.91,249.48,483.71,218.62,"Ruská, Prague - Vršovice",50.07222495,14.45512555,,,,,,,,Complete,,,,,,
"CZK 3,000","CZK 3,000","CZK 2,000",547824,4+kk,8/13/2022,5,Brick,,6 m²,Fully furnished,Good,Personal,,,,216.22,290.06,122.19,317.0,101.84,253.37,12.82,123.6,442.58,372.04,"Krásova, Prague - Žižkov",50.0837704,14.446726,,,,,,,,,,,,,,
"CZK 14,900","CZK 3,000","CZK 30,000",657536,Studio,11/1/2022,7,Other,,39 m²,Partly,New-build,Personal,B,1.0,1.0,54.47,1047.39,47.89,203.63,180.78,183.66,351.8,729.1,319.84,105.46,"Kurta Konráda, Prague - Libeň",50.10375,14.48892,1.0,1.0,Central,,,1.0,Luxurious,,,,Up to 10 years,,,
"CZK 34,500","CZK 11,500",,728709,2+kk,10/8/2022,6,,,45 m²,Fully furnished,,,,,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,1.0,,,,,,,,,,,,
"CZK 17,500","CZK 4,500","CZK 22,000",649500,2+kk,5/1/2022,1,Brick,,53 m²,Fully furnished,Very good,Personal,G,,1.0,15.08,865.08,392.37,1315.18,408.88,415.49,977.08,707.27,742.72,221.51,"Pod Kesnerkou, Prague - Smíchov",50.059194,14.403452,,,Gas boiler,,1.0,,Standard,,,1.0,,,,
"CZK 24,000",CZK 0,"CZK 24,000",425050,2+kk,10/1/2022,6,Brick,,63 m²,Fully furnished,Very good,Personal,D,,,89.4,400.63,172.37,246.41,338.79,420.2,289.98,221.48,688.73,299.36,"Bělocerkevská, Prague - Vršovice",50.0708974,14.469628,,1.0,Central,,,,Luxurious,Complete,1.0,,Up to 10 years,,,
"CZK 28,100","CZK 3,801","CZK 56,200",571766,2+kk,7/24/2022,4,Brick,,75 m²,Fully furnished,,Personal,,,1.0,263.94,473.14,107.04,412.76,39.58,450.66,409.9,711.12,442.84,75.83,"Liliová, Prague - Staré Město",50.0847515,14.4166508,,,Gas boiler,,,,Luxurious,,,,,,,
"CZK 24,000","CZK 4,350","CZK 48,000",729642,2+kk,9/15/2022,,Brick,,60 m²,Fully furnished,Very good,,C,,1.0,121.48,1227.99,928.72,1099.69,499.69,876.19,826.93,1182.44,637.73,82.41,Prague - Řeporyje,50.03812,14.32275,1.0,1.0,Electric boiler,1.0,1.0,1.0,Luxurious,,,1.0,10 to 30 years,,,
"CZK 18,500","CZK 5,500","CZK 30,000",728905,2+kk,8/20/2022,3,Brick,,52 m²,Partly,New-build,,C,1.0,1.0,421.53,1650.45,368.8,2020.44,576.51,1104.33,1815.64,2607.26,521.97,205.56,Prague - Hostavice,50.08478,14.56296,,1.0,,,,,,,1.0,,,,,
"CZK 13,000","CZK 3,000","CZK 16,000",557444,Studio,9/1/2022,6,Brick,,38 m²,Unfurnished,,Personal,C,1.0,1.0,455.34,678.21,536.04,983.13,748.64,898.39,554.93,672.94,759.65,344.43,"Padovská, Prague - Horní Měcholupy",50.0428927,14.5489151,,,Distance,,,,,,,,,1.0,,
"CZK 13,000","CZK 3,000","CZK 16,000",603525,Studio,9/1/2022,2,Brick,,39 m²,Unfurnished,New-build,Personal,C,1.0,1.0,405.82,1735.36,1054.69,1829.53,829.29,1537.37,1423.47,1689.02,1379.73,841.56,"Sicherova, Prague - Kyje",50.114749,14.56658,,,Central,,,,,,,1.0,,,,
"CZK 25,000","CZK 4,900","CZK 25,000",197587,2 bedroom,9/1/2022,3,Brick,,61 m²,Unfurnished,,Personal,,,,280.18,564.46,136.33,351.39,55.11,370.66,313.06,353.83,691.04,109.51,"Baranova, Prague - Žižkov",50.0797815,14.4578475,,1.0,,,,,,,,,,,,
"CZK 25,900","CZK 4,900","CZK 30,000",729635,3+1,9/1/2022,6,Prefab concrete,,77 m²,Fully furnished,Very good,Personal,G,,,378.13,329.47,218.08,830.86,307.8,245.23,708.3,212.6,553.81,45.31,Prague - Stodůlky,50.04532,14.31142,,1.0,,,,1.0,,,,,,,,
"CZK 14,999","CZK 2,500","CZK 17,500",598559,2+kk,9/1/2022,2,Brick,,55 m²,Partly,New-build,Personal,B,1.0,1.0,91.39,310.67,92.06,91.12,15.07,54.1,374.99,679.58,586.87,437.09,"Čestmírova, Prague - Nusle",50.064342,14.442252,,,,,1.0,,Luxurious,Complete,,,Up to 10 years,,,
"CZK 11,000","CZK 1,000","CZK 12,000",287227,Studio,9/1/2021,2,Brick,,25 m²,Partly,,Personal,,1.0,,323.68,1197.48,307.68,357.49,262.34,316.16,373.23,595.86,400.59,133.66,"Nad Ohradou, Prague - Žižkov",50.0919092,14.4717412,,,Gas boiler,,1.0,,,,,,Up to 10 years,,,
"CZK 14,500","CZK 6,000","CZK 30,000",729092,Studio,8/8/2022,2,Brick,,34 m²,Fully furnished,Very good,,B,,,119.63,32.47,129.26,144.56,159.07,111.26,639.92,405.36,691.76,676.5,Prague - Suchdol,50.13577,14.37964,,1.0,,,,,,,,,,,,
