Price,Fees,Refundable security deposit,Listing ID,Layout,Condition,Ownership,EPC,Floor space,Avaliable from,Floor,Building type,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Reconstruction,Fully furnished,Heating,Designe,Cellar,Balcony,Terrace,Enclosed balcony,Age,New-build,Parking,Garage,Domácí mazlíčci vítáni,Administrative fee,Plot type
"CZK 16,000","CZK 4,500","CZK 20,500",729781,2 bedroom,Very good,,G,58 m²,9/30/2022,2,Brick,,110.54,815.17,478.87,513.94,156.65,496.26,497.49,582.69,1174.39,298.25,Prague - Břevnov,50.08736,14.3389,,Partly,,,,,,,,,1.0,,,,
"CZK 12,000","CZK 3,500","CZK 15,500",730478,2+kk,Very good,,G,46 m²,9/1/2022,3,Prefab concrete,,225.43,574.02,73.71,488.02,372.56,473.94,197.36,301.9,1112.72,245.33,Prague - Stodůlky,50.04732,14.34568,,Partly,,,,,,,,,,,,,
"CZK 12,000","CZK 1,500","CZK 12,000",730420,2+kk,Very good,,G,40 m²,8/18/2022,2,Brick,,115.96,702.32,13.42,327.37,67.49,406.91,363.64,153.16,192.59,178.95,Prague - Nusle,50.0608,14.42675,,Partly,,,,,,,,,,,,,
"CZK 39,000","CZK 7,500","CZK 78,000",730479,3+1,Very good,,G,120 m²,8/19/2022,6,Brick,1.0,257.07,413.9,172.69,369.66,65.95,126.45,206.73,296.92,511.52,310.58,Prague - Nové Město,50.07662,14.42275,,Partly,,,,,1.0,,,,,,,,
"CZK 14,500","CZK 5,500","CZK 20,000",605928,1 bedroom,Very good,Personal,B,51 m²,10/1/2022,1,Low-energy,,183.47,686.2,229.3,214.79,146.92,354.99,577.44,572.39,517.85,250.6,"Žerotínova, Prague - Žižkov",50.08849,14.464717,Complete,Fully furnished,Electric boiler,Luxurious,,,1.0,,Up to 10 years,,,,,,
"CZK 44,000","CZK 6,000",CZK 2,358804,4+kk,,Personal,,130 m²,9/1/2022,2,Brick,,332.93,544.63,139.18,267.34,39.05,305.02,264.26,587.07,297.42,107.97,"Betlémské náměstí, Prague - Staré Město",50.0840811,14.4176178,Complete,Fully furnished,,,,1.0,,,,,,1.0,,,
"CZK 19,000","CZK 4,000","CZK 30,000",730475,2+kk,New-build,,G,64 m²,9/1/2022,3,Brick,1.0,247.89,1108.36,533.04,847.42,633.42,523.48,669.46,704.58,1693.36,179.03,Prague - Jinonice,50.05701,14.34663,,Fully furnished,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,
"CZK 37,125","CZK 12,375",,726070,2 bedroom,,,,90 m²,9/30/2022,2,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,Fully furnished,,,,,,,,,,,,,
"CZK 47,025","CZK 15,675",,726069,3+1,,,,90 m²,9/18/2022,2,,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,Fully furnished,,,,,,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 30,000",633016,2+kk,New-build,Cooperative,B,55 m²,11/1/2022,2,Low-energy,1.0,214.85,111.86,183.29,1264.57,201.57,1099.51,477.0,709.91,746.45,109.54,"Hugo Haase, Prague - Hlubočepy",50.029126,14.363101,,Partly,Central,Luxurious,,1.0,,,,1.0,1.0,,,,
"CZK 25,380","CZK 8,460",,723857,2 bedroom,,,,35 m²,9/5/2022,5,,,220.05,826.22,174.81,602.88,97.41,601.22,415.82,330.65,569.7,247.12,"Bulharská, Prague - Vršovice",50.0719625,14.461813,,Fully furnished,,,,,,,,,,,,,
"CZK 34,898","CZK 11,632",,726071,2 bedroom,,,,90 m²,9/10/2022,4,,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,Fully furnished,,,,,,,,,,,,,
"CZK 12,000","CZK 5,000","CZK 25,000",730464,2+kk,Very good,,E,34 m²,8/19/2022,1,Brick,,246.8,554.23,143.24,855.98,293.39,547.38,182.42,375.49,1055.46,494.33,Prague - Košíře,50.07001,14.38251,,Partly,,,,,1.0,,,,,,,,
"CZK 34,500","CZK 11,500",,724514,2 bedroom,,,,76 m²,9/3/2022,5,,1.0,173.24,237.07,170.98,194.52,84.53,150.25,482.36,158.74,537.92,88.5,"Slezská, Prague - Vinohrady",50.076837,14.4602531,,Fully furnished,,,,,,,,,,,,,
"CZK 20,250","CZK 6,750",,728265,2 bedroom,,,,48 m²,10/1/2022,1,,,391.21,523.69,852.19,2051.14,481.77,1805.15,1748.87,917.01,838.92,1086.22,"Nad Kazankou, Prague - Troja",50.1179747,14.4268704,,Fully furnished,,,,1.0,1.0,,,,,,,,
"CZK 33,750","CZK 11,250",,727478,1 bedroom,,,,43 m²,9/25/2022,4,,1.0,276.64,299.92,82.85,597.17,63.3,447.09,45.77,62.13,794.8,565.99,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,Fully furnished,,,,,,,,,,,,,
"CZK 60,000","CZK 20,000",,729182,2+kk,,,,67 m²,10/15/2022,2,,,81.58,261.82,179.91,165.34,96.05,235.81,210.32,24.34,339.34,418.58,"Zlatnická, Prague - Nové Město",50.0905181,14.4322974,,Fully furnished,,,,,,,,,,,,,
"CZK 37,620","CZK 12,540",,728258,2 bedroom,,,,54 m²,10/1/2022,7,,1.0,379.66,564.73,5.21,191.31,38.84,242.1,65.9,705.75,343.76,422.75,"Michalská, Prague - Staré Město",50.0846396,14.4202484,,Fully furnished,,,,,,,,,,,,,
"CZK 28,425","CZK 9,475",,728696,2+kk,,,,45 m²,10/4/2022,5,,,120.02,538.45,85.43,335.62,47.85,333.62,182.79,195.16,543.36,341.26,"Lípová, Prague - Nové Město",50.0747395,14.424046,,Fully furnished,,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",,728694,2 bedroom,,,,53 m²,10/4/2022,9,,1.0,125.93,351.52,458.39,239.89,349.44,469.18,335.68,124.41,1424.09,330.78,"Arabská, Prague - Vokovice",50.0992269,14.3632307,,Fully furnished,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,720700,2+kk,,,,60 m²,9/12/2022,2,,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,Fully furnished,,,,,,,,,,,,,
"CZK 23,624","CZK 7,875",,728891,3+kk,,,,63 m²,9/10/2022,5,,,205.2,814.61,229.97,533.27,206.46,282.56,446.62,227.35,110.18,111.62,"U školičky, Prague - Libeň",50.1085928,14.4915135,,Fully furnished,,,,,,,,,,,,,
"CZK 39,000","CZK 13,000",,729613,2 bedroom,,,,72 m²,10/11/2022,3,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,Fully furnished,,,,,,,,,,,,,
"CZK 51,656","CZK 17,219",,728895,2 bedroom,,,,60 m²,10/6/2022,4,,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,Fully furnished,,,,,,,,,,,,,
"CZK 29,250","CZK 9,750",,724407,2 bedroom,,,,65 m²,9/19/2022,4,,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,Fully furnished,,,,,,,,,,,,,
"CZK 25,500","CZK 8,500",,730328,2+kk,,,,67 m²,10/17/2022,2,,1.0,190.62,1447.15,484.7,1260.45,182.11,737.34,559.67,596.72,660.13,404.95,"V Zahradách, Prague - Libeň",50.1148427,14.4750191,,Fully furnished,,,,1.0,1.0,,,,,1.0,,,
"CZK 48,000","CZK 16,000",,717684,3+1,,,,72 m²,9/18/2022,5,,1.0,273.55,299.9,80.57,586.7,68.95,312.33,103.27,252.88,792.89,567.68,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,Fully furnished,,,,,,,,,,,,,
"CZK 36,338","CZK 12,112",,728972,5+kk,,,,180 m²,9/20/2022,1,,,710.63,2420.81,2011.34,2281.37,826.06,2150.45,2487.2,2253.5,2584.79,783.97,"Ibišková, Prague - Křeslice",50.0183023,14.5625656,,Fully furnished,,,,1.0,1.0,,,,,1.0,,,
"CZK 17,500","CZK 6,388","CZK 40,000",730433,2 bedroom,Good,,C,53 m²,8/18/2022,3,Brick,,126.61,867.92,116.61,599.34,153.68,205.03,423.19,810.05,332.86,236.35,Prague - Strašnice,50.07076,14.48734,,Partly,,,1.0,,,,,,,,,,
"CZK 20,000","CZK 3,500","CZK 40,000",474374,3+kk,,Cooperative,,72 m²,6/1/2022,3,Prefab concrete,1.0,89.61,422.46,487.67,590.76,265.68,426.8,499.48,593.53,271.32,350.7,"Pod Jarovem, Prague - Žižkov",50.0895199,14.4891951,,Partly,,,,1.0,,1.0,,,,,,,
"CZK 26,363","CZK 8,787",,729443,1 bedroom,,,,46 m²,9/7/2022,2,,,450.08,851.94,613.97,1216.3,634.57,923.06,534.48,156.81,999.06,301.07,"U Pernikářky, Prague - Smíchov",50.0745289,14.3827184,,Fully furnished,,,,,,,,,,,,,
"CZK 31,050","CZK 10,350",,730431,3+1,,,,111 m²,9/3/2022,1,,,208.61,131.46,936.81,2564.81,336.74,613.32,243.84,2102.93,1889.94,338.05,"K Zámku, Prague - Dolní Počernice",50.0890765,14.5799076,,Fully furnished,,,,1.0,1.0,,,,,,,,
"CZK 18,000","CZK 2,000","CZK 36,000",730427,2 bedroom,Very good,,G,50 m²,8/18/2022,2,Brick,,45.71,924.4,146.26,646.66,8.7,711.02,847.67,166.72,774.55,203.9,Prague - Smíchov,50.06215,14.38988,Complete,Partly,Electric boiler,,1.0,,,,,,,,,,
"CZK 15,200","CZK 2,000","CZK 30,400",730425,2+kk,Very good,,G,31 m²,8/18/2022,2,Brick,,45.71,924.4,146.26,646.66,8.7,711.02,847.67,166.72,774.55,203.9,Prague - Smíchov,50.06215,14.38988,Complete,Partly,Electric boiler,Standard,,,,,,,,,,,
"CZK 15,200","CZK 4,000","CZK 20,000",730424,2+kk,Very good,,G,42 m²,8/18/2022,1,Brick,,227.15,66.88,146.28,271.17,170.26,203.31,427.6,447.6,1166.67,323.13,Prague - Vokovice,50.09663,14.36195,,Partly,,,1.0,,,,,,,,,,
"CZK 12,500","CZK 2,000","CZK 25,000",730422,Studio,Very good,,G,23 m²,8/18/2022,3,Brick,,45.71,924.4,146.26,646.66,8.7,711.02,847.67,166.72,774.55,203.9,Prague - Smíchov,50.06215,14.38988,Complete,Partly,Electric boiler,Standard,,,,,,,,,,,
"CZK 31,590","CZK 10,530",,722787,1 bedroom,,,,52 m²,9/5/2022,3,,1.0,194.81,408.3,97.23,765.36,41.67,716.59,415.49,296.07,511.26,224.74,"Rybalkova, Prague - Vinohrady",50.0719171,14.4429188,,Fully furnished,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",,729753,3+1,,,,90 m²,9/23/2022,5,,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,Fully furnished,,,,,,,,,,,,,
"CZK 33,000","CZK 5,500",CZK 0,495695,3+kk,,Personal,,91 m²,8/26/2022,2,Brick,1.0,512.42,1076.18,402.55,1285.01,637.46,387.31,486.74,785.09,1276.2,206.27,"Učňovská, Prague - Hrdlořezy",50.0938697,14.5043048,,Partly,Central,Luxurious,1.0,1.0,1.0,,Up to 10 years,1.0,1.0,1.0,,,
"CZK 17,990","CZK 5,013","CZK 23,003",730413,3+1,Very good,Personal,G,67 m²,8/21/2022,8,Prefab concrete,1.0,142.33,1028.73,157.64,1021.39,379.02,436.55,471.91,701.13,557.49,431.47,"Olbramovická, Prague - Kamýk",50.01687861111,14.43642138888,,Partly,,,1.0,,,1.0,,,,,,"CZK 23,003",
"CZK 29,850","CZK 9,950",,728156,2+kk,,,,50 m²,10/16/2022,3,,1.0,75.01,890.63,40.68,622.44,47.2,145.83,371.43,242.4,512.42,352.71,"Kubelíkova, Prague - Žižkov",50.0815843,14.4461973,,Fully furnished,,,,,,,,,,,,,
"CZK 14,000","CZK 3,920","CZK 28,000",730406,2+kk,Very good,,G,43 m²,8/18/2022,2,Prefab concrete,1.0,287.95,1241.38,478.44,1198.51,674.52,400.63,173.81,607.72,690.23,341.2,Prague - Kamýk,50.01581,14.43237,,Partly,,,1.0,1.0,,,,,,,,,
"CZK 16,800","CZK 3,000","CZK 25,000",672157,Studio,Very good,Personal,G,39 m²,10/1/2022,5,Brick,1.0,214.78,770.16,112.91,542.34,94.12,575.84,358.02,504.27,554.92,114.22,"Eliášova, Prague - Bubeneč",50.10222,14.40304,,Fully furnished,,,1.0,,,,,,,,,,
"CZK 19,800","CZK 6,600",,726085,3+1,,,,90 m²,10/4/2022,5,,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,Fully furnished,,,,,,,,,,,,,
"CZK 20,000",CZK 0,"CZK 40,000",728043,2+kk,New-build,Personal,A,50 m²,8/6/2022,2,Brick,,472.29,943.14,661.04,1348.71,676.16,989.59,1050.16,1126.49,1467.83,658.23,Prague - Kyje,50.11055,14.56754,,Unfurnished,Central,Standard,,1.0,,,,1.0,1.0,,,,
"CZK 13,000","CZK 1,800","CZK 18,000",606075,Studio,Very good,Cooperative,,33 m²,10/15/2022,,Brick,1.0,222.73,785.34,68.49,304.09,22.82,400.27,445.1,199.39,498.47,434.16,"Podskalská, Prague - Nové Město",50.071165,14.415031,,Partly,,,,,,,,,1.0,,,,
"CZK 24,500","CZK 4,000","CZK 36,750",729741,3+1,Very good,,G,83 m²,8/13/2022,3,Other,1.0,147.89,285.42,46.75,257.02,48.45,141.75,104.95,327.3,312.31,377.4,Prague - Žižkov,50.08542,14.45316,,Fully furnished,,,,,,,,,1.0,1.0,,,
"CZK 5,400","CZK 1,885","CZK 7,280",297667,Other,,Personal,F,15 m²,9/1/2022,4,Brick,,44.64,207.7,69.77,7.13,59.63,116.21,224.27,733.3,153.34,317.49,"Bělohorská, Prague - Břevnov",50.0834741,14.3630878,Complete,Partly,Gas boiler,Standard,,,,,,,,,,,
"CZK 19,000","CZK 4,000","CZK 46,000",249879,2+kk,Very good,Personal,,66 m²,10/1/2022,2,Brick,1.0,372.23,943.38,625.63,1057.02,355.45,903.11,637.89,793.73,557.5,136.86,"Švejcarovo náměstí, Prague - Stodůlky",50.0361776,14.3299157,,Fully furnished,Electric boiler,,,,,1.0,,,1.0,,,,
"CZK 30,000","CZK 10,000",,718922,Studio,,,,45 m²,9/11/2022,5,,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,Fully furnished,,,,,,,,,,,,,
"CZK 12,500","CZK 4,200","CZK 20,000",670237,1 bedroom,Very good,Personal,G,39 m²,9/1/2022,3,Brick,1.0,244.54,899.67,113.74,654.9,134.13,190.73,393.85,541.74,434.58,364.77,"Ke Strašnické, Prague - Strašnice",50.069633,14.494844,Interior,Fully furnished,Central,,1.0,,,,,,1.0,,,,
"CZK 30,000","CZK 5,000","CZK 36,000",413976,4+kk,,Personal,C,111 m²,10/1/2022,2,Brick,1.0,239.09,979.8,527.41,944.98,440.24,499.97,912.62,449.03,393.93,401.17,"Melodická, Prague - Stodůlky",50.0515016,14.3302032,,Partly,Central,,,1.0,1.0,,,1.0,,1.0,,,
"CZK 13,000","CZK 2,000","CZK 26,000",566063,Studio,Very good,Personal,D,35 m²,8/19/2022,2,Prefab concrete,1.0,109.69,700.32,595.59,675.23,618.74,365.46,269.82,158.56,888.13,70.43,"Laudova, Prague - Řepy",50.0683118,14.3123636,Interior,Fully furnished,Distance,Standard,,,,,30 - 50 years,,,,,,
"CZK 23,000","CZK 2,000","CZK 44,000",510077,3+1,,Personal,,74 m²,9/1/2022,3,Brick,,88.58,653.66,405.19,613.73,454.33,427.44,306.07,248.82,1240.24,316.76,"Novodvorská, Prague - Braník",50.027717,14.4287618,Complete,Partly,Central,Standard,1.0,,,,,,,,,,
"CZK 10,000",CZK 490,"CZK 16,000",524713,Small studio,,Personal,G,20 m²,9/1/2022,,Brick,,240.99,682.97,337.4,622.75,264.31,474.4,1014.21,621.31,729.24,115.33,Prague - Dejvice,50.0981882,14.3707895,Complete,Partly,Other,Standard,1.0,,,,,,,,,,
"CZK 10,500","CZK 2,000","CZK 13,500",597400,Small studio,Good,Personal,G,22 m²,9/1/2022,1,Brick,,95.04,732.43,109.54,315.94,102.2,56.39,560.57,736.83,1049.15,353.35,"Trojská, Prague - Kobylisy",50.121955,14.4518,Complete,Unfurnished,Other,Standard,,,,,Up to 10 years,,,,,,
"CZK 34,500","CZK 11,500",,728709,2+kk,,,,45 m²,10/8/2022,6,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,Fully furnished,,,,,,,,,,,,,
"CZK 16,500",CZK 0,"CZK 30,000",730381,1 bedroom,Very good,,G,46 m²,10/1/2022,5,Brick,,266.48,680.57,341.5,362.64,201.55,370.26,247.51,544.13,680.05,142.75,Prague - Michle,50.04544,14.45215,,Fully furnished,,,1.0,,,,,,,,,,
"CZK 25,500","CZK 5,000","CZK 25,500",673369,3+kk,New-build,Personal,B,77 m²,9/1/2022,2,Brick,1.0,0.0,1088.74,986.61,2536.53,657.22,1183.26,1009.64,1934.96,676.02,856.46,"Stochovská, Prague - Ruzyně",50.0841721,14.3121812,,Unfurnished,Central,Standard,1.0,1.0,,,Up to 10 years,1.0,1.0,1.0,,,
"CZK 18,000","CZK 6,000","CZK 16,000",730380,2 bedroom,Very good,,G,55 m²,9/12/2022,3,Brick,,285.0,683.04,335.12,701.47,175.21,222.72,161.25,136.16,909.99,463.46,Prague - Hloubětín,50.10834,14.54234,,Partly,,,,1.0,,,,,,,,,
"CZK 28,425","CZK 9,475",,729524,Studio,,,,30 m²,8/23/2022,3,,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,Fully furnished,,,,,,,,,,,,,
"CZK 21,019","CZK 7,006",,729938,Studio,,,,32 m²,10/1/2022,1,,,447.58,805.32,396.64,450.11,197.32,945.56,256.47,627.41,458.07,336.59,"Nad Kolčavkou A, Prague - Libeň",50.1080609,14.4828384,,Fully furnished,,,,,,,,,,,,,
"CZK 16,500","CZK 5,500","CZK 33,000",554329,2+kk,New-build,Personal,B,49 m²,9/26/2022,3,Brick,,53.93,1077.26,371.37,1459.79,267.87,601.61,689.56,1888.92,880.79,507.37,Prague - Radotín,49.9771246,14.3504332,,Partly,Central,Luxurious,,1.0,,,Up to 10 years,1.0,,,,,
"CZK 15,500","CZK 3,500","CZK 15,500",700035,2+kk,New-build,Personal,D,50 m²,1/21/2022,7,Brick,1.0,146.6,1885.82,1048.5,1644.68,378.3,1292.34,740.14,1353.48,1244.54,662.27,"Pískařská, Prague - Modřany",50.013,14.40077,,Fully furnished,Distance,,,,,,,1.0,,1.0,,,
"CZK 34,920","CZK 11,640",,728102,2 bedroom,,,,52 m²,8/31/2022,5,,1.0,99.55,314.58,150.34,67.01,34.6,412.05,133.24,331.05,397.28,726.22,"Vinohradská, Prague - Vinohrady",50.0779159,14.4375296,,Fully furnished,,,,,,,,,,,,,
"CZK 11,999",CZK 1,"CZK 11,999",393325,3+kk,,Other,,80 m²,12/1/2021,4,Brick,,223.51,319.98,215.63,105.13,77.74,309.27,96.87,566.4,507.29,77.83,"Nedvědovo náměstí, Prague - Podolí",50.0574231,14.4221377,,Partly,,,,1.0,,,,,,,,,
"CZK 41,250","CZK 13,750",,719999,2+kk,,,,55 m²,10/9/2022,1,,1.0,76.78,951.56,41.94,296.91,109.07,229.41,371.34,325.8,517.82,388.28,"Rečkova, Prague - Žižkov",50.0904334,14.4705869,,Fully furnished,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,718920,2+kk,,,,60 m²,9/8/2022,3,,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,Fully furnished,,,,1.0,1.0,,,,,,,,
"CZK 21,000","CZK 5,500","CZK 42,000",729722,3+kk,Very good,,C,66 m²,9/15/2022,10,Prefab concrete,1.0,223.77,1415.04,282.97,1508.49,412.06,312.09,282.03,672.86,1553.34,348.25,Prague - Chodov,50.02367,14.51523,,Partly,,,1.0,1.0,,,,,,,,,
"CZK 28,350","CZK 9,450",,730350,2 bedroom,,,,75 m²,8/23/2022,3,,1.0,286.21,293.35,195.84,193.77,92.11,378.02,243.35,1039.65,522.33,334.73,"Čechova, Prague - Bubeneč",50.1016621,14.4210737,,Fully furnished,,,,,,,,,,,,,
"CZK 39,600","CZK 13,200",,717648,2+kk,,,,46 m²,9/23/2022,2,,,249.05,258.88,108.69,237.41,65.07,536.83,294.74,273.73,806.33,231.2,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,Fully furnished,,,,,,,,,,,,,
"CZK 19,725","CZK 6,575",,730349,2 bedroom,,,,90 m²,10/15/2022,6,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,Fully furnished,,,,,,,,,,,,,
"CZK 19,900","CZK 5,000","CZK 39,800",730344,2 bedroom,Very good,,G,61 m²,8/18/2022,4,Brick,,201.58,1053.15,693.11,1257.44,290.29,956.58,761.47,1370.07,215.61,162.54,Prague - Střešovice,50.09338,14.36867,,Fully furnished,,,,,,1.0,,,,,,,
"CZK 15,500","CZK 2,000","CZK 20,000",730343,2 bedroom,Very good,,C,45 m²,8/21/2022,4,Brick,1.0,253.24,389.63,317.7,416.57,213.66,282.78,439.7,625.37,780.98,303.98,Prague - Smíchov,50.06695,14.40244,,Partly,,,,,,,,,1.0,,,,
"CZK 14,500","CZK 3,000","CZK 15,220",730232,2+kk,Very good,,G,45 m²,10/1/2022,5,Brick,,166.51,799.4,73.38,528.54,200.99,219.13,511.1,608.43,415.69,232.44,Prague - Nusle,50.06562,14.42897,,Unfurnished,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000","CZK 45,000",730335,3+1,Very good,,G,85 m²,9/1/2022,1,Brick,,522.44,2248.42,593.67,1951.67,392.1,1097.7,1041.73,591.18,1043.45,519.84,Prague - Břevnov,50.07852,14.32766,,Fully furnished,,,,1.0,,,,,1.0,,,,
"CZK 53,510","CZK 17,836",,725486,4+1,,,,110 m²,10/2/2022,7,,1.0,348.55,940.69,207.03,294.37,97.8,272.7,322.85,445.04,400.99,361.6,"Divadelní, Prague - Staré Město",50.0824664,14.4140344,,Fully furnished,,,,1.0,1.0,,,,,,,,
"CZK 42,075","CZK 14,025",,726062,2 bedroom,,,,80 m²,9/26/2022,6,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,Fully furnished,,,,,,,,,,,,,
"CZK 33,825","CZK 11,275",,726076,2 bedroom,,,,79 m²,9/15/2022,5,,1.0,270.45,1172.6,186.32,213.17,97.89,229.78,181.65,481.59,415.95,182.56,"Neklanova, Prague - Vyšehrad",50.0667103,14.4200265,,Fully furnished,,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",,728060,1 bedroom,,,,50 m²,9/24/2022,2,,,187.82,338.29,111.0,241.4,39.4,347.76,25.85,486.49,569.58,575.91,"Karmelitská, Prague - Malá Strana",50.08657,14.4033198,,Fully furnished,,,,,,,,,,,,,
"CZK 22,500","CZK 5,500","CZK 28,000",726148,2 bedroom,Very good,Personal,G,67 m²,9/1/2022,2,Brick,1.0,732.67,524.1,711.78,1524.96,305.51,1047.89,590.4,485.73,128.14,417.23,Prague - Střešovice,50.08958,14.38264,Complete,Partly,Central,,1.0,1.0,,,,,1.0,,,,
"CZK 37,500","CZK 12,500",,725775,2+kk,,,,60 m²,9/11/2022,4,,1.0,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,Fully furnished,,,,,,,,,,,,,
"CZK 25,500","CZK 8,500",,727015,1 bedroom,,,,35 m²,9/21/2022,3,,1.0,97.26,259.91,105.72,291.36,79.07,194.41,340.41,525.24,106.28,298.87,"Koněvova, Prague - Žižkov",50.088447,14.458108,,Fully furnished,,,,,,,,,,1.0,,,
"CZK 21,750","CZK 7,250",,728426,Studio,,,,25 m²,10/2/2022,12,,1.0,228.88,257.2,204.55,166.76,173.2,262.96,328.04,408.55,436.47,292.09,"Freyova, Prague - Vysočany",50.108944,14.501028,,Fully furnished,,,,,,,,,,,,,
"CZK 36,450","CZK 12,150",,726075,3+kk,,,,82 m²,10/10/2022,6,,1.0,101.2,551.63,76.94,167.66,45.43,94.55,322.6,504.78,539.56,607.69,"Rumunská, Prague - Vinohrady",50.0739629,14.4309041,,Fully furnished,,,,,,,,,,,,,
"CZK 23,760","CZK 7,920",,728259,2 bedroom,,,,60 m²,10/1/2022,1,,,250.51,417.46,211.46,417.21,207.64,462.73,364.17,360.99,525.54,550.17,"Lublaňská, Prague - Vinohrady",50.0710848,14.4324122,,Fully furnished,,,,,,,,,,,,,
"CZK 41,756","CZK 13,919",,728695,4+1,,,,102 m²,10/4/2022,2,,,183.27,1023.84,165.5,746.11,195.16,730.27,819.74,259.7,600.66,303.35,"Xaveriova, Prague - Smíchov",50.0626569,14.3913498,,Fully furnished,,,,,,,,,,,,,
"CZK 20,625","CZK 6,875",,728424,2 bedroom,,,,45 m²,10/2/2022,10,,1.0,256.77,316.9,138.95,255.27,129.78,146.97,532.26,445.84,886.9,24.33,"Jablonecká, Prague - Střížkov",50.1245336,14.4947443,,Fully furnished,,,,,,,,,,,,,
"CZK 59,250","CZK 19,750",,717599,4+kk,,,,90 m²,8/23/2022,2,,1.0,140.09,527.92,223.64,125.85,37.89,66.77,510.79,1001.31,1180.94,559.23,"Stroupežnického, Prague - Smíchov",50.0710929,14.4032595,,Fully furnished,,,,,,,,,,,,,
"CZK 38,040","CZK 12,680",,724143,2 bedroom,,,,70 m²,8/23/2022,5,,,92.39,704.33,6.31,418.26,11.89,396.59,447.42,561.87,517.82,191.93,"Karoliny Světlé, Prague - Staré Město",50.0841726,14.4139535,,Fully furnished,,,,,,,,,,,,,
"CZK 60,000","CZK 20,000",,717693,2+kk,,,,,8/23/2022,3,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,Fully furnished,,,,,,,,,,,,,
"CZK 32,250","CZK 10,750",,727477,Studio,,,,27 m²,9/25/2022,4,,1.0,275.28,321.52,72.5,617.26,60.27,467.19,25.57,60.76,793.43,562.96,"Americká, Prague - Vinohrady",50.0717643,14.4385436,,Fully furnished,,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",,723520,1 bedroom,,,,30 m²,8/23/2022,3,,1.0,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,Fully furnished,,,,,,,,,,,,,
