Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Balcony,Cellar,Lift,New-build,Parking,Garage,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Ownership,Designe,Reconstruction,Terrace,Heating,Enclosed balcony,Administrative fee,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 15,900","CZK 5,000","CZK 32,000",720255,2+kk,7/1/2022,1,A,35 m²,Partly,New-build,Brick,,,,1.0,1.0,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,,,,,,,,
"CZK 16,000","CZK 5,000","CZK 33,000",720260,2+kk,7/1/2022,1,A,42 m²,Partly,New-build,Brick,,,,1.0,1.0,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,,,,,,,,
"CZK 12,000",CZK 300,"CZK 12,000",523543,6+1,6/13/2022,4,,130 m²,Fully furnished,,Brick,,,,,,,247.3,334.94,287.76,345.77,91.45,381.84,241.84,1025.19,885.8,264.59,"Janáčkovo nábřeží, Prague - Smíchov",50.0773068,14.4080995,,Personal,,Exterior,,,,,,,
"CZK 14,900","CZK 5,000","CZK 30,000",720261,2+kk,7/1/2022,1,A,45 m²,Partly,New-build,Brick,,,,1.0,1.0,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,,1.0,,,,,,
"CZK 22,500",CZK 0,"CZK 34,000",724112,2 bedroom,10/1/2022,1,G,50 m²,Partly,Very good,Brick,,1.0,,,,,223.09,740.62,215.3,404.59,207.61,474.03,404.07,276.61,298.27,269.34,Prague - Nusle,50.06368,14.42373,,,,,,,,,,,
"CZK 15,000","CZK 3,965","CZK 30,000",670414,2+kk,9/1/2022,4,B,58 m²,Fully furnished,New-build,Brick,1.0,,1.0,,,1.0,298.92,1555.45,474.48,1216.5,290.41,845.64,667.97,705.02,623.56,481.18,"V Zahradách, Prague - Libeň",50.11494,14.47612,10 to 30 years,Personal,,,,Central,,,,,
"CZK 14,900","CZK 5,000","CZK 30,000",720267,Studio,7/1/2022,2,A,35 m²,Partly,New-build,Brick,,,,1.0,1.0,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,,,,,,,,
"CZK 16,000","CZK 5,000","CZK 32,000",720270,Studio,7/1/2022,1,A,42 m²,Partly,New-build,Brick,,,,1.0,1.0,,,,,,,,,,,,Prague - Chodov,50.0401,14.48907,,,,,,,,,,,
"CZK 18,000","CZK 3,850","CZK 21,850",314235,2+kk,6/28/2022,2,,60 m²,Unfurnished,New-build,Brick,1.0,,,,,1.0,603.04,1474.15,1101.83,1604.73,1376.67,1410.76,1637.14,1535.11,1368.6,523.53,"Vidlák, Prague - Hostavice",50.0933097176,14.5630865833,,Personal,,,,,,,,,
"CZK 20,000","CZK 5,000","CZK 40,000",486984,Studio,7/11/2022,1,,48 m²,Fully furnished,,Low-energy,,1.0,1.0,1.0,,1.0,99.26,361.63,490.78,556.87,427.65,345.52,452.0,519.02,404.9,293.38,"Olšanská, Prague - Žižkov",50.0830187,14.4654473,Up to 10 years,Personal,,,1.0,,1.0,,,,
"CZK 12,000",CZK 750,"CZK 24,000",724672,1 bedroom,7/4/2022,3,G,51 m²,Unfurnished,Very good,Brick,,1.0,,,,,119.95,1153.11,93.25,151.46,130.57,98.23,217.4,440.03,250.34,312.89,Prague - Žižkov,50.09146,14.47332,,,,,,,,,,,
"CZK 24,000","CZK 2,000","CZK 40,000",723910,3+1,9/1/2022,2,G,79 m²,Partly,Very good,Brick,1.0,1.0,,,,,237.02,843.2,191.79,619.85,114.39,618.19,432.8,347.63,586.67,230.14,Prague - Vršovice,50.07198,14.46205,,,Standard,,,,,,,,
"CZK 16,000","CZK 2,000","CZK 16,000",407391,2 bedroom,8/1/2022,2,C,63 m²,Fully furnished,Very good,Brick,1.0,,,,1.0,,756.04,645.81,666.88,2935.48,777.9,628.15,1349.07,521.53,2225.26,319.83,"Vehlovická, Prague - Čimice",50.1418764,14.4210868,,Personal,Standard,,,Gas boiler,,,,,
"CZK 21,500","CZK 3,500","CZK 30,000",695442,2 bedroom,7/1/2022,4,G,70 m²,Partly,Good,Brick,,,1.0,,,,118.29,670.2,187.03,312.26,48.04,14.26,444.24,1923.69,345.16,746.55,"Dukelských hrdinů, Prague - Holešovice",50.10348,14.43225,,Personal,,,,,,,,,
"CZK 12,500","CZK 3,500","CZK 25,000",724671,Studio,8/1/2022,3,B,34 m²,Fully furnished,New-build,Low-energy,1.0,,1.0,1.0,,1.0,518.47,1006.6,256.51,3083.75,240.6,1129.45,1023.85,130.02,2001.81,164.0,Prague - Čakovice,50.15646,14.51509,,,,,,,,,,,
"CZK 23,000","CZK 4,000","CZK 23,000",695067,2+kk,2/1/2022,3,B,47 m²,Fully furnished,New-build,Brick,,,1.0,,,,181.38,538.71,88.67,261.45,6.72,198.21,400.23,362.63,176.46,277.43,"Tusarova, Prague - Holešovice",50.101887608886,14.45268887592,,Personal,,,,,,,,,
"CZK 22,000","CZK 4,000","CZK 30,000",724593,3+1,7/10/2022,1,G,78 m²,Unfurnished,Very good,Brick,,,,,,,275.99,237.57,187.93,147.65,110.52,275.78,212.62,309.08,345.47,403.05,Prague - Smíchov,50.07431,14.40502,,,,,,,,,,,
"CZK 79,000","CZK 20,000","CZK 158,000",714217,3+kk,7/1/2022,4,B,164 m²,Fully furnished,New-build,Other,,1.0,1.0,,1.0,,384.26,1775.9,682.53,228.18,659.39,778.18,602.6,888.16,165.88,617.77,"Ke Dvoru, Prague - Vokovice",50.09653,14.34031,,Personal,Luxurious,,1.0,Distance,,,,,
"CZK 16,074","CZK 5,358",,724236,Studio,7/6/2022,3,,27 m²,Fully furnished,,,,,,,,,356.54,735.0,453.42,353.01,373.67,572.85,1041.11,326.33,1013.94,65.27,"Buštěhradská, Prague - Střešovice",50.0968441,14.3897247,,,,,,,,,,,
"CZK 13,990","CZK 2,429","CZK 16,419",724667,2+kk,7/5/2022,7,F,40 m²,Fully furnished,Good,Prefab concrete,,1.0,1.0,,,,90.11,347.99,277.17,355.32,288.14,343.93,183.31,177.43,908.79,427.17,"Novodvorská, Prague - Braník",50.02595305555,14.43094388888,,Personal,,,,,,"CZK 16,419",,,
"CZK 19,000","CZK 4,000","CZK 35,000",724666,2+kk,8/10/2022,2,G,53 m²,Fully furnished,New-build,Brick,,,,,,,515.72,1592.09,1152.15,1542.36,868.5,1100.81,701.25,621.88,402.37,116.68,Prague - Smíchov,50.07555,14.36079,,,,,,,1.0,,,,
"CZK 10,000","CZK 3,000","CZK 13,000",724664,Small studio,7/4/2022,4,G,21 m²,Partly,Very good,Brick,,,,,,,83.12,107.31,13.27,101.25,33.01,122.39,297.31,407.24,362.9,463.34,Prague - Žižkov,50.08417,14.45159,,,,,,,,,,,
"CZK 15,000","CZK 4,500","CZK 40,000",690939,2+kk,7/1/2022,8,B,41 m²,Partly,Very good,Prefab concrete,1.0,,1.0,,1.0,,174.46,172.95,79.71,2502.65,185.1,123.29,374.59,1558.26,1468.67,118.63,"Žukovského, Prague - Ruzyně",50.090668,14.3081756,30 - 50 years,Personal,Standard,Complete,,Distance,,,,,
"CZK 21,990","CZK 2,898","CZK 24,888",724661,3+kk,7/5/2022,8,G,75 m²,Partly,Good,Prefab concrete,,1.0,1.0,,,,160.63,558.54,263.99,258.01,134.0,265.96,153.66,667.55,558.02,251.01,"Přímětická, Prague - Michle",50.04637305555,14.44896111111,,Personal,,,,,,"CZK 24,888",,,
"CZK 29,400","CZK 5,000","CZK 34,400",720415,2+kk,5/30/2022,1,G,90 m²,Fully furnished,New-build,Other,,,1.0,,1.0,1.0,338.49,1248.67,777.04,957.6,399.57,957.91,1181.0,168.16,888.66,114.86,Prague - Vysočany,50.11566,14.51013,,,,,,,,,,,
"CZK 17,000","CZK 4,500","CZK 40,000",721765,2+kk,7/1/2022,4,G,55 m²,Partly,New-build,Brick,,,,,,,469.82,1002.94,516.83,1785.28,521.02,614.13,432.57,395.23,480.78,205.34,Prague - Libuš,50.01273,14.44535,,,,,,,,,,,
"CZK 27,000","CZK 6,500","CZK 33,500",724102,4+kk,6/29/2022,1,F,110 m²,Unfurnished,Very good,Brick,,1.0,,,,,221.91,1454.82,87.21,845.4,294.99,253.45,444.69,138.34,503.18,523.88,Prague - Dejvice,50.10798,14.38969,,,,,,,,,,,
"CZK 19,000","CZK 4,700","CZK 30,000",724086,3+1,9/1/2022,3,B,73 m²,Partly,Very good,Prefab concrete,,,1.0,,,,138.41,1021.31,106.59,654.39,195.46,187.05,495.71,431.15,1738.84,221.68,Prague - Černý Most,50.10596,14.57308,,,,,,,1.0,,,,
"CZK 22,950","CZK 7,650",,720321,Studio,7/29/2022,1,,30 m²,Fully furnished,,,,,,,,,132.37,501.79,36.37,411.65,20.42,261.97,31.33,216.92,578.69,177.33,"Klimentská, Prague - Nové Město",50.0922767,14.4324355,,,,,,,,,,,
"CZK 15,000","CZK 5,000",,724652,Studio,9/1/2022,6,,30 m²,Fully furnished,,,,,,,,,62.55,211.53,81.32,128.57,14.62,208.26,157.68,356.92,390.85,451.63,"Heydukova, Prague - Libeň",50.1035007,14.4751127,,,,,,,,,,,
"CZK 30,000","CZK 2,600","CZK 60,000",724650,2 bedroom,7/4/2022,4,G,91 m²,Partly,Very good,Brick,1.0,1.0,1.0,,,,302.0,238.01,247.55,266.19,121.13,325.91,148.52,400.64,944.25,459.99,Prague - Nové Město,50.07634,14.41639,,,Luxurious,Complete,,,,,,,
"CZK 19,000","CZK 6,000","CZK 25,000",724647,3+kk,7/4/2022,5,G,49 m²,Partly,Good,Brick,,1.0,,,,,195.13,677.09,272.52,491.63,193.45,240.55,250.1,211.03,546.19,371.92,Prague - Břevnov,50.08551,14.37249,,,,,1.0,,1.0,,,,
"CZK 16,000",CZK 0,"CZK 16,000",550011,4+1,7/5/2019,19,A,26 m²,Fully furnished,New-build,Low-energy,1.0,1.0,1.0,1.0,1.0,1.0,110.29,517.45,40.44,41.35,24.43,76.41,292.45,181.86,1302.89,204.35,"Petržílkova, Prague - Stodůlky",50.050706268831,14.348084754523,Up to 10 years,Cooperative,Luxurious,Complete,1.0,Distance,1.0,,,,
"CZK 18,000",CZK 700,"CZK 18,700",724644,2 bedroom,7/4/2022,3,G,70 m²,Unfurnished,Good,Brick,,,,,,,177.41,1162.87,784.53,1784.42,248.45,1289.01,812.14,1209.67,507.67,576.45,Prague - Hostivař,50.05548,14.53938,,,,,,,,,,,
"CZK 19,000","CZK 3,000","CZK 20,000",705090,Studio,7/7/2022,1,C,31 m²,Fully furnished,Very good,Brick,,,,,,,113.34,289.06,83.65,400.81,17.89,95.25,270.37,279.09,374.04,331.65,"Sokolovská, Prague - Karlín",50.0925008,14.4438167,Up to 10 years,Cooperative,Luxurious,Complete,,Central,,,,,
"CZK 36,000","CZK 6,000","CZK 42,000",724642,2 bedroom,7/4/2022,3,G,72 m²,Unfurnished,Very good,Brick,1.0,,1.0,,,1.0,190.62,241.74,3.79,258.03,141.41,283.34,114.97,303.2,637.85,149.7,Prague - Vinohrady,50.07889,14.4503,,,,,,,,,,,
"CZK 57,000","CZK 8,830","CZK 65,830",720855,4+kk,6/2/2022,3,G,110 m²,Unfurnished,Very good,Brick,1.0,1.0,1.0,,1.0,,91.01,254.74,137.58,110.13,57.48,149.86,319.23,477.31,263.02,386.4,Prague - Nové Město,50.08676,14.43233,,,,,,,,,,,
"CZK 32,000","CZK 6,000","CZK 38,000",724619,2+kk,7/4/2022,4,G,83 m²,Unfurnished,Very good,Brick,,,1.0,,,,344.33,616.92,69.31,274.61,44.69,137.75,322.3,866.01,188.27,454.99,Prague - Karlín,50.0938,14.45505,,,,,,,,,,,
"CZK 30,000","CZK 7,000","CZK 37,000",724616,3+kk,7/4/2022,4,G,113 m²,Unfurnished,Good,Brick,,,,,,,134.84,389.72,10.81,375.7,11.2,30.53,358.82,90.64,282.58,389.14,Prague - Vinohrady,50.07711,14.44353,,,,,,,,,,,
"CZK 17,925","CZK 5,975",,722005,Studio,8/11/2022,2,,33 m²,Fully furnished,,,,,1.0,,,,101.18,101.45,145.17,163.35,18.04,264.85,443.76,1400.9,420.74,148.07,"Sokolovská, Prague - Karlín",50.0933405,14.449225,,,,,,,,,,,
"CZK 21,000","CZK 7,000",,724608,2 bedroom,8/4/2022,9,,53 m²,Fully furnished,,,,,1.0,,,,125.93,351.52,458.39,239.89,349.44,469.18,335.68,124.41,1424.09,330.78,"Arabská, Prague - Vokovice",50.0992269,14.3632307,,,,,,,,,,,
"CZK 33,150","CZK 11,050",,717601,2 bedroom,7/6/2022,3,,65 m²,Fully furnished,,,,,1.0,,,,167.88,319.4,98.79,226.57,101.05,409.22,227.05,243.11,631.69,429.01,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,
"CZK 30,000","CZK 10,000",,718922,Studio,7/6/2022,5,,45 m²,Fully furnished,,,,,1.0,,,,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,
"CZK 33,750","CZK 11,250",,719175,2 bedroom,7/17/2022,-1,,50 m²,Fully furnished,,,,,1.0,,,,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,718920,2+kk,8/4/2022,3,,60 m²,Fully furnished,,,1.0,,1.0,,,,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,1.0,,,,,,
"CZK 32,250","CZK 10,750",,724079,Studio,8/28/2022,4,,27 m²,Fully furnished,,,,,1.0,,,,275.28,321.52,72.5,617.26,60.27,467.19,25.57,60.76,793.43,562.96,"Americká, Prague - Vinohrady",50.0717643,14.4385436,,,,,,,,,,,
