Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Front garden,Total number of floors,Age,New building,Renovation,Developer name,Project name,Kód jednotky,Administration fee
697541,"CZK 12,000",50.06133,14.39786,"Radlická, Prague - Smíchov",1 bedroom with open-plan kitchen,41 m²,"CZK 2,800",Partially furnished,2,No,No,Yes,No,No,No,No,17. 01. 2022,32,953,43,803,4,498,416,516,623,501,Excellent,"CZK 24,000",Personal,Brick building,G,,,,,,,,,,,
690577,"CZK 22,500",50.0633339,14.4440155,"Mečislavova, Prague - Nusle",1 bedroom with open-plan kitchen,56 m²,"CZK 7,500",Furnished,5,No,No,No,No,No,Yes,No,25. 01. 2022,243,541,100,272,177,315,457,820,635,594,,,,,,,,,,,,,,,,
695961,"CZK 16,000",50.0447894,14.5176232,"náměstí Přátelství, Prague - Hostivař",1 bedroom with open-plan kitchen,50 m²,"CZK 3,500",Furnished,7,No,Yes,Yes,Yes,No,Yes,Yes,01. 02. 2022,143,144,60,49,903,282,996,92,,,Good,"CZK 32,000",Personal,Brick building,C,Standard materials and solutions,Central heating,,,,,,,,,
694362,"CZK 8,500",50.06872,14.49112,"Pitkovická, Prague - Strašnice",Small studio,21 m²,"CZK 1,200",Partially furnished,2,No,No,No,No,No,No,No,01. 12. 2021,82,"1,127",250,723,49,445,362,655,407,200,Excellent,"CZK 10,000",Personal,Brick building,G,,,,,,,,,,,
697538,"CZK 10,000",50.09119,14.43295,"Petrská, Prague - Nové Město",1 bedroom with open-plan kitchen,66 m²,"CZK 2,500",Furnished,1,No,No,Yes,No,No,Yes,Yes,31. 12. 2021,32,367,3,322,50,170,176,121,483,384,Excellent,"CZK 12,500",Personal,Brick building,G,,,,,,,,,,,
680095,"CZK 63,113",50.0761284,14.4327244,"Londýnská, Prague - Vinohrady",3 bedroom,70 m²,"CZK 21,037",Furnished,3,No,Yes,No,No,No,No,No,02. 01. 2022,100,264,66,90,3,201,314,391,396,647,,,,,,,,,,,,,,,,
680052,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,45 m²,"CZK 12,000",Furnished,3,No,No,No,No,No,Yes,No,02. 01. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
680048,"CZK 39,750",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom with open-plan kitchen,75 m²,"CZK 13,250",Furnished,4,No,No,No,No,No,Yes,No,02. 01. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
691974,"CZK 17,199",50.1006418,14.4875772,"Skloněná, Prague - Vysočany",1 bedroom with open-plan kitchen,71 m²,"CZK 2,477",,1,No,No,No,No,No,No,No,22. 10. 2021,115,"1,052",121,904,135,"1,221",265,258,437,297,Good,"CZK 20,000",,Other,,,,,,,,,,,,
695449,"CZK 12,222",50.0444182,14.5658448,"Na Křečku, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,44 m²,"CZK 4,300",,1,No,No,No,No,No,No,No,07. 12. 2021,69,795,641,752,433,224,606,487,907,285,Good,"CZK 16,500",Personal,Other,,,,,,,,,,,,
693665,"CZK 11,000",50.0067412,14.4376047,"Vazovova, Prague - Modřany",Studio,30 m²,"CZK 2,200",Furnished,6,No,No,No,No,No,Yes,No,24. 11. 2021,340,"1,001",354,"1,187",851,479,817,202,,,Excellent,"CZK 20,000",Personal,Prefab concrete building,C,,,,,,,,,,,
697535,"CZK 10,000",50.12107,14.49464,"Vysočanská, Prague - Prosek",1 bedroom with open-plan kitchen,40 m²,"CZK 4,600",Furnished,8,No,No,No,Yes,No,Yes,No,01. 01. 2022,157,549,171,409,362,170,529,208,922,332,Good,"CZK 10,000",Personal,Prefab concrete building,G,,,,,,,,,,,
697428,"CZK 12,000",50.079054,14.433914,"Španělská, Prague - Vinohrady",Studio,19 m²,"CZK 2,000",Furnished,6,No,No,No,No,No,Yes,No,01. 01. 2022,121,405,159,357,118,126,414,414,569,722,Excellent,"CZK 14,000",Personal,Brick building,G,,,,,,,,,,,
697521,"CZK 15,000",50.10712,14.49347,"Drahobejlova, Prague - Libeň",1 bedroom,42 m²,"CZK 4,000",Furnished,2,No,No,Yes,No,No,No,No,01. 03. 2022,191,385,113,596,91,184,270,495,282,223,Excellent,"CZK 30,000",Cooperative,Brick building,G,,,,,,,,,,,
618294,"CZK 11,500",50.115462,14.507455,"Na Vysočanských Vinicích, Prague - Vysočany",Studio,23 m²,"CZK 1,700",Partially furnished,1,No,Yes,No,No,No,No,No,01. 04. 2022,311,"1,043",754,759,362,857,"1,079",472,684,197,Excellent,"CZK 15,000",Personal,Brick building,B,Premium materials and solutions,Gas boiler,10 m²,,,,,,,,
680073,"CZK 30,000",50.0372353,14.482405,"Hněvkovská, Prague - Chodov",1 bedroom with open-plan kitchen,55 m²,"CZK 10,000",Furnished,3,No,No,No,No,No,No,No,02. 01. 2022,469,"1,480",408,"1,340",370,"1,305",889,"1,194",334,309,,,,,,,,,,,,,,,,
680050,"CZK 39,750",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom with open-plan kitchen,75 m²,"CZK 13,250",Furnished,2,No,No,No,No,No,Yes,No,02. 01. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
690503,"CZK 26,400",50.0779159,14.4375296,"Vinohradská, Prague - Vinohrady",1 bedroom with open-plan kitchen,40 m²,"CZK 8,800",Furnished,7,No,No,No,No,No,Yes,No,02. 01. 2022,75,316,151,67,35,51,260,350,400,731,,,,,,,,,,,,,,,,
680054,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,45 m²,"CZK 12,000",Furnished,1,No,No,No,No,No,Yes,No,02. 01. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
692955,"CZK 13,000",50.0376426,14.3402209,"Kurzova, Prague - Stodůlky",3 bedroom,73 m²,"CZK 5,700",Partially furnished,6,No,No,No,No,No,No,No,19. 12. 2021,429,378,106,996,254,375,229,314,263,203,Good,"CZK 20,000",Cooperative,Prefab concrete building,G,,,,,,,,,,,
697453,"CZK 24,000",50.06837,14.43548,"Bělehradská, Prague - Vinohrady",3 bedroom,100 m²,CZK 650,Unfurnished,2,No,No,No,No,No,No,No,10. 01. 2022,19,555,23,576,46,675,444,477,410,497,Excellent,"CZK 24,000",Personal,Brick building,G,Standard materials and solutions,Gas boiler,,Middle floor,,,,,,,
697507,"CZK 20,000",50.0886,14.34208,"Pláničkova, Prague - Veleslavín",1 bedroom with open-plan kitchen,69 m²,"CZK 5,300",Partially furnished,3,No,Yes,No,No,Yes,Yes,Yes,01. 02. 2022,209,553,208,189,154,225,399,287,851,218,Excellent,"CZK 40,000",Personal,Brick building,G,Premium materials and solutions,District heating,,Middle floor,10 to 30 years years,,,,,,
168132,"CZK 15,000",50.0557855,14.4922111,"Na Slatince, Prague - Záběhlice",1 bedroom with open-plan kitchen,70 m²,"CZK 4,125",Unfurnished,5,Yes,No,No,No,No,Yes,No,15. 01. 2022,130,863,434,"1,267",301,336,329,810,144,329,New build,"CZK 20,000",Personal,Brick building,B,,District heating,,,1 to 10 years years,Yes,,,,,
680053,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,45 m²,"CZK 12,000",Furnished,2,No,No,No,No,No,Yes,No,02. 01. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
679995,"CZK 28,500",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",1 bedroom,43 m²,"CZK 9,500",Furnished,7,No,No,No,No,No,Yes,No,02. 01. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,
690882,"CZK 14,100",50.076102,14.4425261,"Slezská, Prague - Vinohrady",Studio,20 m²,"CZK 4,700",Furnished,2,No,No,No,No,No,Yes,Yes,03. 01. 2022,165,288,158,295,2,226,409,117,337,449,,,,,,,,,,,,,,,,
285928,"CZK 14,000",50.0969546,14.4652086,"Molákova, Prague - Karlín",Studio,28 m²,"CZK 3,000",Furnished,10,No,Yes,No,No,No,Yes,No,,108,"1,177",92,"1,032",226,771,442,685,901,149,,"CZK 30,000",Personal,Other,,,,,,,,,,,,
626018,"CZK 10,500",50.065777,14.495926,"Strančická, Prague - Strašnice",Studio,34 m²,"CZK 2,700",Furnished,,No,Yes,No,No,No,No,No,01. 03. 2022,190,"1,464",236,"1,168",304,473,296,403,820,492,New build,"CZK 10,500",Personal,Brick building,A,,,13 m²,,1 to 10 years years,,,,,,
697506,"CZK 13,200",50.10077,14.41751,"Jana Zajíce, Prague - Bubeneč",1 bedroom,44 m²,"CZK 2,800",Furnished,5,No,No,No,No,No,No,No,03. 01. 2022,101,486,242,365,89,572,254,161,196,,Good,"CZK 26,000",Cooperative,Brick building,G,,,,,,,,,,,
594659,"CZK 11,000",50.06888,14.433909,"Pod Zvonařkou, Prague - Vinohrady",Studio,30 m²,CZK 800,Partially furnished,1,No,No,Yes,No,No,No,No,10. 01. 2022,90,622,113,712,173,657,489,522,335,422,Good,"CZK 15,000",Personal,Brick building,C,Standard materials and solutions,,50 m²,Raised ground floor,30 to 50 years years,,Interior,,,,
696924,"CZK 31,706",50.0183023,14.5625656,"Ibišková, Prague - Křeslice",4 bedroom with open-plan kitchen,180 m²,"CZK 10,569",Furnished,1,Yes,Yes,No,No,No,No,Yes,02. 01. 2022,695,843,921,,,,,,,,,,,,,,,,,,,,,,,
690487,"CZK 15,334",50.0839446,14.4142188,"Karoliny Světlé, Prague - Staré Město",1 bedroom,29 m²,"CZK 5,111",Furnished,2,No,No,No,No,No,No,No,02. 01. 2022,121,731,23,390,14,376,531,533,489,221,,,,,,,,,,,,,,,,
686749,"CZK 34,200",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,64 m²,"CZK 11,400",Furnished,3,Yes,Yes,No,No,No,Yes,No,02. 01. 2022,110,274,157,129,77,143,300,496,282,367,,,,,,,,,,,,,,,,
596743,"CZK 11,500",50.042999,14.552268,"Nad Přehradou, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,45 m²,"CZK 3,500",Partially furnished,2,No,No,No,No,No,Yes,No,01. 01. 2022,249,423,281,797,647,716,414,496,463,70,Excellent,"CZK 15,000",Personal,Prefab concrete building,C,Standard materials and solutions,District heating,,Middle floor,1 to 10 years years,,Overall,,,,
689531,"CZK 11,500",50.088,14.48924,"Na Rovnosti, Prague - Žižkov",1 bedroom with open-plan kitchen,44 m²,"CZK 2,500",Unfurnished,2,No,No,Yes,No,No,Yes,No,01. 11. 2021,212,659,274,675,203,664,620,464,264,588,Excellent,"CZK 11,500",Cooperative,Prefab concrete building,G,,District heating,,Middle floor,,,,,,,
619815,"CZK 11,000",50.081986,14.625491,"Na Vaňhově, Prague - Běchovice",2 bedroom with open-plan kitchen,75 m²,"CZK 4,000",,,No,No,No,No,No,No,No,01. 02. 2022,220,437,659,742,793,853,686,896,,,Excellent,"CZK 15,000",,Other,C,,,,,,,,,,,
344771,"CZK 14,000",50.1393916,14.5196612,"Miroslava Hajna, Prague - Letňany",1 bedroom with open-plan kitchen,45 m²,"CZK 3,500",Furnished,2,Yes,No,No,No,No,No,No,01. 01. 2022,420,536,"1,087","1,103",351,640,930,"1,114","1,191",151,,"CZK 20,000",Personal,Brick building,B,,,,,,Yes,,,,,
697496,"CZK 18,000",50.08422,14.36744,"Bělohorská, Prague - Břevnov",2 bedroom,56 m²,"CZK 3,300",Partially furnished,2,Yes,No,Yes,No,No,Yes,No,01. 01. 2022,278,268,83,23,140,98,135,394,201,351,Excellent,"CZK 40,000",Personal,Brick building,G,,,,Middle floor,,,,,,,
691910,"CZK 18,188",50.0717643,14.4385436,"Americká, Prague - Vinohrady",1 bedroom,43 m²,"CZK 6,062",Furnished,3,No,No,No,No,No,Yes,No,02. 01. 2022,272,322,70,607,60,509,83,250,792,565,,,,,,,,,,,,,,,,
581839,"CZK 16,400",50.128615,14.483932,"Březenská, Prague - Libeň",1 bedroom with open-plan kitchen,62 m²,"CZK 3,550",Furnished,2,No,No,No,No,Yes,Yes,Yes,01. 02. 2022,163,"1,180",257,"1,235",458,249,195,728,919,192,New build,"CZK 45,000",Personal,Low-energy building,B,Premium materials and solutions,District heating,,Middle floor,1 to 10 years years,Yes,,,,,
605739,"CZK 11,500",50.10469,14.479042,"Novákových, Prague - Libeň",1 bedroom with open-plan kitchen,41 m²,"CZK 1,000",,4,No,No,No,No,No,Yes,No,01. 01. 2022,54,335,162,334,29,288,357,446,198,393,Excellent,"CZK 20,000",Personal,Brick building,G,,Gas boiler,,Middle floor,,,,,,,
618545,"CZK 6,450",49.984797,14.364209,"Vrážská, Prague - Radotín",Studio,25 m²,"CZK 2,450",Furnished,,No,No,No,No,Yes,Yes,No,24. 07. 2020,55,616,36,12,175,50,572,621,438,339,Excellent,"CZK 8,900",Personal,Other,G,Standard materials and solutions,Central heating,,Ground floor,1 to 10 years years,,Interior,,,,
429687,"CZK 13,500",50.1299316,14.4847606,"Černého, Prague - Střížkov",3 bedroom,72 m²,"CZK 3,600",Partially furnished,7,Yes,No,No,No,No,No,No,01. 10. 2021,238,"1,269",431,"1,304",324,423,162,808,"1,030",119,Excellent,"CZK 13,500",Personal,Prefab concrete building,C,Standard materials and solutions,District heating,,Top floor,30 to 50 years years,,Exterior,,,,
446081,"CZK 14,990",50.0675396,14.3964309,"Tomkova, Prague - Smíchov",Studio,42 m²,"CZK 3,000",Furnished,1,Yes,No,No,No,No,Yes,No,16. 01. 2022,315,260,253,649,55,347,405,617,470,409,,"CZK 30,000",Personal,Brick building,,,,,,,,,,,,
697462,"CZK 16,500",50.1036064,14.5081927,"Kabešova, Prague - Vysočany",1 bedroom with open-plan kitchen,53 m²,"CZK 3,000",Furnished,1,No,Yes,No,No,No,No,No,01. 02. 2022,522,211,"1,301",795,"1,124","1,437","1,160",230,,,Excellent,"CZK 25,000",Personal,Brick building,C,,,,,,,,,,,
694964,"CZK 19,740",50.0732067,14.4301679,"Legerova, Prague - Nové Město",1 bedroom with open-plan kitchen,55 m²,"CZK 6,580",Furnished,-1,No,No,No,No,No,No,No,02. 02. 2022,130,623,39,144,67,181,352,471,568,617,,,,,,,,,,,,,,,,
696415,"CZK 30,638",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",3 bedroom,92 m²,"CZK 10,212",Furnished,7,No,Yes,No,No,No,Yes,No,15. 02. 2022,149,274,60,441,20,421,59,552,690,457,,,,,,,,,,,,,,,,
696414,"CZK 13,125",50.073014,14.4308483,"Tyršova, Prague - Nové Město",Studio,23 m²,"CZK 4,375",Furnished,5,No,No,No,No,No,Yes,No,15. 02. 2022,182,528,118,213,29,198,369,452,636,686,,,,,,,,,,,,,,,,
696908,"CZK 45,000",50.0862376,14.4435427,"Řehořova, Prague - Žižkov",4 bedroom,120 m²,"CZK 15,000",Furnished,6,No,Yes,No,No,No,Yes,No,21. 02. 2022,482,754,346,457,298,741,433,473,526,783,,,,,,,,,,,,,,,,
694837,"CZK 33,000",50.0920126,14.4239059,"Anežská, Prague - Staré Město",2 bedroom with open-plan kitchen,80 m²,"CZK 11,000",Furnished,2,No,No,No,No,No,No,No,01. 02. 2022,157,402,153,285,152,248,384,447,194,153,,,,,,,,,,,,,,,,
685604,"CZK 33,750",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 11,250",Furnished,2,No,No,No,No,No,Yes,No,02. 01. 2022,110,274,157,129,77,143,300,496,282,367,,,,,,,,,,,,,,,,
697484,"CZK 16,097",50.0865462,14.4320578,"Dlážděná, Prague - Nové Město",Studio,36 m²,"CZK 5,365",Furnished,2,No,Yes,No,No,No,Yes,Yes,01. 03. 2022,123,287,160,141,79,130,287,500,285,354,,,,,,,,,,,,,,,,
697483,"CZK 21,600",50.0873557,14.4001355,"Vlašská, Prague - Malá Strana",1 bedroom with open-plan kitchen,45 m²,"CZK 7,200",Furnished,4,Yes,No,No,No,No,No,No,01. 03. 2022,171,434,49,337,17,310,367,699,784,255,,,,,,,,,,,,,,,,
697482,"CZK 20,250",50.0719171,14.4429188,"Rybalkova, Prague - Vinohrady",1 bedroom with open-plan kitchen,48 m²,"CZK 6,750",Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,195,408,97,765,42,717,415,296,511,225,,,,,,,,,,,,,,,,
697480,"CZK 20,441",50.0707465,14.4307581,"Wenzigova, Prague - Nové Město",1 bedroom with open-plan kitchen,90 m²,"CZK 6,814",Furnished,6,No,Yes,No,No,No,Yes,No,01. 03. 2022,231,547,213,435,47,356,108,477,535,521,,,,,,,,,,,,,,,,
697479,"CZK 22,500",50.1059511,14.4731393,"Světova, Prague - Libeň",2 bedroom with open-plan kitchen,80 m²,"CZK 7,500",Furnished,3,No,No,No,No,No,No,No,01. 03. 2022,44,595,43,80,28,96,206,509,351,252,,,,,,,,,,,,,,,,
697478,"CZK 19,238",50.1031428,14.4966166,"Českomoravská, Prague - Libeň",1 bedroom with open-plan kitchen,58 m²,"CZK 6,412",Furnished,4,Yes,No,No,No,No,Yes,No,01. 03. 2022,322,704,403,304,301,205,590,"1,142",544,506,,,,,,,,,,,,,,,,
697477,"CZK 15,750",50.0716124,14.4594622,"Slovinská, Prague - Vršovice",1 bedroom with open-plan kitchen,42 m²,"CZK 5,250",Furnished,3,Yes,No,No,No,No,Yes,No,01. 03. 2022,152,674,40,445,81,448,262,312,748,277,,,,,,,,,,,,,,,,
697476,"CZK 15,750",50.0862376,14.4435427,"Řehořova, Prague - Žižkov",2 bedroom with open-plan kitchen,90 m²,"CZK 5,250",Furnished,2,No,No,No,No,No,No,No,01. 03. 2022,482,754,346,457,298,741,433,473,526,783,,,,,,,,,,,,,,,,
697475,"CZK 20,625",50.0739629,14.4309041,"Rumunská, Prague - Vinohrady",1 bedroom with open-plan kitchen,55 m²,"CZK 6,875",Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,181,525,82,168,45,95,309,378,542,609,,,,,,,,,,,,,,,,
697473,"CZK 27,000",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",2 bedroom,80 m²,"CZK 9,000",Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,149,274,60,441,20,421,59,552,690,457,,,,,,,,,,,,,,,,
697472,"CZK 13,613",50.0688939,14.4549305,"Moskevská, Prague - Vršovice",Studio,45 m²,"CZK 4,537",Furnished,6,No,Yes,No,No,No,Yes,No,01. 03. 2022,36,292,4,69,73,85,70,342,226,388,,,,,,,,,,,,,,,,
697471,"CZK 19,238",50.0984636,14.4253146,"Ovenecká, Prague - Holešovice",1 bedroom with open-plan kitchen,55 m²,"CZK 6,412",Furnished,5,No,No,No,No,No,Yes,No,01. 03. 2022,220,310,47,185,156,218,202,"1,485",496,451,,,,,,,,,,,,,,,,
697468,"CZK 22,350",50.1148427,14.4750191,"V Zahradách, Prague - Libeň",1 bedroom with open-plan kitchen,67 m²,"CZK 7,450",Furnished,2,Yes,Yes,No,No,No,Yes,Yes,01. 03. 2022,188,"1,403",485,"1,260",182,737,559,"1,425",906,405,,,,,,,,,,,,,,,,
697467,"CZK 22,669",50.073131,14.3495147,"Weberova, Prague - Motol",2 bedroom with open-plan kitchen,88 m²,"CZK 7,556",Furnished,2,Yes,No,No,No,No,No,No,01. 03. 2022,119,339,291,422,812,875,662,,,,,,,,,,,,,,,,,,,
617449,"CZK 15,000",50.058701,14.329511,"Za Mototechnou, Prague - Stodůlky",1 bedroom with open-plan kitchen,55 m²,"CZK 2,837",Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 03. 2022,146,706,704,"1,366","1,343",943,164,,,,New build,"CZK 30,000",Personal,Brick building,C,Premium materials and solutions,Central heating,,Middle floor,1 to 10 years years,,,,,,
430813,"CZK 19,900",50.1262741,14.4319591,"Velká skála, Prague - Troja",2 bedroom with open-plan kitchen,93 m²,"CZK 5,000",Furnished,2,No,Yes,No,No,Yes,No,No,01. 01. 2022,361,626,69,"1,243",574,"1,042",547,475,481,469,Excellent,"CZK 24,900",Personal,Brick building,A,,District heating,,,,,,,,,
696913,"CZK 12,000",50.01262,14.40006,"Vorařská, Prague - Modřany",Studio,43 m²,"CZK 2,800",Partially furnished,4,Yes,No,Yes,No,Yes,Yes,No,10. 01. 2022,226,"1,106",443,"1,350",768,"1,411","1,360",690,,,New build,"CZK 14,800",Personal,Brick building,B,Premium materials and solutions,Central heating,,Middle floor,,Yes,,,,,
695301,"CZK 9,375",50.068042,14.5177497,"Mokřanská, Prague - Strašnice",Studio,20 m²,"CZK 3,125",Furnished,2,No,No,No,No,No,No,No,11. 01. 2022,77,679,731,809,968,808,"1,484",638,,,,,,,,,,,,,,,,,,
697461,"CZK 14,824",50.063086,14.4469891,"U Pernštejnských, Prague - Nusle",1 bedroom with open-plan kitchen,44 m²,"CZK 3,247",,1,No,No,No,No,No,No,No,17. 12. 2021,310,735,349,439,325,481,624,636,802,693,Good,"CZK 18,071",Personal,Other,,,,,,,,,,,,
697456,"CZK 9,412",50.1275571,14.4158994,"Mazurská, Prague - Troja",1 bedroom,30 m²,"CZK 2,244",,1,No,No,No,No,No,No,No,29. 12. 2021,158,244,238,179,179,192,424,631,306,,Good,"CZK 11,656",Personal,Other,,,,,,,,,,,,
692278,"CZK 19,000",50.02829,14.50078,"Medkova, Prague - Chodov",2 bedroom with open-plan kitchen,92 m²,"CZK 4,500",Furnished,1,Yes,No,No,No,No,No,No,01. 01. 2022,701,818,445,920,508,660,"1,107",683,"1,475",372,Excellent,"CZK 36,000",Personal,Brick building,G,,,,,,,,,,,
691991,"CZK 19,450",50.05393,14.44023,"5. května, Prague - Nusle",1 bedroom with open-plan kitchen,65 m²,"CZK 4,927",,1,No,No,No,No,Yes,No,No,24. 11. 2021,40,177,122,399,130,154,109,657,647,271,Good,"CZK 25,000",,Other,,,,,,,,,,,,
697010,"CZK 19,000",50.0983305,14.5134504,"Mezitraťová, Prague - Hrdlořezy",1 bedroom with open-plan kitchen,72 m²,"CZK 3,900",Furnished,3,Yes,No,No,No,Yes,No,Yes,15. 01. 2022,141,"1,115","1,080","1,052","1,157","1,223","1,333",356,,,Excellent,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,
670579,"CZK 14,500",50.10742,14.53637,"Mochovská, Prague - Hloubětín",1 bedroom with open-plan kitchen,54 m²,"CZK 2,000",Furnished,2,No,No,No,No,No,No,No,01. 01. 2022,254,352,143,333,249,169,324,71,550,149,Excellent,"CZK 18,000",Personal,Brick building,C,,District heating,,,,,,,,,
697441,"CZK 10,000",50.0462798,14.4487533,"Přímětická, Prague - Michle",1 bedroom with open-plan kitchen,42 m²,"CZK 2,500",Partially furnished,8,No,No,No,No,No,Yes,No,01. 02. 2022,171,573,194,238,154,260,171,648,574,384,Excellent,"CZK 15,000",Personal,Prefab concrete building,G,,,,,,,,,,,
693404,"CZK 22,125",50.1085928,14.4915135,"U školičky, Prague - Libeň",2 bedroom with open-plan kitchen,63 m²,"CZK 7,375",Furnished,5,No,No,No,No,No,No,No,02. 01. 2022,181,533,222,533,196,258,442,227,114,112,,,,,,,,,,,,,,,,
695790,"CZK 18,375",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,30 m²,"CZK 6,125",Furnished,3,No,No,No,No,No,Yes,No,02. 01. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,
697438,"CZK 17,000",50.0268921,14.5300135,"Jurkovičova, Prague - Háje",1 bedroom with open-plan kitchen,53 m²,"CZK 3,200",Partially furnished,6,Yes,No,No,No,Yes,Yes,Yes,01. 01. 2022,58,933,342,590,370,664,217,433,725,375,New build,"CZK 34,000",Personal,Prefab concrete building,B,,,,,,,,,,,
616801,"CZK 15,000",50.044402,14.336721,"Zvoncovitá, Prague - Stodůlky",1 bedroom with open-plan kitchen,56 m²,"CZK 4,000",Furnished,8,Yes,No,No,No,No,No,No,15. 07. 2020,138,462,79,491,235,483,210,366,653,103,Excellent,"CZK 30,000",Personal,Prefab concrete building,C,Standard materials and solutions,District heating,,Middle floor,,,Interior,,,,
