Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Ownership,Age,Designe,Building type,Heating,EPC,Condition,Enclosed balcony,Lift,Cellar,Balcony,Parking,Garage,New-build,Reconstruction,Terrace,Administrative fee,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 18,500","CZK 4,450",250589,2+kk,10/1/2022,56 m²,Fully furnished,5,112.37,1728.65,273.39,1403.19,946.88,435.04,746.81,1137.95,841.46,132.08,"Podkovářská, Prague - Vysočany",50.1035853,14.5128379,"CZK 30,000",Personal,10 to 30 years,Standard,Brick,Central,,,,1.0,1.0,1.0,,1.0,,,,,,,
"CZK 12,800","CZK 2,700",574714,Studio,8/1/2022,42 m²,Fully furnished,5,379.23,661.81,1037.58,1240.77,249.85,777.99,1026.42,950.71,146.76,248.94,Prague - Letňany,50.1409392,14.5191286,"CZK 25,600",Personal,,,Brick,,B,New-build,,1.0,,1.0,,,,,,,,,
"CZK 11,000","CZK 2,500",723936,Small studio,7/1/2022,20 m²,Fully furnished,,294.42,595.44,95.3,370.38,20.25,526.88,508.84,415.42,616.27,206.02,Prague - Žižkov,50.08013,14.45882,"CZK 13,500",,Up to 10 years,Standard,Brick,Electric boiler,C,New-build,,,,,1.0,,1.0,,,,,,
"CZK 15,000","CZK 4,000",608603,1 bedroom,7/17/2022,31 m²,Fully furnished,1,456.0,788.24,63.08,304.62,66.11,392.4,326.9,178.12,380.28,317.56,"Podskalská, Prague - Nové Město",50.070208,14.415621,"CZK 19,000",Personal,,,Brick,,G,Very good,,1.0,,,,,,,,,,,
"CZK 14,500","CZK 2,500",628997,Studio,7/21/2022,27 m²,Partly,2,362.81,259.2,126.77,286.13,118.18,279.99,159.44,215.84,295.88,466.72,"Vlkova, Prague - Žižkov",50.083992,14.448523,"CZK 18,000",Personal,Up to 10 years,Luxurious,Brick,Central,A,Very good,,,,,,,,Complete,,,,,
"CZK 11,900","CZK 3,000",617653,Studio,7/22/2022,31 m²,Fully furnished,,152.22,1042.16,136.95,723.59,474.95,848.23,269.24,2117.47,1099.66,20.47,"Míšovická, Prague - Zličín",50.05692975,14.28357805,"CZK 20,000",Personal,Up to 10 years,,Brick,Central,B,New-build,,1.0,1.0,,1.0,1.0,1.0,,,,,,
"CZK 21,263","CZK 7,087",726707,Studio,9/16/2022,25 m²,Fully furnished,2,16.14,571.72,591.99,168.66,78.25,107.06,473.95,660.34,685.7,384.9,"Stroupežnického, Prague - Smíchov",50.0713827,14.4031506,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 2,500",726703,1 bedroom,8/1/2022,43 m²,Partly,2,127.71,1008.93,345.04,790.83,220.19,759.09,476.6,451.2,657.14,226.68,Prague - Nusle,50.05823,14.44272,"CZK 28,000",,,,Brick,,G,Very good,,,,,,,,,,,,,
"CZK 12,000","CZK 3,000",726701,Small studio,7/20/2022,30 m²,Partly,2,252.15,174.67,201.91,195.35,157.71,187.08,81.76,421.52,87.59,299.91,Prague - Strašnice,50.07473,14.49243,"CZK 12,000",,,,Brick,,G,Very good,,,1.0,,,,,,,,,,
"CZK 14,000","CZK 3,000",725963,2+kk,8/1/2022,40 m²,Partly,2,229.49,848.48,168.81,434.26,164.33,658.74,923.53,186.34,452.57,150.17,Prague - Krč,50.04078,14.43483,"CZK 17,000",,,,Prefab concrete,,A,Very good,,,,1.0,,,,,,,,,
"CZK 25,000","CZK 3,700",725937,Studio,8/1/2022,27 m²,Fully furnished,5,185.24,329.01,194.37,186.19,90.06,377.21,518.65,520.95,413.15,566.37,Prague - Vinohrady,50.07794,14.43242,"CZK 25,000",,,Luxurious,Brick,Electric boiler,D,New-build,,1.0,,,,,1.0,Complete,,,,,
"CZK 18,000","CZK 3,300",604273,2+kk,7/20/2022,61 m²,Partly,1,45.95,1093.17,702.03,2199.64,255.82,1187.69,725.05,1617.73,372.2,860.89,"Drnovská, Prague - Ruzyně",50.082872,14.310397,"CZK 20,000",Personal,Up to 10 years,,Brick,Gas boiler,B,Very good,,,,1.0,1.0,,,,,,,,
"CZK 16,100","CZK 2,823",726445,Studio,8/1/2022,43 m²,Partly,1,7.28,1097.81,154.23,1383.42,609.48,173.41,1516.46,792.03,1017.02,104.89,Prague - Michle,50.05667,14.46891,"CZK 40,000",,,,Brick,,A,New-build,,,,,,,,,,,,,
"CZK 16,020","CZK 4,000",721677,2+kk,7/1/2022,45 m²,Partly,4,418.72,1747.18,1059.31,1598.51,833.91,1531.62,1428.09,1672.66,1336.97,846.18,Prague - Kyje,50.11506,14.56703,"CZK 40,000",,,,Brick,,B,Very good,,1.0,1.0,1.0,,,,,,,,,
"CZK 17,500","CZK 3,500",496322,3+kk,7/1/2020,103 m²,Partly,3,14.6,1221.25,690.26,924.5,384.71,906.82,694.51,585.91,962.13,176.62,"Na Vypichu, Prague - Břevnov",50.083915,14.3410506,"CZK 25,000",Personal,,,Brick,Gas boiler,,,1.0,,,,,1.0,,,,,,,
"CZK 12,500","CZK 3,300",723140,Studio,8/1/2022,29 m²,Partly,1,28.1,2042.88,1153.87,1928.38,775.52,1162.54,1013.99,1523.3,1860.41,256.08,Prague - Újezd u Průhonic,50.01773,14.52555,"CZK 25,000",Personal,Up to 10 years,Luxurious,Low-energy,Central,C,New-build,,1.0,1.0,1.0,1.0,,1.0,,,,,,
"CZK 16,300","CZK 3,500",726688,1 bedroom,7/20/2022,38 m²,Partly,4,247.2,509.85,279.35,288.49,304.6,290.19,538.66,721.57,788.84,306.27,Prague - Libeň,50.12064,14.45436,"CZK 20,000",,,,Brick,,G,Very good,,,,,,,,,1.0,,,,
"CZK 13,800","CZK 2,500",726686,Small studio,9/1/2022,30 m²,Partly,4,150.49,1046.7,79.93,248.94,178.51,293.03,143.94,630.82,507.58,740.54,Prague - Holešovice,50.09981,14.43615,"CZK 15,000",,,,Brick,,G,Very good,,1.0,1.0,,,,,,,,,,
"CZK 48,000","CZK 16,000",717684,3+1,8/2/2022,72 m²,Fully furnished,5,273.55,299.9,80.57,586.7,68.95,312.33,103.27,252.88,792.89,567.68,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,1.0,,,,,,,,,,,
"CZK 14,500","CZK 4,500",653751,2 bedroom,8/8/2022,59 m²,Partly,3,111.96,1169.81,120.53,844.35,234.19,680.09,120.7,825.34,1109.6,1138.18,Prague - Vysočany,50.1020468,14.504171,"CZK 15,000",Personal,,,Brick,Central,G,Very good,,,,1.0,,,,Exterior,,,,,
"CZK 24,000",CZK 570,261287,3+kk,8/1/2022,83 m²,Partly,6,123.55,771.85,132.99,321.47,126.86,577.47,263.69,344.28,355.73,344.76,"Krymská, Prague - Vršovice",50.0715585,14.4488499,"CZK 24,000",Personal,Over 50 years,Luxurious,Brick,,,,,,1.0,,,,,Complete,,,,,
"CZK 5,500",CZK 0,646478,3+1,7/26/2022,120 m²,Fully furnished,2,152.63,1270.31,55.35,2613.39,100.83,1738.04,1863.25,2036.1,1591.75,597.67,"K Vilkám, Prague - Dubeč",50.0545417,14.5802806,"CZK 5,500",Personal,Up to 10 years,Standard,Brick,Gas boiler,C,Very good,,,,1.0,,,,Interior,,,,,
"CZK 11,900","CZK 3,100",717173,Studio,9/1/2022,40 m²,Partly,1,659.09,2881.74,635.99,2740.27,638.07,2679.02,2052.09,2158.33,1733.09,806.12,"Palmetová, Prague - Komořany",49.98546,14.40753,"CZK 15,000",Personal,,,Brick,,G,New-build,,,,,1.0,,1.0,,1.0,,,,
"CZK 15,000","CZK 4,500",726668,2+kk,8/14/2022,43 m²,Partly,4,145.09,591.38,292.24,889.6,399.45,186.08,315.13,845.68,201.27,184.54,Prague - Záběhlice,50.05742,14.49519,"CZK 20,000",,,,Prefab concrete,,G,Very good,,1.0,,,,,,,,,,,
"CZK 14,500","CZK 2,500",509750,Studio,4/1/2022,38 m²,Fully furnished,3,203.52,1206.04,153.1,1052.17,820.8,1081.24,135.01,407.92,420.05,174.09,"Mráčkova, Prague - Modřany",50.0122144,14.422239,"CZK 17,000",Personal,10 to 30 years,Standard,Brick,Distance,C,,,1.0,,,1.0,,,Complete,,,,,
"CZK 22,500","CZK 4,800",724753,2+kk,7/5/2022,100 m²,Fully furnished,2,230.89,1382.16,195.7,1323.56,1331.0,1304.51,646.49,1488.0,1035.47,829.75,Prague - Sedlec,50.13195,14.39244,"CZK 22,500",,,,Brick,,G,Very good,,,,,,,,,,,,,
"CZK 12,900","CZK 1,900",604841,2+kk,7/20/2022,52 m²,Fully furnished,1,231.0,1689.79,346.51,1371.87,371.26,1011.11,1113.31,1185.9,386.26,425.4,"Kundratka, Prague - Libeň",50.113733,14.481888,"CZK 25,000",Personal,,,Brick,Central,,Very good,,,,,,,,Complete,,,,,
"CZK 17,500","CZK 4,739",557589,2+kk,9/1/2022,72 m²,Fully furnished,2,183.54,819.94,341.87,478.1,217.26,322.03,458.48,384.09,1071.03,370.39,"Libočanská, Prague - Prosek",50.1187312,14.4967253,"CZK 30,000",Personal,10 to 30 years,,Low-energy,Distance,C,Very good,,1.0,,,1.0,,,,,,,,
"CZK 18,000",CZK 0,462824,3+1,8/8/2022,70 m²,Partly,1,147.04,172.53,523.38,2468.5,304.55,568.06,69.71,2550.22,74.18,73.53,"V Soudním, Prague - Klánovice",50.0948598,14.6709575,"CZK 36,000",Cooperative,,,Brick,,,Very good,,,1.0,1.0,,,,,,,,,
"CZK 20,500","CZK 4,500",726634,2+kk,8/1/2022,65 m²,Fully furnished,2,53.38,405.58,47.34,161.93,21.47,280.04,433.15,238.4,223.86,678.8,Prague - Smíchov,50.07216,14.4068,"CZK 25,000",,,,Brick,,E,Very good,,1.0,,,1.0,1.0,,,,,,,
"CZK 31,752","CZK 10,584",726633,2 bedroom,8/1/2022,57 m²,Fully furnished,7,7.74,76.74,105.28,213.89,45.41,117.47,178.45,327.18,381.26,239.99,"Dělnická, Prague - Holešovice",50.1031132,14.4472134,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,
"CZK 24,000","CZK 6,000",524714,Studio,8/1/2022,80 m²,Fully furnished,2,158.6,380.48,136.82,86.78,19.96,155.0,397.71,846.53,114.09,372.45,"Václavské náměstí, Prague - Nové Město",50.0817465,14.4271892,"CZK 30,000",Other,,,Brick,,,Very good,,1.0,,,,,,,,,,,
"CZK 12,000","CZK 4,000",440364,Studio,7/20/2022,43 m²,Partly,1,194.76,1661.38,980.9,1312.76,402.74,753.24,235.49,1001.46,251.71,507.44,"Jeřabinová, Prague - Motol",50.0738579,14.3583628,"CZK 24,000",Personal,Up to 10 years,Standard,Other,Central,A,Very good,,,,,,,,Interior,1.0,,,,
"CZK 16,250","CZK 3,500",388959,1 bedroom,9/1/2022,49 m²,Partly,1,122.32,826.95,490.66,525.72,59.97,508.04,509.27,554.18,1182.14,310.03,Prague - Břevnov,50.0874176,14.338491,"CZK 32,500",Personal,,Luxurious,Brick,Central,,,,,,,,,,Complete,,,,,
"CZK 15,000","CZK 7,000",643447,2+kk,7/25/2022,62 m²,Fully furnished,2,668.88,1015.39,102.16,1060.37,818.31,1093.84,1255.09,921.84,915.62,454.0,"Novobohdalecká, Prague - Michle",50.062911,14.474847,"CZK 20,000",Personal,,,Brick,,B,Very good,,1.0,,,,1.0,,,1.0,,,,
"CZK 14,175","CZK 4,725",726004,Studio,8/24/2022,19 m²,Fully furnished,1,126.19,670.53,145.31,408.99,138.64,543.24,178.24,219.08,298.17,317.3,"Kodaňská, Prague - Vršovice",50.0701958,14.4617404,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,900",705001,2+kk,9/1/2022,53 m²,Fully furnished,4,279.44,406.16,305.12,408.15,265.36,280.16,649.14,507.79,459.33,158.94,"Baarova, Prague - Michle",50.04991,14.45568,"CZK 44,000",Personal,Up to 10 years,Luxurious,Brick,Distance,B,New-build,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,
"CZK 19,000","CZK 5,000",364554,2+kk,7/22/2022,61 m²,Fully furnished,4,181.51,364.79,178.26,393.22,270.46,268.39,312.84,412.94,557.41,276.56,Prague - Holešovice,50.1007055095,14.4482184275,"CZK 25,000",Personal,,Standard,Brick,Gas boiler,,Very good,,,,1.0,,,,Interior,,,,,
"CZK 16,500","CZK 2,500",404507,2+kk,8/15/2022,44 m²,Unfurnished,3,314.12,465.35,344.55,234.05,291.91,454.65,173.32,780.57,389.91,135.89,Prague - Podolí,50.0561286,14.4214707,"CZK 25,000",Personal,,Standard,Brick,Central,,Very good,,1.0,1.0,1.0,1.0,,,Complete,,,,,
"CZK 27,000","CZK 3,000",725907,1 bedroom,7/20/2022,27 m²,Fully furnished,3,200.51,407.37,72.96,275.48,12.97,109.41,427.03,435.74,261.27,352.53,Prague - Karlín,50.09179,14.44168,"CZK 27,000",,,Luxurious,Brick,Central,G,Very good,,,,1.0,,,,Complete,1.0,,,,
"CZK 16,500","CZK 5,500",581083,3+kk,8/1/2022,56 m²,Unfurnished,4,12.93,584.69,279.92,529.49,138.63,489.78,263.04,380.49,337.99,632.92,"Husitská, Prague - Žižkov",50.086617,14.447053,"CZK 16,500",Personal,,,Brick,,G,Very good,,,,,,,,,,,,,
"CZK 13,000","CZK 2,300",726600,Studio,8/1/2022,35 m²,Unfurnished,1,196.69,543.05,123.99,625.46,78.43,755.09,367.52,329.25,372.2,224.13,Prague - Vršovice,50.07148,14.44466,"CZK 20,000",,,,Brick,,G,Very good,,,,,,1.0,,,,,,,
"CZK 13,388","CZK 4,462",725903,1 bedroom,7/22/2022,70 m²,Fully furnished,,260.78,1360.32,365.6,1032.65,297.3,510.76,338.4,330.67,867.47,176.65,"Žernovská, Prague - Strašnice",50.0671625,14.503678,,,,,,,,,,,,1.0,,,,,1.0,,,,
"CZK 15,000","CZK 1,300",671574,1 bedroom,7/19/2021,30 m²,Partly,1,187.71,716.92,121.39,493.57,72.36,491.91,187.24,333.18,597.67,302.31,"Ruská, Prague - Vršovice",50.07227,14.45656,"CZK 15,000",Personal,Up to 10 years,Standard,Brick,Gas boiler,G,Very good,,,,,,,,Complete,,,,,
"CZK 50,000","CZK 6,000",532968,6+kk,8/1/2022,240 m²,Partly,5,139.7,264.63,83.75,589.32,219.38,340.64,221.78,412.56,570.92,191.08,Prague - Smíchov,50.0670409,14.4001162,"CZK 100,000",Personal,,Standard,Brick,,,Very good,,1.0,,1.0,,,,Complete,1.0,,,,
"CZK 31,000","CZK 4,000",630609,3+1,9/1/2022,120 m²,Fully furnished,3,94.56,19.56,183.86,41.41,62.81,238.2,334.32,474.78,487.22,640.45,"Italská, Prague - Vinohrady",50.076241,14.434832,"CZK 35,000",Personal,,Standard,Brick,Central,G,Very good,,1.0,,1.0,,,,,,,,,
"CZK 15,000","CZK 5,000",726597,2+kk,7/20/2022,43 m²,Unfurnished,3,118.75,868.69,119.84,295.64,156.78,278.87,440.96,884.18,213.58,479.63,Prague - Dejvice,50.09855,14.40662,"CZK 30,000",,,,Brick,,G,Good,,,,,,,,,,,,,
"CZK 16,500","CZK 5,000",665598,3+1,9/1/2022,70 m²,Partly,6,60.45,406.53,148.91,385.23,453.89,409.45,628.8,299.94,817.12,295.0,Prague - Lhotka,50.0231546,14.4388284,"CZK 32,000",Personal,,Standard,Prefab concrete,Distance,A,Very good,1.0,1.0,,,1.0,,,Complete,,,,,
"CZK 20,500","CZK 5,000",725901,3+kk,8/1/2022,75 m²,Unfurnished,1,72.23,768.76,69.12,525.7,15.46,388.84,256.61,1117.12,439.36,234.03,Prague - Karlín,50.09488,14.45763,"CZK 20,500",,,,Brick,,G,Very good,,1.0,,,,,,,,,,,
"CZK 13,700","CZK 1,500",652174,2+kk,9/1/2022,43 m²,Partly,6,123.49,1093.35,507.3,1191.49,86.25,965.89,252.17,125.15,490.24,18.46,"Jakobiho, Prague - Petrovice",50.032251,14.559848,"CZK 15,000",Personal,,,Low-energy,Distance,G,Good,,1.0,1.0,,1.0,,,,,,,,
"CZK 17,900","CZK 3,000",610315,2+kk,8/1/2022,50 m²,,4,224.27,661.77,250.27,1036.34,270.86,440.41,130.68,352.96,1134.79,502.75,"Plzeňská, Prague - Košíře",50.070903,14.383151,"CZK 36,000",Personal,,,Brick,Central,C,New-build,,1.0,1.0,,,1.0,,,,,,,
"CZK 17,500","CZK 3,500",726579,2 bedroom,10/1/2022,52 m²,Partly,5,289.99,845.36,152.24,549.72,133.45,625.56,433.23,533.28,540.92,121.18,Prague - Bubeneč,50.10223,14.4038,"CZK 20,000",,,,Brick,,D,Very good,,1.0,1.0,,,,,,,,,,
"CZK 18,750","CZK 6,250",726586,3+1,9/1/2022,90 m²,Fully furnished,2,469.22,761.02,346.03,457.3,297.99,666.11,439.37,474.87,525.98,781.4,"Řehořova, Prague - Žižkov",50.0862376,14.4435427,,,,,,,,,,1.0,,,,,,,,,,,
"CZK 12,000",CZK 600,666664,Studio,8/1/2022,27 m²,Unfurnished,3,97.21,518.04,98.91,629.05,76.03,207.7,192.43,272.52,235.36,415.94,Prague - Vršovice,50.0658529,14.4495028,"CZK 12,000",Personal,,,Brick,,C,Very good,,1.0,,,,,,,,,,,
"CZK 26,000","CZK 4,000",656079,2+kk,8/1/2022,50 m²,Fully furnished,4,119.1,707.32,147.65,163.62,99.01,233.64,375.23,701.57,467.03,497.55,"Vladislavova, Prague - Nové Město",50.08015,14.42123,"CZK 30,000",Personal,,,Brick,,G,Very good,,,,,1.0,,,,1.0,,,,
"CZK 14,500","CZK 5,500",535787,2+kk,9/1/2022,45 m²,Partly,4,400.69,581.2,115.56,801.04,107.93,474.58,190.59,822.58,484.6,103.39,"Hrabákova, Prague - Chodov",50.0296401,14.4837704,"CZK 20,000",Personal,,,Prefab concrete,,,,,1.0,,,,,,Complete,,,,,
"CZK 32,000","CZK 6,000",724619,2+kk,7/4/2022,83 m²,Unfurnished,4,344.33,616.92,69.31,274.61,44.69,137.75,322.3,866.01,188.27,454.99,Prague - Karlín,50.0938,14.45505,"CZK 38,000",,,,Brick,,G,Very good,,1.0,,,,,,,,,,,
"CZK 11,500","CZK 3,500",726509,2+kk,7/20/2022,43 m²,Partly,4,198.83,809.12,162.78,351.55,170.27,353.71,386.01,173.21,1711.32,229.11,Prague - Stodůlky,50.04951,14.35047,"CZK 23,000",Personal,,,Prefab concrete,Central,G,Good,,1.0,1.0,,1.0,,,,,,,,
"CZK 57,000","CZK 8,830",720855,4+kk,6/2/2022,110 m²,Unfurnished,3,91.01,254.74,137.58,110.13,57.48,149.86,319.23,477.31,263.02,386.4,Prague - Nové Město,50.08676,14.43233,"CZK 65,830",,,,Brick,,G,Very good,,1.0,1.0,1.0,1.0,,,,,,,,
"CZK 13,200","CZK 2,200",726564,Studio,8/1/2022,30 m²,Fully furnished,10,334.08,987.47,655.32,611.39,665.74,666.9,338.63,743.64,662.26,207.4,Prague - Stodůlky,50.04112,14.31989,"CZK 20,000",,,,Brick,,B,New-build,,,1.0,1.0,,,,,,,,,
"CZK 13,900","CZK 3,500",726562,2+kk,8/29/2022,51 m²,Partly,3,282.79,363.97,260.58,523.51,92.1,493.32,193.38,176.18,203.7,215.15,Prague - Vinohrady,50.07651,14.46514,"CZK 25,000",,,,Brick,,G,Very good,,1.0,1.0,,,,,,,,,,
"CZK 9,000","CZK 4,000",705554,Studio,7/21/2022,35 m²,Fully furnished,4,313.37,1749.43,403.32,1854.26,659.1,538.67,337.41,661.73,2100.59,97.68,"Žichlínská, Prague - Újezd nad Lesy",50.07148,14.68568,"CZK 9,000",Personal,,,Prefab concrete,,G,Very good,,,,,,,,,,,,,
"CZK 15,500","CZK 3,500",684510,2+kk,8/1/2022,34 m²,Fully furnished,3,411.81,1062.49,744.75,1102.63,395.03,1022.22,757.0,912.84,603.1,244.17,"Přeučilova, Prague - Stodůlky",50.03657,14.3284,"CZK 31,000",Personal,Up to 10 years,,Brick,,B,Very good,,1.0,1.0,1.0,1.0,,,,,,,,
"CZK 13,800","CZK 4,100",684181,2+kk,8/1/2022,47 m²,Partly,3,194.9,976.2,138.21,350.67,18.89,401.3,685.65,704.82,517.64,198.63,"Oldřichova, Prague - Nusle",50.06559,14.42642,"CZK 17,900",Personal,,,Brick,,G,Very good,,,1.0,,,,,,,,,,
"CZK 14,000","CZK 6,550",726496,Studio,9/1/2022,53 m²,Fully furnished,4,137.11,15.67,57.16,152.03,95.0,200.33,335.18,252.11,379.77,257.08,Prague - Vinohrady,50.07728,14.4628,"CZK 40,000",,,,Brick,,C,Very good,1.0,1.0,,,,,,,,,,,
"CZK 36,000","CZK 6,000",724642,2 bedroom,7/4/2022,72 m²,Unfurnished,3,190.62,241.74,3.79,258.03,141.41,283.34,114.97,303.2,637.85,149.7,Prague - Vinohrady,50.07889,14.4503,"CZK 42,000",,,,Brick,,G,Very good,,1.0,,1.0,,1.0,,,,,,,
"CZK 21,000","CZK 7,000",726560,Studio,7/31/2022,25 m²,Fully furnished,12,228.88,257.2,204.55,166.76,173.2,262.96,328.04,408.55,436.47,292.09,"Freyova, Prague - Vysočany",50.108944,14.501028,,,,,,,,,,1.0,,,,,,,,,,,
"CZK 22,900","CZK 4,500",725359,2 bedroom,7/23/2022,80 m²,Partly,1,379.01,2220.31,438.76,1628.78,367.87,1674.19,2055.82,2977.16,401.69,189.22,Prague - Hostavice,50.08462,14.55603,"CZK 45,800",,10 to 30 years,Luxurious,Brick,,C,Very good,,,,1.0,,,,,1.0,,,,
"CZK 57,000","CZK 19,000",724522,3+1,9/1/2022,130 m²,Fully furnished,3,293.94,358.82,65.34,231.82,29.61,399.45,202.79,623.36,368.2,458.02,"Michalská, Prague - Staré Město",50.0859057,14.4200254,,,,,,,,,,,,,,1.0,,,,,,,
"CZK 19,286","CZK 6,428",724519,2+kk,9/1/2022,40 m²,Fully furnished,6,275.72,613.97,142.96,237.63,75.92,333.81,397.97,134.84,451.34,420.6,"Na Poříčním právu, Prague - Nové Město",50.0712667,14.4160344,,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",724600,2+kk,9/2/2022,56 m²,Fully furnished,4,91.98,204.34,98.75,50.9,42.55,154.76,196.57,433.55,409.29,205.78,"náměstí Bratří Synků, Prague - Nusle",50.0640124,14.439955,,,,,,,,,,,,,,,,,,,,,
"CZK 24,225","CZK 8,075",725228,2+kk,9/13/2022,40 m²,Fully furnished,1,29.42,633.78,151.61,536.89,130.46,316.51,391.7,900.17,984.89,128.97,"Šporkova, Prague - Malá Strana",50.0876289,14.3978335,,,,,,,,,,,,,,,,,,,,,
"CZK 21,375","CZK 7,125",724916,Studio,9/5/2022,35 m²,Fully furnished,1,228.77,340.86,232.94,732.64,115.16,426.24,319.01,539.74,497.03,358.92,"U Nikolajky, Prague - Smíchov",50.0668274,14.3966153,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,
"CZK 34,650","CZK 11,550",726077,2 bedroom,9/15/2022,100 m²,Fully furnished,3,47.36,89.7,50.91,353.17,50.36,559.15,144.5,503.29,323.37,346.2,"Plaská, Prague - Malá Strana",50.0806597,14.4049697,,,,,,,,,,1.0,,,,,,,,,,,
"CZK 20,729","CZK 6,910",725487,2 bedroom,9/10/2022,47 m²,Fully furnished,2,156.38,1229.0,162.03,220.23,25.89,81.62,279.46,502.09,319.11,381.66,"Viklefova, Prague - Žižkov",50.0907344,14.4740295,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,
"CZK 53,510","CZK 17,836",725486,4+1,9/10/2022,110 m²,Fully furnished,7,348.55,940.69,207.03,294.37,97.8,272.7,322.85,445.04,400.99,361.6,"Divadelní, Prague - Staré Město",50.0824664,14.4140344,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,
"CZK 27,000","CZK 9,000",725983,1 bedroom,9/14/2022,50 m²,Fully furnished,2,187.82,338.29,111.0,241.4,39.4,347.76,25.85,486.49,569.58,575.91,"Karmelitská, Prague - Malá Strana",50.08657,14.4033198,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,000",725958,1 bedroom,7/15/2022,30 m²,Fully furnished,4,160.62,263.3,82.93,230.93,0.89,71.44,476.86,485.58,507.33,241.97,Prague - Karlín,50.09342,14.44809,"CZK 10,000",,,,Brick,,G,Good,,,1.0,,,,,,1.0,,,,
