Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,New building,Age,Front garden,Renovation,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
691087,"CZK 16,500",50.0851483,14.4512417,"Štítného, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,51 m²,CZK 760,"CZK 30,000",Personal,Other,Partially furnished,2,No,No,No,No,No,No,No,01. 03. 2022,B,173,144,56,115,75,165,167,383,199,457,Premium materials and solutions,Gas boiler,Middle floor,,1 to 10 years years,,Overall,,,,,
699124,"CZK 19,000",50.05211,14.45815,"Hadovitá, Prague - Michle",1 bedroom with open-plan kitchen,New build,57 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Unfurnished,1,Yes,No,Yes,No,No,Yes,Yes,01. 04. 2022,G,294,963,391,976,264,854,583,859,957,657,,,,,,,,,,,,
490285,"CZK 13,000",50.1342794,14.3765684,"Stehlíkova, Prague - Suchdol",1 bedroom with open-plan kitchen,,47 m²,"CZK 4,700","CZK 13,000",Personal,Prefab concrete building,Furnished,1,Yes,No,Yes,No,No,No,No,27. 02. 2022,C,134,427,144,336,145,409,"1,051",417,723,490,,District heating,Raised ground floor,,,,,,,,,
655160,"CZK 17,000",50.02624,14.5286,"Jurkovičova, Prague - Háje",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 3,000","CZK 34,000",Personal,Low-energy building,Furnished,7,No,Yes,Yes,No,No,Yes,No,01. 04. 2022,B,222,"1,020",429,677,289,751,109,469,811,329,Premium materials and solutions,District heating,Top floor,,1 to 10 years years,18 m²,,,,,,
700154,"CZK 9,800",50.12683,14.46463,Prague - Kobylisy,Small studio,Good,23 m²,"CZK 4,000","CZK 20,000",Personal,Prefab concrete building,Partially furnished,13,No,No,No,No,No,Yes,No,01. 02. 2022,G,269,510,258,278,243,472,163,205,823,210,,District heating,Middle floor,,,,,,,,,
706915,"CZK 14,500",50.04805,14.30919,"Flöglova, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,44 m²,"CZK 2,500","CZK 19,000",Cooperative,Prefab concrete building,Partially furnished,7,No,No,Yes,No,No,Yes,No,01. 03. 2022,G,358,312,207,"1,166",117,625,536,178,290,16,,,,,,,,,,,,
706056,"CZK 12,500",50.0562541,14.4320938,"Dačického, Prague - Nusle",1 bedroom with open-plan kitchen,Good,46 m²,"CZK 1,500","CZK 10,000",Cooperative,Prefab concrete building,Partially furnished,3,Yes,No,No,No,No,Yes,No,01. 03. 2022,G,158,984,83,279,168,390,634,361,191,165,,,,,,,,,,,,
543655,"CZK 14,000",50.0653043,14.4010041,"Na Doubkové, Prague - Smíchov",1 bedroom,Good,55 m²,"CZK 3,500","CZK 14,000",Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,No,No,01. 06. 2020,D,237,479,211,736,421,489,272,438,698,339,Standard materials and solutions,Central heating,Middle floor,,over 50 years years,,,,,,,
706911,"CZK 15,500",50.03934,14.32273,"Kakosova, Prague - Řeporyje",Studio,New build,43 m²,"CZK 3,089","CZK 31,000",Personal,Brick building,Furnished,2,Yes,No,No,No,No,Yes,No,01. 03. 2022,G,246,"1,135",780,964,603,"1,028",665,"1,075",672,112,Standard materials and solutions,Central heating,,,1 to 10 years years,,,,,,,
706049,"CZK 12,000",50.1291159,14.4614474,"Šiškova, Prague - Kobylisy",2 bedroom,Good,64 m²,"CZK 4,000","CZK 16,000",Cooperative,Prefab concrete building,Partially furnished,3,No,No,No,Yes,Yes,Yes,No,12. 02. 2022,B,186,843,50,623,276,383,474,196,795,96,,,,,,,,,,,,
670413,"CZK 15,500",50.10565,14.44967,Prague - Holešovice,1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 1,500","CZK 17,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,Ihned,G,94,283,89,96,48,100,354,558,269,379,,,,,,,,,,,,
644540,"CZK 18,000",50.108302,14.484137,"Kovanecká, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 2,500","CZK 25,000",Personal,Brick building,Furnished,2,Yes,No,No,No,No,Yes,No,01. 01. 2021,B,558,709,488,570,246,905,338,593,429,418,Standard materials and solutions,District heating,Middle floor,,10 to 30 years years,,,,,,,
706553,"CZK 15,000",50.04441,14.4914,"Choceradská, Prague - Záběhlice",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 4,600","CZK 30,000",Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,01. 04. 2022,C,239,591,402,637,591,221,964,"1,293",80,,,,,,,,,,,,,
694990,"CZK 27,000",50.101638767123,14.452644197097,"Tusarova, Prague - Holešovice",2 bedroom with open-plan kitchen,New build,70 m²,"CZK 4,000","CZK 27,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,16. 02. 2022,B,188,545,95,268,25,205,407,369,113,246,,,,,1 to 10 years years,,,,,,,
705695,"CZK 11,500",50.05702105,14.292262248137,"Do Zahrádek I, Prague - Třebonice",Studio,New build,30 m²,"CZK 3,000","CZK 14,500",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,No,Yes,No,17. 02. 2022,B,289,"1,204",586,530,842,640,640,864,481,,,,,,,,,,,,,
493048,"CZK 12,800",50.0306096,14.3635304,"Werichova, Prague - Hlubočepy",1 bedroom with open-plan kitchen,,47 m²,"CZK 3,700","CZK 15,000",Personal,Prefab concrete building,Unfurnished,2,Yes,No,No,No,No,No,Yes,,,369,"1,119",442,"1,100",359,"1,199",588,662,912,398,,,,,,,,,,,,
642558,"CZK 13,000",50.085989,14.450022,"Dalimilova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 2,500","CZK 15,500",Personal,Brick building,Partially furnished,4,No,No,No,No,Yes,Yes,No,01. 03. 2022,C,201,328,174,335,112,296,40,351,40,677,Standard materials and solutions,Gas boiler,Middle floor,,1 to 10 years years,,Interior,,,,,
696356,"CZK 22,000",50.07975,14.41832,"Opatovická, Prague - Nové Město",1 bedroom with open-plan kitchen,Excellent,65 m²,"CZK 4,000","CZK 25,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,01. 02. 2022,G,230,595,135,286,20,310,120,331,190,615,,,,,,,,,,,,
